,county_name,date,total_doses
828,San Mateo,3/2/2021,5141
829,Santa Barbara,3/2/2021,2363
830,Santa Clara,3/2/2021,12075
831,Santa Cruz,3/2/2021,1427
832,Shasta,3/2/2021,473
833,Sierra,3/2/2021,50
834,Siskiyou,3/2/2021,175
835,Solano,3/2/2021,1563
836,Sonoma,3/2/2021,3979
837,Stanislaus,3/2/2021,2236
838,Sutter,3/2/2021,312
839,Tehama,3/2/2021,70
840,Trinity,3/2/2021,6
841,Tulare,3/2/2021,2260
842,Tuolumne,3/2/2021,700
843,Unknown,3/2/2021,20
844,Ventura,3/2/2021,7166
845,Yolo,3/2/2021,1338
846,Yuba,3/2/2021,145
847,Alameda,3/1/2021,12510
848,Alpine,3/1/2021,33
849,Amador,3/1/2021,183
850,Butte,3/1/2021,1131
851,Calaveras,3/1/2021,184
852,Colusa,3/1/2021,43
853,Contra Costa,3/1/2021,7389
854,Del Norte,3/1/2021,26
855,El Dorado,3/1/2021,1006
856,Fresno,3/1/2021,4459
857,Glenn,3/1/2021,27
858,Humboldt,3/1/2021,233
859,Imperial,3/1/2021,510
860,Inyo,3/1/2021,23
861,Kern,3/1/2021,3576
862,Kings,3/1/2021,241
863,Lake,3/1/2021,570
864,Lassen,3/1/2021,36
865,Linn,3/1/2021,1
866,Los Angeles,3/1/2021,51894
867,Madera,3/1/2021,355
868,Marin,3/1/2021,2246
869,Mariposa,3/1/2021,56
870,Mendocino,3/1/2021,562
871,Merced,3/1/2021,1112
872,Modoc,3/1/2021,4
873,Monterey,3/1/2021,1225
874,Napa,3/1/2021,1029
875,Nevada,3/1/2021,768
876,Orange,3/1/2021,17406
877,Outside California,3/1/2021,5535
878,Placer,3/1/2021,2805
879,Plumas,3/1/2021,10
880,Riverside,3/1/2021,13108
881,Sacramento,3/1/2021,7098
882,San Benito,3/1/2021,214
883,San Bernardino,3/1/2021,7190
884,San Diego,3/1/2021,22956
885,San Francisco,3/1/2021,9555
886,San Joaquin,3/1/2021,3924
887,San Luis Obispo,3/1/2021,2868
888,San Mateo,3/1/2021,5264
889,Santa Barbara,3/1/2021,1486
890,Santa Clara,3/1/2021,12982
891,Santa Cruz,3/1/2021,1773
892,Shasta,3/1/2021,549
893,Sierra,3/1/2021,2
894,Siskiyou,3/1/2021,270
895,Solano,3/1/2021,1423
896,Sonoma,3/1/2021,3390
897,Stanislaus,3/1/2021,2917
898,Sutter,3/1/2021,232
899,Tehama,3/1/2021,61
900,Trinity,3/1/2021,7
901,Tulare,3/1/2021,1527
902,Tuolumne,3/1/2021,101
903,Unknown,3/1/2021,48
904,Ventura,3/1/2021,6718
905,Yolo,3/1/2021,983
906,Yuba,3/1/2021,148
907,Alameda,2/28/2021,8905
908,Amador,2/28/2021,94
909,Butte,2/28/2021,114
910,Calaveras,2/28/2021,87
911,Colusa,2/28/2021,24
912,Contra Costa,2/28/2021,3640
913,Del Norte,2/28/2021,6
914,El Dorado,2/28/2021,506
915,Fresno,2/28/2021,1490
916,Glenn,2/28/2021,5
917,Humboldt,2/28/2021,106
918,Imperial,2/28/2021,83
919,Inyo,2/28/2021,2
920,Kern,2/28/2021,843
921,Kings,2/28/2021,993
922,Lake,2/28/2021,17
923,Lassen,2/28/2021,5
924,Los Angeles,2/28/2021,25383
925,Madera,2/28/2021,179
926,Marin,2/28/2021,1316
927,Mariposa,2/28/2021,2
928,Mendocino,2/28/2021,35
929,Merced,2/28/2021,278
930,Mono,2/28/2021,1
931,Monterey,2/28/2021,1464
932,Napa,2/28/2021,541
933,Nevada,2/28/2021,233
934,Orange,2/28/2021,18309
935,Outside California,2/28/2021,3548
936,Placer,2/28/2021,1348
937,Riverside,2/28/2021,4407
938,Sacramento,2/28/2021,5035
939,San Benito,2/28/2021,191
940,San Bernardino,2/28/2021,1611
941,San Diego,2/28/2021,13524
942,San Francisco,2/28/2021,7441
943,San Joaquin,2/28/2021,2908
944,San Luis Obispo,2/28/2021,175
945,San Mateo,2/28/2021,3976
946,Santa Barbara,2/28/2021,998
947,Santa Clara,2/28/2021,4556
948,Santa Cruz,2/28/2021,1273
949,Shasta,2/28/2021,167
950,Siskiyou,2/28/2021,3
951,Solano,2/28/2021,1274
952,Sonoma,2/28/2021,2144
953,Stanislaus,2/28/2021,731
954,Sutter,2/28/2021,75
955,Tehama,2/28/2021,22
956,Trinity,2/28/2021,1
957,Tulare,2/28/2021,1221
958,Tuolumne,2/28/2021,44
959,Unknown,2/28/2021,24
960,Ventura,2/28/2021,2474
961,Yolo,2/28/2021,1634
962,Yuba,2/28/2021,61
963,Alameda,2/27/2021,14406
964,Amador,2/27/2021,284
965,Butte,2/27/2021,227
966,Calaveras,2/27/2021,203
967,Colusa,2/27/2021,54
968,Contra Costa,2/27/2021,6375
969,Del Norte,2/27/2021,152
970,El Dorado,2/27/2021,1562
971,Fresno,2/27/2021,6052
972,Glenn,2/27/2021,14
973,Humboldt,2/27/2021,877
974,Imperial,2/27/2021,931
975,Inyo,2/27/2021,13
976,Kern,2/27/2021,3528
977,Kings,2/27/2021,1232
978,Lake,2/27/2021,57
979,Lassen,2/27/2021,8
980,Los Angeles,2/27/2021,57366
981,Madera,2/27/2021,844
982,Marin,2/27/2021,2543
983,Mariposa,2/27/2021,153
984,Mendocino,2/27/2021,187
985,Merced,2/27/2021,1907
986,Modoc,2/27/2021,5
987,Mono,2/27/2021,136
988,Monterey,2/27/2021,964
989,Napa,2/27/2021,1018
990,Nevada,2/27/2021,330
991,Orange,2/27/2021,24414
992,Outside California,2/27/2021,5666
993,Placer,2/27/2021,2675
994,Plumas,2/27/2021,42
995,Riverside,2/27/2021,10934
996,Sacramento,2/27/2021,9353
997,San Benito,2/27/2021,96
998,San Bernardino,2/27/2021,6412
999,San Diego,2/27/2021,20445
1000,San Francisco,2/27/2021,8649
1001,San Joaquin,2/27/2021,5256
1002,San Luis Obispo,2/27/2021,565
1003,San Mateo,2/27/2021,6460
1004,Santa Barbara,2/27/2021,1464
1005,Santa Clara,2/27/2021,7897
1006,Santa Cruz,2/27/2021,2613
1007,Shasta,2/27/2021,806
1008,Sierra,2/27/2021,2
1009,Siskiyou,2/27/2021,30
1010,Solano,2/27/2021,3420
1011,Sonoma,2/27/2021,3887
1012,Stanislaus,2/27/2021,1963
1013,Sutter,2/27/2021,802
1014,Tehama,2/27/2021,296
1015,Trinity,2/27/2021,4
1016,Tulare,2/27/2021,2670
1017,Tuolumne,2/27/2021,943
1018,Unknown,2/27/2021,30
1019,Ventura,2/27/2021,9805
1020,Yolo,2/27/2021,1583
1021,Yuba,2/27/2021,449
1022,Alameda,2/26/2021,16828
1023,Alpine,2/26/2021,29
1024,Amador,2/26/2021,591
1025,Butte,2/26/2021,854
1026,Calaveras,2/26/2021,637
1027,Colusa,2/26/2021,95
1028,Contra Costa,2/26/2021,9423
1029,Del Norte,2/26/2021,99
1030,El Dorado,2/26/2021,2009
1031,Fresno,2/26/2021,7249
1032,Glenn,2/26/2021,303
1033,Humboldt,2/26/2021,2071
1034,Imperial,2/26/2021,1637
1035,Inyo,2/26/2021,103
1036,Kern,2/26/2021,6090
1037,Kings,2/26/2021,600
1038,Lake,2/26/2021,974
1039,Lassen,2/26/2021,64
1040,Los Angeles,2/26/2021,78742
1041,Madera,2/26/2021,1017
1042,Marin,2/26/2021,3307
1043,Mariposa,2/26/2021,411
1044,Mendocino,2/26/2021,1337
1045,Merced,2/26/2021,2049
1046,Modoc,2/26/2021,3
1047,Mono,2/26/2021,576
1048,Monterey,2/26/2021,4953
1049,Napa,2/26/2021,1396
1050,Nevada,2/26/2021,1180
1051,Orange,2/26/2021,26051
1052,Outside California,2/26/2021,7107
1053,Placer,2/26/2021,3825
1054,Plumas,2/26/2021,255
1055,Riverside,2/26/2021,17000
1056,Sacramento,2/26/2021,12224
1057,San Benito,2/26/2021,604
1058,San Bernardino,2/26/2021,12297
1059,San Diego,2/26/2021,32428
1060,San Francisco,2/26/2021,11177
1061,San Joaquin,2/26/2021,5185
1062,San Luis Obispo,2/26/2021,2577
1063,San Mateo,2/26/2021,8878
1064,Santa Barbara,2/26/2021,3272
1065,Santa Clara,2/26/2021,11942
1066,Santa Cruz,2/26/2021,2621
1067,Shasta,2/26/2021,748
1068,Sierra,2/26/2021,9
1069,Siskiyou,2/26/2021,660
1070,Solano,2/26/2021,2245
1071,Sonoma,2/26/2021,5731
1072,Stanislaus,2/26/2021,3945
1073,Sutter,2/26/2021,347
1074,Tehama,2/26/2021,448
1075,Trinity,2/26/2021,10
1076,Tulare,2/26/2021,3319
1077,Tuolumne,2/26/2021,135
1078,Unknown,2/26/2021,35
1079,Ventura,2/26/2021,8935
1080,Yolo,2/26/2021,2072
1081,Yuba,2/26/2021,234
1082,Alameda,2/25/2021,14842
1083,Alpine,2/25/2021,7
1084,Amador,2/25/2021,501
1085,Butte,2/25/2021,1998
1086,Calaveras,2/25/2021,469
1087,Colusa,2/25/2021,95
1088,Contra Costa,2/25/2021,10521
1089,Del Norte,2/25/2021,300
1090,El Dorado,2/25/2021,1416
1091,Fresno,2/25/2021,6942
1092,Glenn,2/25/2021,255
1093,Humboldt,2/25/2021,808
1094,Imperial,2/25/2021,807
1095,Inyo,2/25/2021,125
1096,Kern,2/25/2021,4969
1097,Kings,2/25/2021,639
1098,Lake,2/25/2021,671
1099,Lassen,2/25/2021,146
1100,Lewis,2/25/2021,1
1101,Los Angeles,2/25/2021,69508
1102,Madera,2/25/2021,991
1103,Marin,2/25/2021,3705
1104,Mariposa,2/25/2021,4
1105,Meeker,2/25/2021,1
1106,Mendocino,2/25/2021,1172
1107,Merced,2/25/2021,1630
1108,Modoc,2/25/2021,169
1109,Mono,2/25/2021,5
1110,Monterey,2/25/2021,4171
1111,Napa,2/25/2021,2340
1112,Nevada,2/25/2021,826
1113,Orange,2/25/2021,21721
1114,Outside California,2/25/2021,7909
1115,Placer,2/25/2021,3138
1116,Plumas,2/25/2021,221
1117,Riverside,2/25/2021,16028
1118,Sacramento,2/25/2021,9063
1119,San Benito,2/25/2021,383
1120,San Bernardino,2/25/2021,11858
1121,San Diego,2/25/2021,31550
1122,San Francisco,2/25/2021,9447
1123,San Joaquin,2/25/2021,6027
1124,San Luis Obispo,2/25/2021,2025
1125,San Mateo,2/25/2021,8615
1126,Santa Barbara,2/25/2021,3374
1127,Santa Clara,2/25/2021,13124
1128,Santa Cruz,2/25/2021,3098
1129,Shasta,2/25/2021,458
1130,Sierra,2/25/2021,127
1131,Siskiyou,2/25/2021,294
1132,Solano,2/25/2021,2099
1133,Sonoma,2/25/2021,5351
1134,Stanislaus,2/25/2021,3727
1135,Sutter,2/25/2021,764
1136,Tehama,2/25/2021,373
1137,Trinity,2/25/2021,36
1138,Tulare,2/25/2021,3190
1139,Tuolumne,2/25/2021,1034
1140,Unknown,2/25/2021,85
1141,Ventura,2/25/2021,7262
1142,Yolo,2/25/2021,1287
1143,Yuba,2/25/2021,316
1144,Alameda,2/24/2021,13847
1145,Amador,2/24/2021,387
1146,Butte,2/24/2021,2057
1147,Calaveras,2/24/2021,90
1148,Colusa,2/24/2021,298
1149,Contra Costa,2/24/2021,9390
1150,Del Norte,2/24/2021,149
1151,El Dorado,2/24/2021,865
1152,Fresno,2/24/2021,3800
1153,Glenn,2/24/2021,219
1154,Humboldt,2/24/2021,1140
1155,Imperial,2/24/2021,668
1156,Inyo,2/24/2021,117
1157,Kern,2/24/2021,4968
1158,Kings,2/24/2021,570
1159,Lake,2/24/2021,713
1160,Lassen,2/24/2021,163
1161,Los Angeles,2/24/2021,60458
1162,Madera,2/24/2021,886
1163,Marin,2/24/2021,3304
1164,Mariposa,2/24/2021,12
1165,Mendocino,2/24/2021,1781
1166,Merced,2/24/2021,788
1167,Modoc,2/24/2021,89
1168,Mono,2/24/2021,6
1169,Monterey,2/24/2021,2339
1170,Napa,2/24/2021,1059
1171,Nevada,2/24/2021,460
1172,Orange,2/24/2021,20074
1173,Outside California,2/24/2021,7487
1174,Placer,2/24/2021,3093
1175,Plumas,2/24/2021,449
1176,Riverside,2/24/2021,13988
1177,Sacramento,2/24/2021,8712
1178,San Benito,2/24/2021,355
1179,San Bernardino,2/24/2021,11081
1180,San Diego,2/24/2021,27172
1181,San Francisco,2/24/2021,8684
1182,San Joaquin,2/24/2021,5474
1183,San Luis Obispo,2/24/2021,2625
1184,San Mateo,2/24/2021,7012
1185,Santa Barbara,2/24/2021,3050
1186,Santa Clara,2/24/2021,12511
1187,Santa Cruz,2/24/2021,3099
1188,Shasta,2/24/2021,503
1189,Sierra,2/24/2021,2
1190,Siskiyou,2/24/2021,145
1191,Solano,2/24/2021,2073
1192,Sonoma,2/24/2021,5029
1193,Stanislaus,2/24/2021,3861
1194,Sutter,2/24/2021,951
1195,Tehama,2/24/2021,294
1196,Trinity,2/24/2021,16
1197,Tulare,2/24/2021,2293
1198,Tuolumne,2/24/2021,81
1199,Unknown,2/24/2021,52
1200,Ventura,2/24/2021,4734
1201,Yolo,2/24/2021,1878
1202,Yuba,2/24/2021,467
1203,Alameda,2/23/2021,12284
1204,Amador,2/23/2021,309
1205,Butte,2/23/2021,1553
1206,Calaveras,2/23/2021,145
1207,Colusa,2/23/2021,18
1208,Contra Costa,2/23/2021,10917
1209,Del Norte,2/23/2021,101
1210,El Dorado,2/23/2021,718
1211,Fresno,2/23/2021,3577
1212,Glenn,2/23/2021,38
1213,Humboldt,2/23/2021,134
1214,Imperial,2/23/2021,883
1215,Inyo,2/23/2021,193
1216,Kern,2/23/2021,3011
1217,Kings,2/23/2021,274
1218,Lake,2/23/2021,162
1219,Lassen,2/23/2021,151
1220,Los Angeles,2/23/2021,51509
1221,Madera,2/23/2021,716
1222,Marin,2/23/2021,2731
1223,Mariposa,2/23/2021,4
1224,Mendocino,2/23/2021,645
1225,Merced,2/23/2021,1057
1226,Modoc,2/23/2021,23
1227,Mono,2/23/2021,133
1228,Monterey,2/23/2021,933
1229,Napa,2/23/2021,1008
1230,Nevada,2/23/2021,432
1231,Orange,2/23/2021,12753
1232,Outside California,2/23/2021,7009
1233,Placer,2/23/2021,2356
1234,Plumas,2/23/2021,21
1235,Riverside,2/23/2021,10727
1236,Sacramento,2/23/2021,6645
1237,San Benito,2/23/2021,345
1238,San Bernardino,2/23/2021,8373
1239,San Diego,2/23/2021,23841
1240,San Francisco,2/23/2021,5279
1241,San Joaquin,2/23/2021,3976
1242,San Luis Obispo,2/23/2021,1846
1243,San Mateo,2/23/2021,4047
1244,Santa Barbara,2/23/2021,3136
1245,Santa Clara,2/23/2021,10933
1246,Santa Cruz,2/23/2021,2085
1247,Shasta,2/23/2021,398
1248,Sierra,2/23/2021,4
1249,Siskiyou,2/23/2021,191
1250,Solano,2/23/2021,1788
1251,Sonoma,2/23/2021,2871
1252,Stanislaus,2/23/2021,3574
1253,Sutter,2/23/2021,217
1254,Tehama,2/23/2021,43
1255,Trinity,2/23/2021,5
1256,Tulare,2/23/2021,1620
1257,Tuolumne,2/23/2021,38
1258,Unknown,2/23/2021,86
1259,Ventura,2/23/2021,5813
1260,Yolo,2/23/2021,1101
1261,Yuba,2/23/2021,110
1262,Alameda,2/22/2021,10240
1263,Alpine,2/22/2021,27
1264,Amador,2/22/2021,63
1265,Butte,2/22/2021,1431
1266,Calaveras,2/22/2021,64
1267,Colusa,2/22/2021,41
1268,Contra Costa,2/22/2021,7061
1269,Del Norte,2/22/2021,2
1270,El Dorado,2/22/2021,822
1271,Fresno,2/22/2021,2138
1272,Glenn,2/22/2021,31
1273,Humboldt,2/22/2021,95
1274,Imperial,2/22/2021,765
1275,Inyo,2/22/2021,60
1276,Kern,2/22/2021,2586
1277,Kings,2/22/2021,100
1278,Lake,2/22/2021,92
1279,Lassen,2/22/2021,23
1280,Los Angeles,2/22/2021,32816
1281,Madera,2/22/2021,903
1282,Marin,2/22/2021,1671
1283,Mariposa,2/22/2021,15
1284,Mendocino,2/22/2021,159
1285,Merced,2/22/2021,817
1286,Modoc,2/22/2021,16
1287,Mono,2/22/2021,284
1288,Monterey,2/22/2021,902
1289,Napa,2/22/2021,413
1290,Nevada,2/22/2021,483
1291,Orange,2/22/2021,9113
1292,Outside California,2/22/2021,4388
1293,Placer,2/22/2021,2400
1294,Plumas,2/22/2021,5
1295,Riverside,2/22/2021,12010
1296,Sacramento,2/22/2021,5882
1297,San Benito,2/22/2021,104
1298,San Bernardino,2/22/2021,8273
1299,San Diego,2/22/2021,11075
1300,San Francisco,2/22/2021,4887
1301,San Joaquin,2/22/2021,3351
1302,San Luis Obispo,2/22/2021,2398
1303,San Mateo,2/22/2021,4172
1304,Santa Barbara,2/22/2021,887
1305,Santa Clara,2/22/2021,9409
1306,Santa Cruz,2/22/2021,1220
1307,Shasta,2/22/2021,335
1308,Sierra,2/22/2021,2
1309,Siskiyou,2/22/2021,124
1310,Solano,2/22/2021,1457
1311,Sonoma,2/22/2021,2560
1312,Stanislaus,2/22/2021,2180
1313,Sutter,2/22/2021,197
1314,Tehama,2/22/2021,39
1315,Trinity,2/22/2021,3
1316,Tulare,2/22/2021,1035
1317,Tuolumne,2/22/2021,72
1318,Unknown,2/22/2021,16
1319,Ventura,2/22/2021,5282
1320,Yolo,2/22/2021,1335
1321,Yuba,2/22/2021,112
1322,Alameda,2/21/2021,5860
1323,Amador,2/21/2021,40
1324,Butte,2/21/2021,14
1325,Calaveras,2/21/2021,20
1326,Colusa,2/21/2021,1
1327,Contra Costa,2/21/2021,1649
1328,El Dorado,2/21/2021,230
1329,Fresno,2/21/2021,167
1330,Humboldt,2/21/2021,474
1331,Imperial,2/21/2021,539
1332,Inyo,2/21/2021,267
1333,Kern,2/21/2021,201
1334,Kings,2/21/2021,1
1335,Lake,2/21/2021,5
1336,Lassen,2/21/2021,18
1337,Los Angeles,2/21/2021,13880
1338,Madera,2/21/2021,941
1339,Marin,2/21/2021,940
1340,Mariposa,2/21/2021,232
1341,Mendocino,2/21/2021,18
1342,Merced,2/21/2021,68
1343,Mono,2/21/2021,3
1344,Monterey,2/21/2021,1190
1345,Napa,2/21/2021,722
1346,Nevada,2/21/2021,72
1347,Orange,2/21/2021,3785
1348,Outside California,2/21/2021,2324
1349,Placer,2/21/2021,851
1350,Plumas,2/21/2021,6
1351,Riverside,2/21/2021,3189
1352,Sacramento,2/21/2021,2257
1353,San Benito,2/21/2021,23
1354,San Bernardino,2/21/2021,778
1355,San Diego,2/21/2021,9454
1356,San Francisco,2/21/2021,2175
1357,San Joaquin,2/21/2021,555
1358,San Luis Obispo,2/21/2021,32
1359,San Mateo,2/21/2021,2081
1360,Santa Barbara,2/21/2021,76
1361,Santa Clara,2/21/2021,3050
1362,Santa Cruz,2/21/2021,753
1363,Shasta,2/21/2021,32
1364,Siskiyou,2/21/2021,2
1365,Solano,2/21/2021,1906
1366,Sonoma,2/21/2021,335
1367,Stanislaus,2/21/2021,711
1368,Sutter,2/21/2021,26
1369,Trinity,2/21/2021,1
1370,Tulare,2/21/2021,40
1371,Tuolumne,2/21/2021,974
1372,Unknown,2/21/2021,13
1373,Ventura,2/21/2021,926
1374,Yolo,2/21/2021,196
1375,Yuba,2/21/2021,14
1376,Alameda,2/20/2021,11453
1377,Amador,2/20/2021,83
1378,Butte,2/20/2021,458
1379,Calaveras,2/20/2021,55
1380,Colusa,2/20/2021,25
1381,Contra Costa,2/20/2021,6154
1382,Del Norte,2/20/2021,7
1383,El Dorado,2/20/2021,882
1384,Fresno,2/20/2021,4110
1385,Glenn,2/20/2021,8
1386,Humboldt,2/20/2021,1021
1387,Imperial,2/20/2021,1037
1388,Inyo,2/20/2021,501
1389,Kern,2/20/2021,2310
1390,Kings,2/20/2021,153
1391,Lake,2/20/2021,57
1392,Lassen,2/20/2021,7
1393,Los Angeles,2/20/2021,28433
1394,Madera,2/20/2021,1001
1395,Marin,2/20/2021,2385
1396,Mariposa,2/20/2021,248
1397,Mendocino,2/20/2021,563
1398,Merced,2/20/2021,253
1399,Modoc,2/20/2021,1
1400,Mono,2/20/2021,4
1401,Monterey,2/20/2021,954
1402,Napa,2/20/2021,785
1403,Nevada,2/20/2021,270
1404,Orange,2/20/2021,6678
1405,Outside California,2/20/2021,3585
1406,Placer,2/20/2021,1878
1407,Plumas,2/20/2021,101
1408,Riverside,2/20/2021,7278
1409,Sacramento,2/20/2021,6967
1410,San Benito,2/20/2021,41
1411,San Bernardino,2/20/2021,3970
1412,San Diego,2/20/2021,9676
1413,San Francisco,2/20/2021,4220
1414,San Joaquin,2/20/2021,1447
1415,San Luis Obispo,2/20/2021,224
1416,San Mateo,2/20/2021,3572
1417,Santa Barbara,2/20/2021,2151
1418,Santa Clara,2/20/2021,6583
1419,Santa Cruz,2/20/2021,2247
1420,Shasta,2/20/2021,742
1421,Sierra,2/20/2021,2
1422,Siskiyou,2/20/2021,21
1423,Solano,2/20/2021,2352
1424,Sonoma,2/20/2021,2968
1425,Stanislaus,2/20/2021,720
1426,Sutter,2/20/2021,576
1427,Tehama,2/20/2021,273
1428,Trinity,2/20/2021,138
1429,Tulare,2/20/2021,2817
1430,Tuolumne,2/20/2021,899
1431,Unknown,2/20/2021,11
1432,Ventura,2/20/2021,4632
1433,Yolo,2/20/2021,2440
1434,Yuba,2/20/2021,357
1435,Alameda,2/19/2021,16299
1436,Alpine,2/19/2021,34
1437,Amador,2/19/2021,181
1438,Butte,2/19/2021,1163
1439,Calaveras,2/19/2021,438
1440,Colusa,2/19/2021,152
1441,Contra Costa,2/19/2021,10769
1442,Del Norte,2/19/2021,44
1443,El Dorado,2/19/2021,1055
1444,Fresno,2/19/2021,3705
1445,Glenn,2/19/2021,301
1446,Humboldt,2/19/2021,471
1447,Imperial,2/19/2021,770
1448,Inyo,2/19/2021,48
1449,Kenai Peninsula Borough,2/19/2021,1
1450,Kern,2/19/2021,4037
1451,Kings,2/19/2021,151
1452,Lake,2/19/2021,360
1453,Lassen,2/19/2021,82
1454,Los Angeles,2/19/2021,54079
1455,Madera,2/19/2021,831
1456,Marin,2/19/2021,2508
1457,Mariposa,2/19/2021,74
1458,Mendocino,2/19/2021,698
1459,Merced,2/19/2021,1194
1460,Mono,2/19/2021,51
1461,Monterey,2/19/2021,2853
1462,Napa,2/19/2021,1206
1463,Nevada,2/19/2021,918
1464,Orange,2/19/2021,17257
1465,Outside California,2/19/2021,5973
1466,Placer,2/19/2021,3306
1467,Plumas,2/19/2021,38
1468,Riverside,2/19/2021,14612
1469,Sacramento,2/19/2021,9247
1470,San Benito,2/19/2021,313
1471,San Bernardino,2/19/2021,10921
1472,San Diego,2/19/2021,15171
1473,San Francisco,2/19/2021,4944
1474,San Joaquin,2/19/2021,4026
1475,San Luis Obispo,2/19/2021,1436
1476,San Mateo,2/19/2021,7437
1477,Santa Barbara,2/19/2021,3600
1478,Santa Clara,2/19/2021,13963
1479,Santa Cruz,2/19/2021,3218
1480,Shasta,2/19/2021,624
1481,Sierra,2/19/2021,1
1482,Siskiyou,2/19/2021,58
1483,Solano,2/19/2021,1803
1484,Sonoma,2/19/2021,4890
1485,Stanislaus,2/19/2021,2595
1486,Sutter,2/19/2021,658
1487,Tehama,2/19/2021,214
1488,Trinity,2/19/2021,209
1489,Tulare,2/19/2021,2210
1490,Tuolumne,2/19/2021,132
1491,Unknown,2/19/2021,222
1492,Ventura,2/19/2021,6318
1493,Yolo,2/19/2021,1677
1494,Yuba,2/19/2021,208
1495,Alameda,2/18/2021,14721
1496,Alpine,2/18/2021,2
1497,Amador,2/18/2021,393
1498,Butte,2/18/2021,1536
1499,Calaveras,2/18/2021,491
1500,Colusa,2/18/2021,132
1501,Contra Costa,2/18/2021,9789
1502,Del Norte,2/18/2021,76
1503,El Dorado,2/18/2021,1923
1504,Fresno,2/18/2021,6552
1505,Glenn,2/18/2021,137
1506,Humboldt,2/18/2021,963
1507,Imperial,2/18/2021,645
1508,Inyo,2/18/2021,111
1509,Kern,2/18/2021,3490
1510,Kings,2/18/2021,143
1511,Kitsap,2/18/2021,1
1512,Lake,2/18/2021,395
1513,Lassen,2/18/2021,73
1514,Los Angeles,2/18/2021,62882
1515,Madera,2/18/2021,1259
1516,Marin,2/18/2021,2286
1517,Mariposa,2/18/2021,37
1518,Mendocino,2/18/2021,1049
1519,Merced,2/18/2021,1183
1520,Modoc,2/18/2021,189
1521,Mono,2/18/2021,1
1522,Monterey,2/18/2021,2093
1523,Napa,2/18/2021,1832
1524,Nevada,2/18/2021,990
1525,Orange,2/18/2021,13674
1526,Outside California,2/18/2021,6744
1527,Placer,2/18/2021,3400
1528,Plumas,2/18/2021,125
1529,Riverside,2/18/2021,14034
1530,Sacramento,2/18/2021,8153
1531,San Benito,2/18/2021,286
1532,San Bernardino,2/18/2021,11766
1533,San Diego,2/18/2021,22481
1534,San Francisco,2/18/2021,4895
1535,San Joaquin,2/18/2021,3202
1536,San Luis Obispo,2/18/2021,2800
1537,San Mateo,2/18/2021,6273
1538,Santa Barbara,2/18/2021,3227
1539,Santa Clara,2/18/2021,12556
1540,Santa Cruz,2/18/2021,2854
1541,Shasta,2/18/2021,603
1542,Sierra,2/18/2021,145
1543,Siskiyou,2/18/2021,220
1544,Solano,2/18/2021,1675
1545,Sonoma,2/18/2021,6412
1546,Stanislaus,2/18/2021,3171
1547,Sutter,2/18/2021,697
1548,Tehama,2/18/2021,298
1549,Trinity,2/18/2021,3
1550,Tulare,2/18/2021,2240
1551,Tuolumne,2/18/2021,660
1552,Unknown,2/18/2021,121
1553,Ventura,2/18/2021,5565
1554,Yolo,2/18/2021,2398
1555,Yuba,2/18/2021,300
1556,Alameda,2/17/2021,13494
1557,Alpine,2/17/2021,22
1558,Amador,2/17/2021,258
1559,Butte,2/17/2021,1500
1560,Calaveras,2/17/2021,476
1561,Colusa,2/17/2021,204
1562,Contra Costa,2/17/2021,10423
1563,Del Norte,2/17/2021,90
1564,El Dorado,2/17/2021,813
1565,Fresno,2/17/2021,4941
1566,Glenn,2/17/2021,380
1567,Humboldt,2/17/2021,437
1568,Imperial,2/17/2021,439
1569,Inyo,2/17/2021,36
1570,Kern,2/17/2021,3980
1571,Kings,2/17/2021,360
1572,Lake,2/17/2021,310
1573,Lassen,2/17/2021,184
1574,Los Angeles,2/17/2021,61075
1575,Madera,2/17/2021,592
1576,Maricopa,2/17/2021,1
1577,Marin,2/17/2021,2021
1578,Mariposa,2/17/2021,21
1579,Mendocino,2/17/2021,1319
1580,Merced,2/17/2021,1866
1581,Modoc,2/17/2021,22
1582,Mono,2/17/2021,5
1583,Monterey,2/17/2021,1819
1584,Napa,2/17/2021,969
1585,Nevada,2/17/2021,1168
1586,Orange,2/17/2021,17092
1587,Outside California,2/17/2021,6341
1588,Placer,2/17/2021,3360
1589,Plumas,2/17/2021,133
1590,Riverside,2/17/2021,14019
1591,Sacramento,2/17/2021,8338
1592,San Benito,2/17/2021,308
1593,San Bernardino,2/17/2021,10497
1594,San Diego,2/17/2021,22148
1595,San Francisco,2/17/2021,5182
1596,San Joaquin,2/17/2021,3135
1597,San Luis Obispo,2/17/2021,2748
1598,San Mateo,2/17/2021,6708
1599,Santa Barbara,2/17/2021,1419
1600,Santa Clara,2/17/2021,12969
1601,Santa Cruz,2/17/2021,2900
1602,Shasta,2/17/2021,950
1603,Sierra,2/17/2021,3
1604,Siskiyou,2/17/2021,182
1605,Solano,2/17/2021,2273
1606,Sonoma,2/17/2021,5059
1607,Stanislaus,2/17/2021,2660
1608,Sutter,2/17/2021,824
1609,Tehama,2/17/2021,291
1610,Trinity,2/17/2021,93
1611,Tulare,2/17/2021,2671
1612,Tuolumne,2/17/2021,103
1613,Unknown,2/17/2021,17
1614,Ventura,2/17/2021,5132
1615,Yavapai,2/17/2021,1
1616,Yolo,2/17/2021,1349
1617,Yuba,2/17/2021,367
1618,Alameda,2/16/2021,12110
