,county_name,date,total_doses
190,Kings,3/12/2021,826
191,Lake,3/12/2021,236
192,Lassen,3/12/2021,29
193,Los Angeles,3/12/2021,57052
194,Madera,3/12/2021,848
195,Marin,3/12/2021,2451
196,Mariposa,3/12/2021,62
197,Mendocino,3/12/2021,799
198,Merced,3/12/2021,1891
199,Modoc,3/12/2021,7
200,Mono,3/12/2021,7
201,Monterey,3/12/2021,2604
202,Napa,3/12/2021,858
203,Nevada,3/12/2021,848
204,Orange,3/12/2021,22445
205,Outside California,3/12/2021,5211
206,Oxford,3/12/2021,2
207,Placer,3/12/2021,2298
208,Plumas,3/12/2021,521
209,Riverside,3/12/2021,14230
210,Sacramento,3/12/2021,9977
211,San Benito,3/12/2021,393
212,San Bernardino,3/12/2021,8943
213,San Diego,3/12/2021,23693
214,San Francisco,3/12/2021,8772
215,San Joaquin,3/12/2021,5010
216,San Luis Obispo,3/12/2021,2551
217,San Mateo,3/12/2021,6995
218,Santa Barbara,3/12/2021,2729
219,Santa Clara,3/12/2021,12886
220,Santa Cruz,3/12/2021,2332
221,Shasta,3/12/2021,477
222,Sierra,3/12/2021,20
223,Siskiyou,3/12/2021,410
224,Skagit,3/12/2021,1
225,Solano,3/12/2021,2616
226,Sonoma,3/12/2021,4321
227,Stanislaus,3/12/2021,5297
228,Sutter,3/12/2021,334
229,Tehama,3/12/2021,228
230,Trinity,3/12/2021,319
231,Tulare,3/12/2021,3052
232,Tuolumne,3/12/2021,177
233,Unknown,3/12/2021,120
234,Ventura,3/12/2021,2245
235,Yolo,3/12/2021,1255
236,Yuba,3/12/2021,203
237,Alameda,3/11/2021,16860
238,Alpine,3/11/2021,35
239,Amador,3/11/2021,152
240,Butte,3/11/2021,1550
241,Calaveras,3/11/2021,590
242,Colusa,3/11/2021,255
243,Contra Costa,3/11/2021,10467
244,Del Norte,3/11/2021,119
245,El Dorado,3/11/2021,1095
246,Fresno,3/11/2021,8721
247,Glenn,3/11/2021,482
248,Humboldt,3/11/2021,623
249,Imperial,3/11/2021,519
250,Inyo,3/11/2021,178
251,Kern,3/11/2021,4945
252,Kings,3/11/2021,564
253,Lake,3/11/2021,105
254,Lassen,3/11/2021,143
255,Los Angeles,3/11/2021,63798
256,Madera,3/11/2021,803
257,Marin,3/11/2021,2948
258,Mariposa,3/11/2021,24
259,Mendocino,3/11/2021,660
260,Merced,3/11/2021,1504
261,Modoc,3/11/2021,164
262,Mono,3/11/2021,12
263,Monterey,3/11/2021,2140
264,Napa,3/11/2021,991
265,Nevada,3/11/2021,827
266,Orange,3/11/2021,24830
267,Outside California,3/11/2021,5750
268,Placer,3/11/2021,2176
269,Plumas,3/11/2021,150
270,Riverside,3/11/2021,11709
271,Sacramento,3/11/2021,9262
272,San Benito,3/11/2021,345
273,San Bernardino,3/11/2021,7811
274,San Diego,3/11/2021,27041
275,San Francisco,3/11/2021,8417
276,San Joaquin,3/11/2021,3573
277,San Luis Obispo,3/11/2021,2554
278,San Mateo,3/11/2021,6748
279,Santa Barbara,3/11/2021,4046
280,Santa Clara,3/11/2021,13538
281,Santa Cruz,3/11/2021,2389
282,Shasta,3/11/2021,755
283,Sierra,3/11/2021,148
284,Siskiyou,3/11/2021,332
285,Solano,3/11/2021,2771
286,Sonoma,3/11/2021,4626
287,Stanislaus,3/11/2021,5370
288,Sutter,3/11/2021,355
289,Tehama,3/11/2021,420
290,Trinity,3/11/2021,10
291,Tulare,3/11/2021,2785
292,Tuolumne,3/11/2021,1195
293,Unknown,3/11/2021,158
294,Ventura,3/11/2021,2494
295,Yolo,3/11/2021,1271
296,Yuba,3/11/2021,175
297,Alameda,3/10/2021,15101
298,Alpine,3/10/2021,72
299,Amador,3/10/2021,135
300,Butte,3/10/2021,1370
301,Calaveras,3/10/2021,389
302,Colusa,3/10/2021,192
303,Contra Costa,3/10/2021,9820
304,Cottonwood,3/10/2021,1
305,Del Norte,3/10/2021,92
306,El Dorado,3/10/2021,682
307,Fresno,3/10/2021,4858
308,Glenn,3/10/2021,99
309,Humboldt,3/10/2021,573
310,Imperial,3/10/2021,301
311,Inyo,3/10/2021,48
312,Kern,3/10/2021,5128
313,Kings,3/10/2021,351
314,Lake,3/10/2021,157
315,Lassen,3/10/2021,150
316,Los Angeles,3/10/2021,55307
317,Madera,3/10/2021,797
318,Marin,3/10/2021,2919
319,Mariposa,3/10/2021,16
320,Mendocino,3/10/2021,816
321,Merced,3/10/2021,1783
322,Modoc,3/10/2021,5
323,Mono,3/10/2021,4
324,Monterey,3/10/2021,1871
325,Napa,3/10/2021,841
326,Nevada,3/10/2021,651
327,Orange,3/10/2021,17673
328,Outside California,3/10/2021,4401
329,Placer,3/10/2021,1991
330,Plumas,3/10/2021,195
331,Riverside,3/10/2021,9540
332,Sacramento,3/10/2021,8342
333,San Benito,3/10/2021,338
334,San Bernardino,3/10/2021,8047
335,San Diego,3/10/2021,24019
336,San Francisco,3/10/2021,9003
337,San Joaquin,3/10/2021,4256
338,San Luis Obispo,3/10/2021,2509
339,San Mateo,3/10/2021,4826
340,Santa Barbara,3/10/2021,1195
341,Santa Clara,3/10/2021,11110
342,Santa Cruz,3/10/2021,2304
343,Shasta,3/10/2021,531
344,Sierra,3/10/2021,4
345,Siskiyou,3/10/2021,145
346,Solano,3/10/2021,1823
347,Sonoma,3/10/2021,3934
348,Stanislaus,3/10/2021,5115
349,Sutter,3/10/2021,174
350,Tarrant,3/10/2021,3
351,Tehama,3/10/2021,301
352,Trinity,3/10/2021,107
353,Tulare,3/10/2021,2078
354,Tuolumne,3/10/2021,76
355,Unknown,3/10/2021,192
356,Ventura,3/10/2021,1971
357,Windham,3/10/2021,1
358,Yolo,3/10/2021,952
359,Yuba,3/10/2021,145
360,Alameda,3/9/2021,10509
361,Alpine,3/9/2021,1
362,Amador,3/9/2021,92
363,Butte,3/9/2021,1651
364,Calaveras,3/9/2021,184
365,Clallam,3/9/2021,1
366,Colusa,3/9/2021,196
367,Contra Costa,3/9/2021,7923
368,Del Norte,3/9/2021,100
369,El Dorado,3/9/2021,735
370,Fresno,3/9/2021,5460
371,Glenn,3/9/2021,55
372,Humboldt,3/9/2021,399
373,Imperial,3/9/2021,402
374,Inyo,3/9/2021,176
375,Kern,3/9/2021,3026
376,Kings,3/9/2021,316
377,Lake,3/9/2021,169
378,Lassen,3/9/2021,110
379,Los Angeles,3/9/2021,46127
380,Madera,3/9/2021,366
381,Marin,3/9/2021,1395
382,Mariposa,3/9/2021,22
383,Mendocino,3/9/2021,321
384,Merced,3/9/2021,1166
385,Modoc,3/9/2021,113
386,Mono,3/9/2021,5
387,Monterey,3/9/2021,1478
388,Napa,3/9/2021,496
389,Nevada,3/9/2021,434
390,Orange,3/9/2021,17542
391,Outside California,3/9/2021,3812
392,Placer,3/9/2021,1798
393,Plumas,3/9/2021,123
394,Riverside,3/9/2021,8874
395,Sacramento,3/9/2021,6748
396,San Benito,3/9/2021,223
397,San Bernardino,3/9/2021,7917
398,San Diego,3/9/2021,24711
399,San Francisco,3/9/2021,6374
400,San Joaquin,3/9/2021,3672
401,San Luis Obispo,3/9/2021,2671
402,San Mateo,3/9/2021,4222
403,Santa Barbara,3/9/2021,1249
404,Santa Clara,3/9/2021,10359
405,Santa Cruz,3/9/2021,1339
406,Shasta,3/9/2021,448
407,Sierra,3/9/2021,53
408,Siskiyou,3/9/2021,70
409,Snohomish,3/9/2021,1
410,Solano,3/9/2021,1656
411,Sonoma,3/9/2021,3838
412,Stanislaus,3/9/2021,2365
413,Sutter,3/9/2021,214
414,Tehama,3/9/2021,266
415,Trinity,3/9/2021,92
416,Tulare,3/9/2021,1694
417,Tuolumne,3/9/2021,857
418,Unknown,3/9/2021,177
419,Ventura,3/9/2021,2338
420,Yolo,3/9/2021,749
421,Yuba,3/9/2021,127
422,Alameda,3/8/2021,10405
423,Alpine,3/8/2021,27
424,Amador,3/8/2021,128
425,Butte,3/8/2021,1105
426,Calaveras,3/8/2021,84
427,Colusa,3/8/2021,77
428,Contra Costa,3/8/2021,7056
429,Del Norte,3/8/2021,23
430,El Dorado,3/8/2021,1029
431,Fresno,3/8/2021,3912
432,Glenn,3/8/2021,19
433,Humboldt,3/8/2021,161
434,Imperial,3/8/2021,272
435,Inyo,3/8/2021,109
436,Kern,3/8/2021,2330
437,Kings,3/8/2021,262
438,Lake,3/8/2021,198
439,Lassen,3/8/2021,85
440,Los Angeles,3/8/2021,37363
441,Madera,3/8/2021,484
442,Marin,3/8/2021,1299
443,Mariposa,3/8/2021,34
444,Mendocino,3/8/2021,108
445,Merced,3/8/2021,973
446,Modoc,3/8/2021,5
447,Mono,3/8/2021,9
448,Monterey,3/8/2021,1216
449,Napa,3/8/2021,595
450,Nevada,3/8/2021,659
451,Orange,3/8/2021,11031
452,Outside California,3/8/2021,2749
453,Placer,3/8/2021,2398
454,Plumas,3/8/2021,31
455,Riverside,3/8/2021,6060
456,Sacramento,3/8/2021,7283
457,San Benito,3/8/2021,246
458,San Bernardino,3/8/2021,5884
459,San Diego,3/8/2021,21985
