,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
3658,Mariposa,6/2/2020,0,0,30,0,0,0
3659,Lassen,6/2/2020,0,1,25,0,0,1
3660,Glenn,6/2/2020,0,0,47,0,0,0
3661,Kings,6/2/2020,31,1,199,0,6,32
3662,Alameda,6/2/2020,92,68,2968,5,131,160
3663,Plumas,6/2/2020,0,0,45,0,0,0
3664,Sutter,6/2/2020,0,0,14,0,0,0
3665,San Luis Obispo,6/2/2020,2,2,460,0,23,4
3666,Sacramento,6/2/2020,17,25,2405,10,78,42
3667,Madera,6/2/2020,6,4,528,0,19,10
3668,San Diego,6/2/2020,297,72,6143,16,301,369
3669,Merced,6/2/2020,4,2,242,0,2,6
3670,Contra Costa,6/2/2020,15,41,1628,12,94,56
3671,El Dorado,6/2/2020,1,7,199,5,2,8
3672,Tuolumne,6/2/2020,0,0,151,0,1,0
3673,Lake,6/2/2020,1,1,110,0,0,2
3674,Nevada,6/2/2020,0,1,135,0,7,1
3675,Calaveras,6/2/2020,1,0,50,0,8,1
3676,Siskiyou,6/2/2020,0,3,65,1,5,3
3677,San Benito,6/2/2020,0,0,25,0,2,0
3678,Yolo,6/2/2020,0,0,186,0,2,0
3679,Mono,6/2/2020,0,0,40,0,2,0
3680,San Bernardino,6/2/2020,156,70,4821,13,189,226
3681,San Francisco,6/2/2020,43,28,2647,8,76,71
3682,Amador,6/2/2020,0,0,51,0,3,0
3683,Colusa,6/2/2020,0,1,88,1,5,1
3684,Fresno,6/2/2020,64,37,2126,2,90,101
3685,Santa Barbara,6/2/2020,25,3,717,1,84,28
3686,Napa,6/2/2020,0,2,387,0,6,2
3687,Ventura,6/2/2020,25,21,1343,9,34,46
3688,Shasta,6/2/2020,1,0,667,0,6,1
3689,Orange,6/2/2020,306,92,6993,18,388,398
3690,San Joaquin,6/2/2020,25,27,1366,6,20,52
3691,Stanislaus,6/2/2020,25,11,1374,3,68,36
3692,Monterey,6/2/2020,12,0,811,0,98,12
3693,Butte,6/3/2020,4,0,448,0,22,4
3694,San Francisco,6/3/2020,37,34,2647,4,80,71
3695,Placer,6/3/2020,11,23,753,2,41,34
3696,Napa,6/3/2020,0,2,387,0,5,2
3697,San Benito,6/3/2020,0,0,25,0,2,0
3698,Imperial,6/3/2020,69,4,237,0,6,73
3699,Santa Barbara,6/3/2020,21,4,717,1,79,25
3700,Marin,6/3/2020,1,10,390,3,19,11
3701,Monterey,6/3/2020,12,0,811,0,96,12
3702,Tuolumne,6/3/2020,0,0,151,0,0,0
3703,Sutter,6/3/2020,0,0,14,0,0,0
3704,Amador,6/3/2020,0,0,51,0,2,0
3705,Sacramento,6/3/2020,19,33,2418,6,94,52
3706,San Mateo,6/3/2020,43,23,1101,6,36,66
3707,Contra Costa,6/3/2020,15,52,1628,12,101,67
3708,Stanislaus,6/3/2020,27,14,1369,2,75,41
3709,Santa Cruz,6/3/2020,2,1,397,0,12,3
3710,Orange,6/3/2020,296,80,6993,10,387,376
3711,Riverside,6/3/2020,221,101,4001,14,137,322
3712,Colusa,6/3/2020,0,0,88,0,6,0
3713,Yuba,6/3/2020,2,0,445,0,19,2
3714,Mono,6/3/2020,0,0,40,0,1,0
3715,Yolo,6/3/2020,0,0,186,0,3,0
3716,San Luis Obispo,6/3/2020,2,1,466,1,21,3
3717,Tehama,6/3/2020,0,0,106,0,5,0
3718,Inyo,6/3/2020,0,0,42,0,4,0
3719,Calaveras,6/3/2020,1,0,50,0,8,1
3720,El Dorado,6/3/2020,1,6,199,5,10,7
3721,Lassen,6/3/2020,0,1,25,0,0,1
3722,Del Norte,6/3/2020,0,0,51,0,0,0
3723,Siskiyou,6/3/2020,0,1,65,1,6,1
3724,Ventura,6/3/2020,24,19,1337,4,34,43
3725,San Joaquin,6/3/2020,28,32,1366,5,21,60
3726,Alameda,6/3/2020,89,80,2968,6,144,169
3727,Madera,6/3/2020,0,0,528,0,19,0
3728,Santa Clara,6/3/2020,30,27,3318,6,184,57
3729,Nevada,6/3/2020,0,0,131,0,6,0
3730,Solano,6/3/2020,10,13,707,1,48,23
3731,Mendocino,6/3/2020,1,0,180,0,3,1
3732,Kern,6/3/2020,66,9,1759,1,74,75
3733,Kings,6/3/2020,32,0,199,0,2,32
3734,Tulare,6/3/2020,37,2,920,0,6,39
3735,Trinity,6/3/2020,0,2,54,0,0,2
3736,San Bernardino,6/3/2020,157,75,4821,18,178,232
3737,Humboldt,6/3/2020,1,5,352,0,7,6
3738,Glenn,6/3/2020,0,0,47,0,0,0
3739,Los Angeles,6/3/2020,1488,502,23607,78,1239,1990
3740,Modoc,6/3/2020,0,0,41,0,0,0
3741,Sonoma,6/3/2020,3,76,871,8,50,79
3742,San Diego,6/3/2020,295,75,6214,24,288,370
3743,Shasta,6/3/2020,1,0,667,0,4,1
3744,Fresno,6/3/2020,59,38,2126,3,88,97
3745,Merced,6/3/2020,3,1,242,0,2,4
3746,Lake,6/3/2020,1,0,110,0,2,1
3747,Mariposa,6/3/2020,0,0,30,0,0,0
3748,Plumas,6/3/2020,0,0,45,0,0,0
3749,Monterey,6/4/2020,13,1,811,0,95,14
3750,Mendocino,6/4/2020,1,0,180,1,2,1
3751,Modoc,6/4/2020,0,0,41,0,0,0
3752,Kings,6/4/2020,33,0,199,0,3,33
3753,Tehama,6/4/2020,0,0,106,0,2,0
3754,Los Angeles,6/4/2020,1462,586,23715,99,1249,2048
3755,Merced,6/4/2020,3,4,242,0,4,7
3756,Contra Costa,6/4/2020,18,70,1628,10,101,88
3757,Mariposa,6/4/2020,0,0,30,0,0,0
3758,Yuba,6/4/2020,3,0,445,0,14,3
3759,Del Norte,6/4/2020,0,0,51,0,1,0
3760,Marin,6/4/2020,2,8,390,3,13,10
3761,Imperial,6/4/2020,74,3,237,0,4,77
3762,El Dorado,6/4/2020,1,5,199,3,7,6
3763,Mono,6/4/2020,0,0,40,0,2,0
3764,Amador,6/4/2020,0,0,51,0,2,0
3765,Tuolumne,6/4/2020,1,0,151,0,0,1
3766,Lake,6/4/2020,2,2,110,1,1,4
3767,Inyo,6/4/2020,0,0,42,0,2,0
3768,Yolo,6/4/2020,0,0,186,0,0,0
3769,San Benito,6/4/2020,0,0,25,0,2,0
3770,Santa Cruz,6/4/2020,2,3,397,0,16,5
3771,Butte,6/4/2020,4,0,448,0,22,4
3772,Shasta,6/4/2020,2,0,667,0,5,2
3773,Lassen,6/4/2020,0,1,25,0,0,1
3774,San Diego,6/4/2020,297,82,6218,18,292,379
3775,Calaveras,6/4/2020,0,0,50,0,10,0
3776,San Luis Obispo,6/4/2020,2,0,464,0,23,2
3777,Alameda,6/4/2020,82,92,2968,9,157,174
3778,San Mateo,6/4/2020,35,18,1101,3,48,53
3779,Napa,6/4/2020,0,3,397,1,0,3
3780,Sacramento,6/4/2020,28,33,2423,7,103,61
3781,Riverside,6/4/2020,226,91,4025,20,122,317
3782,Santa Clara,6/4/2020,37,38,3318,7,176,75
3783,San Bernardino,6/4/2020,168,70,4821,15,169,238
3784,Ventura,6/4/2020,27,23,1333,5,34,50
3785,Nevada,6/4/2020,0,0,125,0,5,0
3786,Humboldt,6/4/2020,0,2,352,2,2,2
3787,Trinity,6/4/2020,0,1,54,0,0,1
3788,Sonoma,6/4/2020,4,54,871,7,51,58
3789,Madera,6/4/2020,1,1,528,0,24,2
3790,Sutter,6/4/2020,0,0,14,0,0,0
3791,Placer,6/4/2020,11,35,753,3,47,46
3792,Fresno,6/4/2020,66,35,2136,3,95,101
3793,Santa Barbara,6/4/2020,28,10,717,2,65,38
3794,Solano,6/4/2020,10,21,707,1,48,31
3795,Glenn,6/4/2020,0,0,47,0,0,0
3796,San Francisco,6/4/2020,41,21,2647,4,87,62
3797,Tulare,6/4/2020,39,2,920,1,3,41
3798,Siskiyou,6/4/2020,0,1,65,0,5,1
3799,Colusa,6/4/2020,0,0,88,0,6,0
3800,Stanislaus,6/4/2020,29,16,1369,3,78,45
3801,Kern,6/4/2020,62,14,1756,1,78,76
3802,Plumas,6/4/2020,0,0,45,0,0,0
3803,Orange,6/4/2020,300,110,6993,18,393,410
3804,San Joaquin,6/4/2020,28,27,1366,3,18,55
3805,Sutter,6/5/2020,0,0,14,0,0,0
3806,Glenn,6/5/2020,0,0,47,0,0,0
3807,Lassen,6/5/2020,0,0,25,0,0,0
3808,San Bernardino,6/5/2020,180,63,4821,14,140,243
3809,Marin,6/5/2020,2,9,390,0,16,11
3810,Sacramento,6/5/2020,35,37,2424,7,95,72
3811,Lake,6/5/2020,1,0,110,0,2,1
3812,Madera,6/5/2020,3,2,528,2,19,5
3813,Tuolumne,6/5/2020,1,0,151,0,2,1
3814,Kings,6/5/2020,31,0,199,0,1,31
3815,Nevada,6/5/2020,0,2,130,0,4,2
3816,San Benito,6/5/2020,0,0,25,0,1,0
3817,Plumas,6/5/2020,0,0,45,0,0,0
3818,Mendocino,6/5/2020,1,0,180,0,2,1
3819,Imperial,6/5/2020,79,3,237,0,7,82
3820,San Francisco,6/5/2020,42,22,2658,4,98,64
3821,Del Norte,6/5/2020,0,0,51,0,2,0
3822,Modoc,6/5/2020,0,0,41,0,0,0
3823,Calaveras,6/5/2020,0,0,50,0,10,0
3824,Santa Clara,6/5/2020,43,32,3375,6,206,75
3825,Stanislaus,6/5/2020,25,14,1369,1,76,39
3826,Riverside,6/5/2020,228,98,4023,24,129,326
3827,El Dorado,6/5/2020,2,3,199,1,8,5
3828,Placer,6/5/2020,11,21,753,3,49,32
3829,San Luis Obispo,6/5/2020,3,3,483,0,27,6
3830,San Diego,6/5/2020,299,69,6190,16,320,368
3831,Yolo,6/5/2020,0,0,186,0,3,0
3832,Mariposa,6/5/2020,0,0,30,0,0,0
3833,Fresno,6/5/2020,67,30,2129,3,91,97
3834,Humboldt,6/5/2020,0,1,352,0,1,1
3835,Shasta,6/5/2020,0,0,667,0,4,0
3836,Monterey,6/5/2020,14,1,811,0,92,15
3837,Contra Costa,6/5/2020,17,46,1628,6,105,63
3838,Alameda,6/5/2020,82,68,2968,10,154,150
3839,Ventura,6/5/2020,29,21,1357,3,45,50
3840,Merced,6/5/2020,4,1,242,0,3,5
3841,Tulare,6/5/2020,39,2,920,0,8,41
3842,Orange,6/5/2020,315,80,6973,11,401,395
3843,Tehama,6/5/2020,0,0,106,0,4,0
3844,Napa,6/5/2020,1,2,397,0,0,3
3845,Yuba,6/5/2020,3,0,445,0,13,3
3846,Sonoma,6/5/2020,3,69,871,8,54,72
3847,Santa Cruz,6/5/2020,2,3,397,0,9,5
3848,Trinity,6/5/2020,0,0,54,0,0,0
3849,Santa Barbara,6/5/2020,29,8,717,3,82,37
3850,Siskiyou,6/5/2020,0,1,65,0,6,1
3851,Butte,6/5/2020,2,0,448,0,21,2
3852,Los Angeles,6/5/2020,1451,547,23507,109,1210,1998
3853,Kern,6/5/2020,62,16,1756,1,80,78
3854,San Joaquin,6/5/2020,26,33,1366,4,14,59
3855,San Mateo,6/5/2020,36,18,1101,2,47,54
3856,Solano,6/5/2020,13,20,707,0,45,33
3857,Colusa,6/5/2020,0,0,88,0,6,0
3858,Inyo,6/5/2020,0,0,42,0,3,0
3859,Amador,6/5/2020,0,0,51,0,2,0
3860,Mono,6/5/2020,0,0,40,0,2,0
3861,Lassen,6/6/2020,0,0,25,0,0,0
3862,Monterey,6/6/2020,13,0,811,0,91,13
3863,Merced,6/6/2020,5,0,242,0,4,5
3864,Santa Barbara,6/6/2020,30,3,717,1,69,33
3865,San Joaquin,6/6/2020,30,34,1366,3,16,64
3866,Butte,6/6/2020,1,0,448,0,19,1
3867,Kings,6/6/2020,26,1,199,1,4,27
3868,El Dorado,6/6/2020,1,4,199,4,8,5
3869,Sutter,6/6/2020,0,0,14,0,0,0
3870,Yolo,6/6/2020,0,0,186,0,2,0
3871,Inyo,6/6/2020,0,0,42,0,4,0
3872,San Luis Obispo,6/6/2020,3,4,449,1,23,7
3873,Solano,6/6/2020,12,16,707,1,47,28
3874,Mono,6/6/2020,0,0,40,0,2,0
3875,Napa,6/6/2020,1,3,397,0,0,4
3876,Sacramento,6/6/2020,33,28,2414,7,90,61
3877,Trinity,6/6/2020,0,0,54,0,0,0
3878,Calaveras,6/6/2020,0,0,50,0,10,0
3879,Tulare,6/6/2020,34,1,920,0,17,35
3880,Imperial,6/6/2020,81,2,237,0,7,83
3881,Orange,6/6/2020,309,67,6973,11,396,376
3882,Alameda,6/6/2020,83,72,2968,11,156,155
3883,Tuolumne,6/6/2020,0,0,151,0,2,0
3884,Contra Costa,6/6/2020,18,43,1628,5,107,61
3885,Marin,6/6/2020,3,6,390,1,18,9
3886,Amador,6/6/2020,0,0,51,0,4,0
3887,Tehama,6/6/2020,0,0,106,0,2,0
3888,San Bernardino,6/6/2020,195,59,4821,15,147,254
3889,Glenn,6/6/2020,0,0,47,0,0,0
3890,Kern,6/6/2020,80,32,1756,3,89,112
3891,San Diego,6/6/2020,285,76,6170,12,319,361
3892,Yuba,6/6/2020,5,0,445,0,12,5
3893,Ventura,6/6/2020,33,28,1333,8,40,61
3894,Shasta,6/6/2020,0,0,667,0,8,0
3895,Sonoma,6/6/2020,4,71,871,8,52,75
3896,Placer,6/6/2020,10,24,753,3,44,34
3897,Lake,6/6/2020,1,1,110,0,3,2
3898,Santa Clara,6/6/2020,41,32,3375,7,202,73
3899,Mariposa,6/6/2020,0,0,30,0,0,0
3900,Madera,6/6/2020,5,3,528,0,22,8
3901,San Benito,6/6/2020,0,0,25,0,3,0
3902,Colusa,6/6/2020,0,0,88,2,4,0
3903,San Mateo,6/6/2020,37,21,1101,0,53,58
3904,Plumas,6/6/2020,0,0,45,0,0,0
3905,Los Angeles,6/6/2020,1399,582,23617,88,1233,1981
3906,Riverside,6/6/2020,220,89,3958,19,141,309
3907,Siskiyou,6/6/2020,0,1,65,0,6,1
3908,Nevada,6/6/2020,0,2,130,0,4,2
3909,Del Norte,6/6/2020,0,0,51,0,1,0
3910,Modoc,6/6/2020,0,0,41,0,0,0
3911,Fresno,6/6/2020,70,41,2137,4,88,111
3912,Mendocino,6/6/2020,1,0,180,0,2,1
3913,Humboldt,6/6/2020,1,5,352,0,3,6
3914,Santa Cruz,6/6/2020,1,3,397,0,11,4
3915,Stanislaus,6/6/2020,26,9,1369,1,69,35
3916,San Francisco,6/6/2020,41,24,2658,4,98,65
3917,Fresno,6/7/2020,69,31,2139,4,97,100
3918,Alameda,6/7/2020,92,74,2968,11,152,166
3919,El Dorado,6/7/2020,2,4,199,1,9,6
3920,San Francisco,6/7/2020,34,14,2337,1,88,48
3921,Kern,6/7/2020,83,24,1756,4,82,107
3922,Humboldt,6/7/2020,1,4,352,0,4,5
3923,Inyo,6/7/2020,0,0,42,0,4,0
3924,Mendocino,6/7/2020,1,0,180,0,2,1
3925,Colusa,6/7/2020,0,0,88,1,5,0
3926,Napa,6/7/2020,1,2,397,0,2,3
3927,San Luis Obispo,6/7/2020,3,2,454,0,25,5
3928,Lassen,6/7/2020,0,0,25,0,0,0
3929,Trinity,6/7/2020,0,0,54,0,0,0
3930,Lake,6/7/2020,0,0,110,0,4,0
3931,Solano,6/7/2020,13,17,707,1,46,30
3932,Yuba,6/7/2020,5,0,445,0,10,5
3933,Yolo,6/7/2020,0,2,186,1,2,2
3934,Tehama,6/7/2020,0,0,106,0,1,0
3935,Kings,6/7/2020,27,1,199,1,4,28
3936,Butte,6/7/2020,1,0,448,0,21,1
3937,San Bernardino,6/7/2020,164,57,4821,11,158,221
3938,San Benito,6/7/2020,0,0,25,0,2,0
3939,San Joaquin,6/7/2020,39,24,1366,1,18,63
3940,Santa Cruz,6/7/2020,1,3,397,0,11,4
3941,Tuolumne,6/7/2020,0,0,151,0,3,0
3942,Siskiyou,6/7/2020,0,0,65,0,5,0
3943,Riverside,6/7/2020,217,79,3958,19,134,296
3944,Mariposa,6/7/2020,0,0,30,0,0,0
3945,Marin,6/7/2020,1,6,390,0,16,7
3946,Del Norte,6/7/2020,0,1,51,1,1,1
3947,Imperial,6/7/2020,87,1,237,0,7,88
3948,Modoc,6/7/2020,0,0,41,0,0,0
3949,Placer,6/7/2020,10,24,753,3,46,34
3950,Merced,6/7/2020,5,2,242,1,4,7
3951,Sutter,6/7/2020,0,0,14,0,0,0
3952,Amador,6/7/2020,0,1,51,0,0,1
3953,Mono,6/7/2020,0,0,40,0,2,0
3954,Tulare,6/7/2020,28,0,729,0,4,28
3955,Ventura,6/7/2020,39,32,1329,6,48,71
3956,Orange,6/7/2020,322,77,6973,18,398,399
3957,Monterey,6/7/2020,12,1,811,0,91,13
3958,Plumas,6/7/2020,0,0,45,0,0,0
3959,Nevada,6/7/2020,0,1,127,0,6,1
3960,Glenn,6/7/2020,0,0,47,0,0,0
3961,San Diego,6/7/2020,286,73,5907,16,333,359
3962,Madera,6/7/2020,5,6,528,1,21,11
3963,Sonoma,6/7/2020,5,66,871,9,49,71
3964,Calaveras,6/7/2020,0,1,50,0,12,1
3965,San Mateo,6/7/2020,37,20,1101,0,55,57
3966,Stanislaus,6/7/2020,27,10,1369,0,73,37
3967,Los Angeles,6/7/2020,1453,558,23659,91,1247,2011
3968,Sacramento,6/7/2020,33,26,2399,8,90,59
3969,Contra Costa,6/7/2020,23,44,1628,5,105,67
3970,Santa Barbara,6/7/2020,20,3,717,1,66,23
3971,Santa Clara,6/7/2020,38,31,3375,6,216,69
3972,Shasta,6/7/2020,0,0,667,0,12,0
3973,Santa Barbara,6/8/2020,22,6,717,2,66,28
3974,Lassen,6/8/2020,0,0,25,0,0,0
3975,Tehama,6/8/2020,0,0,106,0,5,0
3976,Sutter,6/8/2020,0,0,14,0,0,0
3977,Mariposa,6/8/2020,0,0,30,0,0,0
3978,Glenn,6/8/2020,0,0,47,0,0,0
3979,El Dorado,6/8/2020,1,5,235,2,11,6
3980,Contra Costa,6/8/2020,20,35,1628,6,116,55
3981,Monterey,6/8/2020,12,0,811,0,93,12
3982,Sonoma,6/8/2020,5,74,871,10,47,79
3983,Butte,6/8/2020,4,0,448,0,19,4
3984,Merced,6/8/2020,5,3,242,1,5,8
3985,Trinity,6/8/2020,0,3,54,0,0,3
3986,Madera,6/8/2020,5,4,528,1,20,9
3987,Plumas,6/8/2020,0,0,45,0,0,0
3988,Marin,6/8/2020,2,0,390,0,16,2
3989,Fresno,6/8/2020,70,37,2132,2,97,107
3990,Humboldt,6/8/2020,1,6,352,0,3,7
3991,Santa Clara,6/8/2020,44,17,3375,3,229,61
3992,Shasta,6/8/2020,1,0,667,0,9,1
3993,Kings,6/8/2020,24,1,199,1,2,25
3994,Amador,6/8/2020,0,0,51,0,3,0
3995,San Benito,6/8/2020,0,0,25,0,2,0
3996,Imperial,6/8/2020,85,2,237,1,6,87
3997,Colusa,6/8/2020,0,1,88,1,5,1
3998,Santa Cruz,6/8/2020,1,1,397,0,17,2
3999,Stanislaus,6/8/2020,26,13,1369,2,78,39
4000,Mono,6/8/2020,0,0,40,0,2,0
4001,San Bernardino,6/8/2020,197,54,4821,12,156,251
4002,Los Angeles,6/8/2020,1458,595,23736,95,1301,2053
4003,Inyo,6/8/2020,1,0,42,0,4,1
4004,Solano,6/8/2020,13,15,707,2,47,28
4005,San Joaquin,6/8/2020,43,27,1366,5,18,70
4006,San Luis Obispo,6/8/2020,3,0,480,0,26,3
4007,Nevada,6/8/2020,0,2,120,1,4,2
4008,Calaveras,6/8/2020,0,0,50,0,10,0
4009,Modoc,6/8/2020,0,0,41,0,0,0
4010,Kern,6/8/2020,87,26,1756,5,81,113
4011,Napa,6/8/2020,1,6,397,1,3,7
4012,Sacramento,6/8/2020,37,24,2425,10,103,61
4013,Riverside,6/8/2020,220,108,3987,18,128,328
4014,Orange,6/8/2020,327,64,6976,11,410,391
4015,Del Norte,6/8/2020,0,0,51,0,1,0
4016,San Diego,6/8/2020,291,80,6122,23,332,371
4017,Siskiyou,6/8/2020,0,0,65,0,6,0
4018,Lake,6/8/2020,0,0,110,0,4,0
4019,Tulare,6/8/2020,34,2,743,0,10,36
4020,Yolo,6/8/2020,0,1,186,1,8,1
4021,Alameda,6/8/2020,92,60,2968,12,144,152
4022,Tuolumne,6/8/2020,0,0,151,0,5,0
4023,Yuba,6/8/2020,5,0,445,0,17,5
4024,San Mateo,6/8/2020,34,5,1101,0,54,39
4025,Placer,6/8/2020,11,11,753,2,48,22
4026,Mendocino,6/8/2020,1,0,180,0,2,1
4027,Ventura,6/8/2020,42,27,1327,10,47,69
4028,San Francisco,6/8/2020,32,11,2647,2,106,43
4029,Sacramento,6/9/2020,33,19,2413,7,87,52
4030,Tehama,6/9/2020,0,0,106,0,5,0
4031,Amador,6/9/2020,0,0,51,0,0,0
4032,San Bernardino,6/9/2020,205,71,4821,18,136,276
4033,Fresno,6/9/2020,68,36,2132,1,92,104
4034,Yuba,6/9/2020,4,0,445,0,14,4
4035,Kings,6/9/2020,30,0,199,0,0,30
4036,Merced,6/9/2020,4,0,242,0,4,4
4037,San Diego,6/9/2020,299,74,6182,12,330,373
4038,Tulare,6/9/2020,36,8,743,1,12,44
4039,Humboldt,6/9/2020,1,8,352,1,4,9
4040,Los Angeles,6/9/2020,1416,695,23627,97,1258,2111
4041,Kern,6/9/2020,83,22,1742,4,75,105
4042,Mariposa,6/9/2020,0,0,30,0,0,0
4043,San Joaquin,6/9/2020,45,31,1366,7,17,76
4044,Shasta,6/9/2020,1,0,667,0,9,1
4045,Santa Cruz,6/9/2020,1,3,397,0,11,4
4046,Sonoma,6/9/2020,5,70,871,4,49,75
4047,Plumas,6/9/2020,0,0,45,0,0,0
4048,Orange,6/9/2020,315,69,6976,19,390,384
4049,Contra Costa,6/9/2020,21,40,1628,4,106,61
4050,Ventura,6/9/2020,42,45,1350,11,41,87
4051,Inyo,6/9/2020,1,0,42,0,4,1
4052,San Benito,6/9/2020,0,0,25,0,2,0
4053,Glenn,6/9/2020,1,0,47,0,0,1
4054,San Mateo,6/9/2020,31,13,1101,3,47,44
4055,El Dorado,6/9/2020,0,3,235,0,13,3
4056,Napa,6/9/2020,0,6,397,0,1,6
4057,Del Norte,6/9/2020,0,0,51,0,1,0
4058,Calaveras,6/9/2020,0,0,50,0,9,0
4059,Riverside,6/9/2020,227,106,3987,18,134,333
4060,San Francisco,6/9/2020,37,12,2647,0,100,49
4061,Alameda,6/9/2020,94,52,2968,9,137,146
4062,Modoc,6/9/2020,0,0,41,0,0,0
4063,Butte,6/9/2020,6,0,448,1,16,6
4064,Santa Barbara,6/9/2020,25,7,717,2,64,32
4065,Trinity,6/9/2020,0,2,54,0,0,2
4066,Mono,6/9/2020,0,0,40,0,2,0
4067,Stanislaus,6/9/2020,29,13,1369,4,78,42
4068,Sutter,6/9/2020,0,0,14,0,0,0
4069,Yolo,6/9/2020,0,1,186,1,2,1
4070,Madera,6/9/2020,6,5,528,0,20,11
4071,Nevada,6/9/2020,0,3,125,2,7,3
4072,Siskiyou,6/9/2020,0,1,65,1,5,1
4073,Mendocino,6/9/2020,1,0,180,0,1,1
4074,Santa Clara,6/9/2020,41,18,3375,3,213,59
4075,Placer,6/9/2020,10,12,753,2,49,22
4076,Colusa,6/9/2020,0,0,88,0,6,0
4077,Monterey,6/9/2020,13,0,811,0,92,13
4078,Tuolumne,6/9/2020,0,0,151,0,3,0
4079,Lassen,6/9/2020,0,0,25,0,0,0
4080,Lake,6/9/2020,0,1,110,1,1,1
4081,Imperial,6/9/2020,83,2,212,0,2,85
4082,San Luis Obispo,6/9/2020,3,2,453,0,24,5
4083,Solano,6/9/2020,17,25,707,2,44,42
4084,Marin,6/9/2020,6,4,390,1,11,10
4085,San Luis Obispo,6/10/2020,3,2,456,0,23,5
4086,Kings,6/10/2020,30,1,199,1,2,31
4087,Plumas,6/10/2020,0,0,45,0,0,0
4088,Orange,6/10/2020,312,72,6976,10,392,384
4089,Humboldt,6/10/2020,1,14,352,1,5,15
4090,Sacramento,6/10/2020,36,26,2471,5,97,62
4091,Mono,6/10/2020,0,0,40,0,2,0
4092,Santa Cruz,6/10/2020,3,3,397,0,10,6
4093,Stanislaus,6/10/2020,26,15,1369,4,83,41
4094,Alameda,6/10/2020,88,46,2968,11,147,134
4095,Monterey,6/10/2020,16,0,811,0,87,16
4096,Mariposa,6/10/2020,0,0,30,0,0,0
4097,Yuba,6/10/2020,5,1,445,0,10,6
4098,El Dorado,6/10/2020,0,1,235,0,9,1
4099,San Benito,6/10/2020,0,0,25,0,1,0
4100,Butte,6/10/2020,7,23,448,6,17,30
4101,San Diego,6/10/2020,286,76,6186,16,330,362
4102,Santa Barbara,6/10/2020,26,5,717,0,68,31
4103,Merced,6/10/2020,3,4,242,0,5,7
4104,Lake,6/10/2020,0,2,110,0,1,2
4105,Lassen,6/10/2020,0,0,25,0,0,0
4106,Madera,6/10/2020,6,5,528,0,14,11
4107,Ventura,6/10/2020,44,56,1347,7,56,100
4108,Tehama,6/10/2020,0,0,106,0,7,0
4109,Los Angeles,6/10/2020,1389,564,23634,109,1258,1953
4110,San Bernardino,6/10/2020,171,76,4821,17,132,247
4111,Riverside,6/10/2020,232,101,3987,15,127,333
4112,Tulare,6/10/2020,38,5,780,3,10,43
4113,Modoc,6/10/2020,0,0,41,0,0,0
4114,Santa Clara,6/10/2020,40,22,3375,5,220,62
4115,Nevada,6/10/2020,0,2,130,2,4,2
4116,Tuolumne,6/10/2020,0,1,151,1,3,1
4117,Trinity,6/10/2020,0,1,54,0,0,1
4118,Colusa,6/10/2020,0,0,88,0,6,0
4119,Glenn,6/10/2020,1,0,47,0,0,1
4120,Yolo,6/10/2020,0,0,186,0,3,0
4121,Solano,6/10/2020,18,15,707,1,46,33
4122,San Joaquin,6/10/2020,45,38,1366,4,17,83
4123,Marin,6/10/2020,8,3,390,0,10,11
4124,Placer,6/10/2020,11,12,753,2,45,23
4125,Amador,6/10/2020,0,0,51,0,3,0
4126,San Mateo,6/10/2020,29,11,1049,2,50,40
4127,San Francisco,6/10/2020,39,11,2647,0,95,50
4128,Kern,6/10/2020,89,23,1742,10,77,112
4129,Calaveras,6/10/2020,0,0,50,0,9,0
4130,Contra Costa,6/10/2020,20,23,1628,6,111,43
4131,Siskiyou,6/10/2020,0,0,65,0,4,0
4132,Fresno,6/10/2020,67,35,2144,4,84,102
4133,Mendocino,6/10/2020,1,0,180,0,3,1
4134,Imperial,6/10/2020,79,0,212,0,2,79
4135,Del Norte,6/10/2020,0,0,51,0,1,0
4136,Sutter,6/10/2020,0,0,14,0,0,0
4137,Shasta,6/10/2020,1,0,667,5,4,1
4138,Napa,6/10/2020,1,5,397,1,0,6
4139,Inyo,6/10/2020,1,0,42,0,4,1
4140,Sonoma,6/10/2020,5,57,871,4,47,62
4141,Madera,6/11/2020,7,4,528,1,5,11
4142,Monterey,6/11/2020,17,0,811,0,85,17
4143,Lake,6/11/2020,0,0,110,0,2,0
4144,Marin,6/11/2020,8,2,390,0,13,10
4145,Kern,6/11/2020,90,19,1742,2,83,109
4146,San Francisco,6/11/2020,38,13,2647,1,86,51
4147,Mariposa,6/11/2020,0,0,30,0,0,0
4148,San Luis Obispo,6/11/2020,2,3,481,1,24,5
4149,Santa Clara,6/11/2020,39,18,3375,2,215,57
4150,Santa Cruz,6/11/2020,4,2,397,0,11,6
4151,San Benito,6/11/2020,0,0,25,0,1,0
4152,Solano,6/11/2020,19,12,707,2,43,31
4153,Merced,6/11/2020,4,1,242,0,3,5
4154,Amador,6/11/2020,0,0,51,0,2,0
4155,Colusa,6/11/2020,0,0,88,0,6,0
4156,Riverside,6/11/2020,238,68,4018,12,131,306
4157,Santa Barbara,6/11/2020,30,7,717,0,64,37
4158,Nevada,6/11/2020,0,2,127,2,4,2
