county,date,deaths,cumulative_deaths,reported_deaths,cumulative_reported_deaths
Sacramento,3/14/2021,0,1466,1,1462
San Benito,3/14/2021,0,61,0,61
San Bernardino,3/14/2021,0,4032,24,3996
San Diego,3/14/2021,0,3462,8,3452
San Francisco,3/14/2021,0,456,0,455
San Joaquin,3/14/2021,0,1163,-1,1140
San Luis Obispo,3/14/2021,0,248,0,247
San Mateo,3/14/2021,0,344,1,342
Santa Barbara,3/14/2021,0,433,0,431
Santa Clara,3/14/2021,0,1797,6,1796
Santa Cruz,3/14/2021,0,199,1,200
Shasta,3/14/2021,0,100,-16,92
Sierra,3/14/2021,0,0,0,0
Siskiyou,3/14/2021,0,5,0,5
Solano,3/14/2021,0,171,0,171
Sonoma,3/14/2021,0,291,-1,284
Stanislaus,3/14/2021,0,683,-5,690
Sutter,3/14/2021,0,102,0,102
Tehama,3/14/2021,0,34,1,34
Trinity,3/14/2021,0,3,0,3
Tulare,3/14/2021,0,803,2,800
Tuolumne,3/14/2021,0,57,0,57
Ventura,3/14/2021,0,916,4,910
Yolo,3/14/2021,0,190,0,189
Yuba,3/14/2021,0,42,0,42
Alameda,3/13/2021,0,1177,4,1168
Alpine,3/13/2021,0,0,0,0
Amador,3/13/2021,0,44,0,44
Butte,3/13/2021,0,184,1,185
Calaveras,3/13/2021,0,49,0,49
California,3/13/2021,1,55577,140,55235
Colusa,3/13/2021,0,12,0,12
Contra Costa,3/13/2021,0,736,3,731
Del Norte,3/13/2021,0,6,0,6
El Dorado,3/13/2021,0,105,0,103
Fresno,3/13/2021,0,1498,6,1495
Glenn,3/13/2021,0,17,0,15
Humboldt,3/13/2021,0,33,0,32
Imperial,3/13/2021,0,689,0,677
Inyo,3/13/2021,0,35,0,35
Kern,3/13/2021,0,1144,8,1140
Kings,3/13/2021,0,233,0,232
Lake,3/13/2021,0,43,0,43
Lassen,3/13/2021,0,1,0,1
Los Angeles,3/13/2021,1,22527,42,22451
Madera,3/13/2021,0,214,0,214
Marin,3/13/2021,0,218,0,218
Mariposa,3/13/2021,0,5,0,5
Mendocino,3/13/2021,0,44,1,44
