,county,date,icu_covid_confirmed,icu_covid_suspected
172,San Benito,2020-04-01,2,0
173,Colusa,2020-04-01,0,1
174,San Bernardino,2020-04-01,39,52
175,Stanislaus,2020-04-01,10,6
176,Amador,2020-04-01,0,0
177,Kings,2020-04-01,1,2
178,Inyo,2020-04-01,0,0
179,Glenn,2020-04-01,0,0
180,Calaveras,2020-04-01,0,0
181,Mariposa,2020-04-01,0,0
182,Lake,2020-04-01,0,0
183,Shasta,2020-04-01,0,1
184,Del Norte,2020-04-01,0,0
185,Humboldt,2020-04-01,0,3
186,Tulare,2020-04-01,3,4
187,Los Angeles,2020-04-01,335,220
188,Plumas,2020-04-01,0,0
189,San Diego,2020-04-01,71,32
190,Orange,2020-04-01,50,48
191,Contra Costa,2020-04-01,12,12
192,Modoc,2020-04-01,0,0
193,Riverside,2020-04-01,29,47
194,El Dorado,2020-04-01,1,3
195,San Mateo,2020-04-01,19,9
196,Kern,2020-04-01,7,9
197,San Francisco,2020-04-01,30,8
198,Mono,2020-04-01,0,0
199,Trinity,2020-04-01,0,0
200,Marin,2020-04-01,4,2
201,Merced,2020-04-01,0,3
202,Butte,2020-04-01,2,4
203,San Luis Obispo,2020-04-01,5,6
204,Yolo,2020-04-01,1,1
205,Santa Barbara,2020-04-01,15,6
206,Ventura,2020-04-01,5,23
207,Sonoma,2020-04-01,1,2
208,Sutter,2020-04-01,0,0
209,Alameda,2020-04-01,27,15
210,Santa Cruz,2020-04-01,2,2
211,Monterey,2020-04-01,4,4
212,Yuba,2020-04-01,2,4
213,Santa Clara,2020-04-01,77,15
214,Nevada,2020-04-01,0,4
215,Solano,2020-04-01,5,2
216,Sacramento,2020-04-01,20,33
217,Tuolumne,2020-04-01,0,0
218,San Joaquin,2020-04-01,16,11
219,Mendocino,2020-04-01,0,0
220,Fresno,2020-04-01,5,13
221,Placer,2020-04-02,9,0
222,Solano,2020-04-02,7,1
223,Fresno,2020-04-02,6,13
224,Marin,2020-04-02,3,1
225,Riverside,2020-04-02,45,49
226,Santa Barbara,2020-04-02,18,10
227,Mariposa,2020-04-02,0,0
228,Tehama,2020-04-02,0,1
229,Trinity,2020-04-02,0,0
230,Lassen,2020-04-02,0,0
231,Napa,2020-04-02,1,1
232,Los Angeles,2020-04-02,346,193
233,Humboldt,2020-04-02,0,2
234,Santa Clara,2020-04-02,69,19
235,San Mateo,2020-04-02,26,4
236,Siskiyou,2020-04-02,0,2
237,Glenn,2020-04-02,0,0
238,Sacramento,2020-04-02,24,19
239,Mono,2020-04-02,0,0
240,Del Norte,2020-04-02,0,0
241,Madera,2020-04-02,1,3
242,Tuolumne,2020-04-02,0,0
243,San Francisco,2020-04-02,32,11
244,El Dorado,2020-04-02,0,6
245,Calaveras,2020-04-02,0,0
246,Tulare,2020-04-02,4,5
247,Plumas,2020-04-02,0,0
248,Alameda,2020-04-02,29,17
249,San Luis Obispo,2020-04-02,4,4
250,Lake,2020-04-02,0,0
251,Contra Costa,2020-04-02,13,10
252,Modoc,2020-04-02,0,0
253,Yolo,2020-04-02,2,3
254,Monterey,2020-04-02,4,2
255,Ventura,2020-04-02,7,24
256,Butte,2020-04-02,2,2
257,Imperial,2020-04-02,3,5
258,Sonoma,2020-04-02,1,0
259,Santa Cruz,2020-04-02,3,0
260,Inyo,2020-04-02,0,1
261,Amador,2020-04-02,0,0
262,Yuba,2020-04-02,2,6
263,San Diego,2020-04-02,69,35
264,Orange,2020-04-02,67,47
265,San Benito,2020-04-02,2,0
266,Shasta,2020-04-02,1,0
267,San Bernardino,2020-04-02,50,45
268,Merced,2020-04-02,0,1
269,Kings,2020-04-02,1,1
270,Sutter,2020-04-02,0,0
271,Kern,2020-04-02,12,23
272,Stanislaus,2020-04-02,11,7
273,Colusa,2020-04-02,0,1
274,Nevada,2020-04-02,2,1
275,Mendocino,2020-04-02,0,0
276,San Joaquin,2020-04-02,20,7
277,Tulare,2020-04-03,5,2
278,Plumas,2020-04-03,0,0
279,Kings,2020-04-03,1,0
280,Tuolumne,2020-04-03,0,0
281,Mendocino,2020-04-03,0,1
282,Santa Clara,2020-04-03,71,17
283,Contra Costa,2020-04-03,15,10
284,Madera,2020-04-03,0,1
285,Humboldt,2020-04-03,0,0
286,San Mateo,2020-04-03,26,4
287,Stanislaus,2020-04-03,12,8
288,Orange,2020-04-03,66,36
289,Ventura,2020-04-03,6,28
290,Fresno,2020-04-03,7,16
291,Mariposa,2020-04-03,0,0
292,Napa,2020-04-03,0,1
293,San Bernardino,2020-04-03,44,53
294,Yuba,2020-04-03,2,2
295,Tehama,2020-04-03,0,0
296,Los Angeles,2020-04-03,422,209
297,Butte,2020-04-03,2,6
298,Inyo,2020-04-03,1,2
299,Kern,2020-04-03,12,16
300,Glenn,2020-04-03,0,0
301,Solano,2020-04-03,7,5
302,Sacramento,2020-04-03,28,17
303,Santa Cruz,2020-04-03,3,0
304,Alameda,2020-04-03,32,13
305,Placer,2020-04-03,10,1
306,Lassen,2020-04-03,0,0
307,Imperial,2020-04-03,7,0
308,Del Norte,2020-04-03,0,0
309,Merced,2020-04-03,1,1
310,Trinity,2020-04-03,0,0
311,Riverside,2020-04-03,44,59
312,Colusa,2020-04-03,1,0
313,San Joaquin,2020-04-03,18,8
314,San Francisco,2020-04-03,39,8
315,Sonoma,2020-04-03,2,3
316,El Dorado,2020-04-03,0,4
317,Monterey,2020-04-03,3,1
318,Modoc,2020-04-03,0,0
319,Amador,2020-04-03,0,0
320,Santa Barbara,2020-04-03,18,4
321,Shasta,2020-04-03,1,3
322,Calaveras,2020-04-03,0,0
323,San Luis Obispo,2020-04-03,3,2
324,Yolo,2020-04-03,3,6
325,Lake,2020-04-03,0,1
326,Sutter,2020-04-03,0,0
327,San Diego,2020-04-03,84,28
328,Siskiyou,2020-04-03,0,1
329,Nevada,2020-04-03,2,1
330,Mono,2020-04-03,0,0
331,Marin,2020-04-03,3,5
332,San Benito,2020-04-03,2,0
333,Mariposa,2020-04-04,0,0
334,San Luis Obispo,2020-04-04,3,3
335,Napa,2020-04-04,0,1
336,Yuba,2020-04-04,2,2
337,Yolo,2020-04-04,3,3
338,Tehama,2020-04-04,0,0
339,Riverside,2020-04-04,39,56
340,Madera,2020-04-04,0,0
341,Calaveras,2020-04-04,0,0
342,Sutter,2020-04-04,0,0
343,Alameda,2020-04-04,35,18
344,San Benito,2020-04-04,2,0
345,Nevada,2020-04-04,2,2
346,Siskiyou,2020-04-04,0,1
347,Monterey,2020-04-04,4,2
348,Santa Clara,2020-04-04,72,19
349,Marin,2020-04-04,3,5
350,Amador,2020-04-04,0,0
351,Contra Costa,2020-04-04,12,7
352,Ventura,2020-04-04,7,25
353,Sonoma,2020-04-04,2,6
354,Mono,2020-04-04,0,0
355,Solano,2020-04-04,7,2
356,Mendocino,2020-04-04,0,1
357,Tuolumne,2020-04-04,0,1
358,Modoc,2020-04-04,0,0
359,San Joaquin,2020-04-04,16,7
360,Santa Cruz,2020-04-04,3,0
361,Lassen,2020-04-04,0,0
362,Butte,2020-04-04,1,4
363,Del Norte,2020-04-04,0,0
364,Sacramento,2020-04-04,25,18
365,San Mateo,2020-04-04,25,6
366,Santa Barbara,2020-04-04,18,2
367,Plumas,2020-04-04,0,0
368,Kings,2020-04-04,1,0
369,Trinity,2020-04-04,0,0
370,Stanislaus,2020-04-04,12,9
371,Colusa,2020-04-04,1,0
372,Imperial,2020-04-04,5,2
373,Inyo,2020-04-04,1,1
374,Merced,2020-04-04,1,1
375,San Diego,2020-04-04,86,19
376,El Dorado,2020-04-04,0,3
377,Tulare,2020-04-04,5,1
378,San Bernardino,2020-04-04,51,66
379,Orange,2020-04-04,70,45
380,Glenn,2020-04-04,0,0
381,Lake,2020-04-04,0,1
382,Placer,2020-04-04,10,1
383,Humboldt,2020-04-04,0,0
384,Fresno,2020-04-04,7,20
385,Shasta,2020-04-04,4,0
386,Kern,2020-04-04,14,11
387,San Francisco,2020-04-04,37,7
388,Los Angeles,2020-04-04,449,181
389,Mono,2020-04-05,0,0
390,Tuolumne,2020-04-05,0,0
391,Sonoma,2020-04-05,2,6
392,San Mateo,2020-04-05,24,6
393,Solano,2020-04-05,6,24
394,Lassen,2020-04-05,0,0
395,Tulare,2020-04-05,8,2
396,Mendocino,2020-04-05,0,2
397,Riverside,2020-04-05,47,60
398,Alameda,2020-04-05,39,13
399,San Francisco,2020-04-05,37,11
400,Calaveras,2020-04-05,0,0
401,Kings,2020-04-05,2,0
402,Mariposa,2020-04-05,0,0
403,Nevada,2020-04-05,2,1
404,San Luis Obispo,2020-04-05,2,9
405,Inyo,2020-04-05,1,0
406,Yolo,2020-04-05,3,3
407,San Diego,2020-04-05,89,31
408,Contra Costa,2020-04-05,15,10
409,Glenn,2020-04-05,0,0
410,Orange,2020-04-05,70,46
411,Los Angeles,2020-04-05,473,166
412,Marin,2020-04-05,3,5
413,Madera,2020-04-05,0,0
414,Butte,2020-04-05,1,6
415,Santa Cruz,2020-04-05,4,4
416,El Dorado,2020-04-05,0,3
417,Sutter,2020-04-05,0,0
