,county,date,icu_covid_confirmed,icu_covid_suspected
4291,Amador,2020-06-13,0,0
4292,Mariposa,2020-06-13,0,0
4293,Colusa,2020-06-13,0,0
4294,Contra Costa,2020-06-13,8,6
4295,Lake,2020-06-13,0,1
4296,Siskiyou,2020-06-13,0,1
4297,Santa Clara,2020-06-13,12,3
4298,Glenn,2020-06-13,0,0
4299,Trinity,2020-06-13,0,0
4300,Monterey,2020-06-13,2,0
4301,Placer,2020-06-13,2,2
4302,Kern,2020-06-13,33,4
4303,Tehama,2020-06-13,0,0
4304,Mendocino,2020-06-13,0,0
4305,San Bernardino,2020-06-13,83,18
4306,Tuolumne,2020-06-13,0,0
4307,Madera,2020-06-13,2,0
4308,Napa,2020-06-13,0,0
4309,Marin,2020-06-14,3,0
4310,Plumas,2020-06-14,0,0
4311,Nevada,2020-06-14,0,1
4312,San Joaquin,2020-06-14,16,2
4313,Calaveras,2020-06-14,0,0
4314,Yolo,2020-06-14,1,1
4315,Butte,2020-06-14,3,0
4316,Sacramento,2020-06-14,12,5
4317,Alameda,2020-06-14,33,9
4318,San Luis Obispo,2020-06-14,2,4
4319,Imperial,2020-06-14,20,0
4320,Trinity,2020-06-14,0,0
4321,San Francisco,2020-06-14,13,2
4322,Glenn,2020-06-14,0,0
4323,Mono,2020-06-14,0,0
4324,Monterey,2020-06-14,1,0
4325,Mendocino,2020-06-14,0,0
4326,Shasta,2020-06-14,0,0
4327,Siskiyou,2020-06-14,0,1
4328,Yuba,2020-06-14,3,0
4329,Los Angeles,2020-06-14,397,80
4330,San Mateo,2020-06-14,9,1
4331,Lassen,2020-06-14,0,0
4332,Kern,2020-06-14,32,3
4333,Del Norte,2020-06-14,0,0
4334,Napa,2020-06-14,0,1
4335,Fresno,2020-06-14,21,3
4336,Modoc,2020-06-14,0,0
4337,Sutter,2020-06-14,0,0
4338,Riverside,2020-06-14,70,19
4339,Tehama,2020-06-14,0,0
4340,San Diego,2020-06-14,111,21
4341,Placer,2020-06-14,2,2
4342,Lake,2020-06-14,0,1
4343,Kings,2020-06-14,9,0
4344,Inyo,2020-06-14,0,0
4345,Colusa,2020-06-14,0,0
4346,Ventura,2020-06-14,12,7
4347,Merced,2020-06-14,2,0
4348,Santa Barbara,2020-06-14,8,2
4349,Santa Cruz,2020-06-14,0,0
4350,Solano,2020-06-14,6,1
4351,Santa Clara,2020-06-14,12,3
4352,San Bernardino,2020-06-14,77,18
4353,Amador,2020-06-14,0,0
4354,El Dorado,2020-06-14,0,4
4355,Stanislaus,2020-06-14,16,1
4356,San Benito,2020-06-14,0,0
4357,Madera,2020-06-14,2,0
4358,Sonoma,2020-06-14,2,0
4359,Tuolumne,2020-06-14,0,0
4360,Mariposa,2020-06-14,0,0
4361,Tulare,2020-06-14,6,1
4362,Contra Costa,2020-06-14,9,3
4363,Humboldt,2020-06-14,0,0
4364,Orange,2020-06-14,143,21
4365,San Bernardino,2020-06-15,77,18
4366,Yuba,2020-06-15,2,0
4367,Amador,2020-06-15,0,0
4368,Sutter,2020-06-15,0,0
4369,Glenn,2020-06-15,0,0
4370,Sonoma,2020-06-15,3,0
4371,Merced,2020-06-15,2,0
4372,Santa Clara,2020-06-15,12,3
4373,Kings,2020-06-15,10,0
4374,San Francisco,2020-06-15,10,0
4375,Tuolumne,2020-06-15,0,0
4376,Madera,2020-06-15,2,0
4377,Shasta,2020-06-15,0,0
4378,Solano,2020-06-15,6,1
4379,Contra Costa,2020-06-15,7,2
4380,Trinity,2020-06-15,0,0
4381,Fresno,2020-06-15,22,2
4382,Tulare,2020-06-15,8,1
4383,Santa Cruz,2020-06-15,0,0
4384,Mariposa,2020-06-15,0,0
4385,Siskiyou,2020-06-15,0,0
4386,San Luis Obispo,2020-06-15,2,0
4387,Butte,2020-06-15,3,1
4388,Kern,2020-06-15,38,3
4389,Colusa,2020-06-15,0,0
4390,Napa,2020-06-15,1,1
4391,Mono,2020-06-15,0,0
4392,Del Norte,2020-06-15,0,0
4393,El Dorado,2020-06-15,0,2
4394,Tehama,2020-06-15,0,0
4395,San Benito,2020-06-15,0,0
4396,Calaveras,2020-06-15,0,0
4397,Santa Barbara,2020-06-15,9,0
4398,Inyo,2020-06-15,0,0
4399,Los Angeles,2020-06-15,404,88
4400,Alameda,2020-06-15,37,9
4401,Orange,2020-06-15,138,21
4402,Riverside,2020-06-15,65,16
4403,Marin,2020-06-15,1,0
4404,Ventura,2020-06-15,13,7
4405,Yolo,2020-06-15,0,0
4406,Imperial,2020-06-15,19,0
4407,San Joaquin,2020-06-15,18,2
4408,Lassen,2020-06-15,0,0
4409,Nevada,2020-06-15,0,2
4410,Stanislaus,2020-06-15,15,1
4411,San Mateo,2020-06-15,6,1
4412,Plumas,2020-06-15,0,0
4413,Placer,2020-06-15,3,2
4414,Monterey,2020-06-15,1,0
4415,Modoc,2020-06-15,0,0
4416,Mendocino,2020-06-15,0,1
4417,Lake,2020-06-15,0,0
4418,Humboldt,2020-06-15,0,1
4419,Sacramento,2020-06-15,15,5
4420,San Diego,2020-06-15,120,13
4421,Modoc,2020-06-16,0,0
4422,Nevada,2020-06-16,0,0
4423,Fresno,2020-06-16,21,3
4424,Madera,2020-06-16,3,0
4425,Kings,2020-06-16,10,0
4426,San Luis Obispo,2020-06-16,2,5
4427,Mariposa,2020-06-16,0,0
4428,San Benito,2020-06-16,0,0
4429,Tuolumne,2020-06-16,0,0
4430,Monterey,2020-06-16,2,0
4431,Lassen,2020-06-16,0,0
4432,Imperial,2020-06-16,21,0
4433,Santa Clara,2020-06-16,12,3
4434,Kern,2020-06-16,39,2
4435,Del Norte,2020-06-16,0,0
4436,El Dorado,2020-06-16,0,1
4437,San Mateo,2020-06-16,6,1
4438,Ventura,2020-06-16,13,9
4439,San Joaquin,2020-06-16,18,2
4440,Shasta,2020-06-16,0,0
4441,Sonoma,2020-06-16,3,0
4442,Calaveras,2020-06-16,0,0
4443,Sacramento,2020-06-16,13,8
4444,Contra Costa,2020-06-16,9,4
4445,Solano,2020-06-16,5,2
4446,Los Angeles,2020-06-16,412,87
4447,San Francisco,2020-06-16,8,0
4448,Mendocino,2020-06-16,0,0
4449,Santa Barbara,2020-06-16,13,1
4450,Tulare,2020-06-16,11,0
4451,Marin,2020-06-16,1,0
4452,Amador,2020-06-16,0,0
4453,Plumas,2020-06-16,0,0
4454,Placer,2020-06-16,3,2
4455,San Bernardino,2020-06-16,77,13
4456,Glenn,2020-06-16,0,0
4457,Orange,2020-06-16,151,18
4458,San Diego,2020-06-16,130,12
4459,Yolo,2020-06-16,0,0
4460,Merced,2020-06-16,3,0
4461,Lake,2020-06-16,0,1
4462,Santa Cruz,2020-06-16,0,0
4463,Riverside,2020-06-16,65,18
4464,Tehama,2020-06-16,0,0
4465,Alameda,2020-06-16,36,12
4466,Yuba,2020-06-16,2,0
4467,Sutter,2020-06-16,0,0
4468,Colusa,2020-06-16,0,0
4469,Stanislaus,2020-06-16,16,3
4470,Inyo,2020-06-16,0,0
4471,Butte,2020-06-16,3,0
4472,Napa,2020-06-16,1,0
4473,Trinity,2020-06-16,0,0
4474,Mono,2020-06-16,0,0
4475,Humboldt,2020-06-16,0,1
4476,Siskiyou,2020-06-16,0,1
4477,Orange,2020-06-17,149,16
4478,Madera,2020-06-17,4,1
4479,Los Angeles,2020-06-17,414,61
4480,Amador,2020-06-17,0,0
4481,Marin,2020-06-17,2,1
4482,Sacramento,2020-06-17,14,5
4483,Plumas,2020-06-17,0,0
4484,Kern,2020-06-17,45,0
4485,Sonoma,2020-06-17,3,2
4486,Tulare,2020-06-17,10,1
4487,Butte,2020-06-17,3,0
4488,Mendocino,2020-06-17,0,0
4489,Fresno,2020-06-17,16,1
4490,Santa Barbara,2020-06-17,12,3
4491,Tuolumne,2020-06-17,0,0
4492,Santa Cruz,2020-06-17,0,3
4493,Ventura,2020-06-17,14,9
4494,Merced,2020-06-17,3,0
4495,Calaveras,2020-06-17,0,0
4496,Yuba,2020-06-17,1,0
4497,San Francisco,2020-06-17,8,3
4498,Inyo,2020-06-17,0,0
4499,Yolo,2020-06-17,0,0
4500,San Luis Obispo,2020-06-17,2,1
4501,Napa,2020-06-17,0,0
4502,Glenn,2020-06-17,0,0
4503,Tehama,2020-06-17,0,0
4504,Lake,2020-06-17,0,0
4505,Stanislaus,2020-06-17,14,3
4506,El Dorado,2020-06-17,0,0
4507,Santa Clara,2020-06-17,15,0
4508,San Bernardino,2020-06-17,76,12
4509,Sutter,2020-06-17,0,0
4510,Solano,2020-06-17,4,0
4511,Del Norte,2020-06-17,0,0
4512,San Benito,2020-06-17,0,0
4513,Mariposa,2020-06-17,0,0
4514,Riverside,2020-06-17,75,19
4515,Colusa,2020-06-17,0,0
4516,Humboldt,2020-06-17,0,1
4517,Contra Costa,2020-06-17,10,3
4518,Modoc,2020-06-17,0,0
4519,Lassen,2020-06-17,0,0
4520,Imperial,2020-06-17,20,0
4521,San Diego,2020-06-17,130,17
4522,Monterey,2020-06-17,2,1
4523,San Joaquin,2020-06-17,18,1
4524,Siskiyou,2020-06-17,1,0
4525,Trinity,2020-06-17,0,0
4526,Placer,2020-06-17,2,1
4527,Shasta,2020-06-17,0,0
4528,Kings,2020-06-17,10,0
4529,Mono,2020-06-17,0,0
4530,Nevada,2020-06-17,0,0
4531,Alameda,2020-06-17,36,13
4532,San Mateo,2020-06-17,6,1
4533,Madera,2020-06-18,5,1
4534,San Diego,2020-06-18,136,15
4535,San Luis Obispo,2020-06-18,3,0
4536,Mariposa,2020-06-18,0,0
4537,Contra Costa,2020-06-18,10,4
4538,Solano,2020-06-18,5,0
4539,Marin,2020-06-18,2,0
4540,Kern,2020-06-18,41,0
4541,Inyo,2020-06-18,0,0
4542,Nevada,2020-06-18,0,0
4543,Los Angeles,2020-06-18,403,88
4544,Modoc,2020-06-18,0,0
4545,Trinity,2020-06-18,0,0
4546,Kings,2020-06-18,10,0
4547,Imperial,2020-06-18,16,0
4548,Placer,2020-06-18,3,2
4549,Shasta,2020-06-18,0,0
4550,Merced,2020-06-18,3,0
4551,Glenn,2020-06-18,0,0
4552,Tehama,2020-06-18,0,0
4553,Tulare,2020-06-18,8,0
4554,Napa,2020-06-18,0,0
4555,Calaveras,2020-06-18,0,0
4556,Siskiyou,2020-06-18,1,0
4557,Yuba,2020-06-18,1,0
4558,Tuolumne,2020-06-18,0,0
4559,Fresno,2020-06-18,13,0
4560,San Mateo,2020-06-18,6,2
4561,San Benito,2020-06-18,0,0
4562,Humboldt,2020-06-18,0,1
4563,Riverside,2020-06-18,76,21
4564,Santa Cruz,2020-06-18,1,0
4565,San Joaquin,2020-06-18,22,5
4566,Santa Clara,2020-06-18,17,2
4567,Monterey,2020-06-18,5,0
4568,Sonoma,2020-06-18,3,1
4569,Del Norte,2020-06-18,0,0
4570,San Bernardino,2020-06-18,87,8
4571,Colusa,2020-06-18,0,0
4572,Ventura,2020-06-18,13,10
4573,San Francisco,2020-06-18,8,2
4574,Butte,2020-06-18,2,0
4575,Plumas,2020-06-18,0,0
4576,Sacramento,2020-06-18,13,1
4577,Stanislaus,2020-06-18,21,3
4578,Orange,2020-06-18,141,15
4579,Santa Barbara,2020-06-18,14,1
4580,Alameda,2020-06-18,38,16
4581,Sutter,2020-06-18,0,0
4582,Mono,2020-06-18,0,0
4583,Lassen,2020-06-18,0,0
4584,Lake,2020-06-18,0,0
4585,Mendocino,2020-06-18,0,0
4586,Amador,2020-06-18,1,0
4587,Yolo,2020-06-18,0,0
4588,El Dorado,2020-06-18,0,3
4589,Imperial,2020-06-19,17,0
4590,Glenn,2020-06-19,0,0
4591,Marin,2020-06-19,3,0
4592,Placer,2020-06-19,3,2
4593,Humboldt,2020-06-19,0,1
4594,Tehama,2020-06-19,0,0
4595,Colusa,2020-06-19,0,0
4596,Solano,2020-06-19,6,0
4597,Sonoma,2020-06-19,3,1
4598,San Benito,2020-06-19,0,0
4599,Tuolumne,2020-06-19,0,0
4600,San Luis Obispo,2020-06-19,3,0
4601,Napa,2020-06-19,0,0
4602,Los Angeles,2020-06-19,408,73
4603,Merced,2020-06-19,3,0
4604,Sutter,2020-06-19,0,0
4605,Mariposa,2020-06-19,0,0
4606,San Bernardino,2020-06-19,90,9
4607,Amador,2020-06-19,0,0
4608,Kings,2020-06-19,10,0
4609,Yuba,2020-06-19,1,0
4610,El Dorado,2020-06-19,0,3
4611,Fresno,2020-06-19,16,2
4612,Riverside,2020-06-19,72,25
4613,Sacramento,2020-06-19,16,5
4614,Modoc,2020-06-19,0,0
4615,Shasta,2020-06-19,1,0
4616,Lassen,2020-06-19,0,0
4617,Santa Cruz,2020-06-19,1,2
4618,Mendocino,2020-06-19,0,0
4619,Contra Costa,2020-06-19,9,1
4620,Kern,2020-06-19,38,0
4621,Nevada,2020-06-19,0,0
4622,Siskiyou,2020-06-19,1,0
4623,Butte,2020-06-19,2,1
4624,Del Norte,2020-06-19,0,0
4625,Orange,2020-06-19,138,11
4626,San Mateo,2020-06-19,5,0
4627,Plumas,2020-06-19,0,0
4628,San Diego,2020-06-19,143,10
4629,San Joaquin,2020-06-19,19,2
4630,Yolo,2020-06-19,0,0
4631,Ventura,2020-06-19,13,7
4632,Monterey,2020-06-19,5,0
4633,Lake,2020-06-19,0,0
4634,Trinity,2020-06-19,0,0
4635,Inyo,2020-06-19,0,0
4636,San Francisco,2020-06-19,8,4
4637,Calaveras,2020-06-19,0,0
4638,Stanislaus,2020-06-19,23,4
4639,Tulare,2020-06-19,12,0
4640,Madera,2020-06-19,5,0
4641,Alameda,2020-06-19,36,20
4642,Mono,2020-06-19,0,0
4643,Santa Barbara,2020-06-19,17,1
4644,Santa Clara,2020-06-19,18,3
4645,Inyo,2020-06-20,0,0
4646,El Dorado,2020-06-20,0,2
4647,Stanislaus,2020-06-20,23,4
4648,Contra Costa,2020-06-20,8,6
4649,Calaveras,2020-06-20,0,1
4650,Orange,2020-06-20,142,25
4651,Modoc,2020-06-20,0,0
4652,Fresno,2020-06-20,14,3
4653,San Benito,2020-06-20,0,0
4654,San Diego,2020-06-20,138,10
4655,Sonoma,2020-06-20,3,0
4656,Riverside,2020-06-20,77,23
4657,San Mateo,2020-06-20,7,0
4658,Del Norte,2020-06-20,0,0
4659,Mendocino,2020-06-20,0,0
4660,Los Angeles,2020-06-20,408,87
4661,Santa Barbara,2020-06-20,16,1
4662,Napa,2020-06-20,0,0
4663,Kern,2020-06-20,42,0
4664,Shasta,2020-06-20,1,0
4665,Lassen,2020-06-20,0,0
4666,Trinity,2020-06-20,0,0
4667,Tuolumne,2020-06-20,0,0
4668,Humboldt,2020-06-20,0,1
4669,Lake,2020-06-20,0,0
4670,Glenn,2020-06-20,0,0
4671,Sutter,2020-06-20,0,0
4672,Colusa,2020-06-20,0,0
4673,Alameda,2020-06-20,33,12
4674,Tulare,2020-06-20,10,1
4675,Merced,2020-06-20,3,1
4676,Monterey,2020-06-20,5,0
4677,Marin,2020-06-20,3,0
4678,San Luis Obispo,2020-06-20,2,1
4679,Mariposa,2020-06-20,0,0
4680,Mono,2020-06-20,0,0
4681,Imperial,2020-06-20,20,0
4682,Yuba,2020-06-20,1,0
4683,Amador,2020-06-20,0,0
4684,Plumas,2020-06-20,0,0
4685,Yolo,2020-06-20,1,0
4686,Placer,2020-06-20,2,2
4687,San Joaquin,2020-06-20,23,5
4688,Santa Cruz,2020-06-20,2,0
4689,Sacramento,2020-06-20,19,4
4690,Butte,2020-06-20,3,0
4691,Ventura,2020-06-20,13,3
4692,San Bernardino,2020-06-20,94,5
4693,Siskiyou,2020-06-20,1,0
4694,San Francisco,2020-06-20,10,5
4695,Santa Clara,2020-06-20,20,1
4696,Madera,2020-06-20,3,0
4697,Kings,2020-06-20,8,0
4698,Solano,2020-06-20,7,0
4699,Tehama,2020-06-20,0,0
4700,Nevada,2020-06-20,1,0
4701,Lake,2020-06-21,0,0
4702,Fresno,2020-06-21,18,2
4703,Alameda,2020-06-21,30,12
4704,Kern,2020-06-21,41,0
4705,Mariposa,2020-06-21,0,0
4706,San Diego,2020-06-21,137,15
4707,Imperial,2020-06-21,21,0
4708,Orange,2020-06-21,142,29
4709,Plumas,2020-06-21,0,0
4710,Inyo,2020-06-21,0,0
4711,San Joaquin,2020-06-21,24,2
4712,Trinity,2020-06-21,0,0
4713,San Mateo,2020-06-21,8,1
4714,San Francisco,2020-06-21,12,1
4715,Yuba,2020-06-21,2,0
4716,Sonoma,2020-06-21,3,0
4717,Humboldt,2020-06-21,0,1
4718,Solano,2020-06-21,8,1
4719,Santa Cruz,2020-06-21,2,0
4720,Sacramento,2020-06-21,22,6
4721,Los Angeles,2020-06-21,412,80
4722,Glenn,2020-06-21,0,0
4723,Lassen,2020-06-21,0,0
4724,San Bernardino,2020-06-21,97,11
4725,El Dorado,2020-06-21,0,2
4726,Sutter,2020-06-21,0,0
4727,Santa Barbara,2020-06-21,19,2
4728,San Benito,2020-06-21,0,0
4729,Napa,2020-06-21,0,0
4730,Nevada,2020-06-21,2,0
4731,Tuolumne,2020-06-21,0,0
4732,Placer,2020-06-21,1,1
4733,San Luis Obispo,2020-06-21,2,0
4734,Amador,2020-06-21,0,1
4735,Ventura,2020-06-21,14,10
4736,Del Norte,2020-06-21,0,0
4737,Santa Clara,2020-06-21,21,0
4738,Tehama,2020-06-21,0,0
4739,Riverside,2020-06-21,87,23
4740,Monterey,2020-06-21,6,0
4741,Marin,2020-06-21,3,0
4742,Yolo,2020-06-21,1,1
4743,Mono,2020-06-21,0,0
4744,Colusa,2020-06-21,0,0
4745,Contra Costa,2020-06-21,10,7
4746,Mendocino,2020-06-21,0,0
4747,Shasta,2020-06-21,1,1
4748,Madera,2020-06-21,3,0
4749,Merced,2020-06-21,3,0
4750,Stanislaus,2020-06-21,24,3
4751,Calaveras,2020-06-21,0,0
4752,Tulare,2020-06-21,10,1
4753,Siskiyou,2020-06-21,1,0
4754,Kings,2020-06-21,7,0
4755,Butte,2020-06-21,5,0
4756,Modoc,2020-06-21,0,0
4757,Kern,2020-06-22,44,0
4758,San Joaquin,2020-06-22,22,5
4759,Butte,2020-06-22,3,2
4760,Siskiyou,2020-06-22,1,0
4761,Nevada,2020-06-22,2,1
4762,Inyo,2020-06-22,0,0
4763,Del Norte,2020-06-22,0,0
4764,Yolo,2020-06-22,1,0
4765,Monterey,2020-06-22,7,0
4766,Plumas,2020-06-22,0,0
4767,Lassen,2020-06-22,0,0
4768,Trinity,2020-06-22,0,0
4769,Mono,2020-06-22,0,0
4770,Mendocino,2020-06-22,0,0
4771,San Diego,2020-06-22,137,18
4772,Santa Cruz,2020-06-22,2,0
4773,San Luis Obispo,2020-06-22,3,1
4774,Contra Costa,2020-06-22,10,3
4775,Glenn,2020-06-22,0,0
4776,San Bernardino,2020-06-22,109,14
4777,Sonoma,2020-06-22,4,1
4778,San Benito,2020-06-22,0,0
4779,Fresno,2020-06-22,18,1
4780,Amador,2020-06-22,0,0
4781,Napa,2020-06-22,1,1
4782,Sacramento,2020-06-22,19,1
4783,Tuolumne,2020-06-22,0,0
4784,Solano,2020-06-22,7,1
4785,Tehama,2020-06-22,0,0
4786,Placer,2020-06-22,2,0
4787,Imperial,2020-06-22,17,0
4788,Santa Clara,2020-06-22,25,0
4789,Tulare,2020-06-22,10,0
4790,Alameda,2020-06-22,30,8
4791,Yuba,2020-06-22,3,0
4792,Madera,2020-06-22,2,0
4793,Lake,2020-06-22,0,0
4794,Humboldt,2020-06-22,0,0
4795,Stanislaus,2020-06-22,26,3
4796,Santa Barbara,2020-06-22,20,1
4797,Calaveras,2020-06-22,0,0
4798,Shasta,2020-06-22,1,0
4799,Kings,2020-06-22,8,0
4800,Los Angeles,2020-06-22,406,76
4801,Sutter,2020-06-22,0,0
4802,Orange,2020-06-22,152,24
4803,Merced,2020-06-22,3,0
4804,Modoc,2020-06-22,0,0
4805,El Dorado,2020-06-22,1,0
4806,Ventura,2020-06-22,14,13
4807,Marin,2020-06-22,4,0
4808,San Francisco,2020-06-22,12,2
4809,San Mateo,2020-06-22,9,1
4810,Riverside,2020-06-22,90,19
4811,Mariposa,2020-06-22,0,0
4812,Colusa,2020-06-22,0,0
4813,Mono,2020-06-23,0,0
4814,San Diego,2020-06-23,146,11
4815,Ventura,2020-06-23,14,9
4816,Madera,2020-06-23,1,0
4817,Del Norte,2020-06-23,1,0
4818,Fresno,2020-06-23,22,0
4819,Glenn,2020-06-23,0,0
4820,Tehama,2020-06-23,0,0
4821,Alameda,2020-06-23,33,11
4822,Siskiyou,2020-06-23,1,0
4823,Sacramento,2020-06-23,18,0
4824,Los Angeles,2020-06-23,416,100
4825,Kings,2020-06-23,9,0
4826,Mariposa,2020-06-23,0,0
4827,San Luis Obispo,2020-06-23,2,1
4828,Solano,2020-06-23,7,0
4829,Marin,2020-06-23,3,1
4830,Orange,2020-06-23,154,20
4831,Placer,2020-06-23,2,0
4832,Merced,2020-06-23,3,0
4833,Modoc,2020-06-23,0,0
4834,Plumas,2020-06-23,0,0
4835,Amador,2020-06-23,0,0
4836,Santa Cruz,2020-06-23,1,0
4837,Lassen,2020-06-23,0,0
4838,Monterey,2020-06-23,7,0
4839,Tulare,2020-06-23,11,0
4840,Contra Costa,2020-06-23,8,2
4841,Santa Clara,2020-06-23,31,0
4842,Butte,2020-06-23,4,0
4843,Nevada,2020-06-23,2,0
4844,El Dorado,2020-06-23,1,2
4845,Tuolumne,2020-06-23,0,0
4846,Sonoma,2020-06-23,7,3
4847,San Francisco,2020-06-23,16,2
4848,Colusa,2020-06-23,0,0
4849,Santa Barbara,2020-06-23,22,2
4850,Yolo,2020-06-23,1,0
4851,Kern,2020-06-23,43,1
4852,Inyo,2020-06-23,0,0
4853,San Mateo,2020-06-23,8,2
4854,Stanislaus,2020-06-23,27,2
4855,Trinity,2020-06-23,0,0
4856,Napa,2020-06-23,0,1
4857,Imperial,2020-06-23,18,0
4858,San Joaquin,2020-06-23,23,3
4859,San Benito,2020-06-23,0,0
4860,Yuba,2020-06-23,1,0
4861,Calaveras,2020-06-23,0,0
4862,Humboldt,2020-06-23,1,0
4863,San Bernardino,2020-06-23,111,22
4864,Riverside,2020-06-23,92,23
4865,Mendocino,2020-06-23,0,0
4866,Lake,2020-06-23,0,1
4867,Sutter,2020-06-23,0,0
4868,Shasta,2020-06-23,1,0
4869,Del Norte,2020-06-24,1,0
4870,Marin,2020-06-24,5,0
4871,Mono,2020-06-24,0,0
4872,Lake,2020-06-24,0,0
4873,Amador,2020-06-24,0,0
4874,Sutter,2020-06-24,0,0
4875,Tehama,2020-06-24,0,0
4876,San Francisco,2020-06-24,17,3
4877,Merced,2020-06-24,4,0
4878,Napa,2020-06-24,4,1
4879,Colusa,2020-06-24,0,0
4880,Kern,2020-06-24,44,2
4881,San Joaquin,2020-06-24,25,3
4882,Calaveras,2020-06-24,0,0
4883,Humboldt,2020-06-24,1,1
4884,Santa Clara,2020-06-24,31,0
4885,Glenn,2020-06-24,0,0
4886,Monterey,2020-06-24,9,0
4887,Riverside,2020-06-24,95,27
4888,Santa Barbara,2020-06-24,20,1
4889,Trinity,2020-06-24,0,0
4890,Kings,2020-06-24,9,0
4891,Shasta,2020-06-24,1,0
4892,Modoc,2020-06-24,0,0
4893,Inyo,2020-06-24,0,0
4894,Stanislaus,2020-06-24,31,0
4895,Imperial,2020-06-24,14,0
4896,Placer,2020-06-24,2,1
4897,Fresno,2020-06-24,22,2
4898,Yolo,2020-06-24,4,0
4899,Sonoma,2020-06-24,4,1
4900,San Benito,2020-06-24,0,0
4901,Tulare,2020-06-24,9,0
4902,Siskiyou,2020-06-24,1,0
4903,San Bernardino,2020-06-24,113,12
4904,El Dorado,2020-06-24,1,0
4905,Sacramento,2020-06-24,14,4
4906,San Luis Obispo,2020-06-24,2,1
4907,Mariposa,2020-06-24,0,0
4908,Santa Cruz,2020-06-24,1,0
4909,Nevada,2020-06-24,3,0
4910,Lassen,2020-06-24,0,0
4911,Ventura,2020-06-24,15,8
4912,Madera,2020-06-24,2,0
4913,Alameda,2020-06-24,31,9
4914,Yuba,2020-06-24,1,0
4915,San Mateo,2020-06-24,8,3
4916,San Diego,2020-06-24,152,15
4917,Los Angeles,2020-06-24,430,93
4918,Mendocino,2020-06-24,0,0
4919,Orange,2020-06-24,161,25
4920,Butte,2020-06-24,4,1
4921,Plumas,2020-06-24,0,0
4922,Tuolumne,2020-06-24,0,0
4923,Solano,2020-06-24,6,0
4924,Contra Costa,2020-06-24,9,4
4925,Alameda,2020-06-25,34,10
4926,Tehama,2020-06-25,0,0
4927,Sutter,2020-06-25,0,0
4928,Shasta,2020-06-25,1,1
4929,Marin,2020-06-25,5,1
4930,Imperial,2020-06-25,16,0
4931,Tulare,2020-06-25,11,0
4932,Lake,2020-06-25,0,2
4933,Lassen,2020-06-25,0,0
4934,Kern,2020-06-25,49,2
4935,Ventura,2020-06-25,16,6
4936,Glenn,2020-06-25,0,0
4937,Santa Cruz,2020-06-25,1,1
4938,Sonoma,2020-06-25,4,2
4939,Madera,2020-06-25,3,0
4940,Del Norte,2020-06-25,1,0
4941,Kings,2020-06-25,8,0
4942,Inyo,2020-06-25,0,0
4943,San Diego,2020-06-25,154,14
4944,Fresno,2020-06-25,23,3
4945,Siskiyou,2020-06-25,1,0
4946,El Dorado,2020-06-25,1,0
4947,Tuolumne,2020-06-25,0,0
4948,Amador,2020-06-25,0,0
4949,Monterey,2020-06-25,9,2
4950,Contra Costa,2020-06-25,12,3
4951,Butte,2020-06-25,2,0
4952,Placer,2020-06-25,2,1
4953,Solano,2020-06-25,7,1
4954,Napa,2020-06-25,4,0
4955,Calaveras,2020-06-25,1,0
4956,San Francisco,2020-06-25,13,4
4957,Orange,2020-06-25,166,23
4958,Modoc,2020-06-25,0,0
4959,San Joaquin,2020-06-25,25,7
4960,San Luis Obispo,2020-06-25,4,0
4961,Sacramento,2020-06-25,20,4
4962,Santa Clara,2020-06-25,26,0
4963,Yolo,2020-06-25,4,0
4964,Santa Barbara,2020-06-25,24,2
4965,Plumas,2020-06-25,0,0
4966,San Benito,2020-06-25,0,0
4967,Yuba,2020-06-25,2,0
4968,Nevada,2020-06-25,3,1
4969,San Mateo,2020-06-25,10,1
4970,Mendocino,2020-06-25,0,0
4971,Mono,2020-06-25,0,0
4972,Riverside,2020-06-25,105,23
4973,Colusa,2020-06-25,0,0
4974,San Bernardino,2020-06-25,116,11
4975,Humboldt,2020-06-25,1,2
4976,Los Angeles,2020-06-25,440,78
4977,Merced,2020-06-25,6,0
4978,Trinity,2020-06-25,0,0
4979,Stanislaus,2020-06-25,34,1
4980,Mariposa,2020-06-25,0,0
4981,Riverside,2020-06-26,98,19
4982,Solano,2020-06-26,8,0
4983,Nevada,2020-06-26,1,1
4984,Ventura,2020-06-26,18,6
4985,Amador,2020-06-26,0,0
4986,San Bernardino,2020-06-26,122,11
4987,San Luis Obispo,2020-06-26,2,0
4988,Sutter,2020-06-26,0,0
4989,Siskiyou,2020-06-26,0,0
4990,Tehama,2020-06-26,0,0
4991,Yuba,2020-06-26,1,0
4992,Calaveras,2020-06-26,1,0
4993,Monterey,2020-06-26,10,0
4994,Kings,2020-06-26,6,0
4995,Glenn,2020-06-26,0,0
4996,Sacramento,2020-06-26,19,2
4997,Merced,2020-06-26,5,0
4998,Alameda,2020-06-26,35,9
4999,San Francisco,2020-06-26,18,4
5000,Mariposa,2020-06-26,0,0
5001,Butte,2020-06-26,1,0
5002,Mendocino,2020-06-26,0,0
5003,Santa Clara,2020-06-26,26,0
5004,Shasta,2020-06-26,2,0
5005,Modoc,2020-06-26,0,0
5006,Plumas,2020-06-26,0,0
5007,Del Norte,2020-06-26,1,0
5008,Inyo,2020-06-26,0,0
5009,San Diego,2020-06-26,158,13
5010,Orange,2020-06-26,179,20
