,county,date,cases,reported_cases
0,Alameda,2021-03-16,0,100
1,Alpine,2021-03-16,0,0
2,Amador,2021-03-16,0,4
3,Butte,2021-03-16,0,13
4,Calaveras,2021-03-16,0,4
6,Colusa,2021-03-16,0,-1
7,Contra Costa,2021-03-16,0,104
8,Del Norte,2021-03-16,0,0
9,El Dorado,2021-03-16,0,14
10,Fresno,2021-03-16,0,118
11,Glenn,2021-03-16,0,6
12,Humboldt,2021-03-16,0,14
13,Imperial,2021-03-16,0,21
14,Inyo,2021-03-16,0,0
15,Kern,2021-03-16,0,74
16,Kings,2021-03-16,0,26
17,Lake,2021-03-16,0,9
18,Lassen,2021-03-16,0,1
19,Los Angeles,2021-03-16,0,231
20,Madera,2021-03-16,0,16
21,Marin,2021-03-16,0,11
22,Mariposa,2021-03-16,0,3
23,Mendocino,2021-03-16,0,8
24,Merced,2021-03-16,0,29
25,Modoc,2021-03-16,0,1
26,Mono,2021-03-16,0,1
27,Monterey,2021-03-16,0,12
28,Napa,2021-03-16,0,13
29,Nevada,2021-03-16,0,9
30,Orange,2021-03-16,0,146
32,Placer,2021-03-16,0,31
33,Plumas,2021-03-16,0,1
34,Riverside,2021-03-16,0,173
35,Sacramento,2021-03-16,0,108
36,San Benito,2021-03-16,0,0
37,San Bernardino,2021-03-16,0,165
38,San Diego,2021-03-16,0,257
39,San Francisco,2021-03-16,0,13
40,San Joaquin,2021-03-16,0,234
41,San Luis Obispo,2021-03-16,0,19
42,San Mateo,2021-03-16,0,41
43,Santa Barbara,2021-03-16,0,27
44,Santa Clara,2021-03-16,0,116
45,Santa Cruz,2021-03-16,0,27
46,Shasta,2021-03-16,0,16
47,Sierra,2021-03-16,0,0
48,Siskiyou,2021-03-16,0,2
49,Solano,2021-03-16,0,40
50,Sonoma,2021-03-16,0,36
51,Stanislaus,2021-03-16,0,53
52,Sutter,2021-03-16,0,8
53,Tehama,2021-03-16,0,10
54,Trinity,2021-03-16,0,0
55,Tulare,2021-03-16,0,38
56,Tuolumne,2021-03-16,0,1
58,Ventura,2021-03-16,0,45
59,Yolo,2021-03-16,0,31
60,Yuba,2021-03-16,0,11
61,Alameda,2021-03-15,5,43
62,Alpine,2021-03-15,0,0
63,Amador,2021-03-15,0,2
64,Butte,2021-03-15,2,1
65,Calaveras,2021-03-15,0,2
67,Colusa,2021-03-15,0,0
68,Contra Costa,2021-03-15,13,39
69,Del Norte,2021-03-15,0,0
70,El Dorado,2021-03-15,2,4
71,Fresno,2021-03-15,8,59
72,Glenn,2021-03-15,0,1
73,Humboldt,2021-03-15,5,2
74,Imperial,2021-03-15,7,0
75,Inyo,2021-03-15,0,0
76,Kern,2021-03-15,8,14
77,Kings,2021-03-15,4,2
78,Lake,2021-03-15,0,0
79,Lassen,2021-03-15,0,0
80,Los Angeles,2021-03-15,12,345
81,Madera,2021-03-15,2,2
82,Marin,2021-03-15,1,3
83,Mariposa,2021-03-15,0,0
84,Mendocino,2021-03-15,0,2
85,Merced,2021-03-15,9,20
86,Modoc,2021-03-15,0,0
87,Mono,2021-03-15,1,0
88,Monterey,2021-03-15,1,4
89,Napa,2021-03-15,1,2
90,Nevada,2021-03-15,1,1
91,Orange,2021-03-15,13,41
93,Placer,2021-03-15,0,20
94,Plumas,2021-03-15,0,0
95,Riverside,2021-03-15,5,35
96,Sacramento,2021-03-15,2,71
97,San Benito,2021-03-15,0,2
98,San Bernardino,2021-03-15,11,24
99,San Diego,2021-03-15,15,178
100,San Francisco,2021-03-15,3,10
101,San Joaquin,2021-03-15,3,59
102,San Luis Obispo,2021-03-15,2,7
103,San Mateo,2021-03-15,4,21
104,Santa Barbara,2021-03-15,7,15
105,Santa Clara,2021-03-15,4,81
106,Santa Cruz,2021-03-15,3,12
107,Shasta,2021-03-15,1,0
108,Sierra,2021-03-15,0,0
109,Siskiyou,2021-03-15,0,2
110,Solano,2021-03-15,0,28
111,Sonoma,2021-03-15,4,16
112,Stanislaus,2021-03-15,4,51
113,Sutter,2021-03-15,4,4
114,Tehama,2021-03-15,0,0
115,Trinity,2021-03-15,0,0
116,Tulare,2021-03-15,4,12
117,Tuolumne,2021-03-15,0,0
119,Ventura,2021-03-15,0,15
120,Yolo,2021-03-15,1,3
121,Yuba,2021-03-15,3,2
122,Alameda,2021-03-14,6,106
123,Alpine,2021-03-14,0,0
124,Amador,2021-03-14,0,0
125,Butte,2021-03-14,3,9
126,Calaveras,2021-03-14,3,0
128,Colusa,2021-03-14,0,1
129,Contra Costa,2021-03-14,16,119
130,Del Norte,2021-03-14,0,7
131,El Dorado,2021-03-14,2,10
132,Fresno,2021-03-14,19,137
133,Glenn,2021-03-14,0,0
134,Humboldt,2021-03-14,2,10
135,Imperial,2021-03-14,0,23
136,Inyo,2021-03-14,0,2
137,Kern,2021-03-14,6,55
138,Kings,2021-03-14,4,27
139,Lake,2021-03-14,1,3
140,Lassen,2021-03-14,0,0
141,Los Angeles,2021-03-14,53,595
142,Madera,2021-03-14,3,24
143,Marin,2021-03-14,2,14
144,Mariposa,2021-03-14,0,0
145,Mendocino,2021-03-14,3,2
146,Merced,2021-03-14,7,43
147,Modoc,2021-03-14,0,0
148,Mono,2021-03-14,0,-1
149,Monterey,2021-03-14,1,18
150,Napa,2021-03-14,2,4
151,Nevada,2021-03-14,0,11
152,Orange,2021-03-14,25,142
154,Placer,2021-03-14,4,50
155,Plumas,2021-03-14,0,0
156,Riverside,2021-03-14,42,141
157,Sacramento,2021-03-14,6,151
158,San Benito,2021-03-14,0,6
159,San Bernardino,2021-03-14,16,64
160,San Diego,2021-03-14,51,198
161,San Francisco,2021-03-14,5,26
162,San Joaquin,2021-03-14,8,83
163,San Luis Obispo,2021-03-14,2,17
164,San Mateo,2021-03-14,6,55
165,Santa Barbara,2021-03-14,13,28
166,Santa Clara,2021-03-14,43,117
167,Santa Cruz,2021-03-14,0,12
168,Shasta,2021-03-14,0,-2
169,Sierra,2021-03-14,0,0
170,Siskiyou,2021-03-14,1,3
171,Solano,2021-03-14,2,32
172,Sonoma,2021-03-14,2,36
173,Stanislaus,2021-03-14,11,49
174,Sutter,2021-03-14,4,10
175,Tehama,2021-03-14,0,3
176,Trinity,2021-03-14,0,2
177,Tulare,2021-03-14,5,27
178,Tuolumne,2021-03-14,0,0
180,Ventura,2021-03-14,24,-82
181,Yolo,2021-03-14,2,41
182,Yuba,2021-03-14,1,6
183,Alameda,2021-03-13,61,112
184,Alpine,2021-03-13,0,0
185,Amador,2021-03-13,4,1
186,Butte,2021-03-13,2,5
187,Calaveras,2021-03-13,0,23
189,Colusa,2021-03-13,0,-1
190,Contra Costa,2021-03-13,56,106
191,Del Norte,2021-03-13,3,8
192,El Dorado,2021-03-13,2,2
193,Fresno,2021-03-13,52,139
194,Glenn,2021-03-13,2,2
195,Humboldt,2021-03-13,5,10
196,Imperial,2021-03-13,5,28
197,Inyo,2021-03-13,0,5
198,Kern,2021-03-13,18,55
199,Kings,2021-03-13,17,32
200,Lake,2021-03-13,5,8
201,Lassen,2021-03-13,0,0
202,Los Angeles,2021-03-13,212,645
203,Madera,2021-03-13,2,19
204,Marin,2021-03-13,4,16
205,Mariposa,2021-03-13,2,0
206,Mendocino,2021-03-13,1,6
207,Merced,2021-03-13,11,42
208,Modoc,2021-03-13,0,0
209,Mono,2021-03-13,0,1
210,Monterey,2021-03-13,8,25
211,Napa,2021-03-13,3,10
212,Nevada,2021-03-13,4,10
213,Orange,2021-03-13,64,126
215,Placer,2021-03-13,21,28
216,Plumas,2021-03-13,0,1
217,Riverside,2021-03-13,89,154
218,Sacramento,2021-03-13,47,131
219,San Benito,2021-03-13,1,6
220,San Bernardino,2021-03-13,33,169
221,San Diego,2021-03-13,64,384
222,San Francisco,2021-03-13,20,26
223,San Joaquin,2021-03-13,21,-2
224,San Luis Obispo,2021-03-13,6,20
225,San Mateo,2021-03-13,25,51
226,Santa Barbara,2021-03-13,11,29
227,Santa Clara,2021-03-13,71,135
228,Santa Cruz,2021-03-13,10,29
229,Shasta,2021-03-13,1,-122
230,Sierra,2021-03-13,0,0
231,Siskiyou,2021-03-13,1,2
232,Solano,2021-03-13,8,18
233,Sonoma,2021-03-13,16,48
234,Stanislaus,2021-03-13,12,111
235,Sutter,2021-03-13,5,8
236,Tehama,2021-03-13,2,9
237,Trinity,2021-03-13,0,0
238,Tulare,2021-03-13,11,46
239,Tuolumne,2021-03-13,0,1
241,Ventura,2021-03-13,32,-5
242,Yolo,2021-03-13,5,26
243,Yuba,2021-03-13,5,14
244,Alameda,2021-03-12,89,89
245,Alpine,2021-03-12,0,4
246,Amador,2021-03-12,0,5
247,Butte,2021-03-12,5,16
248,Calaveras,2021-03-12,2,1
250,Colusa,2021-03-12,0,0
251,Contra Costa,2021-03-12,87,114
252,Del Norte,2021-03-12,5,6
253,El Dorado,2021-03-12,13,8
254,Fresno,2021-03-12,85,159
255,Glenn,2021-03-12,3,3
256,Humboldt,2021-03-12,8,13
257,Imperial,2021-03-12,1,26
258,Inyo,2021-03-12,2,4
259,Kern,2021-03-12,33,90
260,Kings,2021-03-12,11,50
261,Lake,2021-03-12,2,12
262,Lassen,2021-03-12,0,1
263,Los Angeles,2021-03-12,405,749
264,Madera,2021-03-12,14,36
265,Marin,2021-03-12,7,19
266,Mariposa,2021-03-12,1,0
267,Mendocino,2021-03-12,7,1
268,Merced,2021-03-12,31,63
269,Modoc,2021-03-12,0,0
270,Mono,2021-03-12,0,0
271,Monterey,2021-03-12,25,28
272,Napa,2021-03-12,3,7
273,Nevada,2021-03-12,9,16
274,Orange,2021-03-12,103,171
276,Placer,2021-03-12,28,32
277,Plumas,2021-03-12,0,1
278,Riverside,2021-03-12,124,156
279,Sacramento,2021-03-12,125,149
280,San Benito,2021-03-12,4,1
281,San Bernardino,2021-03-12,66,246
282,San Diego,2021-03-12,83,362
283,San Francisco,2021-03-12,26,36
284,San Joaquin,2021-03-12,88,-40
285,San Luis Obispo,2021-03-12,22,21
286,San Mateo,2021-03-12,48,48
287,Santa Barbara,2021-03-12,15,49
288,Santa Clara,2021-03-12,110,150
289,Santa Cruz,2021-03-12,10,34
290,Shasta,2021-03-12,8,4
291,Sierra,2021-03-12,0,1
292,Siskiyou,2021-03-12,0,2
293,Solano,2021-03-12,25,42
294,Sonoma,2021-03-12,36,37
295,Stanislaus,2021-03-12,58,108
296,Sutter,2021-03-12,3,7
297,Tehama,2021-03-12,5,6
298,Trinity,2021-03-12,0,2
299,Tulare,2021-03-12,32,63
300,Tuolumne,2021-03-12,1,2
302,Ventura,2021-03-12,36,1
303,Yolo,2021-03-12,17,20
304,Yuba,2021-03-12,4,10
305,Alameda,2021-03-11,95,108
306,Alpine,2021-03-11,1,0
307,Amador,2021-03-11,0,2
308,Butte,2021-03-11,6,14
309,Calaveras,2021-03-11,3,2
311,Colusa,2021-03-11,0,1
312,Contra Costa,2021-03-11,86,97
313,Del Norte,2021-03-11,5,7
314,El Dorado,2021-03-11,5,8
315,Fresno,2021-03-11,107,160
316,Glenn,2021-03-11,0,2
317,Humboldt,2021-03-11,11,6
318,Imperial,2021-03-11,17,-6
319,Inyo,2021-03-11,2,7
320,Kern,2021-03-11,51,87
321,Kings,2021-03-11,16,17
322,Lake,2021-03-11,4,7
323,Lassen,2021-03-11,0,4
324,Los Angeles,2021-03-11,484,1032
325,Madera,2021-03-11,22,20
326,Marin,2021-03-11,15,8
327,Mariposa,2021-03-11,0,0
328,Mendocino,2021-03-11,3,2
329,Merced,2021-03-11,24,74
330,Modoc,2021-03-11,1,2
331,Mono,2021-03-11,0,2
332,Monterey,2021-03-11,26,16
333,Napa,2021-03-11,11,8
334,Nevada,2021-03-11,4,11
335,Orange,2021-03-11,144,142
337,Placer,2021-03-11,22,34
338,Plumas,2021-03-11,1,1
339,Riverside,2021-03-11,126,173
340,Sacramento,2021-03-11,132,116
341,San Benito,2021-03-11,7,5
342,San Bernardino,2021-03-11,83,172
343,San Diego,2021-03-11,140,430
344,San Francisco,2021-03-11,23,34
345,San Joaquin,2021-03-11,118,39
346,San Luis Obispo,2021-03-11,30,38
347,San Mateo,2021-03-11,27,19
348,Santa Barbara,2021-03-11,17,52
349,Santa Clara,2021-03-11,119,143
350,Santa Cruz,2021-03-11,10,22
351,Shasta,2021-03-11,12,14
352,Sierra,2021-03-11,0,0
353,Siskiyou,2021-03-11,1,8
354,Solano,2021-03-11,28,27
355,Sonoma,2021-03-11,37,39
356,Stanislaus,2021-03-11,70,70
357,Sutter,2021-03-11,12,15
358,Tehama,2021-03-11,9,9
359,Trinity,2021-03-11,0,0
360,Tulare,2021-03-11,37,50
361,Tuolumne,2021-03-11,1,3
363,Ventura,2021-03-11,71,88
364,Yolo,2021-03-11,19,20
365,Yuba,2021-03-11,9,8
366,Alameda,2021-03-10,78,83
367,Alpine,2021-03-10,0,0
368,Amador,2021-03-10,0,2
369,Butte,2021-03-10,11,4
370,Calaveras,2021-03-10,1,0
372,Colusa,2021-03-10,0,2
373,Contra Costa,2021-03-10,87,58
374,Del Norte,2021-03-10,6,3
375,El Dorado,2021-03-10,7,5
376,Fresno,2021-03-10,103,122
377,Glenn,2021-03-10,2,2
378,Humboldt,2021-03-10,11,8
379,Imperial,2021-03-10,5,6
380,Inyo,2021-03-10,2,4
381,Kern,2021-03-10,76,41
382,Kings,2021-03-10,30,23
383,Lake,2021-03-10,8,5
384,Lassen,2021-03-10,0,0
385,Los Angeles,2021-03-10,493,1112
386,Madera,2021-03-10,13,4
387,Marin,2021-03-10,16,13
388,Mariposa,2021-03-10,0,0
389,Mendocino,2021-03-10,3,7
390,Merced,2021-03-10,43,51
391,Modoc,2021-03-10,0,0
392,Mono,2021-03-10,1,1
393,Monterey,2021-03-10,17,26
394,Napa,2021-03-10,5,10
395,Nevada,2021-03-10,8,12
396,Orange,2021-03-10,117,86
398,Placer,2021-03-10,30,22
399,Plumas,2021-03-10,2,0
400,Riverside,2021-03-10,126,146
401,Sacramento,2021-03-10,159,76
402,San Benito,2021-03-10,4,11
403,San Bernardino,2021-03-10,99,169
404,San Diego,2021-03-10,161,349
405,San Francisco,2021-03-10,21,34
406,San Joaquin,2021-03-10,84,100
407,San Luis Obispo,2021-03-10,11,38
408,San Mateo,2021-03-10,44,36
409,Santa Barbara,2021-03-10,27,42
410,Santa Clara,2021-03-10,135,140
411,Santa Cruz,2021-03-10,17,26
412,Shasta,2021-03-10,1,12
413,Sierra,2021-03-10,0,0
414,Siskiyou,2021-03-10,4,11
415,Solano,2021-03-10,24,21
416,Sonoma,2021-03-10,35,37
417,Stanislaus,2021-03-10,63,84
418,Sutter,2021-03-10,8,4
419,Tehama,2021-03-10,5,3
420,Trinity,2021-03-10,0,0
421,Tulare,2021-03-10,36,22
422,Tuolumne,2021-03-10,1,2
424,Ventura,2021-03-10,71,83
425,Yolo,2021-03-10,9,6
426,Yuba,2021-03-10,3,6
427,Alameda,2021-03-09,117,75
428,Alpine,2021-03-09,0,0
429,Amador,2021-03-09,2,4
430,Butte,2021-03-09,15,10
431,Calaveras,2021-03-09,2,4
433,Colusa,2021-03-09,1,3
434,Contra Costa,2021-03-09,73,74
435,Del Norte,2021-03-09,4,5
436,El Dorado,2021-03-09,8,10
437,Fresno,2021-03-09,83,79
438,Glenn,2021-03-09,2,2
439,Humboldt,2021-03-09,9,10
440,Imperial,2021-03-09,3,12
441,Inyo,2021-03-09,1,4
442,Kern,2021-03-09,64,67
443,Kings,2021-03-09,22,13
444,Lake,2021-03-09,12,7
445,Lassen,2021-03-09,0,1
446,Los Angeles,2021-03-09,479,4558
447,Madera,2021-03-09,13,10
448,Marin,2021-03-09,15,7
449,Mariposa,2021-03-09,0,0
450,Mendocino,2021-03-09,5,5
451,Merced,2021-03-09,33,35
452,Modoc,2021-03-09,0,0
453,Mono,2021-03-09,0,3
454,Monterey,2021-03-09,15,31
455,Napa,2021-03-09,7,9
456,Nevada,2021-03-09,2,3
457,Orange,2021-03-09,150,89
459,Placer,2021-03-09,22,20
460,Plumas,2021-03-09,0,4
461,Riverside,2021-03-09,143,99
462,Sacramento,2021-03-09,128,66
463,San Benito,2021-03-09,6,3
464,San Bernardino,2021-03-09,90,77
465,San Diego,2021-03-09,189,473
466,San Francisco,2021-03-09,21,20
467,San Joaquin,2021-03-09,102,76
468,San Luis Obispo,2021-03-09,29,16
469,San Mateo,2021-03-09,50,43
470,Santa Barbara,2021-03-09,29,21
471,Santa Clara,2021-03-09,144,81
472,Santa Cruz,2021-03-09,17,35
473,Shasta,2021-03-09,7,25
474,Sierra,2021-03-09,0,0
475,Siskiyou,2021-03-09,0,7
476,Solano,2021-03-09,20,22
477,Sonoma,2021-03-09,36,30
478,Stanislaus,2021-03-09,46,59
479,Sutter,2021-03-09,3,9
480,Tehama,2021-03-09,5,5
481,Trinity,2021-03-09,3,2
482,Tulare,2021-03-09,33,50
483,Tuolumne,2021-03-09,2,8
485,Ventura,2021-03-09,79,0
486,Yolo,2021-03-09,22,15
487,Yuba,2021-03-09,11,9
488,Alameda,2021-03-08,109,130
489,Alpine,2021-03-08,0,0
490,Amador,2021-03-08,2,1
491,Butte,2021-03-08,10,7
492,Calaveras,2021-03-08,1,3
494,Colusa,2021-03-08,1,1
495,Contra Costa,2021-03-08,79,92
496,Del Norte,2021-03-08,6,2
497,El Dorado,2021-03-08,4,4
498,Fresno,2021-03-08,133,116
499,Glenn,2021-03-08,1,5
500,Humboldt,2021-03-08,9,4
501,Imperial,2021-03-08,9,14
502,Inyo,2021-03-08,9,0
503,Kern,2021-03-08,87,111
504,Kings,2021-03-08,30,27
505,Lake,2021-03-08,5,3
506,Lassen,2021-03-08,2,0
507,Los Angeles,2021-03-08,572,660
508,Madera,2021-03-08,13,16
509,Marin,2021-03-08,17,15
510,Mariposa,2021-03-08,0,0
511,Mendocino,2021-03-08,8,9
512,Merced,2021-03-08,64,12
513,Modoc,2021-03-08,0,0
514,Mono,2021-03-08,4,1
515,Monterey,2021-03-08,17,5
516,Napa,2021-03-08,11,9
517,Nevada,2021-03-08,11,7
518,Orange,2021-03-08,152,129
520,Placer,2021-03-08,32,32
521,Plumas,2021-03-08,1,0
522,Riverside,2021-03-08,155,84
523,Sacramento,2021-03-08,131,141
524,San Benito,2021-03-08,3,2
525,San Bernardino,2021-03-08,147,34
526,San Diego,2021-03-08,197,307
527,San Francisco,2021-03-08,33,40
528,San Joaquin,2021-03-08,109,55
529,San Luis Obispo,2021-03-08,34,42
530,San Mateo,2021-03-08,40,56
531,Santa Barbara,2021-03-08,37,75
532,Santa Clara,2021-03-08,151,137
533,Santa Cruz,2021-03-08,22,14
534,Shasta,2021-03-08,22,5
535,Sierra,2021-03-08,1,0
536,Siskiyou,2021-03-08,4,5
537,Solano,2021-03-08,34,41
538,Sonoma,2021-03-08,40,38
539,Stanislaus,2021-03-08,90,42
540,Sutter,2021-03-08,8,5
541,Tehama,2021-03-08,9,1
542,Trinity,2021-03-08,0,0
543,Tulare,2021-03-08,57,18
544,Tuolumne,2021-03-08,3,-1
546,Ventura,2021-03-08,94,39
547,Yolo,2021-03-08,11,12
548,Yuba,2021-03-08,2,14
549,Alameda,2021-03-07,24,103
550,Alpine,2021-03-07,0,0
551,Amador,2021-03-07,4,2
552,Butte,2021-03-07,2,10
553,Calaveras,2021-03-07,1,2
555,Colusa,2021-03-07,2,2
556,Contra Costa,2021-03-07,52,108
557,Del Norte,2021-03-07,1,10
558,El Dorado,2021-03-07,3,18
559,Fresno,2021-03-07,53,183
560,Glenn,2021-03-07,0,3
561,Humboldt,2021-03-07,4,14
562,Imperial,2021-03-07,4,10
563,Inyo,2021-03-07,1,8
564,Kern,2021-03-07,34,62
565,Kings,2021-03-07,11,9
566,Lake,2021-03-07,1,3
567,Lassen,2021-03-07,0,0
568,Los Angeles,2021-03-07,357,1004
569,Madera,2021-03-07,2,29
570,Marin,2021-03-07,5,24
571,Mariposa,2021-03-07,0,0
572,Mendocino,2021-03-07,2,2
573,Merced,2021-03-07,31,58
574,Modoc,2021-03-07,1,0
575,Mono,2021-03-07,1,1
576,Monterey,2021-03-07,7,20
577,Napa,2021-03-07,2,8
578,Nevada,2021-03-07,6,8
579,Orange,2021-03-07,65,137
581,Placer,2021-03-07,19,40
582,Plumas,2021-03-07,0,1
583,Riverside,2021-03-07,83,154
584,Sacramento,2021-03-07,66,181
585,San Benito,2021-03-07,5,2
586,San Bernardino,2021-03-07,59,123
587,San Diego,2021-03-07,149,187
588,San Francisco,2021-03-07,25,34
589,San Joaquin,2021-03-07,43,90
590,San Luis Obispo,2021-03-07,9,22
591,San Mateo,2021-03-07,27,52
592,Santa Barbara,2021-03-07,28,42
593,Santa Clara,2021-03-07,83,175
594,Santa Cruz,2021-03-07,10,14
595,Shasta,2021-03-07,11,7
596,Sierra,2021-03-07,0,0
597,Siskiyou,2021-03-07,2,3
598,Solano,2021-03-07,15,27
599,Sonoma,2021-03-07,22,49
600,Stanislaus,2021-03-07,48,92
601,Sutter,2021-03-07,7,13
602,Tehama,2021-03-07,1,4
603,Trinity,2021-03-07,0,0
604,Tulare,2021-03-07,19,54
605,Tuolumne,2021-03-07,3,2
607,Ventura,2021-03-07,55,48
608,Yolo,2021-03-07,6,37
609,Yuba,2021-03-07,7,12
610,Alameda,2021-03-06,72,95
611,Alpine,2021-03-06,0,0
612,Amador,2021-03-06,1,3
613,Butte,2021-03-06,5,15
614,Calaveras,2021-03-06,2,2
616,Colusa,2021-03-06,0,0
617,Contra Costa,2021-03-06,66,154
618,Del Norte,2021-03-06,1,5
619,El Dorado,2021-03-06,7,16
620,Fresno,2021-03-06,95,182
621,Glenn,2021-03-06,5,0
622,Humboldt,2021-03-06,6,26
623,Imperial,2021-03-06,4,39
624,Inyo,2021-03-06,2,3
625,Kern,2021-03-06,30,83
626,Kings,2021-03-06,27,31
627,Lake,2021-03-06,2,4
628,Lassen,2021-03-06,0,2
629,Los Angeles,2021-03-06,434,1057
630,Madera,2021-03-06,8,22
631,Marin,2021-03-06,8,14
632,Mariposa,2021-03-06,0,1
633,Mendocino,2021-03-06,8,2
634,Merced,2021-03-06,32,37
635,Modoc,2021-03-06,0,1
636,Mono,2021-03-06,0,1
637,Monterey,2021-03-06,11,36
638,Napa,2021-03-06,6,20
639,Nevada,2021-03-06,4,11
640,Orange,2021-03-06,82,145
642,Placer,2021-03-06,25,57
643,Plumas,2021-03-06,0,-1
644,Riverside,2021-03-06,92,150
645,Sacramento,2021-03-06,93,150
646,San Benito,2021-03-06,1,3
647,San Bernardino,2021-03-06,80,97
648,San Diego,2021-03-06,213,421
649,San Francisco,2021-03-06,36,34
650,San Joaquin,2021-03-06,59,121
651,San Luis Obispo,2021-03-06,21,35
652,San Mateo,2021-03-06,38,79
653,Santa Barbara,2021-03-06,33,37
654,Santa Clara,2021-03-06,78,186
655,Santa Cruz,2021-03-06,9,7
656,Shasta,2021-03-06,6,14
657,Sierra,2021-03-06,0,0
658,Siskiyou,2021-03-06,3,3
659,Solano,2021-03-06,14,49
660,Sonoma,2021-03-06,21,67
661,Stanislaus,2021-03-06,44,85
662,Sutter,2021-03-06,6,11
663,Tehama,2021-03-06,7,4
664,Trinity,2021-03-06,0,0
665,Tulare,2021-03-06,21,46
666,Tuolumne,2021-03-06,0,3
668,Ventura,2021-03-06,55,71
669,Yolo,2021-03-06,9,31
670,Yuba,2021-03-06,12,8
671,Alameda,2021-03-05,95,100
672,Alpine,2021-03-05,0,0
673,Amador,2021-03-05,1,4
674,Butte,2021-03-05,7,17
675,Calaveras,2021-03-05,1,6
677,Colusa,2021-03-05,1,1
678,Contra Costa,2021-03-05,82,97
679,Del Norte,2021-03-05,6,6
680,El Dorado,2021-03-05,12,17
681,Fresno,2021-03-05,138,161
682,Glenn,2021-03-05,4,5
683,Humboldt,2021-03-05,7,22
684,Imperial,2021-03-05,12,24
685,Inyo,2021-03-05,3,9
686,Kern,2021-03-05,88,76
687,Kings,2021-03-05,17,38
688,Lake,2021-03-05,6,4
689,Lassen,2021-03-05,0,1
690,Los Angeles,2021-03-05,563,1283
691,Madera,2021-03-05,33,28
692,Marin,2021-03-05,16,35
693,Mariposa,2021-03-05,0,-1
694,Mendocino,2021-03-05,3,8
695,Merced,2021-03-05,44,63
696,Modoc,2021-03-05,1,1
697,Mono,2021-03-05,0,0
698,Monterey,2021-03-05,19,31
699,Napa,2021-03-05,7,15
700,Nevada,2021-03-05,9,13
701,Orange,2021-03-05,130,135
703,Placer,2021-03-05,26,73
704,Plumas,2021-03-05,0,1
705,Riverside,2021-03-05,118,204
706,Sacramento,2021-03-05,132,200
707,San Benito,2021-03-05,1,9
708,San Bernardino,2021-03-05,123,233
709,San Diego,2021-03-05,218,499
710,San Francisco,2021-03-05,33,46
711,San Joaquin,2021-03-05,82,110
712,San Luis Obispo,2021-03-05,36,37
713,San Mateo,2021-03-05,42,80
714,Santa Barbara,2021-03-05,34,49
715,Santa Clara,2021-03-05,126,190
716,Santa Cruz,2021-03-05,17,25
717,Shasta,2021-03-05,9,12
718,Sierra,2021-03-05,0,0
719,Siskiyou,2021-03-05,8,2
720,Solano,2021-03-05,23,46
721,Sonoma,2021-03-05,51,38
722,Stanislaus,2021-03-05,76,85
723,Sutter,2021-03-05,12,27
724,Tehama,2021-03-05,5,2
725,Trinity,2021-03-05,0,0
726,Tulare,2021-03-05,40,71
727,Tuolumne,2021-03-05,2,1
729,Ventura,2021-03-05,93,184
730,Yolo,2021-03-05,23,25
731,Yuba,2021-03-05,11,13
732,Alameda,2021-03-04,110,143
733,Alpine,2021-03-04,0,1
734,Amador,2021-03-04,2,2
735,Butte,2021-03-04,6,19
736,Calaveras,2021-03-04,4,3
738,Colusa,2021-03-04,1,0
739,Contra Costa,2021-03-04,95,121
740,Del Norte,2021-03-04,5,1
741,El Dorado,2021-03-04,13,12
742,Fresno,2021-03-04,130,130
743,Glenn,2021-03-04,1,3
744,Humboldt,2021-03-04,13,16
745,Imperial,2021-03-04,16,7
746,Inyo,2021-03-04,7,6
747,Kern,2021-03-04,64,91
748,Kings,2021-03-04,16,16
749,Lake,2021-03-04,5,6
750,Lassen,2021-03-04,0,1
751,Los Angeles,2021-03-04,607,1494
752,Madera,2021-03-04,11,43
753,Marin,2021-03-04,11,24
754,Mariposa,2021-03-04,1,0
755,Mendocino,2021-03-04,3,5
756,Merced,2021-03-04,40,46
757,Modoc,2021-03-04,0,3
758,Mono,2021-03-04,1,6
759,Monterey,2021-03-04,29,40
760,Napa,2021-03-04,9,4
761,Nevada,2021-03-04,10,11
762,Orange,2021-03-04,127,234
764,Placer,2021-03-04,25,49
765,Plumas,2021-03-04,1,3
766,Riverside,2021-03-04,153,245
767,Sacramento,2021-03-04,154,163
768,San Benito,2021-03-04,1,7
769,San Bernardino,2021-03-04,133,269
770,San Diego,2021-03-04,228,508
771,San Francisco,2021-03-04,29,37
772,San Joaquin,2021-03-04,98,76
773,San Luis Obispo,2021-03-04,22,41
774,San Mateo,2021-03-04,46,36
775,Santa Barbara,2021-03-04,37,63
776,Santa Clara,2021-03-04,139,203
777,Santa Cruz,2021-03-04,9,24
778,Shasta,2021-03-04,7,27
779,Sierra,2021-03-04,0,0
780,Siskiyou,2021-03-04,2,3
781,Solano,2021-03-04,32,39
782,Sonoma,2021-03-04,37,72
783,Stanislaus,2021-03-04,80,83
784,Sutter,2021-03-04,8,9
785,Tehama,2021-03-04,3,3
786,Trinity,2021-03-04,0,0
787,Tulare,2021-03-04,42,50
788,Tuolumne,2021-03-04,1,2
790,Ventura,2021-03-04,74,127
791,Yolo,2021-03-04,14,5
792,Yuba,2021-03-04,13,4
793,Alameda,2021-03-03,87,68
794,Alpine,2021-03-03,0,0
795,Amador,2021-03-03,2,4
796,Butte,2021-03-03,9,7
797,Calaveras,2021-03-03,3,3
