,date,county,population,cases,deaths,total_tests,positive_tests,reported_cases,reported_deaths,reported_tests
0,2021-03-16,Alameda,1685886,0,0,0,0,100,10,2290
1,2021-03-16,Alpine,1117,0,0,0,0,0,0,1
2,2021-03-16,Amador,38531,0,0,0,0,4,0,35
3,2021-03-16,Butte,217769,0,0,0,0,13,-1,170
4,2021-03-16,Calaveras,44289,0,0,0,0,4,0,27
6,2021-03-16,Colusa,22593,0,0,0,0,-1,0,15
7,2021-03-16,Contra Costa,1160099,0,0,0,0,104,4,1600
8,2021-03-16,Del Norte,27558,0,0,0,0,0,0,50
9,2021-03-16,El Dorado,193098,0,0,0,0,14,2,224
10,2021-03-16,Fresno,1032227,0,0,0,0,118,2,1121
11,2021-03-16,Glenn,29348,0,0,0,0,6,2,17
12,2021-03-16,Humboldt,134098,0,0,0,0,14,1,164
13,2021-03-16,Imperial,191649,0,0,0,0,21,5,84
14,2021-03-16,Inyo,18453,0,0,0,0,0,0,18
15,2021-03-16,Kern,927251,0,0,0,0,74,3,533
16,2021-03-16,Kings,156444,0,0,0,0,26,0,97
17,2021-03-16,Lake,64871,0,0,0,0,9,0,40
18,2021-03-16,Lassen,30065,0,0,0,0,1,0,17
19,2021-03-16,Los Angeles,10257557,0,0,0,0,231,50,59894
20,2021-03-16,Madera,160089,0,0,0,0,16,0,119
21,2021-03-16,Marin,260800,0,0,0,0,11,0,425
22,2021-03-16,Mariposa,17795,0,0,0,0,3,0,5
23,2021-03-16,Mendocino,88439,0,0,0,0,8,0,48
24,2021-03-16,Merced,287420,0,0,0,0,29,0,256
25,2021-03-16,Modoc,9475,0,0,0,0,1,0,2
26,2021-03-16,Mono,13961,0,0,0,0,1,0,1
27,2021-03-16,Monterey,448732,0,0,0,0,12,1,296
28,2021-03-16,Napa,139652,0,0,0,0,13,0,154
29,2021-03-16,Nevada,98710,0,0,0,0,9,1,70
30,2021-03-16,Orange,3228519,0,0,0,0,146,-2,2937
32,2021-03-16,Placer,400434,0,0,0,0,31,2,557
33,2021-03-16,Plumas,18997,0,0,0,0,1,0,17
34,2021-03-16,Riverside,2468145,0,0,0,0,173,37,2219
35,2021-03-16,Sacramento,1567975,0,0,0,0,108,3,1744
36,2021-03-16,San Benito,64022,0,0,0,0,0,0,40
37,2021-03-16,San Bernardino,2217398,0,0,0,0,165,28,1689
38,2021-03-16,San Diego,3370418,0,0,0,0,257,10,-389
39,2021-03-16,San Francisco,892280,0,0,0,0,13,0,1149
40,2021-03-16,San Joaquin,782545,0,0,0,0,234,23,1004
41,2021-03-16,San Luis Obispo,278862,0,0,0,0,19,1,139
42,2021-03-16,San Mateo,778001,0,0,0,0,41,0,1216
43,2021-03-16,Santa Barbara,456373,0,0,0,0,27,2,262
44,2021-03-16,Santa Clara,1967585,0,0,0,0,116,-1,2844
45,2021-03-16,Santa Cruz,273999,0,0,0,0,27,-1,285
46,2021-03-16,Shasta,177925,0,0,0,0,16,8,119
47,2021-03-16,Sierra,3115,0,0,0,0,0,0,0
48,2021-03-16,Siskiyou,43956,0,0,0,0,2,0,39
49,2021-03-16,Solano,444255,0,0,0,0,40,0,502
50,2021-03-16,Sonoma,496668,0,0,0,0,36,6,627
51,2021-03-16,Stanislaus,562303,0,0,0,0,53,0,659
52,2021-03-16,Sutter,105747,0,0,0,0,8,0,87
53,2021-03-16,Tehama,65885,0,0,0,0,10,0,41
54,2021-03-16,Trinity,13354,0,0,0,0,0,0,8
