,area_name,date,year,month,labor_force,employment,unemployment,unemployment_rate
1057,Sacramento County,2020-12-01,2020,December,708900,650100,58800,0.083
1058,San Benito County,2020-12-01,2020,December,30700,28100,2600,0.085
1059,San Bernardino County,2020-12-01,2020,December,981200,894700,86600,0.08800000000000001
1060,San Diego County,2020-12-01,2020,December,1535100,1412500,122700,0.08
1061,San Francisco County,2020-12-01,2020,December,541600,506700,34900,0.064
1062,San Joaquin County,2020-12-01,2020,December,332700,299400,33400,0.1
1063,San Luis Obispo County,2020-12-01,2020,December,128500,120000,8600,0.067
1064,San Mateo County,2020-12-01,2020,December,424400,399700,24700,0.057999999999999996
1065,Santa Barbara County,2020-12-01,2020,December,213100,197600,15500,0.073
1066,Santa Clara County,2020-12-01,2020,December,1010500,950900,59600,0.059000000000000004
1067,Santa Cruz County,2020-12-01,2020,December,128500,118000,10400,0.081
1068,Shasta County,2020-12-01,2020,December,72600,67000,5700,0.078
1069,Sierra County,2020-12-01,2020,December,1270,1180,90,0.07
1070,Siskiyou County,2020-12-01,2020,December,16470,14910,1570,0.095
1071,Solano County,2020-12-01,2020,December,202800,185300,17500,0.086
1072,Sonoma County,2020-12-01,2020,December,236300,220700,15600,0.066
1073,Stanislaus County,2020-12-01,2020,December,239500,217000,22500,0.094
1074,Sutter County,2020-12-01,2020,December,43800,39500,4400,0.099
1075,Tehama County,2020-12-01,2020,December,25180,23160,2020,0.08
1076,Trinity County,2020-12-01,2020,December,4460,4120,340,0.076
1077,Tulare County,2020-12-01,2020,December,191300,169300,21900,0.115
1078,Tuolumne County,2020-12-01,2020,December,19860,18070,1800,0.09
1079,Ventura County,2020-12-01,2020,December,404500,374600,29900,0.07400000000000001
1080,Yolo County,2020-12-01,2020,December,105000,97800,7200,0.068
1081,Yuba County,2020-12-01,2020,December,29500,26600,2900,0.098
2076,Alameda County,2020-11-01,2020,November,801300,746600,54700,0.068
2077,Alpine County,2020-11-01,2020,November,490,460,40,0.075
2078,Amador County,2020-11-01,2020,November,14180,13200,990,0.069
2079,Butte County,2020-11-01,2020,November,90300,84100,6200,0.069
2080,Calaveras County,2020-11-01,2020,November,20940,19770,1180,0.055999999999999994
2081,Colusa County,2020-11-01,2020,November,10200,9170,1030,0.10099999999999999
2082,Contra Costa County,2020-11-01,2020,November,532900,496100,36800,0.069
2083,Del Norte County,2020-11-01,2020,November,9120,8430,690,0.076
2084,El Dorado County,2020-11-01,2020,November,89900,84800,5100,0.057
2085,Fresno County,2020-11-01,2020,November,439400,402200,37300,0.085
2086,Glenn County,2020-11-01,2020,November,12170,11420,750,0.062
2087,Humboldt County,2020-11-01,2020,November,58700,55100,3600,0.062
2088,Imperial County,2020-11-01,2020,November,64800,54200,10600,0.16399999999999998
2089,Inyo County,2020-11-01,2020,November,8180,7710,470,0.057999999999999996
2090,Kern County,2020-11-01,2020,November,379600,345200,34400,0.09
2091,Kings County,2020-11-01,2020,November,54300,49500,4800,0.08800000000000001
