county,administered_date,total_doses,california_flag
San Bernardino,3/2/2021,12717,California
San Diego,3/2/2021,24959,California
San Francisco,3/2/2021,8225,California
San Joaquin,3/2/2021,3807,California
San Luis Obispo,3/2/2021,2721,California
San Mateo,3/2/2021,5141,California
Santa Barbara,3/2/2021,2363,California
Santa Clara,3/2/2021,12075,California
Santa Cruz,3/2/2021,1427,California
Shasta,3/2/2021,473,California
Sierra,3/2/2021,50,California
Siskiyou,3/2/2021,175,California
Solano,3/2/2021,1563,California
Sonoma,3/2/2021,3979,California
Stanislaus,3/2/2021,2236,California
Sutter,3/2/2021,312,California
Tehama,3/2/2021,70,California
Trinity,3/2/2021,6,California
Tulare,3/2/2021,2260,California
Tuolumne,3/2/2021,700,California
Unknown,3/2/2021,20,Not in California
Ventura,3/2/2021,7166,California
Yolo,3/2/2021,1338,California
Yuba,3/2/2021,145,California
Alameda,3/1/2021,12510,California
Alpine,3/1/2021,33,California
Amador,3/1/2021,183,California
Butte,3/1/2021,1131,California
Calaveras,3/1/2021,184,California
Colusa,3/1/2021,43,California
Contra Costa,3/1/2021,7389,California
Del Norte,3/1/2021,26,California
El Dorado,3/1/2021,1006,California
Fresno,3/1/2021,4459,California
Glenn,3/1/2021,27,California
Humboldt,3/1/2021,233,California
Imperial,3/1/2021,510,California
Inyo,3/1/2021,23,California
Kern,3/1/2021,3576,California
Kings,3/1/2021,241,California
Lake,3/1/2021,570,California
Lassen,3/1/2021,36,California
Linn,3/1/2021,1,California
Los Angeles,3/1/2021,51894,California
Madera,3/1/2021,355,California
Marin,3/1/2021,2246,California
Mariposa,3/1/2021,56,California
Mendocino,3/1/2021,562,California
Merced,3/1/2021,1112,California
Modoc,3/1/2021,4,California
Monterey,3/1/2021,1225,California
Napa,3/1/2021,1029,California
Nevada,3/1/2021,768,California
Orange,3/1/2021,17406,California
Outside California,3/1/2021,5535,Not in California
Placer,3/1/2021,2805,California
Plumas,3/1/2021,10,California
Riverside,3/1/2021,13108,California
Sacramento,3/1/2021,7098,California
San Benito,3/1/2021,214,California
San Bernardino,3/1/2021,7190,California
San Diego,3/1/2021,22956,California
San Francisco,3/1/2021,9555,California
San Joaquin,3/1/2021,3924,California
San Luis Obispo,3/1/2021,2868,California
San Mateo,3/1/2021,5264,California
Santa Barbara,3/1/2021,1486,California
Santa Clara,3/1/2021,12982,California
Santa Cruz,3/1/2021,1773,California
Shasta,3/1/2021,549,California
Sierra,3/1/2021,2,California
Siskiyou,3/1/2021,270,California
Solano,3/1/2021,1423,California
Sonoma,3/1/2021,3390,California
Stanislaus,3/1/2021,2917,California
Sutter,3/1/2021,232,California
Tehama,3/1/2021,61,California
Trinity,3/1/2021,7,California
Tulare,3/1/2021,1527,California
Tuolumne,3/1/2021,101,California
Unknown,3/1/2021,48,Not in California
Ventura,3/1/2021,6718,California
Yolo,3/1/2021,983,California
Yuba,3/1/2021,148,California
Alameda,2/28/2021,8905,California
Amador,2/28/2021,94,California
Butte,2/28/2021,114,California
Calaveras,2/28/2021,87,California
Colusa,2/28/2021,24,California
Contra Costa,2/28/2021,3640,California
Del Norte,2/28/2021,6,California
El Dorado,2/28/2021,506,California
Fresno,2/28/2021,1490,California
Glenn,2/28/2021,5,California
Humboldt,2/28/2021,106,California
Imperial,2/28/2021,83,California
Inyo,2/28/2021,2,California
Kern,2/28/2021,843,California
Kings,2/28/2021,993,California
Lake,2/28/2021,17,California
Lassen,2/28/2021,5,California
Los Angeles,2/28/2021,25383,California
Madera,2/28/2021,179,California
Marin,2/28/2021,1316,California
Mariposa,2/28/2021,2,California
Mendocino,2/28/2021,35,California
Merced,2/28/2021,278,California
Mono,2/28/2021,1,California
Monterey,2/28/2021,1464,California
Napa,2/28/2021,541,California
Nevada,2/28/2021,233,California
Orange,2/28/2021,18309,California
Outside California,2/28/2021,3548,Not in California
Placer,2/28/2021,1348,California
Riverside,2/28/2021,4407,California
Sacramento,2/28/2021,5035,California
San Benito,2/28/2021,191,California
San Bernardino,2/28/2021,1611,California
San Diego,2/28/2021,13524,California
San Francisco,2/28/2021,7441,California
San Joaquin,2/28/2021,2908,California
San Luis Obispo,2/28/2021,175,California
San Mateo,2/28/2021,3976,California
Santa Barbara,2/28/2021,998,California
Santa Clara,2/28/2021,4556,California
Santa Cruz,2/28/2021,1273,California
Shasta,2/28/2021,167,California
Siskiyou,2/28/2021,3,California
Solano,2/28/2021,1274,California
Sonoma,2/28/2021,2144,California
Stanislaus,2/28/2021,731,California
Sutter,2/28/2021,75,California
Tehama,2/28/2021,22,California
Trinity,2/28/2021,1,California
Tulare,2/28/2021,1221,California
Tuolumne,2/28/2021,44,California
Unknown,2/28/2021,24,Not in California
Ventura,2/28/2021,2474,California
Yolo,2/28/2021,1634,California
Yuba,2/28/2021,61,California
Alameda,2/27/2021,14406,California
Amador,2/27/2021,284,California
Butte,2/27/2021,227,California
Calaveras,2/27/2021,203,California
Colusa,2/27/2021,54,California
Contra Costa,2/27/2021,6375,California
Del Norte,2/27/2021,152,California
El Dorado,2/27/2021,1562,California
Fresno,2/27/2021,6052,California
Glenn,2/27/2021,14,California
Humboldt,2/27/2021,877,California
Imperial,2/27/2021,931,California
Inyo,2/27/2021,13,California
Kern,2/27/2021,3528,California
Kings,2/27/2021,1232,California
Lake,2/27/2021,57,California
Lassen,2/27/2021,8,California
Los Angeles,2/27/2021,57366,California
Madera,2/27/2021,844,California
Marin,2/27/2021,2543,California
Mariposa,2/27/2021,153,California
Mendocino,2/27/2021,187,California
Merced,2/27/2021,1907,California
Modoc,2/27/2021,5,California
Mono,2/27/2021,136,California
Monterey,2/27/2021,964,California
Napa,2/27/2021,1018,California
Nevada,2/27/2021,330,California
Orange,2/27/2021,24414,California
Outside California,2/27/2021,5666,Not in California
Placer,2/27/2021,2675,California
Plumas,2/27/2021,42,California
Riverside,2/27/2021,10934,California
Sacramento,2/27/2021,9353,California
San Benito,2/27/2021,96,California
San Bernardino,2/27/2021,6412,California
San Diego,2/27/2021,20445,California
San Francisco,2/27/2021,8649,California
San Joaquin,2/27/2021,5256,California
San Luis Obispo,2/27/2021,565,California
San Mateo,2/27/2021,6460,California
Santa Barbara,2/27/2021,1464,California
Santa Clara,2/27/2021,7897,California
Santa Cruz,2/27/2021,2613,California
Shasta,2/27/2021,806,California
Sierra,2/27/2021,2,California
Siskiyou,2/27/2021,30,California
Solano,2/27/2021,3420,California
Sonoma,2/27/2021,3887,California
Stanislaus,2/27/2021,1963,California
Sutter,2/27/2021,802,California
Tehama,2/27/2021,296,California
Trinity,2/27/2021,4,California
Tulare,2/27/2021,2670,California
Tuolumne,2/27/2021,943,California
Unknown,2/27/2021,30,Not in California
Ventura,2/27/2021,9805,California
Yolo,2/27/2021,1583,California
Yuba,2/27/2021,449,California
Alameda,2/26/2021,16828,California
Alpine,2/26/2021,29,California
Amador,2/26/2021,591,California
Butte,2/26/2021,854,California
Calaveras,2/26/2021,637,California
Colusa,2/26/2021,95,California
Contra Costa,2/26/2021,9423,California
Del Norte,2/26/2021,99,California
El Dorado,2/26/2021,2009,California
Fresno,2/26/2021,7249,California
Glenn,2/26/2021,303,California
Humboldt,2/26/2021,2071,California
Imperial,2/26/2021,1637,California
Inyo,2/26/2021,103,California
Kern,2/26/2021,6090,California
Kings,2/26/2021,600,California
Lake,2/26/2021,974,California
Lassen,2/26/2021,64,California
Los Angeles,2/26/2021,78742,California
Madera,2/26/2021,1017,California
Marin,2/26/2021,3307,California
Mariposa,2/26/2021,411,California
Mendocino,2/26/2021,1337,California
Merced,2/26/2021,2049,California
Modoc,2/26/2021,3,California
Mono,2/26/2021,576,California
Monterey,2/26/2021,4953,California
Napa,2/26/2021,1396,California
Nevada,2/26/2021,1180,California
Orange,2/26/2021,26051,California
Outside California,2/26/2021,7107,Not in California
Placer,2/26/2021,3825,California
Plumas,2/26/2021,255,California
Riverside,2/26/2021,17000,California
Sacramento,2/26/2021,12224,California
San Benito,2/26/2021,604,California
San Bernardino,2/26/2021,12297,California
San Diego,2/26/2021,32428,California
San Francisco,2/26/2021,11177,California
San Joaquin,2/26/2021,5185,California
San Luis Obispo,2/26/2021,2577,California
San Mateo,2/26/2021,8878,California
Santa Barbara,2/26/2021,3272,California
Santa Clara,2/26/2021,11942,California
Santa Cruz,2/26/2021,2621,California
Shasta,2/26/2021,748,California
Sierra,2/26/2021,9,California
Siskiyou,2/26/2021,660,California
Solano,2/26/2021,2245,California
Sonoma,2/26/2021,5731,California
Stanislaus,2/26/2021,3945,California
Sutter,2/26/2021,347,California
Tehama,2/26/2021,448,California
Trinity,2/26/2021,10,California
Tulare,2/26/2021,3319,California
Tuolumne,2/26/2021,135,California
Unknown,2/26/2021,35,Not in California
Ventura,2/26/2021,8935,California
Yolo,2/26/2021,2072,California
Yuba,2/26/2021,234,California
Alameda,2/25/2021,14842,California
Alpine,2/25/2021,7,California
Amador,2/25/2021,501,California
Butte,2/25/2021,1998,California
Calaveras,2/25/2021,469,California
Colusa,2/25/2021,95,California
Contra Costa,2/25/2021,10521,California
Del Norte,2/25/2021,300,California
El Dorado,2/25/2021,1416,California
Fresno,2/25/2021,6942,California
Glenn,2/25/2021,255,California
Humboldt,2/25/2021,808,California
Imperial,2/25/2021,807,California
Inyo,2/25/2021,125,California
Kern,2/25/2021,4969,California
Kings,2/25/2021,639,California
Lake,2/25/2021,671,California
Lassen,2/25/2021,146,California
Lewis,2/25/2021,1,California
Los Angeles,2/25/2021,69508,California
Madera,2/25/2021,991,California
Marin,2/25/2021,3705,California
Mariposa,2/25/2021,4,California
Meeker,2/25/2021,1,California
Mendocino,2/25/2021,1172,California
Merced,2/25/2021,1630,California
Modoc,2/25/2021,169,California
Mono,2/25/2021,5,California
Monterey,2/25/2021,4171,California
Napa,2/25/2021,2340,California
Nevada,2/25/2021,826,California
Orange,2/25/2021,21721,California
Outside California,2/25/2021,7909,Not in California
Placer,2/25/2021,3138,California
Plumas,2/25/2021,221,California
Riverside,2/25/2021,16028,California
Sacramento,2/25/2021,9063,California
San Benito,2/25/2021,383,California
San Bernardino,2/25/2021,11858,California
San Diego,2/25/2021,31550,California
San Francisco,2/25/2021,9447,California
San Joaquin,2/25/2021,6027,California
San Luis Obispo,2/25/2021,2025,California
San Mateo,2/25/2021,8615,California
Santa Barbara,2/25/2021,3374,California
Santa Clara,2/25/2021,13124,California
Santa Cruz,2/25/2021,3098,California
Shasta,2/25/2021,458,California
Sierra,2/25/2021,127,California
Siskiyou,2/25/2021,294,California
Solano,2/25/2021,2099,California
Sonoma,2/25/2021,5351,California
Stanislaus,2/25/2021,3727,California
Sutter,2/25/2021,764,California
Tehama,2/25/2021,373,California
Trinity,2/25/2021,36,California
Tulare,2/25/2021,3190,California
Tuolumne,2/25/2021,1034,California
Unknown,2/25/2021,85,Not in California
Ventura,2/25/2021,7262,California
Yolo,2/25/2021,1287,California
Yuba,2/25/2021,316,California
Alameda,2/24/2021,13847,California
Amador,2/24/2021,387,California
Butte,2/24/2021,2057,California
Calaveras,2/24/2021,90,California
Colusa,2/24/2021,298,California
Contra Costa,2/24/2021,9390,California
Del Norte,2/24/2021,149,California
El Dorado,2/24/2021,865,California
Fresno,2/24/2021,3800,California
Glenn,2/24/2021,219,California
Humboldt,2/24/2021,1140,California
Imperial,2/24/2021,668,California
Inyo,2/24/2021,117,California
Kern,2/24/2021,4968,California
Kings,2/24/2021,570,California
Lake,2/24/2021,713,California
Lassen,2/24/2021,163,California
Los Angeles,2/24/2021,60458,California
Madera,2/24/2021,886,California
Marin,2/24/2021,3304,California
Mariposa,2/24/2021,12,California
Mendocino,2/24/2021,1781,California
Merced,2/24/2021,788,California
Modoc,2/24/2021,89,California
Mono,2/24/2021,6,California
Monterey,2/24/2021,2339,California
Napa,2/24/2021,1059,California
Nevada,2/24/2021,460,California
Orange,2/24/2021,20074,California
Outside California,2/24/2021,7487,Not in California
Placer,2/24/2021,3093,California
Plumas,2/24/2021,449,California
Riverside,2/24/2021,13988,California
Sacramento,2/24/2021,8712,California
San Benito,2/24/2021,355,California
San Bernardino,2/24/2021,11081,California
San Diego,2/24/2021,27172,California
San Francisco,2/24/2021,8684,California
San Joaquin,2/24/2021,5474,California
San Luis Obispo,2/24/2021,2625,California
San Mateo,2/24/2021,7012,California
Santa Barbara,2/24/2021,3050,California
Santa Clara,2/24/2021,12511,California
Santa Cruz,2/24/2021,3099,California
Shasta,2/24/2021,503,California
Sierra,2/24/2021,2,California
Siskiyou,2/24/2021,145,California
Solano,2/24/2021,2073,California
Sonoma,2/24/2021,5029,California
Stanislaus,2/24/2021,3861,California
Sutter,2/24/2021,951,California
Tehama,2/24/2021,294,California
Trinity,2/24/2021,16,California
Tulare,2/24/2021,2293,California
Tuolumne,2/24/2021,81,California
Unknown,2/24/2021,52,Not in California
Ventura,2/24/2021,4734,California
Yolo,2/24/2021,1878,California
Yuba,2/24/2021,467,California
Alameda,2/23/2021,12284,California
Amador,2/23/2021,309,California
Butte,2/23/2021,1553,California
Calaveras,2/23/2021,145,California
Colusa,2/23/2021,18,California
Contra Costa,2/23/2021,10917,California
Del Norte,2/23/2021,101,California
El Dorado,2/23/2021,718,California
Fresno,2/23/2021,3577,California
Glenn,2/23/2021,38,California
Humboldt,2/23/2021,134,California
Imperial,2/23/2021,883,California
Inyo,2/23/2021,193,California
Kern,2/23/2021,3011,California
Kings,2/23/2021,274,California
Lake,2/23/2021,162,California
Lassen,2/23/2021,151,California
Los Angeles,2/23/2021,51509,California
Madera,2/23/2021,716,California
Marin,2/23/2021,2731,California
Mariposa,2/23/2021,4,California
Mendocino,2/23/2021,645,California
Merced,2/23/2021,1057,California
Modoc,2/23/2021,23,California
Mono,2/23/2021,133,California
Monterey,2/23/2021,933,California
Napa,2/23/2021,1008,California
Nevada,2/23/2021,432,California
Orange,2/23/2021,12753,California
Outside California,2/23/2021,7009,Not in California
Placer,2/23/2021,2356,California
Plumas,2/23/2021,21,California
Riverside,2/23/2021,10727,California
Sacramento,2/23/2021,6645,California
San Benito,2/23/2021,345,California
San Bernardino,2/23/2021,8373,California
San Diego,2/23/2021,23841,California
San Francisco,2/23/2021,5279,California
San Joaquin,2/23/2021,3976,California
San Luis Obispo,2/23/2021,1846,California
San Mateo,2/23/2021,4047,California
Santa Barbara,2/23/2021,3136,California
Santa Clara,2/23/2021,10933,California
Santa Cruz,2/23/2021,2085,California
Shasta,2/23/2021,398,California
Sierra,2/23/2021,4,California
Siskiyou,2/23/2021,191,California
Solano,2/23/2021,1788,California
Sonoma,2/23/2021,2871,California
Stanislaus,2/23/2021,3574,California
Sutter,2/23/2021,217,California
Tehama,2/23/2021,43,California
Trinity,2/23/2021,5,California
Tulare,2/23/2021,1620,California
Tuolumne,2/23/2021,38,California
Unknown,2/23/2021,86,Not in California
Ventura,2/23/2021,5813,California
Yolo,2/23/2021,1101,California
Yuba,2/23/2021,110,California
Alameda,2/22/2021,10240,California
Alpine,2/22/2021,27,California
Amador,2/22/2021,63,California
Butte,2/22/2021,1431,California
Calaveras,2/22/2021,64,California
Colusa,2/22/2021,41,California
Contra Costa,2/22/2021,7061,California
Del Norte,2/22/2021,2,California
El Dorado,2/22/2021,822,California
Fresno,2/22/2021,2138,California
Glenn,2/22/2021,31,California
Humboldt,2/22/2021,95,California
Imperial,2/22/2021,765,California
Inyo,2/22/2021,60,California
Kern,2/22/2021,2586,California
Kings,2/22/2021,100,California
Lake,2/22/2021,92,California
Lassen,2/22/2021,23,California
Los Angeles,2/22/2021,32816,California
Madera,2/22/2021,903,California
Marin,2/22/2021,1671,California
Mariposa,2/22/2021,15,California
Mendocino,2/22/2021,159,California
Merced,2/22/2021,817,California
Modoc,2/22/2021,16,California
Mono,2/22/2021,284,California
Monterey,2/22/2021,902,California
Napa,2/22/2021,413,California
Nevada,2/22/2021,483,California
Orange,2/22/2021,9113,California
Outside California,2/22/2021,4388,Not in California
Placer,2/22/2021,2400,California
Plumas,2/22/2021,5,California
Riverside,2/22/2021,12010,California
Sacramento,2/22/2021,5882,California
San Benito,2/22/2021,104,California
San Bernardino,2/22/2021,8273,California
San Diego,2/22/2021,11075,California
San Francisco,2/22/2021,4887,California
San Joaquin,2/22/2021,3351,California
San Luis Obispo,2/22/2021,2398,California
San Mateo,2/22/2021,4172,California
Santa Barbara,2/22/2021,887,California
Santa Clara,2/22/2021,9409,California
Santa Cruz,2/22/2021,1220,California
Shasta,2/22/2021,335,California
Sierra,2/22/2021,2,California
Siskiyou,2/22/2021,124,California
Solano,2/22/2021,1457,California
Sonoma,2/22/2021,2560,California
Stanislaus,2/22/2021,2180,California
Sutter,2/22/2021,197,California
Tehama,2/22/2021,39,California
Trinity,2/22/2021,3,California
Tulare,2/22/2021,1035,California
Tuolumne,2/22/2021,72,California
Unknown,2/22/2021,16,Not in California
Ventura,2/22/2021,5282,California
Yolo,2/22/2021,1335,California
Yuba,2/22/2021,112,California
Alameda,2/21/2021,5860,California
Amador,2/21/2021,40,California
Butte,2/21/2021,14,California
Calaveras,2/21/2021,20,California
Colusa,2/21/2021,1,California
Contra Costa,2/21/2021,1649,California
El Dorado,2/21/2021,230,California
Fresno,2/21/2021,167,California
Humboldt,2/21/2021,474,California
Imperial,2/21/2021,539,California
Inyo,2/21/2021,267,California
Kern,2/21/2021,201,California
Kings,2/21/2021,1,California
Lake,2/21/2021,5,California
Lassen,2/21/2021,18,California
Los Angeles,2/21/2021,13880,California
Madera,2/21/2021,941,California
Marin,2/21/2021,940,California
Mariposa,2/21/2021,232,California
Mendocino,2/21/2021,18,California
Merced,2/21/2021,68,California
Mono,2/21/2021,3,California
Monterey,2/21/2021,1190,California
Napa,2/21/2021,722,California
Nevada,2/21/2021,72,California
Orange,2/21/2021,3785,California
Outside California,2/21/2021,2324,Not in California
Placer,2/21/2021,851,California
Plumas,2/21/2021,6,California
Riverside,2/21/2021,3189,California
Sacramento,2/21/2021,2257,California
San Benito,2/21/2021,23,California
San Bernardino,2/21/2021,778,California
San Diego,2/21/2021,9454,California
San Francisco,2/21/2021,2175,California
San Joaquin,2/21/2021,555,California
San Luis Obispo,2/21/2021,32,California
San Mateo,2/21/2021,2081,California
Santa Barbara,2/21/2021,76,California
Santa Clara,2/21/2021,3050,California
Santa Cruz,2/21/2021,753,California
Shasta,2/21/2021,32,California
Siskiyou,2/21/2021,2,California
Solano,2/21/2021,1906,California
Sonoma,2/21/2021,335,California
Stanislaus,2/21/2021,711,California
Sutter,2/21/2021,26,California
Trinity,2/21/2021,1,California
Tulare,2/21/2021,40,California
Tuolumne,2/21/2021,974,California
Unknown,2/21/2021,13,Not in California
Ventura,2/21/2021,926,California
Yolo,2/21/2021,196,California
Yuba,2/21/2021,14,California
Alameda,2/20/2021,11453,California
Amador,2/20/2021,83,California
Butte,2/20/2021,458,California
Calaveras,2/20/2021,55,California
Colusa,2/20/2021,25,California
Contra Costa,2/20/2021,6154,California
Del Norte,2/20/2021,7,California
El Dorado,2/20/2021,882,California
Fresno,2/20/2021,4110,California
Glenn,2/20/2021,8,California
Humboldt,2/20/2021,1021,California
Imperial,2/20/2021,1037,California
Inyo,2/20/2021,501,California
Kern,2/20/2021,2310,California
Kings,2/20/2021,153,California
Lake,2/20/2021,57,California
Lassen,2/20/2021,7,California
Los Angeles,2/20/2021,28433,California
Madera,2/20/2021,1001,California
Marin,2/20/2021,2385,California
Mariposa,2/20/2021,248,California
Mendocino,2/20/2021,563,California
Merced,2/20/2021,253,California
Modoc,2/20/2021,1,California
Mono,2/20/2021,4,California
Monterey,2/20/2021,954,California
Napa,2/20/2021,785,California
Nevada,2/20/2021,270,California
Orange,2/20/2021,6678,California
Outside California,2/20/2021,3585,Not in California
Placer,2/20/2021,1878,California
Plumas,2/20/2021,101,California
Riverside,2/20/2021,7278,California
Sacramento,2/20/2021,6967,California
San Benito,2/20/2021,41,California
San Bernardino,2/20/2021,3970,California
San Diego,2/20/2021,9676,California
San Francisco,2/20/2021,4220,California
San Joaquin,2/20/2021,1447,California
San Luis Obispo,2/20/2021,224,California
San Mateo,2/20/2021,3572,California
Santa Barbara,2/20/2021,2151,California
Santa Clara,2/20/2021,6583,California
Santa Cruz,2/20/2021,2247,California
Shasta,2/20/2021,742,California
Sierra,2/20/2021,2,California
Siskiyou,2/20/2021,21,California
Solano,2/20/2021,2352,California
Sonoma,2/20/2021,2968,California
Stanislaus,2/20/2021,720,California
Sutter,2/20/2021,576,California
Tehama,2/20/2021,273,California
Trinity,2/20/2021,138,California
Tulare,2/20/2021,2817,California
Tuolumne,2/20/2021,899,California
Unknown,2/20/2021,11,Not in California
Ventura,2/20/2021,4632,California
Yolo,2/20/2021,2440,California
Yuba,2/20/2021,357,California
Alameda,2/19/2021,16299,California
Alpine,2/19/2021,34,California
Amador,2/19/2021,181,California
Butte,2/19/2021,1163,California
Calaveras,2/19/2021,438,California
Colusa,2/19/2021,152,California
Contra Costa,2/19/2021,10769,California
Del Norte,2/19/2021,44,California
El Dorado,2/19/2021,1055,California
Fresno,2/19/2021,3705,California
Glenn,2/19/2021,301,California
Humboldt,2/19/2021,471,California
Imperial,2/19/2021,770,California
Inyo,2/19/2021,48,California
Kenai Peninsula Borough,2/19/2021,1,California
Kern,2/19/2021,4037,California
Kings,2/19/2021,151,California
Lake,2/19/2021,360,California
Lassen,2/19/2021,82,California
Los Angeles,2/19/2021,54079,California
Madera,2/19/2021,831,California
Marin,2/19/2021,2508,California
Mariposa,2/19/2021,74,California
Mendocino,2/19/2021,698,California
Merced,2/19/2021,1194,California
Mono,2/19/2021,51,California
Monterey,2/19/2021,2853,California
Napa,2/19/2021,1206,California
Nevada,2/19/2021,918,California
Orange,2/19/2021,17257,California
Outside California,2/19/2021,5973,Not in California
Placer,2/19/2021,3306,California
Plumas,2/19/2021,38,California
Riverside,2/19/2021,14612,California
Sacramento,2/19/2021,9247,California
San Benito,2/19/2021,313,California
San Bernardino,2/19/2021,10921,California
San Diego,2/19/2021,15171,California
San Francisco,2/19/2021,4944,California
San Joaquin,2/19/2021,4026,California
San Luis Obispo,2/19/2021,1436,California
San Mateo,2/19/2021,7437,California
Santa Barbara,2/19/2021,3600,California
Santa Clara,2/19/2021,13963,California
Santa Cruz,2/19/2021,3218,California
Shasta,2/19/2021,624,California
Sierra,2/19/2021,1,California
Siskiyou,2/19/2021,58,California
Solano,2/19/2021,1803,California
Sonoma,2/19/2021,4890,California
Stanislaus,2/19/2021,2595,California
Sutter,2/19/2021,658,California
Tehama,2/19/2021,214,California
Trinity,2/19/2021,209,California
Tulare,2/19/2021,2210,California
Tuolumne,2/19/2021,132,California
Unknown,2/19/2021,222,Not in California
Ventura,2/19/2021,6318,California
Yolo,2/19/2021,1677,California
Yuba,2/19/2021,208,California
Alameda,2/18/2021,14721,California
Alpine,2/18/2021,2,California
Amador,2/18/2021,393,California
Butte,2/18/2021,1536,California
Calaveras,2/18/2021,491,California
Colusa,2/18/2021,132,California
Contra Costa,2/18/2021,9789,California
Del Norte,2/18/2021,76,California
El Dorado,2/18/2021,1923,California
Fresno,2/18/2021,6552,California
Glenn,2/18/2021,137,California
Humboldt,2/18/2021,963,California
Imperial,2/18/2021,645,California
Inyo,2/18/2021,111,California
Kern,2/18/2021,3490,California
Kings,2/18/2021,143,California
Kitsap,2/18/2021,1,California
Lake,2/18/2021,395,California
Lassen,2/18/2021,73,California
Los Angeles,2/18/2021,62882,California
Madera,2/18/2021,1259,California
Marin,2/18/2021,2286,California
Mariposa,2/18/2021,37,California
Mendocino,2/18/2021,1049,California
Merced,2/18/2021,1183,California
Modoc,2/18/2021,189,California
Mono,2/18/2021,1,California
Monterey,2/18/2021,2093,California
Napa,2/18/2021,1832,California
Nevada,2/18/2021,990,California
Orange,2/18/2021,13674,California
Outside California,2/18/2021,6744,Not in California
Placer,2/18/2021,3400,California
Plumas,2/18/2021,125,California
Riverside,2/18/2021,14034,California
Sacramento,2/18/2021,8153,California
San Benito,2/18/2021,286,California
San Bernardino,2/18/2021,11766,California
San Diego,2/18/2021,22481,California
San Francisco,2/18/2021,4895,California
San Joaquin,2/18/2021,3202,California
San Luis Obispo,2/18/2021,2800,California
San Mateo,2/18/2021,6273,California
Santa Barbara,2/18/2021,3227,California
Santa Clara,2/18/2021,12556,California
Santa Cruz,2/18/2021,2854,California
Shasta,2/18/2021,603,California
Sierra,2/18/2021,145,California
Siskiyou,2/18/2021,220,California
Solano,2/18/2021,1675,California
Sonoma,2/18/2021,6412,California
Stanislaus,2/18/2021,3171,California
Sutter,2/18/2021,697,California
Tehama,2/18/2021,298,California
Trinity,2/18/2021,3,California
Tulare,2/18/2021,2240,California
Tuolumne,2/18/2021,660,California
Unknown,2/18/2021,121,Not in California
Ventura,2/18/2021,5565,California
Yolo,2/18/2021,2398,California
Yuba,2/18/2021,300,California
Alameda,2/17/2021,13494,California
Alpine,2/17/2021,22,California
Amador,2/17/2021,258,California
Butte,2/17/2021,1500,California
Calaveras,2/17/2021,476,California
Colusa,2/17/2021,204,California
Contra Costa,2/17/2021,10423,California
Del Norte,2/17/2021,90,California
El Dorado,2/17/2021,813,California
Fresno,2/17/2021,4941,California
Glenn,2/17/2021,380,California
Humboldt,2/17/2021,437,California
Imperial,2/17/2021,439,California
Inyo,2/17/2021,36,California
Kern,2/17/2021,3980,California
Kings,2/17/2021,360,California
Lake,2/17/2021,310,California
Lassen,2/17/2021,184,California
Los Angeles,2/17/2021,61075,California
Madera,2/17/2021,592,California
Maricopa,2/17/2021,1,California
Marin,2/17/2021,2021,California
Mariposa,2/17/2021,21,California
Mendocino,2/17/2021,1319,California
Merced,2/17/2021,1866,California
Modoc,2/17/2021,22,California
Mono,2/17/2021,5,California
Monterey,2/17/2021,1819,California
Napa,2/17/2021,969,California
Nevada,2/17/2021,1168,California
Orange,2/17/2021,17092,California
Outside California,2/17/2021,6341,Not in California
Placer,2/17/2021,3360,California
Plumas,2/17/2021,133,California
Riverside,2/17/2021,14019,California
Sacramento,2/17/2021,8338,California
San Benito,2/17/2021,308,California
San Bernardino,2/17/2021,10497,California
San Diego,2/17/2021,22148,California
San Francisco,2/17/2021,5182,California
San Joaquin,2/17/2021,3135,California
San Luis Obispo,2/17/2021,2748,California
San Mateo,2/17/2021,6708,California
Santa Barbara,2/17/2021,1419,California
Santa Clara,2/17/2021,12969,California
Santa Cruz,2/17/2021,2900,California
Shasta,2/17/2021,950,California
Sierra,2/17/2021,3,California
Siskiyou,2/17/2021,182,California
Solano,2/17/2021,2273,California
Sonoma,2/17/2021,5059,California
Stanislaus,2/17/2021,2660,California
Sutter,2/17/2021,824,California
Tehama,2/17/2021,291,California
Trinity,2/17/2021,93,California
Tulare,2/17/2021,2671,California
Tuolumne,2/17/2021,103,California
Unknown,2/17/2021,17,Not in California
Ventura,2/17/2021,5132,California
Yavapai,2/17/2021,1,California
Yolo,2/17/2021,1349,California
Yuba,2/17/2021,367,California
Alameda,2/16/2021,12110,California
Amador,2/16/2021,400,California
Butte,2/16/2021,725,California
Calaveras,2/16/2021,289,California
Colusa,2/16/2021,67,California
Contra Costa,2/16/2021,10072,California
Del Norte,2/16/2021,131,California
El Dorado,2/16/2021,1138,California
Fresno,2/16/2021,6238,California
Glenn,2/16/2021,36,California
Humboldt,2/16/2021,507,California
Imperial,2/16/2021,513,California
Inyo,2/16/2021,180,California
Kern,2/16/2021,2839,California
Kings,2/16/2021,473,California
Lake,2/16/2021,378,California
Lassen,2/16/2021,193,California
Los Angeles,2/16/2021,61356,California
Madera,2/16/2021,754,California
Marin,2/16/2021,2410,California
Mariposa,2/16/2021,19,California
Mendocino,2/16/2021,185,California
Merced,2/16/2021,1190,California
Modoc,2/16/2021,140,California
Mono,2/16/2021,530,California
Monterey,2/16/2021,1047,California
Napa,2/16/2021,1204,California
Nevada,2/16/2021,608,California
