,county,date,population
0,Alameda,2021-03-16,1685886
1,Alpine,2021-03-16,1117
2,Amador,2021-03-16,38531
3,Butte,2021-03-16,217769
4,Calaveras,2021-03-16,44289
5,California,2021-03-16,40129160
6,Colusa,2021-03-16,22593
7,Contra Costa,2021-03-16,1160099
8,Del Norte,2021-03-16,27558
9,El Dorado,2021-03-16,193098
10,Fresno,2021-03-16,1032227
11,Glenn,2021-03-16,29348
12,Humboldt,2021-03-16,134098
13,Imperial,2021-03-16,191649
14,Inyo,2021-03-16,18453
15,Kern,2021-03-16,927251
16,Kings,2021-03-16,156444
17,Lake,2021-03-16,64871
18,Lassen,2021-03-16,30065
19,Los Angeles,2021-03-16,10257557
20,Madera,2021-03-16,160089
21,Marin,2021-03-16,260800
22,Mariposa,2021-03-16,17795
23,Mendocino,2021-03-16,88439
24,Merced,2021-03-16,287420
25,Modoc,2021-03-16,9475
26,Mono,2021-03-16,13961
27,Monterey,2021-03-16,448732
28,Napa,2021-03-16,139652
29,Nevada,2021-03-16,98710
30,Orange,2021-03-16,3228519
32,Placer,2021-03-16,400434
33,Plumas,2021-03-16,18997
34,Riverside,2021-03-16,2468145
35,Sacramento,2021-03-16,1567975
36,San Benito,2021-03-16,64022
37,San Bernardino,2021-03-16,2217398
38,San Diego,2021-03-16,3370418
39,San Francisco,2021-03-16,892280
40,San Joaquin,2021-03-16,782545
41,San Luis Obispo,2021-03-16,278862
42,San Mateo,2021-03-16,778001
43,Santa Barbara,2021-03-16,456373
44,Santa Clara,2021-03-16,1967585
45,Santa Cruz,2021-03-16,273999
46,Shasta,2021-03-16,177925
47,Sierra,2021-03-16,3115
48,Siskiyou,2021-03-16,43956
49,Solano,2021-03-16,444255
50,Sonoma,2021-03-16,496668
51,Stanislaus,2021-03-16,562303
52,Sutter,2021-03-16,105747
53,Tehama,2021-03-16,65885
54,Trinity,2021-03-16,13354
55,Tulare,2021-03-16,484423
56,Tuolumne,2021-03-16,52351
58,Ventura,2021-03-16,852747
59,Yolo,2021-03-16,223612
60,Yuba,2021-03-16,79290
61,Alameda,2021-03-15,1685886
62,Alpine,2021-03-15,1117
63,Amador,2021-03-15,38531
64,Butte,2021-03-15,217769
65,Calaveras,2021-03-15,44289
66,California,2021-03-15,40129160
67,Colusa,2021-03-15,22593
68,Contra Costa,2021-03-15,1160099
69,Del Norte,2021-03-15,27558
70,El Dorado,2021-03-15,193098
71,Fresno,2021-03-15,1032227
72,Glenn,2021-03-15,29348
73,Humboldt,2021-03-15,134098
74,Imperial,2021-03-15,191649
75,Inyo,2021-03-15,18453
76,Kern,2021-03-15,927251
77,Kings,2021-03-15,156444
78,Lake,2021-03-15,64871
79,Lassen,2021-03-15,30065
80,Los Angeles,2021-03-15,10257557
81,Madera,2021-03-15,160089
82,Marin,2021-03-15,260800
83,Mariposa,2021-03-15,17795
84,Mendocino,2021-03-15,88439
85,Merced,2021-03-15,287420
86,Modoc,2021-03-15,9475
87,Mono,2021-03-15,13961
88,Monterey,2021-03-15,448732
89,Napa,2021-03-15,139652
90,Nevada,2021-03-15,98710
91,Orange,2021-03-15,3228519
93,Placer,2021-03-15,400434
94,Plumas,2021-03-15,18997
95,Riverside,2021-03-15,2468145
96,Sacramento,2021-03-15,1567975
97,San Benito,2021-03-15,64022
98,San Bernardino,2021-03-15,2217398
99,San Diego,2021-03-15,3370418
100,San Francisco,2021-03-15,892280
101,San Joaquin,2021-03-15,782545
102,San Luis Obispo,2021-03-15,278862
103,San Mateo,2021-03-15,778001
104,Santa Barbara,2021-03-15,456373
105,Santa Clara,2021-03-15,1967585
106,Santa Cruz,2021-03-15,273999
107,Shasta,2021-03-15,177925
108,Sierra,2021-03-15,3115
109,Siskiyou,2021-03-15,43956
110,Solano,2021-03-15,444255
111,Sonoma,2021-03-15,496668
112,Stanislaus,2021-03-15,562303
113,Sutter,2021-03-15,105747
114,Tehama,2021-03-15,65885
115,Trinity,2021-03-15,13354
116,Tulare,2021-03-15,484423
117,Tuolumne,2021-03-15,52351
119,Ventura,2021-03-15,852747
120,Yolo,2021-03-15,223612
121,Yuba,2021-03-15,79290
122,Alameda,2021-03-14,1685886
123,Alpine,2021-03-14,1117
124,Amador,2021-03-14,38531
125,Butte,2021-03-14,217769
126,Calaveras,2021-03-14,44289
127,California,2021-03-14,40129160
128,Colusa,2021-03-14,22593
129,Contra Costa,2021-03-14,1160099
130,Del Norte,2021-03-14,27558
131,El Dorado,2021-03-14,193098
132,Fresno,2021-03-14,1032227
133,Glenn,2021-03-14,29348
134,Humboldt,2021-03-14,134098
135,Imperial,2021-03-14,191649
136,Inyo,2021-03-14,18453
137,Kern,2021-03-14,927251
138,Kings,2021-03-14,156444
139,Lake,2021-03-14,64871
140,Lassen,2021-03-14,30065
141,Los Angeles,2021-03-14,10257557
142,Madera,2021-03-14,160089
143,Marin,2021-03-14,260800
144,Mariposa,2021-03-14,17795
145,Mendocino,2021-03-14,88439
146,Merced,2021-03-14,287420
147,Modoc,2021-03-14,9475
148,Mono,2021-03-14,13961
149,Monterey,2021-03-14,448732
150,Napa,2021-03-14,139652
151,Nevada,2021-03-14,98710
152,Orange,2021-03-14,3228519
154,Placer,2021-03-14,400434
155,Plumas,2021-03-14,18997
156,Riverside,2021-03-14,2468145
157,Sacramento,2021-03-14,1567975
158,San Benito,2021-03-14,64022
159,San Bernardino,2021-03-14,2217398
160,San Diego,2021-03-14,3370418
161,San Francisco,2021-03-14,892280
162,San Joaquin,2021-03-14,782545
163,San Luis Obispo,2021-03-14,278862
164,San Mateo,2021-03-14,778001
165,Santa Barbara,2021-03-14,456373
166,Santa Clara,2021-03-14,1967585
167,Santa Cruz,2021-03-14,273999
168,Shasta,2021-03-14,177925
169,Sierra,2021-03-14,3115
170,Siskiyou,2021-03-14,43956
171,Solano,2021-03-14,444255
172,Sonoma,2021-03-14,496668
173,Stanislaus,2021-03-14,562303
174,Sutter,2021-03-14,105747
175,Tehama,2021-03-14,65885
176,Trinity,2021-03-14,13354
177,Tulare,2021-03-14,484423
178,Tuolumne,2021-03-14,52351
180,Ventura,2021-03-14,852747
181,Yolo,2021-03-14,223612
182,Yuba,2021-03-14,79290
183,Alameda,2021-03-13,1685886
184,Alpine,2021-03-13,1117
185,Amador,2021-03-13,38531
186,Butte,2021-03-13,217769
187,Calaveras,2021-03-13,44289
188,California,2021-03-13,40129160
189,Colusa,2021-03-13,22593
190,Contra Costa,2021-03-13,1160099
191,Del Norte,2021-03-13,27558
192,El Dorado,2021-03-13,193098
193,Fresno,2021-03-13,1032227
194,Glenn,2021-03-13,29348
195,Humboldt,2021-03-13,134098
196,Imperial,2021-03-13,191649
197,Inyo,2021-03-13,18453
198,Kern,2021-03-13,927251
199,Kings,2021-03-13,156444
200,Lake,2021-03-13,64871
201,Lassen,2021-03-13,30065
202,Los Angeles,2021-03-13,10257557
203,Madera,2021-03-13,160089
204,Marin,2021-03-13,260800
205,Mariposa,2021-03-13,17795
206,Mendocino,2021-03-13,88439
207,Merced,2021-03-13,287420
208,Modoc,2021-03-13,9475
209,Mono,2021-03-13,13961
210,Monterey,2021-03-13,448732
211,Napa,2021-03-13,139652
212,Nevada,2021-03-13,98710
213,Orange,2021-03-13,3228519
215,Placer,2021-03-13,400434
216,Plumas,2021-03-13,18997
217,Riverside,2021-03-13,2468145
218,Sacramento,2021-03-13,1567975
219,San Benito,2021-03-13,64022
220,San Bernardino,2021-03-13,2217398
221,San Diego,2021-03-13,3370418
222,San Francisco,2021-03-13,892280
223,San Joaquin,2021-03-13,782545
224,San Luis Obispo,2021-03-13,278862
225,San Mateo,2021-03-13,778001
226,Santa Barbara,2021-03-13,456373
227,Santa Clara,2021-03-13,1967585
228,Santa Cruz,2021-03-13,273999
229,Shasta,2021-03-13,177925
230,Sierra,2021-03-13,3115
231,Siskiyou,2021-03-13,43956
232,Solano,2021-03-13,444255
233,Sonoma,2021-03-13,496668
234,Stanislaus,2021-03-13,562303
235,Sutter,2021-03-13,105747
236,Tehama,2021-03-13,65885
237,Trinity,2021-03-13,13354
238,Tulare,2021-03-13,484423
239,Tuolumne,2021-03-13,52351
241,Ventura,2021-03-13,852747
242,Yolo,2021-03-13,223612
243,Yuba,2021-03-13,79290
244,Alameda,2021-03-12,1685886
245,Alpine,2021-03-12,1117
246,Amador,2021-03-12,38531
247,Butte,2021-03-12,217769
248,Calaveras,2021-03-12,44289
249,California,2021-03-12,40129160
250,Colusa,2021-03-12,22593
251,Contra Costa,2021-03-12,1160099
252,Del Norte,2021-03-12,27558
253,El Dorado,2021-03-12,193098
254,Fresno,2021-03-12,1032227
255,Glenn,2021-03-12,29348
256,Humboldt,2021-03-12,134098
257,Imperial,2021-03-12,191649
258,Inyo,2021-03-12,18453
259,Kern,2021-03-12,927251
260,Kings,2021-03-12,156444
261,Lake,2021-03-12,64871
262,Lassen,2021-03-12,30065
263,Los Angeles,2021-03-12,10257557
264,Madera,2021-03-12,160089
265,Marin,2021-03-12,260800
266,Mariposa,2021-03-12,17795
267,Mendocino,2021-03-12,88439
268,Merced,2021-03-12,287420
269,Modoc,2021-03-12,9475
270,Mono,2021-03-12,13961
271,Monterey,2021-03-12,448732
272,Napa,2021-03-12,139652
273,Nevada,2021-03-12,98710
274,Orange,2021-03-12,3228519
276,Placer,2021-03-12,400434
277,Plumas,2021-03-12,18997
278,Riverside,2021-03-12,2468145
279,Sacramento,2021-03-12,1567975
280,San Benito,2021-03-12,64022
281,San Bernardino,2021-03-12,2217398
282,San Diego,2021-03-12,3370418
283,San Francisco,2021-03-12,892280
284,San Joaquin,2021-03-12,782545
285,San Luis Obispo,2021-03-12,278862
286,San Mateo,2021-03-12,778001
287,Santa Barbara,2021-03-12,456373
288,Santa Clara,2021-03-12,1967585
289,Santa Cruz,2021-03-12,273999
290,Shasta,2021-03-12,177925
291,Sierra,2021-03-12,3115
292,Siskiyou,2021-03-12,43956
293,Solano,2021-03-12,444255
294,Sonoma,2021-03-12,496668
295,Stanislaus,2021-03-12,562303
296,Sutter,2021-03-12,105747
297,Tehama,2021-03-12,65885
298,Trinity,2021-03-12,13354
299,Tulare,2021-03-12,484423
300,Tuolumne,2021-03-12,52351
302,Ventura,2021-03-12,852747
303,Yolo,2021-03-12,223612
304,Yuba,2021-03-12,79290
305,Alameda,2021-03-11,1685886
306,Alpine,2021-03-11,1117
307,Amador,2021-03-11,38531
308,Butte,2021-03-11,217769
309,Calaveras,2021-03-11,44289
310,California,2021-03-11,40129160
311,Colusa,2021-03-11,22593
312,Contra Costa,2021-03-11,1160099
313,Del Norte,2021-03-11,27558
314,El Dorado,2021-03-11,193098
315,Fresno,2021-03-11,1032227
316,Glenn,2021-03-11,29348
317,Humboldt,2021-03-11,134098
318,Imperial,2021-03-11,191649
319,Inyo,2021-03-11,18453
320,Kern,2021-03-11,927251
321,Kings,2021-03-11,156444
322,Lake,2021-03-11,64871
323,Lassen,2021-03-11,30065
324,Los Angeles,2021-03-11,10257557
325,Madera,2021-03-11,160089
326,Marin,2021-03-11,260800
327,Mariposa,2021-03-11,17795
328,Mendocino,2021-03-11,88439
329,Merced,2021-03-11,287420
330,Modoc,2021-03-11,9475
331,Mono,2021-03-11,13961
332,Monterey,2021-03-11,448732
333,Napa,2021-03-11,139652
334,Nevada,2021-03-11,98710
335,Orange,2021-03-11,3228519
337,Placer,2021-03-11,400434
338,Plumas,2021-03-11,18997
339,Riverside,2021-03-11,2468145
340,Sacramento,2021-03-11,1567975
341,San Benito,2021-03-11,64022
342,San Bernardino,2021-03-11,2217398
343,San Diego,2021-03-11,3370418
344,San Francisco,2021-03-11,892280
345,San Joaquin,2021-03-11,782545
346,San Luis Obispo,2021-03-11,278862
347,San Mateo,2021-03-11,778001
348,Santa Barbara,2021-03-11,456373
349,Santa Clara,2021-03-11,1967585
350,Santa Cruz,2021-03-11,273999
351,Shasta,2021-03-11,177925
352,Sierra,2021-03-11,3115
353,Siskiyou,2021-03-11,43956
354,Solano,2021-03-11,444255
355,Sonoma,2021-03-11,496668
356,Stanislaus,2021-03-11,562303
357,Sutter,2021-03-11,105747
358,Tehama,2021-03-11,65885
359,Trinity,2021-03-11,13354
360,Tulare,2021-03-11,484423
361,Tuolumne,2021-03-11,52351
363,Ventura,2021-03-11,852747
364,Yolo,2021-03-11,223612
365,Yuba,2021-03-11,79290
366,Alameda,2021-03-10,1685886
367,Alpine,2021-03-10,1117
368,Amador,2021-03-10,38531
369,Butte,2021-03-10,217769
370,Calaveras,2021-03-10,44289
371,California,2021-03-10,40129160
372,Colusa,2021-03-10,22593
373,Contra Costa,2021-03-10,1160099
374,Del Norte,2021-03-10,27558
375,El Dorado,2021-03-10,193098
376,Fresno,2021-03-10,1032227
377,Glenn,2021-03-10,29348
378,Humboldt,2021-03-10,134098
379,Imperial,2021-03-10,191649
380,Inyo,2021-03-10,18453
381,Kern,2021-03-10,927251
382,Kings,2021-03-10,156444
383,Lake,2021-03-10,64871
384,Lassen,2021-03-10,30065
385,Los Angeles,2021-03-10,10257557
386,Madera,2021-03-10,160089
387,Marin,2021-03-10,260800
388,Mariposa,2021-03-10,17795
389,Mendocino,2021-03-10,88439
390,Merced,2021-03-10,287420
391,Modoc,2021-03-10,9475
392,Mono,2021-03-10,13961
393,Monterey,2021-03-10,448732
394,Napa,2021-03-10,139652
395,Nevada,2021-03-10,98710
396,Orange,2021-03-10,3228519
398,Placer,2021-03-10,400434
399,Plumas,2021-03-10,18997
400,Riverside,2021-03-10,2468145
401,Sacramento,2021-03-10,1567975
402,San Benito,2021-03-10,64022
403,San Bernardino,2021-03-10,2217398
404,San Diego,2021-03-10,3370418
405,San Francisco,2021-03-10,892280
406,San Joaquin,2021-03-10,782545
407,San Luis Obispo,2021-03-10,278862
408,San Mateo,2021-03-10,778001
409,Santa Barbara,2021-03-10,456373
410,Santa Clara,2021-03-10,1967585
411,Santa Cruz,2021-03-10,273999
412,Shasta,2021-03-10,177925
413,Sierra,2021-03-10,3115
414,Siskiyou,2021-03-10,43956
415,Solano,2021-03-10,444255
416,Sonoma,2021-03-10,496668
417,Stanislaus,2021-03-10,562303
418,Sutter,2021-03-10,105747
419,Tehama,2021-03-10,65885
420,Trinity,2021-03-10,13354
421,Tulare,2021-03-10,484423
422,Tuolumne,2021-03-10,52351
424,Ventura,2021-03-10,852747
425,Yolo,2021-03-10,223612
426,Yuba,2021-03-10,79290
427,Alameda,2021-03-09,1685886
428,Alpine,2021-03-09,1117
429,Amador,2021-03-09,38531
430,Butte,2021-03-09,217769
431,Calaveras,2021-03-09,44289
432,California,2021-03-09,40129160
433,Colusa,2021-03-09,22593
434,Contra Costa,2021-03-09,1160099
435,Del Norte,2021-03-09,27558
436,El Dorado,2021-03-09,193098
437,Fresno,2021-03-09,1032227
438,Glenn,2021-03-09,29348
439,Humboldt,2021-03-09,134098
440,Imperial,2021-03-09,191649
441,Inyo,2021-03-09,18453
442,Kern,2021-03-09,927251
443,Kings,2021-03-09,156444
444,Lake,2021-03-09,64871
445,Lassen,2021-03-09,30065
446,Los Angeles,2021-03-09,10257557
447,Madera,2021-03-09,160089
448,Marin,2021-03-09,260800
449,Mariposa,2021-03-09,17795
450,Mendocino,2021-03-09,88439
451,Merced,2021-03-09,287420
452,Modoc,2021-03-09,9475
453,Mono,2021-03-09,13961
454,Monterey,2021-03-09,448732
455,Napa,2021-03-09,139652
456,Nevada,2021-03-09,98710
457,Orange,2021-03-09,3228519
459,Placer,2021-03-09,400434
460,Plumas,2021-03-09,18997
461,Riverside,2021-03-09,2468145
462,Sacramento,2021-03-09,1567975
463,San Benito,2021-03-09,64022
464,San Bernardino,2021-03-09,2217398
465,San Diego,2021-03-09,3370418
466,San Francisco,2021-03-09,892280
467,San Joaquin,2021-03-09,782545
468,San Luis Obispo,2021-03-09,278862
469,San Mateo,2021-03-09,778001
470,Santa Barbara,2021-03-09,456373
471,Santa Clara,2021-03-09,1967585
472,Santa Cruz,2021-03-09,273999
473,Shasta,2021-03-09,177925
474,Sierra,2021-03-09,3115
475,Siskiyou,2021-03-09,43956
476,Solano,2021-03-09,444255
477,Sonoma,2021-03-09,496668
478,Stanislaus,2021-03-09,562303
479,Sutter,2021-03-09,105747
480,Tehama,2021-03-09,65885
481,Trinity,2021-03-09,13354
482,Tulare,2021-03-09,484423
483,Tuolumne,2021-03-09,52351
485,Ventura,2021-03-09,852747
486,Yolo,2021-03-09,223612
487,Yuba,2021-03-09,79290
488,Alameda,2021-03-08,1685886
489,Alpine,2021-03-08,1117
490,Amador,2021-03-08,38531
491,Butte,2021-03-08,217769
492,Calaveras,2021-03-08,44289
493,California,2021-03-08,40129160
494,Colusa,2021-03-08,22593
495,Contra Costa,2021-03-08,1160099
496,Del Norte,2021-03-08,27558
497,El Dorado,2021-03-08,193098
498,Fresno,2021-03-08,1032227
499,Glenn,2021-03-08,29348
500,Humboldt,2021-03-08,134098
501,Imperial,2021-03-08,191649
502,Inyo,2021-03-08,18453
503,Kern,2021-03-08,927251
504,Kings,2021-03-08,156444
505,Lake,2021-03-08,64871
506,Lassen,2021-03-08,30065
507,Los Angeles,2021-03-08,10257557
508,Madera,2021-03-08,160089
509,Marin,2021-03-08,260800
510,Mariposa,2021-03-08,17795
511,Mendocino,2021-03-08,88439
512,Merced,2021-03-08,287420
513,Modoc,2021-03-08,9475
514,Mono,2021-03-08,13961
515,Monterey,2021-03-08,448732
516,Napa,2021-03-08,139652
517,Nevada,2021-03-08,98710
518,Orange,2021-03-08,3228519
520,Placer,2021-03-08,400434
521,Plumas,2021-03-08,18997
522,Riverside,2021-03-08,2468145
523,Sacramento,2021-03-08,1567975
524,San Benito,2021-03-08,64022
525,San Bernardino,2021-03-08,2217398
526,San Diego,2021-03-08,3370418
527,San Francisco,2021-03-08,892280
528,San Joaquin,2021-03-08,782545
529,San Luis Obispo,2021-03-08,278862
530,San Mateo,2021-03-08,778001
531,Santa Barbara,2021-03-08,456373
532,Santa Clara,2021-03-08,1967585
533,Santa Cruz,2021-03-08,273999
534,Shasta,2021-03-08,177925
535,Sierra,2021-03-08,3115
536,Siskiyou,2021-03-08,43956
537,Solano,2021-03-08,444255
538,Sonoma,2021-03-08,496668
539,Stanislaus,2021-03-08,562303
540,Sutter,2021-03-08,105747
541,Tehama,2021-03-08,65885
542,Trinity,2021-03-08,13354
543,Tulare,2021-03-08,484423
544,Tuolumne,2021-03-08,52351
546,Ventura,2021-03-08,852747
547,Yolo,2021-03-08,223612
548,Yuba,2021-03-08,79290
549,Alameda,2021-03-07,1685886
550,Alpine,2021-03-07,1117
551,Amador,2021-03-07,38531
552,Butte,2021-03-07,217769
553,Calaveras,2021-03-07,44289
554,California,2021-03-07,40129160
555,Colusa,2021-03-07,22593
556,Contra Costa,2021-03-07,1160099
557,Del Norte,2021-03-07,27558
558,El Dorado,2021-03-07,193098
559,Fresno,2021-03-07,1032227
560,Glenn,2021-03-07,29348
561,Humboldt,2021-03-07,134098
562,Imperial,2021-03-07,191649
563,Inyo,2021-03-07,18453
564,Kern,2021-03-07,927251
565,Kings,2021-03-07,156444
566,Lake,2021-03-07,64871
567,Lassen,2021-03-07,30065
568,Los Angeles,2021-03-07,10257557
569,Madera,2021-03-07,160089
570,Marin,2021-03-07,260800
571,Mariposa,2021-03-07,17795
572,Mendocino,2021-03-07,88439
573,Merced,2021-03-07,287420
574,Modoc,2021-03-07,9475
575,Mono,2021-03-07,13961
576,Monterey,2021-03-07,448732
577,Napa,2021-03-07,139652
578,Nevada,2021-03-07,98710
579,Orange,2021-03-07,3228519
581,Placer,2021-03-07,400434
582,Plumas,2021-03-07,18997
583,Riverside,2021-03-07,2468145
584,Sacramento,2021-03-07,1567975
585,San Benito,2021-03-07,64022
586,San Bernardino,2021-03-07,2217398
587,San Diego,2021-03-07,3370418
588,San Francisco,2021-03-07,892280
589,San Joaquin,2021-03-07,782545
590,San Luis Obispo,2021-03-07,278862
591,San Mateo,2021-03-07,778001
592,Santa Barbara,2021-03-07,456373
593,Santa Clara,2021-03-07,1967585
594,Santa Cruz,2021-03-07,273999
595,Shasta,2021-03-07,177925
596,Sierra,2021-03-07,3115
597,Siskiyou,2021-03-07,43956
598,Solano,2021-03-07,444255
599,Sonoma,2021-03-07,496668
600,Stanislaus,2021-03-07,562303
601,Sutter,2021-03-07,105747
602,Tehama,2021-03-07,65885
603,Trinity,2021-03-07,13354
604,Tulare,2021-03-07,484423
605,Tuolumne,2021-03-07,52351
607,Ventura,2021-03-07,852747
608,Yolo,2021-03-07,223612
609,Yuba,2021-03-07,79290
610,Alameda,2021-03-06,1685886
611,Alpine,2021-03-06,1117
612,Amador,2021-03-06,38531
613,Butte,2021-03-06,217769
614,Calaveras,2021-03-06,44289
615,California,2021-03-06,40129160
616,Colusa,2021-03-06,22593
617,Contra Costa,2021-03-06,1160099
618,Del Norte,2021-03-06,27558
619,El Dorado,2021-03-06,193098
620,Fresno,2021-03-06,1032227
621,Glenn,2021-03-06,29348
622,Humboldt,2021-03-06,134098
623,Imperial,2021-03-06,191649
624,Inyo,2021-03-06,18453
625,Kern,2021-03-06,927251
626,Kings,2021-03-06,156444
627,Lake,2021-03-06,64871
628,Lassen,2021-03-06,30065
629,Los Angeles,2021-03-06,10257557
630,Madera,2021-03-06,160089
631,Marin,2021-03-06,260800
632,Mariposa,2021-03-06,17795
633,Mendocino,2021-03-06,88439
634,Merced,2021-03-06,287420
635,Modoc,2021-03-06,9475
636,Mono,2021-03-06,13961
637,Monterey,2021-03-06,448732
638,Napa,2021-03-06,139652
639,Nevada,2021-03-06,98710
640,Orange,2021-03-06,3228519
642,Placer,2021-03-06,400434
643,Plumas,2021-03-06,18997
644,Riverside,2021-03-06,2468145
645,Sacramento,2021-03-06,1567975
646,San Benito,2021-03-06,64022
647,San Bernardino,2021-03-06,2217398
648,San Diego,2021-03-06,3370418
649,San Francisco,2021-03-06,892280
650,San Joaquin,2021-03-06,782545
651,San Luis Obispo,2021-03-06,278862
652,San Mateo,2021-03-06,778001
653,Santa Barbara,2021-03-06,456373
654,Santa Clara,2021-03-06,1967585
655,Santa Cruz,2021-03-06,273999
656,Shasta,2021-03-06,177925
657,Sierra,2021-03-06,3115
658,Siskiyou,2021-03-06,43956
659,Solano,2021-03-06,444255
660,Sonoma,2021-03-06,496668
661,Stanislaus,2021-03-06,562303
662,Sutter,2021-03-06,105747
663,Tehama,2021-03-06,65885
664,Trinity,2021-03-06,13354
665,Tulare,2021-03-06,484423
666,Tuolumne,2021-03-06,52351
668,Ventura,2021-03-06,852747
669,Yolo,2021-03-06,223612
670,Yuba,2021-03-06,79290
671,Alameda,2021-03-05,1685886
672,Alpine,2021-03-05,1117
673,Amador,2021-03-05,38531
674,Butte,2021-03-05,217769
675,Calaveras,2021-03-05,44289
676,California,2021-03-05,40129160
677,Colusa,2021-03-05,22593
678,Contra Costa,2021-03-05,1160099
679,Del Norte,2021-03-05,27558
680,El Dorado,2021-03-05,193098
681,Fresno,2021-03-05,1032227
682,Glenn,2021-03-05,29348
683,Humboldt,2021-03-05,134098
684,Imperial,2021-03-05,191649
685,Inyo,2021-03-05,18453
686,Kern,2021-03-05,927251
687,Kings,2021-03-05,156444
688,Lake,2021-03-05,64871
689,Lassen,2021-03-05,30065
690,Los Angeles,2021-03-05,10257557
691,Madera,2021-03-05,160089
692,Marin,2021-03-05,260800
693,Mariposa,2021-03-05,17795
694,Mendocino,2021-03-05,88439
695,Merced,2021-03-05,287420
696,Modoc,2021-03-05,9475
697,Mono,2021-03-05,13961
698,Monterey,2021-03-05,448732
699,Napa,2021-03-05,139652
700,Nevada,2021-03-05,98710
701,Orange,2021-03-05,3228519
703,Placer,2021-03-05,400434
704,Plumas,2021-03-05,18997
705,Riverside,2021-03-05,2468145
706,Sacramento,2021-03-05,1567975
707,San Benito,2021-03-05,64022
708,San Bernardino,2021-03-05,2217398
709,San Diego,2021-03-05,3370418
710,San Francisco,2021-03-05,892280
711,San Joaquin,2021-03-05,782545
712,San Luis Obispo,2021-03-05,278862
713,San Mateo,2021-03-05,778001
714,Santa Barbara,2021-03-05,456373
715,Santa Clara,2021-03-05,1967585
716,Santa Cruz,2021-03-05,273999
717,Shasta,2021-03-05,177925
718,Sierra,2021-03-05,3115
719,Siskiyou,2021-03-05,43956
720,Solano,2021-03-05,444255
721,Sonoma,2021-03-05,496668
722,Stanislaus,2021-03-05,562303
723,Sutter,2021-03-05,105747
724,Tehama,2021-03-05,65885
725,Trinity,2021-03-05,13354
726,Tulare,2021-03-05,484423
727,Tuolumne,2021-03-05,52351
729,Ventura,2021-03-05,852747
730,Yolo,2021-03-05,223612
731,Yuba,2021-03-05,79290
732,Alameda,2021-03-04,1685886
733,Alpine,2021-03-04,1117
734,Amador,2021-03-04,38531
735,Butte,2021-03-04,217769
736,Calaveras,2021-03-04,44289
737,California,2021-03-04,40129160
738,Colusa,2021-03-04,22593
739,Contra Costa,2021-03-04,1160099
740,Del Norte,2021-03-04,27558
741,El Dorado,2021-03-04,193098
742,Fresno,2021-03-04,1032227
743,Glenn,2021-03-04,29348
744,Humboldt,2021-03-04,134098
745,Imperial,2021-03-04,191649
746,Inyo,2021-03-04,18453
747,Kern,2021-03-04,927251
748,Kings,2021-03-04,156444
749,Lake,2021-03-04,64871
750,Lassen,2021-03-04,30065
751,Los Angeles,2021-03-04,10257557
752,Madera,2021-03-04,160089
753,Marin,2021-03-04,260800
754,Mariposa,2021-03-04,17795
755,Mendocino,2021-03-04,88439
756,Merced,2021-03-04,287420
757,Modoc,2021-03-04,9475
758,Mono,2021-03-04,13961
759,Monterey,2021-03-04,448732
760,Napa,2021-03-04,139652
761,Nevada,2021-03-04,98710
762,Orange,2021-03-04,3228519
764,Placer,2021-03-04,400434
765,Plumas,2021-03-04,18997
766,Riverside,2021-03-04,2468145
767,Sacramento,2021-03-04,1567975
768,San Benito,2021-03-04,64022
769,San Bernardino,2021-03-04,2217398
770,San Diego,2021-03-04,3370418
771,San Francisco,2021-03-04,892280
772,San Joaquin,2021-03-04,782545
773,San Luis Obispo,2021-03-04,278862
774,San Mateo,2021-03-04,778001
775,Santa Barbara,2021-03-04,456373
776,Santa Clara,2021-03-04,1967585
777,Santa Cruz,2021-03-04,273999
778,Shasta,2021-03-04,177925
779,Sierra,2021-03-04,3115
780,Siskiyou,2021-03-04,43956
781,Solano,2021-03-04,444255
782,Sonoma,2021-03-04,496668
783,Stanislaus,2021-03-04,562303
784,Sutter,2021-03-04,105747
785,Tehama,2021-03-04,65885
786,Trinity,2021-03-04,13354
787,Tulare,2021-03-04,484423
788,Tuolumne,2021-03-04,52351
790,Ventura,2021-03-04,852747
791,Yolo,2021-03-04,223612
792,Yuba,2021-03-04,79290
793,Alameda,2021-03-03,1685886
794,Alpine,2021-03-03,1117
795,Amador,2021-03-03,38531
796,Butte,2021-03-03,217769
797,Calaveras,2021-03-03,44289
798,California,2021-03-03,40129160
799,Colusa,2021-03-03,22593
800,Contra Costa,2021-03-03,1160099
801,Del Norte,2021-03-03,27558
802,El Dorado,2021-03-03,193098
803,Fresno,2021-03-03,1032227
804,Glenn,2021-03-03,29348
805,Humboldt,2021-03-03,134098
806,Imperial,2021-03-03,191649
807,Inyo,2021-03-03,18453
808,Kern,2021-03-03,927251
809,Kings,2021-03-03,156444
810,Lake,2021-03-03,64871
811,Lassen,2021-03-03,30065
812,Los Angeles,2021-03-03,10257557
813,Madera,2021-03-03,160089
814,Marin,2021-03-03,260800
815,Mariposa,2021-03-03,17795
816,Mendocino,2021-03-03,88439
817,Merced,2021-03-03,287420
818,Modoc,2021-03-03,9475
819,Mono,2021-03-03,13961
820,Monterey,2021-03-03,448732
821,Napa,2021-03-03,139652
822,Nevada,2021-03-03,98710
823,Orange,2021-03-03,3228519
825,Placer,2021-03-03,400434
