,county,date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
2417,Marin,2020-05-11,3,12,390,2,12,15
2418,Tulare,2020-05-11,35,0,920,0,20,35
2419,Sutter,2020-05-11,0,0,14,0,0,0
2420,El Dorado,2020-05-11,0,3,171,0,8,3
2421,Santa Cruz,2020-05-11,1,0,397,0,16,1
2422,Placer,2020-05-11,8,16,753,2,36,24
2423,Mendocino,2020-05-11,0,0,180,0,5,0
2424,Lake,2020-05-11,0,0,110,0,5,0
2425,Orange,2020-05-11,232,88,6836,25,362,320
2426,Contra Costa,2020-05-11,16,38,1628,10,105,54
2427,Tehama,2020-05-11,0,0,106,0,6,0
2428,Napa,2020-05-11,1,0,387,0,13,1
2429,Nevada,2020-05-11,0,1,114,1,7,1
2430,Inyo,2020-05-11,1,0,42,0,3,1
2431,Mariposa,2020-05-11,0,0,30,0,0,0
2432,San Benito,2020-05-11,1,0,25,0,2,1
2433,Sonoma,2020-05-11,5,9,871,4,50,14
2434,Los Angeles,2020-05-11,1763,547,23866,86,1242,2310
2435,Butte,2020-05-11,2,1,448,0,25,3
2436,Solano,2020-05-11,13,15,707,2,45,28
2437,Siskiyou,2020-05-11,0,0,65,0,5,0
2438,Modoc,2020-05-11,0,0,41,0,0,0
2439,Humboldt,2020-05-11,2,6,352,0,5,8
2440,Kern,2020-05-11,39,4,1724,1,77,43
2441,Lassen,2020-05-11,0,1,25,0,0,1
2442,Santa Barbara,2020-05-11,22,10,717,3,89,32
2443,San Francisco,2020-05-11,63,28,2619,11,107,91
2444,San Bernardino,2020-05-11,152,66,4821,12,178,218
2445,San Joaquin,2020-05-11,15,15,1366,5,34,30
2446,Glenn,2020-05-11,0,0,0,0,0,0
2447,San Diego,2020-05-11,339,61,6089,13,374,400
2448,Fresno,2020-05-11,56,37,2057,11,87,93
2449,Sacramento,2020-05-11,16,35,2335,5,93,51
2450,Mono,2020-05-11,0,0,17,0,2,0
2451,San Mateo,2020-05-11,31,18,1096,6,43,49
2452,Yolo,2020-05-11,0,0,186,0,4,0
2453,Santa Clara,2020-05-11,59,41,3306,7,193,100
2454,Plumas,2020-05-11,0,1,45,0,0,1
2455,Ventura,2020-05-11,31,23,1301,7,48,54
2456,Riverside,2020-05-11,186,104,3935,34,184,290
2457,Shasta,2020-05-11,0,0,667,0,9,0
2458,Merced,2020-05-11,7,2,242,2,7,9
2459,Imperial,2020-05-11,60,2,323,0,10,62
2460,Madera,2020-05-11,1,0,528,0,27,1
2461,Yolo,2020-05-12,0,0,186,0,5,0
2462,Mendocino,2020-05-12,0,0,180,0,4,0
2463,Tulare,2020-05-12,34,0,920,0,17,34
2464,San Diego,2020-05-12,334,51,6136,10,357,385
2465,Riverside,2020-05-12,206,100,3924,29,172,306
2466,Tuolumne,2020-05-12,0,0,151,0,3,0
2467,Placer,2020-05-12,9,18,753,2,32,27
2468,Sutter,2020-05-12,0,0,14,0,0,0
2469,San Luis Obispo,2020-05-12,4,4,526,1,28,8
2470,Inyo,2020-05-12,0,0,42,0,4,0
2471,Mariposa,2020-05-12,0,1,30,0,0,1
2472,Orange,2020-05-12,263,85,6836,14,358,348
2473,San Bernardino,2020-05-12,148,49,4821,10,180,197
2474,Yuba,2020-05-12,0,1,445,1,11,1
2475,Shasta,2020-05-12,0,0,667,0,9,0
2476,Napa,2020-05-12,1,0,387,0,6,1
2477,Kern,2020-05-12,38,14,1729,1,72,52
2478,Madera,2020-05-12,0,0,528,0,31,0
2479,Humboldt,2020-05-12,3,5,352,0,6,8
2480,Calaveras,2020-05-12,0,0,50,0,8,0
2481,San Benito,2020-05-12,1,0,25,0,2,1
2482,Merced,2020-05-12,6,5,242,1,5,11
2483,Amador,2020-05-12,0,0,51,0,1,0
2484,Lassen,2020-05-12,0,0,25,0,0,0
2485,Ventura,2020-05-12,26,25,1319,9,42,51
2486,El Dorado,2020-05-12,0,2,199,0,10,2
2487,Los Angeles,2020-05-12,1742,506,23941,84,1267,2248
2488,Plumas,2020-05-12,0,0,45,0,0,0
2489,Trinity,2020-05-12,0,0,54,0,0,0
2490,Santa Cruz,2020-05-12,1,0,397,0,11,1
2491,San Mateo,2020-05-12,30,33,1096,6,35,63
2492,Modoc,2020-05-12,0,0,41,0,0,0
2493,San Joaquin,2020-05-12,14,20,1366,7,26,34
2494,Tehama,2020-05-12,0,0,106,0,6,0
2495,Nevada,2020-05-12,0,0,111,1,5,0
2496,Butte,2020-05-12,2,3,448,1,25,5
2497,Contra Costa,2020-05-12,17,49,1628,12,121,66
2498,Mono,2020-05-12,0,0,17,0,2,0
2499,Monterey,2020-05-12,6,1,829,0,106,7
2500,Imperial,2020-05-12,60,3,330,1,8,63
2501,Santa Barbara,2020-05-12,24,5,717,2,83,29
2502,Solano,2020-05-12,15,14,707,6,48,29
2503,Lake,2020-05-12,0,1,110,1,1,1
2504,Alameda,2020-05-12,79,51,2446,12,116,130
2505,Kings,2020-05-12,16,4,199,0,0,20
2506,Siskiyou,2020-05-12,0,0,65,1,3,0
2507,San Francisco,2020-05-12,63,27,2619,4,100,90
2508,Marin,2020-05-12,3,18,390,1,13,21
2509,Stanislaus,2020-05-12,19,15,1369,2,81,34
2510,Fresno,2020-05-12,62,48,2061,4,84,110
2511,Sacramento,2020-05-12,14,34,2373,6,94,48
2512,Del Norte,2020-05-12,0,0,51,0,1,0
2513,Colusa,2020-05-12,0,1,88,1,5,1
2514,Sonoma,2020-05-12,6,22,871,4,49,28
2515,Glenn,2020-05-12,0,0,0,0,0,0
2516,Santa Clara,2020-05-12,55,29,3306,5,180,84
2517,Los Angeles,2020-05-13,1733,618,23951,83,1253,2351
2518,Del Norte,2020-05-13,0,0,51,0,3,0
2519,Tuolumne,2020-05-13,0,0,151,0,5,0
2520,Alameda,2020-05-13,81,59,2446,12,117,140
2521,Contra Costa,2020-05-13,20,40,1628,7,108,60
2522,Placer,2020-05-13,3,27,753,4,37,30
2523,San Francisco,2020-05-13,57,32,2619,7,108,89
2524,Sacramento,2020-05-13,15,35,2371,4,105,50
2525,Napa,2020-05-13,1,0,487,0,10,1
2526,Yolo,2020-05-13,0,1,186,1,6,1
2527,Stanislaus,2020-05-13,20,11,1369,1,79,31
2528,Humboldt,2020-05-13,4,4,352,1,5,8
2529,Solano,2020-05-13,16,18,707,3,41,34
2530,Santa Clara,2020-05-13,58,33,3306,5,194,91
2531,Monterey,2020-05-13,7,2,829,0,106,9
2532,Amador,2020-05-13,0,0,51,0,1,0
2533,Lake,2020-05-13,0,0,110,1,2,0
2534,Yuba,2020-05-13,0,0,445,0,12,0
2535,San Luis Obispo,2020-05-13,3,7,526,1,24,10
2536,Sutter,2020-05-13,0,0,14,0,0,0
2537,Fresno,2020-05-13,69,60,2051,5,78,129
2538,Merced,2020-05-13,8,3,242,0,10,11
2539,Kings,2020-05-13,16,4,199,0,0,20
2540,Nevada,2020-05-13,0,0,112,1,7,0
2541,Tulare,2020-05-13,40,0,920,0,22,40
2542,Trinity,2020-05-13,0,0,54,0,0,0
2543,Imperial,2020-05-13,61,4,317,0,8,65
2544,El Dorado,2020-05-13,0,2,199,0,11,2
2545,Calaveras,2020-05-13,0,0,50,0,11,0
2546,San Benito,2020-05-13,1,0,25,0,1,1
2547,Glenn,2020-05-13,0,0,0,0,0,0
2548,San Joaquin,2020-05-13,11,16,1366,4,32,27
2549,Marin,2020-05-13,3,16,390,1,16,19
2550,Plumas,2020-05-13,0,0,45,0,0,0
2551,Santa Cruz,2020-05-13,1,0,397,0,15,1
2552,Modoc,2020-05-13,0,0,41,0,0,0
2553,San Diego,2020-05-13,329,51,6144,10,346,380
2554,Mendocino,2020-05-13,0,0,180,0,2,0
2555,Lassen,2020-05-13,0,0,25,0,0,0
2556,Siskiyou,2020-05-13,0,1,65,0,5,1
2557,Butte,2020-05-13,2,3,448,2,19,5
2558,San Mateo,2020-05-13,34,35,1096,2,38,69
2559,Sonoma,2020-05-13,5,20,871,1,53,25
2560,Riverside,2020-05-13,188,77,4002,22,180,265
2561,Shasta,2020-05-13,0,0,667,0,5,0
2562,Orange,2020-05-13,257,85,7007,22,393,342
2563,Mariposa,2020-05-13,0,1,30,0,0,1
2564,Madera,2020-05-13,0,0,528,0,26,0
2565,Tehama,2020-05-13,0,0,106,0,5,0
2566,Inyo,2020-05-13,0,0,42,0,4,0
2567,Mono,2020-05-13,0,0,17,0,2,0
2568,Santa Barbara,2020-05-13,26,3,717,2,67,29
2569,Ventura,2020-05-13,25,29,1312,10,37,54
2570,Kern,2020-05-13,34,6,1718,2,73,40
2571,San Bernardino,2020-05-13,133,90,4821,10,153,223
2572,Colusa,2020-05-13,0,1,88,1,5,1
2573,Orange,2020-05-14,259,68,7007,14,385,327
2574,Sonoma,2020-05-14,5,23,871,3,51,28
2575,Riverside,2020-05-14,184,91,4015,26,180,275
2576,Mono,2020-05-14,0,0,17,0,2,0
2577,Los Angeles,2020-05-14,1648,559,23919,101,1230,2207
2578,San Diego,2020-05-14,329,70,6151,15,354,399
2579,Madera,2020-05-14,0,0,528,0,29,0
2580,Amador,2020-05-14,0,0,51,0,0,0
2581,San Mateo,2020-05-14,32,12,1096,0,45,44
2582,Plumas,2020-05-14,0,0,45,0,0,0
2583,San Bernardino,2020-05-14,132,97,4821,15,182,229
2584,Butte,2020-05-14,2,1,448,0,19,3
2585,Shasta,2020-05-14,0,0,667,0,8,0
2586,Modoc,2020-05-14,0,0,41,0,0,0
2587,Santa Cruz,2020-05-14,1,0,397,0,13,1
2588,Trinity,2020-05-14,0,0,54,0,0,0
2589,Ventura,2020-05-14,28,30,1340,11,48,58
2590,Fresno,2020-05-14,64,52,2134,6,82,116
2591,San Francisco,2020-05-14,56,38,2619,10,111,94
2592,Mendocino,2020-05-14,0,0,180,0,3,0
2593,San Luis Obispo,2020-05-14,2,3,526,0,21,5
2594,Stanislaus,2020-05-14,19,19,1369,1,85,38
2595,Marin,2020-05-14,3,9,390,2,12,12
2596,Sacramento,2020-05-14,12,40,2393,11,91,52
2597,Colusa,2020-05-14,0,0,88,0,6,0
2598,Tulare,2020-05-14,37,0,920,0,21,37
2599,Sutter,2020-05-14,0,0,14,0,0,0
2600,Nevada,2020-05-14,0,0,110,1,7,0
2601,Lassen,2020-05-14,0,0,25,0,0,0
2602,Tuolumne,2020-05-14,0,0,151,0,5,0
2603,Santa Clara,2020-05-14,51,40,3306,4,172,91
2604,Mariposa,2020-05-14,0,1,30,0,0,1
2605,Kern,2020-05-14,39,5,1721,0,58,44
2606,Monterey,2020-05-14,6,1,829,0,104,7
2607,Merced,2020-05-14,8,1,242,0,5,9
2608,Humboldt,2020-05-14,5,7,352,1,3,12
2609,Calaveras,2020-05-14,0,0,50,0,10,0
2610,Solano,2020-05-14,15,25,707,2,47,40
2611,Del Norte,2020-05-14,0,0,51,0,5,0
2612,Lake,2020-05-14,0,0,110,0,2,0
2613,Glenn,2020-05-14,0,0,0,0,0,0
2614,Alameda,2020-05-14,82,56,2446,13,118,138
2615,Placer,2020-05-14,2,21,753,3,29,23
2616,Inyo,2020-05-14,0,0,42,0,4,0
2617,Napa,2020-05-14,1,0,487,0,10,1
2618,Santa Barbara,2020-05-14,26,4,717,2,64,30
2619,Imperial,2020-05-14,62,9,327,0,6,71
2620,San Benito,2020-05-14,1,0,25,0,1,1
2621,Tehama,2020-05-14,0,1,106,0,5,1
2622,El Dorado,2020-05-14,0,3,199,0,11,3
2623,Kings,2020-05-14,16,2,199,0,2,18
2624,San Joaquin,2020-05-14,10,26,1366,12,27,36
2625,Contra Costa,2020-05-14,20,47,1628,4,121,67
2626,Siskiyou,2020-05-14,0,1,65,0,4,1
2627,Yuba,2020-05-14,0,0,445,0,10,0
2628,Yolo,2020-05-14,0,0,186,0,3,0
2629,Sonoma,2020-05-15,5,34,871,1,51,39
2630,Butte,2020-05-15,2,2,448,0,14,4
2631,Mono,2020-05-15,0,0,17,0,2,0
2632,Calaveras,2020-05-15,0,1,50,1,10,1
2633,Tuolumne,2020-05-15,0,0,151,0,3,0
2634,Lassen,2020-05-15,0,0,25,0,0,0
2635,Riverside,2020-05-15,184,72,4015,21,182,256
2636,Sutter,2020-05-15,0,0,14,0,0,0
2637,Los Angeles,2020-05-15,1648,553,23901,90,1229,2201
2638,San Luis Obispo,2020-05-15,1,4,526,2,22,5
2639,Santa Clara,2020-05-15,48,27,3318,2,164,75
2640,Monterey,2020-05-15,6,1,829,0,109,7
2641,San Benito,2020-05-15,1,0,25,0,1,1
2642,Tulare,2020-05-15,38,1,920,0,15,39
2643,Placer,2020-05-15,3,26,753,5,32,29
2644,Contra Costa,2020-05-15,19,37,1628,7,114,56
2645,Lake,2020-05-15,0,0,110,0,2,0
2646,Merced,2020-05-15,6,2,242,0,7,8
2647,San Francisco,2020-05-15,56,33,2619,4,85,89
2648,Glenn,2020-05-15,0,0,0,0,0,0
2649,Napa,2020-05-15,1,0,387,0,6,1
2650,Modoc,2020-05-15,0,0,41,0,0,0
2651,Alameda,2020-05-15,76,72,2446,19,117,148
2652,Solano,2020-05-15,14,26,707,1,50,40
2653,Kings,2020-05-15,20,2,199,0,4,22
2654,Yuba,2020-05-15,0,0,445,0,12,0
2655,Tehama,2020-05-15,0,1,106,1,4,1
2656,Stanislaus,2020-05-15,19,19,1369,2,80,38
2657,Marin,2020-05-15,2,8,390,1,11,10
2658,Kern,2020-05-15,40,12,1721,0,82,52
2659,Del Norte,2020-05-15,0,0,51,0,2,0
2660,San Diego,2020-05-15,326,66,6126,12,332,392
2661,Shasta,2020-05-15,0,0,667,0,7,0
2662,Colusa,2020-05-15,0,0,88,0,6,0
2663,San Bernardino,2020-05-15,125,69,4821,14,168,194
2664,Inyo,2020-05-15,0,0,42,0,4,0
2665,Plumas,2020-05-15,0,0,45,0,0,0
2666,Humboldt,2020-05-15,3,6,352,0,6,9
2667,Orange,2020-05-15,250,60,7007,14,339,310
2668,El Dorado,2020-05-15,0,0,199,0,10,0
2669,Fresno,2020-05-15,59,32,2128,2,81,91
2670,Nevada,2020-05-15,0,0,119,1,7,0
2671,Trinity,2020-05-15,0,0,54,0,0,0
2672,Amador,2020-05-15,0,0,51,0,0,0
2673,Madera,2020-05-15,1,0,528,0,29,1
2674,San Joaquin,2020-05-15,11,34,1366,13,28,45
2675,Yolo,2020-05-15,0,0,186,0,3,0
2676,Ventura,2020-05-15,27,20,1340,5,54,47
2677,Siskiyou,2020-05-15,0,0,65,0,5,0
2678,San Mateo,2020-05-15,30,24,1096,6,40,54
2679,Santa Cruz,2020-05-15,1,0,397,0,13,1
2680,Sacramento,2020-05-15,11,44,2410,8,100,55
2681,Imperial,2020-05-15,67,4,262,0,0,71
2682,Santa Barbara,2020-05-15,26,6,717,2,64,32
2683,Mariposa,2020-05-15,0,0,30,0,0,0
2684,Mendocino,2020-05-15,0,0,180,0,4,0
2685,Solano,2020-05-16,14,26,707,1,46,40
2686,Plumas,2020-05-16,0,0,45,0,0,0
2687,Stanislaus,2020-05-16,19,20,1369,2,82,39
2688,Butte,2020-05-16,2,1,448,0,20,3
2689,Placer,2020-05-16,3,25,753,7,38,28
2690,Kern,2020-05-16,36,15,1713,1,77,51
2691,Tehama,2020-05-16,0,0,106,0,4,0
2692,Alameda,2020-05-16,81,64,2446,10,114,145
2693,Marin,2020-05-16,1,10,390,0,15,11
2694,El Dorado,2020-05-16,1,3,199,0,8,4
2695,Riverside,2020-05-16,183,83,3957,17,194,266
2696,Yuba,2020-05-16,0,0,445,0,11,0
2697,Kings,2020-05-16,20,2,199,1,2,22
2698,Lake,2020-05-16,0,0,110,0,2,0
2699,Mendocino,2020-05-16,0,0,180,0,5,0
2700,Los Angeles,2020-05-16,1570,516,23918,80,1207,2086
2701,Ventura,2020-05-16,27,23,1333,8,47,50
2702,Monterey,2020-05-16,8,1,811,0,104,9
2703,Santa Clara,2020-05-16,51,39,3318,6,177,90
2704,San Joaquin,2020-05-16,11,19,1366,10,21,30
2705,Sacramento,2020-05-16,12,34,2370,7,100,46
2706,Siskiyou,2020-05-16,0,1,65,1,3,1
2707,Santa Barbara,2020-05-16,27,7,717,3,63,34
2708,Inyo,2020-05-16,0,0,42,0,4,0
2709,San Mateo,2020-05-16,31,23,1096,5,43,54
2710,San Luis Obispo,2020-05-16,1,5,526,1,25,6
2711,Lassen,2020-05-16,0,0,25,0,0,0
2712,Amador,2020-05-16,0,0,51,0,2,0
2713,San Benito,2020-05-16,1,0,25,0,2,1
2714,Mariposa,2020-05-16,0,0,30,0,0,0
2715,Tuolumne,2020-05-16,0,0,151,0,6,0
2716,Imperial,2020-05-16,60,1,260,0,8,61
2717,Colusa,2020-05-16,0,0,88,0,6,0
2718,Humboldt,2020-05-16,3,4,352,0,5,7
2719,Modoc,2020-05-16,0,0,41,0,0,0
2720,Napa,2020-05-16,1,3,387,0,6,4
2721,Santa Cruz,2020-05-16,1,0,397,0,15,1
2722,Tulare,2020-05-16,40,1,920,0,14,41
2723,Nevada,2020-05-16,0,0,113,2,7,0
2724,Merced,2020-05-16,6,1,242,0,4,7
2725,Madera,2020-05-16,0,0,528,0,28,0
2726,Yolo,2020-05-16,0,1,186,0,2,1
2727,San Diego,2020-05-16,319,51,6144,15,326,370
2728,Calaveras,2020-05-16,0,0,50,0,10,0
2729,Del Norte,2020-05-16,0,0,51,0,2,0
2730,Orange,2020-05-16,251,74,7007,18,345,325
2731,Glenn,2020-05-16,0,0,0,0,0,0
2732,Mono,2020-05-16,0,0,17,0,2,0
2733,Contra Costa,2020-05-16,16,34,1628,8,105,50
2734,Shasta,2020-05-16,0,0,667,0,7,0
2735,Fresno,2020-05-16,58,39,2139,4,85,97
2736,San Bernardino,2020-05-16,122,79,4821,13,145,201
2737,San Francisco,2020-05-16,44,30,2619,4,106,74
2738,Trinity,2020-05-16,0,0,54,0,0,0
2739,Sutter,2020-05-16,0,0,14,0,0,0
2740,Sonoma,2020-05-16,5,31,871,0,54,36
2741,Siskiyou,2020-05-17,0,1,65,1,3,1
2742,San Benito,2020-05-17,1,0,25,0,1,1
2743,Merced,2020-05-17,6,3,242,0,4,9
2744,Trinity,2020-05-17,0,0,54,0,0,0
2745,Stanislaus,2020-05-17,20,21,1369,2,85,41
2746,Tuolumne,2020-05-17,0,0,151,0,3,0
2747,Tehama,2020-05-17,0,0,106,0,3,0
2748,Mono,2020-05-17,0,0,17,0,2,0
2749,Tulare,2020-05-17,40,1,881,0,14,41
2750,Ventura,2020-05-17,31,13,1314,2,45,44
2751,Colusa,2020-05-17,0,0,88,0,6,0
2752,San Francisco,2020-05-17,40,31,2619,5,101,71
2753,Imperial,2020-05-17,68,3,268,0,5,71
2754,Calaveras,2020-05-17,0,0,50,0,11,0
2755,Mariposa,2020-05-17,0,1,30,0,0,1
2756,Lake,2020-05-17,0,0,110,0,1,0
2757,Alameda,2020-05-17,74,72,2446,15,125,146
2758,Orange,2020-05-17,267,88,7007,18,341,355
2759,Yolo,2020-05-17,0,0,186,1,1,0
2760,Yuba,2020-05-17,1,0,445,0,10,1
2761,Santa Clara,2020-05-17,44,38,3318,6,192,82
2762,Kings,2020-05-17,21,4,199,1,5,25
2763,Plumas,2020-05-17,0,0,45,0,0,0
2764,Santa Cruz,2020-05-17,1,0,397,0,15,1
2765,Glenn,2020-05-17,0,0,0,0,0,0
2766,Inyo,2020-05-17,0,0,42,0,4,0
2767,Solano,2020-05-17,17,30,707,1,46,47
2768,Madera,2020-05-17,0,0,528,0,53,0
2769,Lassen,2020-05-17,0,0,25,0,0,0
2770,Placer,2020-05-17,2,25,753,7,38,27
2771,San Luis Obispo,2020-05-17,1,4,526,1,21,5
2772,Contra Costa,2020-05-17,16,39,1628,9,110,55
2773,Del Norte,2020-05-17,0,0,51,0,3,0
2774,Fresno,2020-05-17,60,46,2133,10,94,106
2775,Napa,2020-05-17,1,2,387,0,6,3
2776,Sonoma,2020-05-17,5,26,871,0,55,31
2777,Santa Barbara,2020-05-17,25,6,717,4,62,31
2778,Monterey,2020-05-17,8,2,811,0,102,10
2779,Sutter,2020-05-17,0,0,14,0,0,0
2780,Sacramento,2020-05-17,15,41,2350,8,107,56
2781,San Diego,2020-05-17,321,59,6131,10,364,380
2782,Los Angeles,2020-05-17,1549,558,23854,97,1233,2107
2783,Humboldt,2020-05-17,4,1,352,0,6,5
2784,Kern,2020-05-17,36,12,1743,1,71,48
2785,Marin,2020-05-17,1,11,390,0,15,12
2786,San Mateo,2020-05-17,32,23,1096,6,40,55
2787,Mendocino,2020-05-17,1,0,180,0,4,1
2788,Shasta,2020-05-17,0,0,667,0,6,0
2789,San Bernardino,2020-05-17,129,81,4821,15,184,210
2790,Amador,2020-05-17,0,0,51,0,1,0
2791,El Dorado,2020-05-17,1,3,199,1,11,4
2792,Nevada,2020-05-17,0,0,117,1,7,0
2793,San Joaquin,2020-05-17,10,18,1366,9,21,28
2794,Modoc,2020-05-17,1,0,41,0,0,1
2795,Butte,2020-05-17,2,0,448,0,22,2
2796,Riverside,2020-05-17,186,91,3945,18,187,277
2797,Marin,2020-05-18,4,8,390,3,17,12
2798,Monterey,2020-05-18,8,1,811,0,106,9
2799,Calaveras,2020-05-18,0,0,50,0,11,0
2800,Sacramento,2020-05-18,13,58,2367,14,113,71
2801,Glenn,2020-05-18,0,0,0,0,0,0
2802,Humboldt,2020-05-18,4,1,352,0,3,5
2803,Mono,2020-05-18,0,0,17,0,2,0
2804,Lake,2020-05-18,0,2,110,0,3,2
2805,Napa,2020-05-18,1,0,387,1,10,1
2806,San Joaquin,2020-05-18,9,23,1366,8,31,32
2807,Sutter,2020-05-18,0,0,14,0,0,0
2808,San Mateo,2020-05-18,41,19,1096,5,41,60
2809,San Benito,2020-05-18,1,0,25,0,1,1
2810,Imperial,2020-05-18,73,1,187,0,11,74
2811,El Dorado,2020-05-18,1,3,199,1,13,4
2812,Stanislaus,2020-05-18,18,20,1369,1,77,38
2813,Kern,2020-05-18,36,12,1704,0,72,48
2814,Santa Cruz,2020-05-18,2,0,397,0,15,2
2815,Modoc,2020-05-18,0,1,41,0,0,1
2816,Solano,2020-05-18,16,27,707,2,42,43
2817,Amador,2020-05-18,0,1,51,1,4,1
2818,San Luis Obispo,2020-05-18,1,2,526,1,22,3
2819,Ventura,2020-05-18,33,16,1307,3,39,49
2820,Inyo,2020-05-18,0,0,42,0,4,0
2821,Contra Costa,2020-05-18,19,51,1628,10,122,70
2822,Lassen,2020-05-18,0,1,25,0,0,1
2823,Santa Barbara,2020-05-18,25,2,717,3,70,27
2824,San Bernardino,2020-05-18,140,81,4821,14,197,221
2825,Riverside,2020-05-18,195,86,3994,18,210,281
2826,Plumas,2020-05-18,0,0,45,0,0,0
2827,Colusa,2020-05-18,0,1,88,1,5,1
2828,Tulare,2020-05-18,35,1,920,1,29,36
2829,San Francisco,2020-05-18,46,33,2619,9,115,79
2830,Alameda,2020-05-18,87,51,2968,10,120,138
2831,Sonoma,2020-05-18,3,20,871,2,53,23
2832,Fresno,2020-05-18,61,44,2135,4,99,105
2833,Tuolumne,2020-05-18,0,0,151,0,1,0
2834,Nevada,2020-05-18,0,0,107,0,8,0
2835,Del Norte,2020-05-18,0,0,51,0,2,0
2836,Tehama,2020-05-18,0,1,106,0,3,1
2837,Orange,2020-05-18,263,78,7007,12,387,341
2838,Trinity,2020-05-18,0,0,54,0,0,0
2839,Kings,2020-05-18,21,4,199,1,2,25
2840,San Diego,2020-05-18,329,49,6040,10,341,378
2841,Los Angeles,2020-05-18,1531,520,23910,87,1221,2051
2842,Santa Clara,2020-05-18,46,33,3318,5,201,79
2843,Mendocino,2020-05-18,1,0,180,0,4,1
2844,Merced,2020-05-18,6,0,242,0,7,6
2845,Yuba,2020-05-18,1,0,445,0,13,1
2846,Siskiyou,2020-05-18,0,0,65,0,4,0
2847,Mariposa,2020-05-18,0,2,30,0,0,2
2848,Shasta,2020-05-18,0,0,667,0,5,0
2849,Butte,2020-05-18,2,1,448,0,22,3
2850,Placer,2020-05-18,1,34,753,4,40,35
2851,Yolo,2020-05-18,0,0,186,0,3,0
2852,Madera,2020-05-18,0,2,528,0,4,2
2853,Solano,2020-05-19,18,29,707,3,42,47
2854,Humboldt,2020-05-19,4,3,352,0,6,7
2855,Colusa,2020-05-19,0,1,88,1,5,1
2856,San Francisco,2020-05-19,48,26,2619,2,114,74
2857,Tulare,2020-05-19,37,5,920,2,22,42
2858,Kern,2020-05-19,42,11,1735,1,72,53
2859,Ventura,2020-05-19,33,27,1336,7,41,60
2860,San Joaquin,2020-05-19,7,26,1366,10,27,33
2861,Shasta,2020-05-19,0,0,667,0,4,0
2862,Riverside,2020-05-19,189,103,3999,31,191,292
2863,Sonoma,2020-05-19,4,24,871,2,54,28
2864,Lake,2020-05-19,0,1,110,1,1,1
2865,El Dorado,2020-05-19,0,2,199,2,10,2
2866,Calaveras,2020-05-19,0,0,50,0,11,0
2867,Imperial,2020-05-19,74,4,200,0,10,78
2868,Mariposa,2020-05-19,0,3,30,0,0,3
2869,Mono,2020-05-19,0,0,17,0,2,0
2870,Yuba,2020-05-19,1,0,445,0,10,1
2871,Los Angeles,2020-05-19,1517,619,23675,94,1216,2136
2872,Orange,2020-05-19,269,97,7007,19,352,366
2873,Marin,2020-05-19,4,20,390,2,14,24
2874,Madera,2020-05-19,0,1,528,0,23,1
2875,Fresno,2020-05-19,64,43,2138,7,88,107
2876,Contra Costa,2020-05-19,14,74,1628,8,117,88
2877,Santa Cruz,2020-05-19,1,0,397,0,13,1
2878,Trinity,2020-05-19,0,0,54,0,0,0
2879,Tuolumne,2020-05-19,0,0,151,0,1,0
2880,Lassen,2020-05-19,0,1,25,0,0,1
2881,Siskiyou,2020-05-19,0,0,65,0,3,0
2882,Placer,2020-05-19,3,45,753,6,38,48
2883,Tehama,2020-05-19,0,0,106,0,6,0
2884,Stanislaus,2020-05-19,17,31,1369,2,87,48
2885,Napa,2020-05-19,1,0,387,1,14,1
2886,Mendocino,2020-05-19,1,0,180,0,6,1
2887,Nevada,2020-05-19,0,0,113,0,9,0
2888,San Bernardino,2020-05-19,134,76,4821,20,206,210
2889,Alameda,2020-05-19,83,108,2968,16,122,191
2890,San Mateo,2020-05-19,41,30,1096,5,26,71
2891,Plumas,2020-05-19,0,0,45,0,0,0
2892,Amador,2020-05-19,0,0,51,0,3,0
2893,Santa Barbara,2020-05-19,23,5,717,2,61,28
2894,Del Norte,2020-05-19,0,0,51,0,1,0
2895,San Benito,2020-05-19,1,0,25,0,1,1
2896,San Diego,2020-05-19,319,68,6142,13,311,387
2897,Merced,2020-05-19,7,1,242,0,2,8
2898,Inyo,2020-05-19,0,0,42,0,4,0
2899,Sutter,2020-05-19,0,0,14,0,0,0
2900,Monterey,2020-05-19,11,0,811,0,102,11
2901,Kings,2020-05-19,23,1,199,1,0,24
2902,Santa Clara,2020-05-19,43,57,3318,6,195,100
2903,Yolo,2020-05-19,0,0,186,0,4,0
2904,Butte,2020-05-19,1,0,448,0,23,1
2905,Sacramento,2020-05-19,11,90,2392,12,115,101
2906,San Luis Obispo,2020-05-19,2,1,526,1,20,3
2907,Glenn,2020-05-19,0,0,0,0,0,0
2908,Modoc,2020-05-19,0,1,41,0,0,1
2909,Santa Clara,2020-05-20,40,56,3318,5,170,96
2910,Solano,2020-05-20,18,37,707,2,44,55
2911,San Benito,2020-05-20,1,0,25,0,0,1
2912,Merced,2020-05-20,8,1,242,0,1,9
2913,San Francisco,2020-05-20,47,32,2619,7,113,79
2914,Fresno,2020-05-20,56,41,2140,4,97,97
2915,Mariposa,2020-05-20,0,2,30,0,0,2
2916,Stanislaus,2020-05-20,18,30,1369,5,80,48
2917,Yolo,2020-05-20,0,0,186,0,7,0
