,county,date,cases,cumulative_cases,reported_cases,cumulative_reported_cases
0,Alameda,2021-03-16,0,82259,100,82259
1,Alpine,2021-03-16,0,82,0,82
2,Amador,2021-03-16,0,3510,4,3510
3,Butte,2021-03-16,0,11154,13,11154
4,Calaveras,2021-03-16,0,1945,4,1945
5,California,2021-03-16,0,3532496,2441,3532496
6,Colusa,2021-03-16,0,1882,-1,1882
7,Contra Costa,2021-03-16,0,63951,104,63951
8,Del Norte,2021-03-16,0,1048,0,1048
9,El Dorado,2021-03-16,0,9249,14,9249
10,Fresno,2021-03-16,0,97638,118,97638
11,Glenn,2021-03-16,0,2267,6,2267
12,Humboldt,2021-03-16,0,3351,14,3351
13,Imperial,2021-03-16,0,27143,21,27143
14,Inyo,2021-03-16,0,1346,0,1346
15,Kern,2021-03-16,0,93340,74,93340
16,Kings,2021-03-16,0,22320,26,22320
17,Lake,2021-03-16,0,3246,9,3246
18,Lassen,2021-03-16,0,5126,1,5126
19,Los Angeles,2021-03-16,0,1172676,231,1172676
20,Madera,2021-03-16,0,15822,16,15822
21,Marin,2021-03-16,0,13419,11,13419
22,Mariposa,2021-03-16,0,379,3,379
23,Mendocino,2021-03-16,0,3623,8,3623
24,Merced,2021-03-16,0,29198,29,29198
25,Modoc,2021-03-16,0,341,1,341
26,Mono,2021-03-16,0,1207,1,1207
27,Monterey,2021-03-16,0,42023,12,42023
28,Napa,2021-03-16,0,9209,13,9209
29,Nevada,2021-03-16,0,4132,9,4132
30,Orange,2021-03-16,0,247843,146,247843
32,Placer,2021-03-16,0,20339,31,20339
33,Plumas,2021-03-16,0,643,1,643
34,Riverside,2021-03-16,0,281540,173,281540
35,Sacramento,2021-03-16,0,95522,108,95522
36,San Benito,2021-03-16,0,5831,0,5831
37,San Bernardino,2021-03-16,0,283980,165,283980
38,San Diego,2021-03-16,0,265903,257,265903
39,San Francisco,2021-03-16,0,34833,13,34833
40,San Joaquin,2021-03-16,0,66856,234,66856
41,San Luis Obispo,2021-03-16,0,19832,19,19832
42,San Mateo,2021-03-16,0,39806,41,39806
43,Santa Barbara,2021-03-16,0,32556,27,32556
44,Santa Clara,2021-03-16,0,112845,116,112845
45,Santa Cruz,2021-03-16,0,14926,27,14926
46,Shasta,2021-03-16,0,11035,16,11035
47,Sierra,2021-03-16,0,49,0,49
48,Siskiyou,2021-03-16,0,1477,2,1477
49,Solano,2021-03-16,0,30298,40,30298
50,Sonoma,2021-03-16,0,28850,36,28850
51,Stanislaus,2021-03-16,0,51410,53,51410
52,Sutter,2021-03-16,0,8970,8,8970
53,Tehama,2021-03-16,0,4660,10,4660
54,Trinity,2021-03-16,0,308,0,308
55,Tulare,2021-03-16,0,47895,38,47895
56,Tuolumne,2021-03-16,0,3938,1,3938
58,Ventura,2021-03-16,0,78671,45,78671
59,Yolo,2021-03-16,0,13162,31,13162
60,Yuba,2021-03-16,0,5596,11,5596
61,Alameda,2021-03-15,5,82259,43,82159
62,Alpine,2021-03-15,0,82,0,82
63,Amador,2021-03-15,0,3510,2,3506
64,Butte,2021-03-15,2,11154,1,11141
65,Calaveras,2021-03-15,0,1945,2,1941
66,California,2021-03-15,176,3532496,1260,3530055
67,Colusa,2021-03-15,0,1882,0,1883
68,Contra Costa,2021-03-15,13,63951,39,63847
69,Del Norte,2021-03-15,0,1048,0,1048
70,El Dorado,2021-03-15,2,9249,4,9235
71,Fresno,2021-03-15,8,97638,59,97520
72,Glenn,2021-03-15,0,2267,1,2261
73,Humboldt,2021-03-15,5,3351,2,3337
74,Imperial,2021-03-15,7,27143,0,27122
75,Inyo,2021-03-15,0,1346,0,1346
76,Kern,2021-03-15,8,93340,14,93266
77,Kings,2021-03-15,4,22320,2,22294
78,Lake,2021-03-15,0,3246,0,3237
79,Lassen,2021-03-15,0,5126,0,5125
80,Los Angeles,2021-03-15,12,1172676,345,1172445
81,Madera,2021-03-15,2,15822,2,15806
82,Marin,2021-03-15,1,13419,3,13408
83,Mariposa,2021-03-15,0,379,0,376
84,Mendocino,2021-03-15,0,3623,2,3615
85,Merced,2021-03-15,9,29198,20,29169
86,Modoc,2021-03-15,0,341,0,340
87,Mono,2021-03-15,1,1207,0,1206
88,Monterey,2021-03-15,1,42023,4,42011
89,Napa,2021-03-15,1,9209,2,9196
90,Nevada,2021-03-15,1,4132,1,4123
91,Orange,2021-03-15,13,247843,41,247697
93,Placer,2021-03-15,0,20339,20,20308
94,Plumas,2021-03-15,0,643,0,642
95,Riverside,2021-03-15,5,281540,35,281367
96,Sacramento,2021-03-15,2,95522,71,95414
97,San Benito,2021-03-15,0,5831,2,5831
98,San Bernardino,2021-03-15,11,283980,24,283815
99,San Diego,2021-03-15,15,265903,178,265646
100,San Francisco,2021-03-15,3,34833,10,34820
101,San Joaquin,2021-03-15,3,66856,59,66622
102,San Luis Obispo,2021-03-15,2,19832,7,19813
103,San Mateo,2021-03-15,4,39806,21,39765
104,Santa Barbara,2021-03-15,7,32556,15,32529
105,Santa Clara,2021-03-15,4,112845,81,112729
106,Santa Cruz,2021-03-15,3,14926,12,14899
107,Shasta,2021-03-15,1,11035,0,11019
108,Sierra,2021-03-15,0,49,0,49
109,Siskiyou,2021-03-15,0,1477,2,1475
110,Solano,2021-03-15,0,30298,28,30258
111,Sonoma,2021-03-15,4,28850,16,28814
112,Stanislaus,2021-03-15,4,51410,51,51357
113,Sutter,2021-03-15,4,8970,4,8962
114,Tehama,2021-03-15,0,4660,0,4650
115,Trinity,2021-03-15,0,308,0,308
116,Tulare,2021-03-15,4,47895,12,47857
117,Tuolumne,2021-03-15,0,3938,0,3937
119,Ventura,2021-03-15,0,78671,15,78626
120,Yolo,2021-03-15,1,13162,3,13131
121,Yuba,2021-03-15,3,5596,2,5585
122,Alameda,2021-03-14,6,82254,106,82116
123,Alpine,2021-03-14,0,82,0,82
124,Amador,2021-03-14,0,3510,0,3504
125,Butte,2021-03-14,3,11152,9,11140
126,Calaveras,2021-03-14,3,1945,0,1939
127,California,2021-03-14,409,3532320,2460,3528795
128,Colusa,2021-03-14,0,1882,1,1883
129,Contra Costa,2021-03-14,16,63938,119,63808
130,Del Norte,2021-03-14,0,1048,7,1048
131,El Dorado,2021-03-14,2,9247,10,9231
132,Fresno,2021-03-14,19,97630,137,97461
133,Glenn,2021-03-14,0,2267,0,2260
134,Humboldt,2021-03-14,2,3346,10,3335
135,Imperial,2021-03-14,0,27136,23,27122
136,Inyo,2021-03-14,0,1346,2,1346
137,Kern,2021-03-14,6,93332,55,93252
138,Kings,2021-03-14,4,22316,27,22292
139,Lake,2021-03-14,1,3246,3,3237
140,Lassen,2021-03-14,0,5126,0,5125
141,Los Angeles,2021-03-14,53,1172664,595,1172100
142,Madera,2021-03-14,3,15820,24,15804
143,Marin,2021-03-14,2,13418,14,13405
144,Mariposa,2021-03-14,0,379,0,376
145,Mendocino,2021-03-14,3,3623,2,3613
146,Merced,2021-03-14,7,29189,43,29149
147,Modoc,2021-03-14,0,341,0,340
148,Mono,2021-03-14,0,1206,-1,1206
149,Monterey,2021-03-14,1,42022,18,42007
150,Napa,2021-03-14,2,9208,4,9194
151,Nevada,2021-03-14,0,4131,11,4122
152,Orange,2021-03-14,25,247830,142,247656
154,Placer,2021-03-14,4,20339,50,20288
155,Plumas,2021-03-14,0,643,0,642
156,Riverside,2021-03-14,42,281535,141,281332
157,Sacramento,2021-03-14,6,95520,151,95343
158,San Benito,2021-03-14,0,5831,6,5829
159,San Bernardino,2021-03-14,16,283969,64,283791
160,San Diego,2021-03-14,51,265888,198,265468
161,San Francisco,2021-03-14,5,34830,26,34810
162,San Joaquin,2021-03-14,8,66853,83,66563
163,San Luis Obispo,2021-03-14,2,19830,17,19806
164,San Mateo,2021-03-14,6,39802,55,39744
165,Santa Barbara,2021-03-14,13,32549,28,32514
166,Santa Clara,2021-03-14,43,112841,117,112648
167,Santa Cruz,2021-03-14,0,14923,12,14887
168,Shasta,2021-03-14,0,11034,-2,11019
169,Sierra,2021-03-14,0,49,0,49
170,Siskiyou,2021-03-14,1,1477,3,1473
171,Solano,2021-03-14,2,30298,32,30230
172,Sonoma,2021-03-14,2,28846,36,28798
173,Stanislaus,2021-03-14,11,51406,49,51306
174,Sutter,2021-03-14,4,8966,10,8958
175,Tehama,2021-03-14,0,4660,3,4650
176,Trinity,2021-03-14,0,308,2,308
177,Tulare,2021-03-14,5,47891,27,47845
178,Tuolumne,2021-03-14,0,3938,0,3937
180,Ventura,2021-03-14,24,78671,-82,78611
181,Yolo,2021-03-14,2,13161,41,13128
182,Yuba,2021-03-14,1,5593,6,5583
183,Alameda,2021-03-13,61,82248,112,82010
184,Alpine,2021-03-13,0,82,0,82
185,Amador,2021-03-13,4,3510,1,3504
186,Butte,2021-03-13,2,11149,5,11131
187,Calaveras,2021-03-13,0,1942,23,1939
188,California,2021-03-13,1068,3531911,2772,3526335
189,Colusa,2021-03-13,0,1882,-1,1882
190,Contra Costa,2021-03-13,56,63922,106,63689
191,Del Norte,2021-03-13,3,1048,8,1041
192,El Dorado,2021-03-13,2,9245,2,9221
193,Fresno,2021-03-13,52,97611,139,97324
194,Glenn,2021-03-13,2,2267,2,2260
195,Humboldt,2021-03-13,5,3344,10,3325
196,Imperial,2021-03-13,5,27136,28,27099
197,Inyo,2021-03-13,0,1346,5,1344
198,Kern,2021-03-13,18,93326,55,93197
199,Kings,2021-03-13,17,22312,32,22265
200,Lake,2021-03-13,5,3245,8,3234
201,Lassen,2021-03-13,0,5126,0,5125
202,Los Angeles,2021-03-13,212,1172611,645,1171505
203,Madera,2021-03-13,2,15817,19,15780
204,Marin,2021-03-13,4,13416,16,13391
205,Mariposa,2021-03-13,2,379,0,376
206,Mendocino,2021-03-13,1,3620,6,3611
207,Merced,2021-03-13,11,29182,42,29106
208,Modoc,2021-03-13,0,341,0,340
209,Mono,2021-03-13,0,1206,1,1207
210,Monterey,2021-03-13,8,42021,25,41989
211,Napa,2021-03-13,3,9206,10,9190
212,Nevada,2021-03-13,4,4131,10,4111
213,Orange,2021-03-13,64,247805,126,247514
215,Placer,2021-03-13,21,20335,28,20238
216,Plumas,2021-03-13,0,643,1,642
217,Riverside,2021-03-13,89,281493,154,281191
218,Sacramento,2021-03-13,47,95514,131,95192
219,San Benito,2021-03-13,1,5831,6,5823
220,San Bernardino,2021-03-13,33,283953,169,283727
221,San Diego,2021-03-13,64,265837,384,265270
222,San Francisco,2021-03-13,20,34825,26,34784
223,San Joaquin,2021-03-13,21,66845,-2,66480
224,San Luis Obispo,2021-03-13,6,19828,20,19789
225,San Mateo,2021-03-13,25,39796,51,39689
226,Santa Barbara,2021-03-13,11,32536,29,32486
227,Santa Clara,2021-03-13,71,112798,135,112531
228,Santa Cruz,2021-03-13,10,14923,29,14875
229,Shasta,2021-03-13,1,11034,-122,11021
230,Sierra,2021-03-13,0,49,0,49
231,Siskiyou,2021-03-13,1,1476,2,1470
232,Solano,2021-03-13,8,30296,18,30198
233,Sonoma,2021-03-13,16,28844,48,28762
234,Stanislaus,2021-03-13,12,51395,111,51257
235,Sutter,2021-03-13,5,8962,8,8948
236,Tehama,2021-03-13,2,4660,9,4647
237,Trinity,2021-03-13,0,308,0,306
238,Tulare,2021-03-13,11,47886,46,47818
239,Tuolumne,2021-03-13,0,3938,1,3937
241,Ventura,2021-03-13,32,78647,-5,78693
242,Yolo,2021-03-13,5,13159,26,13087
243,Yuba,2021-03-13,5,5592,14,5577
244,Alameda,2021-03-12,89,82187,89,81898
245,Alpine,2021-03-12,0,82,4,82
246,Amador,2021-03-12,0,3506,5,3503
247,Butte,2021-03-12,5,11147,16,11126
248,Calaveras,2021-03-12,2,1942,1,1916
249,California,2021-03-12,1926,3530843,3230,3523563
250,Colusa,2021-03-12,0,1882,0,1883
251,Contra Costa,2021-03-12,87,63866,114,63583
252,Del Norte,2021-03-12,5,1045,6,1033
253,El Dorado,2021-03-12,13,9243,8,9219
254,Fresno,2021-03-12,85,97559,159,97185
255,Glenn,2021-03-12,3,2265,3,2258
256,Humboldt,2021-03-12,8,3339,13,3315
257,Imperial,2021-03-12,1,27131,26,27071
258,Inyo,2021-03-12,2,1346,4,1339
259,Kern,2021-03-12,33,93308,90,93142
260,Kings,2021-03-12,11,22295,50,22233
261,Lake,2021-03-12,2,3240,12,3226
262,Lassen,2021-03-12,0,5126,1,5125
263,Los Angeles,2021-03-12,405,1172399,749,1170860
264,Madera,2021-03-12,14,15815,36,15761
265,Marin,2021-03-12,7,13412,19,13375
266,Mariposa,2021-03-12,1,377,0,376
267,Mendocino,2021-03-12,7,3619,1,3605
268,Merced,2021-03-12,31,29171,63,29064
269,Modoc,2021-03-12,0,341,0,340
270,Mono,2021-03-12,0,1206,0,1206
271,Monterey,2021-03-12,25,42013,28,41964
272,Napa,2021-03-12,3,9203,7,9180
273,Nevada,2021-03-12,9,4127,16,4101
274,Orange,2021-03-12,103,247741,171,247388
276,Placer,2021-03-12,28,20314,32,20210
277,Plumas,2021-03-12,0,643,1,641
278,Riverside,2021-03-12,124,281404,156,281037
279,Sacramento,2021-03-12,125,95467,149,95061
280,San Benito,2021-03-12,4,5830,1,5817
281,San Bernardino,2021-03-12,66,283920,246,283558
282,San Diego,2021-03-12,83,265773,362,264886
283,San Francisco,2021-03-12,26,34805,36,34758
284,San Joaquin,2021-03-12,88,66824,-40,66482
285,San Luis Obispo,2021-03-12,22,19822,21,19769
286,San Mateo,2021-03-12,48,39771,48,39638
287,Santa Barbara,2021-03-12,15,32525,49,32457
288,Santa Clara,2021-03-12,110,112727,150,112396
289,Santa Cruz,2021-03-12,10,14913,34,14846
290,Shasta,2021-03-12,8,11033,4,11143
291,Sierra,2021-03-12,0,49,1,49
292,Siskiyou,2021-03-12,0,1475,2,1468
293,Solano,2021-03-12,25,30288,42,30180
294,Sonoma,2021-03-12,36,28828,37,28714
295,Stanislaus,2021-03-12,58,51383,108,51146
296,Sutter,2021-03-12,3,8957,7,8940
297,Tehama,2021-03-12,5,4658,6,4638
298,Trinity,2021-03-12,0,308,2,306
299,Tulare,2021-03-12,32,47875,63,47772
300,Tuolumne,2021-03-12,1,3938,2,3936
302,Ventura,2021-03-12,36,78615,1,78698
303,Yolo,2021-03-12,17,13154,20,13061
304,Yuba,2021-03-12,4,5587,10,5563
305,Alameda,2021-03-11,95,82098,108,81809
306,Alpine,2021-03-11,1,82,0,78
307,Amador,2021-03-11,0,3506,2,3498
308,Butte,2021-03-11,6,11142,14,11110
309,Calaveras,2021-03-11,3,1940,2,1915
310,California,2021-03-11,2304,3528917,3471,3520333
311,Colusa,2021-03-11,0,1882,1,1883
312,Contra Costa,2021-03-11,86,63779,97,63469
313,Del Norte,2021-03-11,5,1040,7,1027
314,El Dorado,2021-03-11,5,9230,8,9211
315,Fresno,2021-03-11,107,97474,160,97026
316,Glenn,2021-03-11,0,2262,2,2255
317,Humboldt,2021-03-11,11,3331,6,3302
318,Imperial,2021-03-11,17,27130,-6,27045
319,Inyo,2021-03-11,2,1344,7,1335
320,Kern,2021-03-11,51,93275,87,93052
321,Kings,2021-03-11,16,22284,17,22183
322,Lake,2021-03-11,4,3238,7,3214
323,Lassen,2021-03-11,0,5126,4,5124
324,Los Angeles,2021-03-11,484,1171994,1032,1170111
325,Madera,2021-03-11,22,15801,20,15725
326,Marin,2021-03-11,15,13405,8,13356
327,Mariposa,2021-03-11,0,376,0,376
328,Mendocino,2021-03-11,3,3612,2,3604
329,Merced,2021-03-11,24,29140,74,29001
330,Modoc,2021-03-11,1,341,2,340
331,Mono,2021-03-11,0,1206,2,1206
332,Monterey,2021-03-11,26,41988,16,41936
333,Napa,2021-03-11,11,9200,8,9173
334,Nevada,2021-03-11,4,4118,11,4085
335,Orange,2021-03-11,144,247638,142,247217
337,Placer,2021-03-11,22,20286,34,20178
338,Plumas,2021-03-11,1,643,1,640
339,Riverside,2021-03-11,126,281280,173,280881
340,Sacramento,2021-03-11,132,95342,116,94912
341,San Benito,2021-03-11,7,5826,5,5816
342,San Bernardino,2021-03-11,83,283854,172,283312
343,San Diego,2021-03-11,140,265690,430,264524
344,San Francisco,2021-03-11,23,34779,34,34722
345,San Joaquin,2021-03-11,118,66736,39,66522
346,San Luis Obispo,2021-03-11,30,19800,38,19748
347,San Mateo,2021-03-11,27,39723,19,39590
348,Santa Barbara,2021-03-11,17,32510,52,32408
349,Santa Clara,2021-03-11,119,112617,143,112246
350,Santa Cruz,2021-03-11,10,14903,22,14812
351,Shasta,2021-03-11,12,11025,14,11139
352,Sierra,2021-03-11,0,49,0,48
353,Siskiyou,2021-03-11,1,1475,8,1466
354,Solano,2021-03-11,28,30263,27,30138
355,Sonoma,2021-03-11,37,28792,39,28677
356,Stanislaus,2021-03-11,70,51325,70,51038
357,Sutter,2021-03-11,12,8954,15,8933
358,Tehama,2021-03-11,9,4653,9,4632
359,Trinity,2021-03-11,0,308,0,304
360,Tulare,2021-03-11,37,47843,50,47709
361,Tuolumne,2021-03-11,1,3937,3,3934
363,Ventura,2021-03-11,71,78579,88,78697
364,Yolo,2021-03-11,19,13137,20,13041
365,Yuba,2021-03-11,9,5583,8,5553
366,Alameda,2021-03-10,78,82003,83,81701
367,Alpine,2021-03-10,0,81,0,78
368,Amador,2021-03-10,0,3506,2,3496
369,Butte,2021-03-10,11,11136,4,11096
370,Calaveras,2021-03-10,1,1937,0,1913
371,California,2021-03-10,2323,3526613,3184,3516862
372,Colusa,2021-03-10,0,1882,2,1882
373,Contra Costa,2021-03-10,87,63693,58,63372
374,Del Norte,2021-03-10,6,1035,3,1020
375,El Dorado,2021-03-10,7,9225,5,9203
376,Fresno,2021-03-10,103,97367,122,96866
377,Glenn,2021-03-10,2,2262,2,2253
378,Humboldt,2021-03-10,11,3320,8,3296
379,Imperial,2021-03-10,5,27113,6,27051
380,Inyo,2021-03-10,2,1342,4,1328
381,Kern,2021-03-10,76,93224,41,92965
382,Kings,2021-03-10,30,22268,23,22166
383,Lake,2021-03-10,8,3234,5,3207
384,Lassen,2021-03-10,0,5126,0,5120
385,Los Angeles,2021-03-10,493,1171510,1112,1169079
386,Madera,2021-03-10,13,15779,4,15705
387,Marin,2021-03-10,16,13390,13,13348
388,Mariposa,2021-03-10,0,376,0,376
389,Mendocino,2021-03-10,3,3609,7,3602
390,Merced,2021-03-10,43,29116,51,28927
391,Modoc,2021-03-10,0,340,0,338
392,Mono,2021-03-10,1,1206,1,1204
393,Monterey,2021-03-10,17,41962,26,41920
394,Napa,2021-03-10,5,9189,10,9165
395,Nevada,2021-03-10,8,4114,12,4074
396,Orange,2021-03-10,117,247494,86,247075
398,Placer,2021-03-10,30,20264,22,20144
399,Plumas,2021-03-10,2,642,0,639
400,Riverside,2021-03-10,126,281154,146,280708
401,Sacramento,2021-03-10,159,95210,76,94796
402,San Benito,2021-03-10,4,5819,11,5811
403,San Bernardino,2021-03-10,99,283771,169,283140
404,San Diego,2021-03-10,161,265550,349,264094
405,San Francisco,2021-03-10,21,34756,34,34688
406,San Joaquin,2021-03-10,84,66618,100,66483
407,San Luis Obispo,2021-03-10,11,19770,38,19710
408,San Mateo,2021-03-10,44,39696,36,39571
409,Santa Barbara,2021-03-10,27,32493,42,32356
410,Santa Clara,2021-03-10,135,112498,140,112103
411,Santa Cruz,2021-03-10,17,14893,26,14790
412,Shasta,2021-03-10,1,11013,12,11125
413,Sierra,2021-03-10,0,49,0,48
414,Siskiyou,2021-03-10,4,1474,11,1458
415,Solano,2021-03-10,24,30235,21,30111
416,Sonoma,2021-03-10,35,28755,37,28638
417,Stanislaus,2021-03-10,63,51255,84,50968
418,Sutter,2021-03-10,8,8942,4,8918
419,Tehama,2021-03-10,5,4644,3,4623
420,Trinity,2021-03-10,0,308,0,304
421,Tulare,2021-03-10,36,47806,22,47659
422,Tuolumne,2021-03-10,1,3936,2,3931
424,Ventura,2021-03-10,71,78508,83,78609
425,Yolo,2021-03-10,9,13118,6,13021
426,Yuba,2021-03-10,3,5574,6,5545
427,Alameda,2021-03-09,117,81925,75,81618
428,Alpine,2021-03-09,0,81,0,78
429,Amador,2021-03-09,2,3506,4,3494
430,Butte,2021-03-09,15,11125,10,11092
431,Calaveras,2021-03-09,2,1936,4,1913
432,California,2021-03-09,2374,3524290,6412,3513678
433,Colusa,2021-03-09,1,1882,3,1880
434,Contra Costa,2021-03-09,73,63606,74,63314
435,Del Norte,2021-03-09,4,1029,5,1017
436,El Dorado,2021-03-09,8,9218,10,9198
437,Fresno,2021-03-09,83,97264,79,96744
438,Glenn,2021-03-09,2,2260,2,2251
439,Humboldt,2021-03-09,9,3309,10,3288
440,Imperial,2021-03-09,3,27108,12,27045
441,Inyo,2021-03-09,1,1340,4,1324
442,Kern,2021-03-09,64,93148,67,92924
443,Kings,2021-03-09,22,22238,13,22143
444,Lake,2021-03-09,12,3226,7,3202
445,Lassen,2021-03-09,0,5126,1,5120
446,Los Angeles,2021-03-09,479,1171017,4558,1167967
447,Madera,2021-03-09,13,15766,10,15701
448,Marin,2021-03-09,15,13374,7,13335
449,Mariposa,2021-03-09,0,376,0,376
450,Mendocino,2021-03-09,5,3606,5,3595
451,Merced,2021-03-09,33,29073,35,28876
452,Modoc,2021-03-09,0,340,0,338
453,Mono,2021-03-09,0,1205,3,1203
454,Monterey,2021-03-09,15,41945,31,41894
455,Napa,2021-03-09,7,9184,9,9155
456,Nevada,2021-03-09,2,4106,3,4062
457,Orange,2021-03-09,150,247377,89,246989
459,Placer,2021-03-09,22,20234,20,20122
460,Plumas,2021-03-09,0,640,4,639
461,Riverside,2021-03-09,143,281028,99,280562
462,Sacramento,2021-03-09,128,95051,66,94720
463,San Benito,2021-03-09,6,5815,3,5800
464,San Bernardino,2021-03-09,90,283672,77,282971
465,San Diego,2021-03-09,189,265389,473,263745
466,San Francisco,2021-03-09,21,34735,20,34654
467,San Joaquin,2021-03-09,102,66534,76,66383
468,San Luis Obispo,2021-03-09,29,19759,16,19672
469,San Mateo,2021-03-09,50,39652,43,39535
470,Santa Barbara,2021-03-09,29,32466,21,32314
471,Santa Clara,2021-03-09,144,112363,81,111963
472,Santa Cruz,2021-03-09,17,14876,35,14764
473,Shasta,2021-03-09,7,11012,25,11113
474,Sierra,2021-03-09,0,49,0,48
475,Siskiyou,2021-03-09,0,1470,7,1447
476,Solano,2021-03-09,20,30211,22,30090
477,Sonoma,2021-03-09,36,28720,30,28601
478,Stanislaus,2021-03-09,46,51192,59,50884
479,Sutter,2021-03-09,3,8934,9,8914
480,Tehama,2021-03-09,5,4639,5,4620
481,Trinity,2021-03-09,3,308,2,304
482,Tulare,2021-03-09,33,47770,50,47637
483,Tuolumne,2021-03-09,2,3935,8,3929
485,Ventura,2021-03-09,79,78437,0,78526
486,Yolo,2021-03-09,22,13109,15,13015
487,Yuba,2021-03-09,11,5571,9,5539
488,Alameda,2021-03-08,109,81808,130,81543
489,Alpine,2021-03-08,0,81,0,78
490,Amador,2021-03-08,2,3504,1,3490
491,Butte,2021-03-08,10,11110,7,11082
492,Calaveras,2021-03-08,1,1934,3,1909
493,California,2021-03-08,2833,3521916,2614,3507266
494,Colusa,2021-03-08,1,1881,1,1877
495,Contra Costa,2021-03-08,79,63533,92,63240
496,Del Norte,2021-03-08,6,1025,2,1012
497,El Dorado,2021-03-08,4,9210,4,9188
498,Fresno,2021-03-08,133,97181,116,96665
499,Glenn,2021-03-08,1,2258,5,2249
500,Humboldt,2021-03-08,9,3300,4,3278
501,Imperial,2021-03-08,9,27105,14,27033
502,Inyo,2021-03-08,9,1339,0,1320
503,Kern,2021-03-08,87,93084,111,92857
504,Kings,2021-03-08,30,22216,27,22130
505,Lake,2021-03-08,5,3214,3,3195
506,Lassen,2021-03-08,2,5126,0,5119
507,Los Angeles,2021-03-08,572,1170538,660,1163409
508,Madera,2021-03-08,13,15753,16,15691
509,Marin,2021-03-08,17,13359,15,13328
510,Mariposa,2021-03-08,0,376,0,376
511,Mendocino,2021-03-08,8,3601,9,3590
512,Merced,2021-03-08,64,29040,12,28841
513,Modoc,2021-03-08,0,340,0,338
514,Mono,2021-03-08,4,1205,1,1200
515,Monterey,2021-03-08,17,41930,5,41863
516,Napa,2021-03-08,11,9177,9,9146
517,Nevada,2021-03-08,11,4104,7,4059
518,Orange,2021-03-08,152,247227,129,246900
520,Placer,2021-03-08,32,20212,32,20102
521,Plumas,2021-03-08,1,640,0,635
522,Riverside,2021-03-08,155,280885,84,280463
523,Sacramento,2021-03-08,131,94923,141,94654
524,San Benito,2021-03-08,3,5809,2,5797
525,San Bernardino,2021-03-08,147,283582,34,282894
526,San Diego,2021-03-08,197,265200,307,263272
527,San Francisco,2021-03-08,33,34714,40,34634
528,San Joaquin,2021-03-08,109,66432,55,66307
529,San Luis Obispo,2021-03-08,34,19730,42,19656
530,San Mateo,2021-03-08,40,39602,56,39492
531,Santa Barbara,2021-03-08,37,32437,75,32293
532,Santa Clara,2021-03-08,151,112219,137,111882
533,Santa Cruz,2021-03-08,22,14859,14,14729
534,Shasta,2021-03-08,22,11005,5,11088
535,Sierra,2021-03-08,1,49,0,48
536,Siskiyou,2021-03-08,4,1470,5,1440
537,Solano,2021-03-08,34,30191,41,30068
538,Sonoma,2021-03-08,40,28684,38,28571
539,Stanislaus,2021-03-08,90,51146,42,50825
540,Sutter,2021-03-08,8,8931,5,8905
541,Tehama,2021-03-08,9,4634,1,4615
542,Trinity,2021-03-08,0,305,0,302
543,Tulare,2021-03-08,57,47737,18,47587
544,Tuolumne,2021-03-08,3,3933,-1,3921
546,Ventura,2021-03-08,94,78358,39,78526
547,Yolo,2021-03-08,11,13087,12,13000
548,Yuba,2021-03-08,2,5560,14,5530
549,Alameda,2021-03-07,24,81699,103,81413
550,Alpine,2021-03-07,0,81,0,78
551,Amador,2021-03-07,4,3502,2,3489
552,Butte,2021-03-07,2,11100,10,11075
553,Calaveras,2021-03-07,1,1933,2,1906
554,California,2021-03-07,1478,3519083,3258,3504652
555,Colusa,2021-03-07,2,1880,2,1876
556,Contra Costa,2021-03-07,52,63454,108,63148
557,Del Norte,2021-03-07,1,1019,10,1010
558,El Dorado,2021-03-07,3,9206,18,9184
559,Fresno,2021-03-07,53,97048,183,96549
560,Glenn,2021-03-07,0,2257,3,2244
561,Humboldt,2021-03-07,4,3291,14,3274
562,Imperial,2021-03-07,4,27096,10,27019
563,Inyo,2021-03-07,1,1330,8,1320
564,Kern,2021-03-07,34,92997,62,92746
565,Kings,2021-03-07,11,22186,9,22103
566,Lake,2021-03-07,1,3209,3,3192
567,Lassen,2021-03-07,0,5124,0,5119
568,Los Angeles,2021-03-07,357,1169966,1004,1162749
569,Madera,2021-03-07,2,15740,29,15675
570,Marin,2021-03-07,5,13342,24,13313
571,Mariposa,2021-03-07,0,376,0,376
572,Mendocino,2021-03-07,2,3593,2,3581
573,Merced,2021-03-07,31,28976,58,28829
574,Modoc,2021-03-07,1,340,0,338
575,Mono,2021-03-07,1,1201,1,1199
576,Monterey,2021-03-07,7,41913,20,41858
577,Napa,2021-03-07,2,9166,8,9137
578,Nevada,2021-03-07,6,4093,8,4052
579,Orange,2021-03-07,65,247075,137,246771
581,Placer,2021-03-07,19,20180,40,20070
582,Plumas,2021-03-07,0,639,1,635
583,Riverside,2021-03-07,83,280730,154,280379
584,Sacramento,2021-03-07,66,94792,181,94513
585,San Benito,2021-03-07,5,5806,2,5795
586,San Bernardino,2021-03-07,59,283435,123,282860
587,San Diego,2021-03-07,149,265003,187,262965
588,San Francisco,2021-03-07,25,34681,34,34594
589,San Joaquin,2021-03-07,43,66323,90,66252
590,San Luis Obispo,2021-03-07,9,19696,22,19614
591,San Mateo,2021-03-07,27,39562,52,39436
592,Santa Barbara,2021-03-07,28,32400,42,32218
593,Santa Clara,2021-03-07,83,112068,175,111745
