,county,date,all_hospital_beds,icu_available_beds
172,San Benito,2020-04-01,0,0
173,Colusa,2020-04-01,0,5
174,San Bernardino,2020-04-01,0,34
175,Stanislaus,2020-04-01,0,31
176,Amador,2020-04-01,0,2
177,Kings,2020-04-01,0,1
178,Inyo,2020-04-01,0,6
179,Glenn,2020-04-01,0,0
180,Calaveras,2020-04-01,0,5
181,Mariposa,2020-04-01,0,0
182,Lake,2020-04-01,0,2
183,Shasta,2020-04-01,0,13
184,Del Norte,2020-04-01,0,3
185,Humboldt,2020-04-01,0,7
186,Tulare,2020-04-01,0,9
187,Los Angeles,2020-04-01,0,492
188,Plumas,2020-04-01,0,0
189,San Diego,2020-04-01,0,215
190,Orange,2020-04-01,0,118
191,Contra Costa,2020-04-01,0,61
192,Modoc,2020-04-01,0,0
193,Riverside,2020-04-01,0,76
194,El Dorado,2020-04-01,0,9
195,San Mateo,2020-04-01,0,36
196,Kern,2020-04-01,0,32
197,San Francisco,2020-04-01,0,64
198,Mono,2020-04-01,0,2
199,Trinity,2020-04-01,0,0
200,Marin,2020-04-01,0,14
201,Merced,2020-04-01,0,9
202,Butte,2020-04-01,0,9
203,San Luis Obispo,2020-04-01,0,968
204,Yolo,2020-04-01,0,2
205,Santa Barbara,2020-04-01,0,51
206,Ventura,2020-04-01,0,27
207,Sonoma,2020-04-01,0,22
208,Sutter,2020-04-01,0,0
209,Alameda,2020-04-01,0,106
210,Santa Cruz,2020-04-01,0,3
211,Monterey,2020-04-01,0,15
212,Yuba,2020-04-01,0,6
213,Santa Clara,2020-04-01,0,91
214,Nevada,2020-04-01,0,3
215,Solano,2020-04-01,0,31
216,Sacramento,2020-04-01,0,74
217,Tuolumne,2020-04-01,0,2
218,San Joaquin,2020-04-01,0,21
219,Mendocino,2020-04-01,0,8
220,Fresno,2020-04-01,0,53
221,Placer,2020-04-02,0,11
222,Solano,2020-04-02,0,27
223,Fresno,2020-04-02,0,33
224,Marin,2020-04-02,0,16
225,Riverside,2020-04-02,0,104
226,Santa Barbara,2020-04-02,0,47
227,Mariposa,2020-04-02,0,0
228,Tehama,2020-04-02,0,4
229,Trinity,2020-04-02,0,0
230,Lassen,2020-04-02,0,0
231,Napa,2020-04-02,0,12
232,Los Angeles,2020-04-02,0,488
233,Humboldt,2020-04-02,0,8
234,Santa Clara,2020-04-02,0,95
235,San Mateo,2020-04-02,0,26
236,Siskiyou,2020-04-02,0,4
237,Glenn,2020-04-02,0,0
238,Sacramento,2020-04-02,0,80
239,Mono,2020-04-02,0,2
240,Del Norte,2020-04-02,0,2
241,Madera,2020-04-02,0,6
