county,date,cases,cumulative_cases,reported_cases,cumulative_reported_cases
Merced,3/14/2021,7,29189,43,29149
Modoc,3/14/2021,0,341,0,340
Mono,3/14/2021,0,1206,-1,1206
Monterey,3/14/2021,1,42022,18,42007
Napa,3/14/2021,2,9208,4,9194
Nevada,3/14/2021,0,4131,11,4122
Orange,3/14/2021,25,247830,142,247656
Placer,3/14/2021,4,20339,50,20288
Plumas,3/14/2021,0,643,0,642
Riverside,3/14/2021,42,281535,141,281332
Sacramento,3/14/2021,6,95520,151,95343
San Benito,3/14/2021,0,5831,6,5829
San Bernardino,3/14/2021,16,283969,64,283791
San Diego,3/14/2021,51,265888,198,265468
San Francisco,3/14/2021,5,34830,26,34810
San Joaquin,3/14/2021,8,66853,83,66563
San Luis Obispo,3/14/2021,2,19830,17,19806
San Mateo,3/14/2021,6,39802,55,39744
Santa Barbara,3/14/2021,13,32549,28,32514
Santa Clara,3/14/2021,43,112841,117,112648
Santa Cruz,3/14/2021,0,14923,12,14887
Shasta,3/14/2021,0,11034,-2,11019
Sierra,3/14/2021,0,49,0,49
Siskiyou,3/14/2021,1,1477,3,1473
Solano,3/14/2021,2,30298,32,30230
Sonoma,3/14/2021,2,28846,36,28798
Stanislaus,3/14/2021,11,51406,49,51306
Sutter,3/14/2021,4,8966,10,8958
Tehama,3/14/2021,0,4660,3,4650
Trinity,3/14/2021,0,308,2,308
Tulare,3/14/2021,5,47891,27,47845
Tuolumne,3/14/2021,0,3938,0,3937
Ventura,3/14/2021,24,78671,-82,78611
Yolo,3/14/2021,2,13161,41,13128
Yuba,3/14/2021,1,5593,6,5583
Alameda,3/13/2021,61,82248,112,82010
Alpine,3/13/2021,0,82,0,82
Amador,3/13/2021,4,3510,1,3504
Butte,3/13/2021,2,11149,5,11131
Calaveras,3/13/2021,0,1942,23,1939
California,3/13/2021,1068,3531911,2772,3526335
Colusa,3/13/2021,0,1882,-1,1882
Contra Costa,3/13/2021,56,63922,106,63689
Del Norte,3/13/2021,3,1048,8,1041
El Dorado,3/13/2021,2,9245,2,9221
Fresno,3/13/2021,52,97611,139,97324
Glenn,3/13/2021,2,2267,2,2260
Humboldt,3/13/2021,5,3344,10,3325
Imperial,3/13/2021,5,27136,28,27099
Inyo,3/13/2021,0,1346,5,1344
Kern,3/13/2021,18,93326,55,93197
Kings,3/13/2021,17,22312,32,22265
Lake,3/13/2021,5,3245,8,3234
Lassen,3/13/2021,0,5126,0,5125
Los Angeles,3/13/2021,212,1172611,645,1171505
Madera,3/13/2021,2,15817,19,15780
Marin,3/13/2021,4,13416,16,13391
Mariposa,3/13/2021,2,379,0,376
Mendocino,3/13/2021,1,3620,6,3611
Merced,3/13/2021,11,29182,42,29106
Modoc,3/13/2021,0,341,0,340
Mono,3/13/2021,0,1206,1,1207
Monterey,3/13/2021,8,42021,25,41989
Napa,3/13/2021,3,9206,10,9190
Nevada,3/13/2021,4,4131,10,4111
Orange,3/13/2021,64,247805,126,247514
Placer,3/13/2021,21,20335,28,20238
Plumas,3/13/2021,0,643,1,642
Riverside,3/13/2021,89,281493,154,281191
Sacramento,3/13/2021,47,95514,131,95192
San Benito,3/13/2021,1,5831,6,5823
San Bernardino,3/13/2021,33,283953,169,283727
San Diego,3/13/2021,64,265837,384,265270
San Francisco,3/13/2021,20,34825,26,34784
San Joaquin,3/13/2021,21,66845,-2,66480
San Luis Obispo,3/13/2021,6,19828,20,19789
San Mateo,3/13/2021,25,39796,51,39689
Santa Barbara,3/13/2021,11,32536,29,32486
Santa Clara,3/13/2021,71,112798,135,112531
Santa Cruz,3/13/2021,10,14923,29,14875
Shasta,3/13/2021,1,11034,-122,11021
Sierra,3/13/2021,0,49,0,49
Siskiyou,3/13/2021,1,1476,2,1470
Solano,3/13/2021,8,30296,18,30198
Sonoma,3/13/2021,16,28844,48,28762
Stanislaus,3/13/2021,12,51395,111,51257
Sutter,3/13/2021,5,8962,8,8948
Tehama,3/13/2021,2,4660,9,4647
Trinity,3/13/2021,0,308,0,306
Tulare,3/13/2021,11,47886,46,47818
Tuolumne,3/13/2021,0,3938,1,3937
Ventura,3/13/2021,32,78647,-5,78693
Yolo,3/13/2021,5,13159,26,13087
Yuba,3/13/2021,5,5592,14,5577
Alameda,3/12/2021,89,82187,89,81898
Alpine,3/12/2021,0,82,4,82
Amador,3/12/2021,0,3506,5,3503
Butte,3/12/2021,5,11147,16,11126
Calaveras,3/12/2021,2,1942,1,1916
California,3/12/2021,1926,3530843,3230,3523563
Colusa,3/12/2021,0,1882,0,1883
Contra Costa,3/12/2021,87,63866,114,63583
Del Norte,3/12/2021,5,1045,6,1033
El Dorado,3/12/2021,13,9243,8,9219
Fresno,3/12/2021,85,97559,159,97185
Glenn,3/12/2021,3,2265,3,2258
