county,date,cases,cumulative_cases,reported_cases,cumulative_reported_cases
Santa Clara,2/5/2021,361,105984,331,104112
Santa Cruz,2/5/2021,33,14174,63,13776
Shasta,2/5/2021,27,10529,41,10507
Sierra,2/5/2021,0,47,0,42
Siskiyou,2/5/2021,9,1322,3,1276
Solano,2/5/2021,103,28908,91,28283
Sonoma,2/5/2021,85,26885,147,26423
Stanislaus,2/5/2021,160,48224,202,47024
Sutter,2/5/2021,20,8536,42,8443
Tehama,2/5/2021,16,4438,28,4355
Trinity,2/5/2021,1,286,0,260
Tulare,2/5/2021,124,45839,155,45138
Tuolumne,2/5/2021,40,3678,10,3595
Ventura,2/5/2021,345,74034,358,72953
Yolo,2/5/2021,34,12432,43,12025
Yuba,2/5/2021,26,5246,10,5145
Alameda,2/4/2021,337,76970,454,75422
Alpine,2/4/2021,0,72,0,72
Amador,2/4/2021,4,3351,7,3288
Butte,2/4/2021,35,10583,31,10386
Calaveras,2/4/2021,12,1839,9,1808
California,2/4/2021,10118,3381000,14021,3308468
Colusa,2/4/2021,5,1800,4,1777
Contra Costa,2/4/2021,239,59430,229,57991
Del Norte,2/4/2021,5,890,1,870
El Dorado,2/4/2021,22,8738,62,8490
Fresno,2/4/2021,214,92356,378,90126
Glenn,2/4/2021,8,2153,4,2102
Humboldt,2/4/2021,10,2937,27,2827
Imperial,2/4/2021,34,26593,48,26411
Inyo,2/4/2021,10,1145,13,1084
Kern,2/4/2021,239,89052,385,87156
Kings,2/4/2021,52,21259,87,20918
Lake,2/4/2021,16,2971,13,2882
Lassen,2/4/2021,14,4999,17,4927
Los Angeles,2/4/2021,3079,1135104,4433,1106323
Madera,2/4/2021,38,14984,101,14706
Marin,2/4/2021,34,12614,25,12431
Mariposa,2/4/2021,1,364,1,348
Mendocino,2/4/2021,26,3376,4,3240
Merced,2/4/2021,111,27101,109,26629
Modoc,2/4/2021,1,323,1,309
Mono,2/4/2021,7,1165,7,1153
Monterey,2/4/2021,127,40328,119,39619
Napa,2/4/2021,35,8728,39,8573
Nevada,2/4/2021,14,3747,18,3590
Orange,2/4/2021,750,238924,939,235677
Placer,2/4/2021,51,19117,65,18711
Plumas,2/4/2021,0,616,3,562
Riverside,2/4/2021,719,272238,832,269851
Sacramento,2/4/2021,324,89134,243,87658
San Benito,2/4/2021,18,5568,25,5488
San Bernardino,2/4/2021,483,276606,746,272223
San Diego,2/4/2021,910,252606,1598,242613
San Francisco,2/4/2021,140,32773,133,32116
San Joaquin,2/4/2021,220,62964,398,62374
San Luis Obispo,2/4/2021,77,18501,136,18058
San Mateo,2/4/2021,141,37517,210,36437
Santa Barbara,2/4/2021,148,30271,223,29344
Santa Clara,2/4/2021,321,105623,503,103781
Santa Cruz,2/4/2021,47,14141,102,13713
Shasta,2/4/2021,44,10502,44,10466
Sierra,2/4/2021,0,47,0,42
Siskiyou,2/4/2021,11,1313,5,1273
Solano,2/4/2021,122,28805,135,28192
Sonoma,2/4/2021,89,26800,121,26276
Stanislaus,2/4/2021,173,48064,224,46822
Sutter,2/4/2021,28,8516,22,8401
Tehama,2/4/2021,23,4422,18,4327
Trinity,2/4/2021,0,285,0,260
Tulare,2/4/2021,165,45715,145,44983
Tuolumne,2/4/2021,11,3638,17,3585
Ventura,2/4/2021,331,73689,471,72595
Yolo,2/4/2021,25,12398,49,11982
Yuba,2/4/2021,18,5220,11,5135
Alameda,2/3/2021,344,76633,326,74968
Alpine,2/3/2021,0,72,0,72
Amador,2/3/2021,31,3347,6,3281
Butte,2/3/2021,25,10548,48,10355
Calaveras,2/3/2021,9,1827,13,1799
California,2/3/2021,11445,3370882,13176,3294447
Colusa,2/3/2021,8,1795,4,1773
Contra Costa,2/3/2021,277,59191,211,57762
Del Norte,2/3/2021,6,885,1,869
El Dorado,2/3/2021,40,8716,23,8428
Fresno,2/3/2021,307,92142,206,89748
Glenn,2/3/2021,11,2145,8,2098
Humboldt,2/3/2021,13,2927,16,2800
Imperial,2/3/2021,52,26559,46,26363
Inyo,2/3/2021,3,1135,-3,1071
Kern,2/3/2021,303,88813,286,86771
Kings,2/3/2021,89,21207,46,20831
Lake,2/3/2021,20,2955,12,2869
Lassen,2/3/2021,7,4985,2,4910
Los Angeles,2/3/2021,3352,1132025,4317,1101890
Madera,2/3/2021,50,14946,10,14605
Marin,2/3/2021,29,12580,39,12406
Mariposa,2/3/2021,3,363,2,347
Mendocino,2/3/2021,33,3350,26,3236
Merced,2/3/2021,88,26990,93,26520
Modoc,2/3/2021,5,322,2,308
Mono,2/3/2021,2,1158,-1,1146
Monterey,2/3/2021,135,40201,129,39500
Napa,2/3/2021,29,8693,29,8534
Nevada,2/3/2021,15,3733,24,3572
Orange,2/3/2021,786,238174,955,234738
Placer,2/3/2021,52,19066,31,18646
Plumas,2/3/2021,0,616,-1,559
Riverside,2/3/2021,825,271519,1118,269019
Sacramento,2/3/2021,287,88810,308,87415
San Benito,2/3/2021,13,5550,19,5463
San Bernardino,2/3/2021,665,276123,991,271477
San Diego,2/3/2021,1042,251696,968,241015
San Francisco,2/3/2021,158,32633,195,31983
San Joaquin,2/3/2021,209,62744,268,61976
San Luis Obispo,2/3/2021,93,18424,111,17922
San Mateo,2/3/2021,174,37376,223,36227
Santa Barbara,2/3/2021,167,30123,170,29121
Santa Clara,2/3/2021,485,105302,406,103278
Santa Cruz,2/3/2021,57,14094,39,13611
Shasta,2/3/2021,26,10458,51,10422
Sierra,2/3/2021,0,47,0,42
Siskiyou,2/3/2021,7,1302,16,1268
Solano,2/3/2021,97,28683,94,28057
Sonoma,2/3/2021,120,26711,101,26155
Stanislaus,2/3/2021,219,47891,292,46598
Sutter,2/3/2021,22,8488,39,8379
Tehama,2/3/2021,14,4399,20,4309
Trinity,2/3/2021,0,285,0,260
Tulare,2/3/2021,154,45550,118,44838
Tuolumne,2/3/2021,12,3627,20,3568
Ventura,2/3/2021,413,73358,567,72124
Yolo,2/3/2021,43,12373,47,11933
Yuba,2/3/2021,18,5202,13,5124
Alameda,2/2/2021,358,76289,268,74642
Alpine,2/2/2021,0,72,0,72
Amador,2/2/2021,11,3316,41,3275
Butte,2/2/2021,41,10523,44,10307
Calaveras,2/2/2021,20,1818,1,1786
California,2/2/2021,12531,3359437,10501,3281271
Colusa,2/2/2021,6,1787,6,1769
Contra Costa,2/2/2021,244,58914,227,57551
Del Norte,2/2/2021,4,879,3,868
El Dorado,2/2/2021,37,8676,68,8405
Fresno,2/2/2021,342,91835,270,89542
Glenn,2/2/2021,16,2134,4,2090
Humboldt,2/2/2021,20,2914,11,2784
Imperial,2/2/2021,47,26507,93,26317
Inyo,2/2/2021,10,1132,2,1074
Kern,2/2/2021,403,88510,315,86485
Kings,2/2/2021,93,21118,39,20785
Lake,2/2/2021,16,2935,14,2857
Lassen,2/2/2021,20,4978,1,4908
Los Angeles,2/2/2021,3822,1128673,3232,1097573
Madera,2/2/2021,33,14896,23,14595
Marin,2/2/2021,38,12551,26,12367
Mariposa,2/2/2021,2,360,1,345
Mendocino,2/2/2021,33,3317,18,3210
Merced,2/2/2021,132,26902,145,26427
Modoc,2/2/2021,6,317,3,306
Mono,2/2/2021,3,1156,2,1147
Monterey,2/2/2021,179,40066,175,39371
Napa,2/2/2021,33,8664,56,8505
Nevada,2/2/2021,16,3718,13,3548
Orange,2/2/2021,894,237388,628,233783
Placer,2/2/2021,64,19014,41,18615
Plumas,2/2/2021,2,616,6,560
Riverside,2/2/2021,903,270694,876,267901
Sacramento,2/2/2021,386,88523,251,87107
San Benito,2/2/2021,18,5537,12,5444
San Bernardino,2/2/2021,670,275458,474,270486
San Diego,2/2/2021,1206,250654,926,240047
San Francisco,2/2/2021,137,32475,85,31788
San Joaquin,2/2/2021,195,62535,166,61708
San Luis Obispo,2/2/2021,118,18331,121,17811
San Mateo,2/2/2021,151,37202,161,36004
Santa Barbara,2/2/2021,168,29956,114,28951
Santa Clara,2/2/2021,417,104817,410,102872
Santa Cruz,2/2/2021,51,14037,48,13572
Shasta,2/2/2021,25,10432,42,10371
Sierra,2/2/2021,0,47,0,42
Siskiyou,2/2/2021,6,1295,14,1252
Solano,2/2/2021,105,28586,119,27963
Sonoma,2/2/2021,95,26591,43,26054
Stanislaus,2/2/2021,259,47672,194,46306
Sutter,2/2/2021,44,8466,27,8340
Tehama,2/2/2021,23,4385,26,4289
Trinity,2/2/2021,2,285,0,260
Tulare,2/2/2021,143,45396,151,44720
Tuolumne,2/2/2021,8,3615,14,3548
Ventura,2/2/2021,399,72945,453,71557
Yolo,2/2/2021,44,12330,62,11886
Yuba,2/2/2021,13,5184,27,5111
Alameda,2/1/2021,425,75931,395,74374
Alpine,2/1/2021,0,72,0,72
Amador,2/1/2021,10,3305,22,3234
Butte,2/1/2021,43,10482,48,10263
Calaveras,2/1/2021,20,1798,7,1785
California,2/1/2021,15101,3346906,12064,3270770
Colusa,2/1/2021,8,1781,9,1763
Contra Costa,2/1/2021,325,58670,245,57324
Del Norte,2/1/2021,2,875,0,865
El Dorado,2/1/2021,39,8639,20,8337
Fresno,2/1/2021,314,91493,420,89272
Glenn,2/1/2021,11,2118,3,2086
Humboldt,2/1/2021,16,2894,6,2773
Imperial,2/1/2021,65,26460,18,26224
Inyo,2/1/2021,13,1122,0,1072
Kern,2/1/2021,491,88107,298,86170
Kings,2/1/2021,88,21025,37,20746
Lake,2/1/2021,21,2919,17,2843
Lassen,2/1/2021,16,4958,7,4907
Los Angeles,2/1/2021,4593,1124851,4037,1094341
Madera,2/1/2021,54,14863,76,14572
Marin,2/1/2021,47,12513,44,12341
Mariposa,2/1/2021,2,358,0,344
Mendocino,2/1/2021,22,3284,11,3192
Merced,2/1/2021,138,26770,60,26282
Modoc,2/1/2021,3,311,-1,303
Mono,2/1/2021,3,1153,-1,1145
Monterey,2/1/2021,171,39887,161,39196
Napa,2/1/2021,43,8631,45,8449
Nevada,2/1/2021,22,3702,17,3535
Orange,2/1/2021,990,236494,808,233155
Placer,2/1/2021,63,18950,68,18574
Plumas,2/1/2021,1,614,0,554
Riverside,2/1/2021,970,269791,880,267025
Sacramento,2/1/2021,423,88137,296,86856
San Benito,2/1/2021,22,5519,7,5432
San Bernardino,2/1/2021,1034,274788,479,270012
San Diego,2/1/2021,1283,249448,1082,239121
San Francisco,2/1/2021,202,32338,140,31703
San Joaquin,2/1/2021,398,62340,163,61542
San Luis Obispo,2/1/2021,134,18213,75,17690
San Mateo,2/1/2021,193,37051,184,35843
Santa Barbara,2/1/2021,236,29788,267,28837
Santa Clara,2/1/2021,556,104400,476,102462
Santa Cruz,2/1/2021,97,13986,55,13524
Shasta,2/1/2021,45,10407,16,10329
Sierra,2/1/2021,1,47,-1,42
Siskiyou,2/1/2021,10,1289,0,1238
Solano,2/1/2021,128,28481,166,27844
Sonoma,2/1/2021,105,26496,86,26011
Stanislaus,2/1/2021,283,47413,141,46112
Sutter,2/1/2021,43,8422,24,8313
Tehama,2/1/2021,19,4362,7,4263
Trinity,2/1/2021,2,283,0,260
Tulare,2/1/2021,160,45253,129,44569
Tuolumne,2/1/2021,39,3607,15,3534
Ventura,2/1/2021,579,72546,469,71104
Yolo,2/1/2021,60,12286,53,11824
Yuba,2/1/2021,20,5171,13,5084
Alameda,1/31/2021,198,75506,357,73979
Alpine,1/31/2021,0,72,0,72
Amador,1/31/2021,4,3295,31,3212
Butte,1/31/2021,34,10439,38,10215
Calaveras,1/31/2021,13,1778,15,1778
California,1/31/2021,7862,3331805,15358,3258706
Colusa,1/31/2021,2,1773,6,1754
Contra Costa,1/31/2021,181,58345,316,57079
Del Norte,1/31/2021,1,873,0,865
El Dorado,1/31/2021,20,8600,18,8317
Fresno,1/31/2021,178,91179,376,88852
Glenn,1/31/2021,4,2107,9,2083
Humboldt,1/31/2021,11,2878,25,2767
Imperial,1/31/2021,21,26395,46,26206
Inyo,1/31/2021,4,1109,4,1072
Kern,1/31/2021,199,87616,300,85872
Kings,1/31/2021,57,20937,104,20709
Lake,1/31/2021,6,2898,17,2826
Lassen,1/31/2021,4,4942,10,4900
Los Angeles,1/31/2021,2352,1120258,5541,1090304
Madera,1/31/2021,42,14809,53,14496
Marin,1/31/2021,30,12466,72,12297
Mariposa,1/31/2021,2,356,0,344
Mendocino,1/31/2021,14,3262,28,3181
Merced,1/31/2021,72,26632,144,26222
Modoc,1/31/2021,0,308,1,304
Mono,1/31/2021,0,1150,3,1146
Monterey,1/31/2021,60,39716,188,39035
Napa,1/31/2021,16,8588,62,8404
Nevada,1/31/2021,19,3680,19,3518
Orange,1/31/2021,548,235504,989,232347
Placer,1/31/2021,38,18887,76,18506
Plumas,1/31/2021,2,613,0,554
Riverside,1/31/2021,581,268821,1008,266145
Sacramento,1/31/2021,185,87714,172,86560
San Benito,1/31/2021,18,5497,24,5425
San Bernardino,1/31/2021,390,273754,873,269533
San Diego,1/31/2021,753,248165,1274,238039
San Francisco,1/31/2021,114,32136,136,31563
San Joaquin,1/31/2021,122,61942,259,61379
San Luis Obispo,1/31/2021,78,18079,93,17615
San Mateo,1/31/2021,138,36858,208,35659
Santa Barbara,1/31/2021,139,29552,228,28570
Santa Clara,1/31/2021,363,103844,515,101986
Santa Cruz,1/31/2021,39,13889,86,13469
Shasta,1/31/2021,18,10362,30,10313
Sierra,1/31/2021,0,46,0,43
Siskiyou,1/31/2021,2,1279,2,1238
Solano,1/31/2021,83,28353,167,27678
Sonoma,1/31/2021,51,26391,115,25925
Stanislaus,1/31/2021,140,47130,274,45971
Sutter,1/31/2021,16,8379,63,8289
Tehama,1/31/2021,14,4343,27,4256
Trinity,1/31/2021,0,281,1,260
Tulare,1/31/2021,134,45093,237,44440
Tuolumne,1/31/2021,4,3568,11,3519
Ventura,1/31/2021,324,71967,704,70635
Yolo,1/31/2021,13,12226,73,11771
Yuba,1/31/2021,11,5151,29,5071
Alameda,1/30/2021,277,75308,412,73622
Alpine,1/30/2021,0,72,0,72
Amador,1/30/2021,11,3291,47,3181
Butte,1/30/2021,32,10405,55,10177
Calaveras,1/30/2021,3,1765,6,1763
California,1/30/2021,10066,3323943,18974,3243348
Colusa,1/30/2021,3,1771,14,1748
Contra Costa,1/30/2021,173,58164,445,56763
Del Norte,1/30/2021,1,872,0,865
El Dorado,1/30/2021,18,8580,68,8299
Fresno,1/30/2021,221,91001,540,88476
Glenn,1/30/2021,3,2103,13,2074
Humboldt,1/30/2021,13,2867,35,2742
Imperial,1/30/2021,16,26374,115,26160
Inyo,1/30/2021,12,1105,20,1068
Kern,1/30/2021,224,87417,528,85572
Kings,1/30/2021,35,20880,139,20605
Lake,1/30/2021,9,2892,17,2809
Lassen,1/30/2021,3,4938,16,4890
Los Angeles,1/30/2021,3463,1117906,6434,1084763
Madera,1/30/2021,51,14767,66,14443
Marin,1/30/2021,43,12436,80,12225
Mariposa,1/30/2021,1,354,2,344
Mendocino,1/30/2021,9,3248,22,3153
Merced,1/30/2021,77,26560,213,26078
Modoc,1/30/2021,1,308,6,303
Mono,1/30/2021,2,1150,4,1143
Monterey,1/30/2021,120,39656,308,38847
Napa,1/30/2021,33,8572,66,8342
Nevada,1/30/2021,9,3661,12,3499
Orange,1/30/2021,680,234956,1441,231358
Placer,1/30/2021,54,18849,63,18430
Plumas,1/30/2021,1,611,6,554
Riverside,1/30/2021,782,268240,1633,265137
Sacramento,1/30/2021,244,87529,68,86388
San Benito,1/30/2021,8,5479,15,5401
San Bernardino,1/30/2021,507,273364,1170,268660
San Diego,1/30/2021,915,247412,2128,236765
San Francisco,1/30/2021,166,32022,133,31427
San Joaquin,1/30/2021,143,61820,221,61120
San Luis Obispo,1/30/2021,62,18001,82,17522
San Mateo,1/30/2021,133,36720,228,35451
Santa Barbara,1/30/2021,130,29413,237,28342
Santa Clara,1/30/2021,378,103481,461,101471
Santa Cruz,1/30/2021,55,13850,72,13383
Shasta,1/30/2021,17,10344,63,10283
Sierra,1/30/2021,0,46,0,43
Siskiyou,1/30/2021,1,1277,9,1236
Solano,1/30/2021,84,28270,159,27511
Sonoma,1/30/2021,63,26340,100,25810
Stanislaus,1/30/2021,153,46990,231,45697
Sutter,1/30/2021,21,8363,45,8226
Tehama,1/30/2021,13,4329,38,4229
Trinity,1/30/2021,0,281,-1,259
Tulare,1/30/2021,103,44959,278,44203
Tuolumne,1/30/2021,10,3564,25,3508
Ventura,1/30/2021,427,71643,420,69931
Yolo,1/30/2021,37,12213,86,11698
Yuba,1/30/2021,16,5140,24,5042
Alameda,1/29/2021,435,75031,452,73210
Alpine,1/29/2021,0,72,0,72
Amador,1/29/2021,37,3280,10,3134
Butte,1/29/2021,40,10373,85,10122
Calaveras,1/29/2021,10,1762,10,1757
California,1/29/2021,12841,3313877,18427,3224374
Colusa,1/29/2021,8,1768,3,1734
Contra Costa,1/29/2021,245,57991,319,56318
Del Norte,1/29/2021,1,871,3,865
El Dorado,1/29/2021,16,8562,33,8231
Fresno,1/29/2021,318,90780,535,87936
Glenn,1/29/2021,5,2100,18,2061
Humboldt,1/29/2021,17,2854,21,2707
Imperial,1/29/2021,47,26358,61,26045
Inyo,1/29/2021,5,1093,9,1048
Kern,1/29/2021,331,87193,336,85044
Kings,1/29/2021,49,20845,138,20466
Lake,1/29/2021,15,2883,20,2792
Lassen,1/29/2021,8,4935,9,4874
Los Angeles,1/29/2021,3904,1114443,5917,1078329
Madera,1/29/2021,55,14716,76,14377
Marin,1/29/2021,54,12393,66,12145
Mariposa,1/29/2021,0,353,8,342
Mendocino,1/29/2021,17,3239,21,3131
Merced,1/29/2021,123,26483,245,25865
Modoc,1/29/2021,1,307,0,297
Mono,1/29/2021,2,1148,8,1139
Monterey,1/29/2021,206,39536,227,38539
Napa,1/29/2021,52,8539,43,8276
Nevada,1/29/2021,15,3652,35,3487
Orange,1/29/2021,979,234276,1281,229917
Placer,1/29/2021,62,18795,121,18367
Plumas,1/29/2021,1,610,1,548
Riverside,1/29/2021,757,267458,1162,263504
Sacramento,1/29/2021,363,87285,622,86320
San Benito,1/29/2021,18,5471,42,5386
San Bernardino,1/29/2021,690,272857,1034,267490
San Diego,1/29/2021,1146,246497,1670,234637
San Francisco,1/29/2021,142,31856,101,31294
San Joaquin,1/29/2021,267,61677,272,60899
San Luis Obispo,1/29/2021,99,17939,161,17440
San Mateo,1/29/2021,168,36587,292,35223
Santa Barbara,1/29/2021,219,29283,431,28105
Santa Clara,1/29/2021,480,103103,540,101010
Santa Cruz,1/29/2021,88,13795,123,13311
Shasta,1/29/2021,35,10327,44,10220
Sierra,1/29/2021,0,46,0,43
Siskiyou,1/29/2021,8,1276,9,1227
Solano,1/29/2021,161,28186,189,27352
Sonoma,1/29/2021,98,26277,146,25710
Stanislaus,1/29/2021,226,46837,304,45466
Sutter,1/29/2021,47,8342,45,8181
Tehama,1/29/2021,18,4316,28,4191
Trinity,1/29/2021,2,281,0,260
Tulare,1/29/2021,157,44856,183,43925
Tuolumne,1/29/2021,14,3554,11,3483
Ventura,1/29/2021,522,71216,615,69511
Yolo,1/29/2021,42,12176,112,11612
Yuba,1/29/2021,16,5124,24,5018
Alameda,1/28/2021,438,74596,570,72758
Alpine,1/28/2021,0,72,0,72
Amador,1/28/2021,16,3243,8,3124
Butte,1/28/2021,38,10333,49,10037
Calaveras,1/28/2021,5,1752,10,1747
California,1/28/2021,14537,3301036,19337,3205947
Colusa,1/28/2021,6,1760,7,1731
Contra Costa,1/28/2021,299,57746,421,55999
Del Norte,1/28/2021,1,870,3,862
El Dorado,1/28/2021,26,8546,57,8198
Fresno,1/28/2021,302,90462,515,87401
Glenn,1/28/2021,5,2095,1,2043
Humboldt,1/28/2021,21,2837,56,2686
Imperial,1/28/2021,51,26311,123,25984
Inyo,1/28/2021,4,1088,16,1039
Kern,1/28/2021,308,86862,464,84708
Kings,1/28/2021,100,20796,117,20328
Lake,1/28/2021,20,2868,22,2772
Lassen,1/28/2021,5,4927,14,4865
Los Angeles,1/28/2021,4783,1110539,5843,1072412
Madera,1/28/2021,40,14661,107,14301
Marin,1/28/2021,38,12339,51,12079
Mariposa,1/28/2021,0,353,1,334
Mendocino,1/28/2021,20,3222,15,3110
Merced,1/28/2021,174,26360,181,25620
Modoc,1/28/2021,0,306,0,297
Mono,1/28/2021,2,1146,0,1131
Monterey,1/28/2021,204,39330,173,38312
Napa,1/28/2021,71,8487,46,8233
Nevada,1/28/2021,22,3637,21,3452
Orange,1/28/2021,1111,233297,1526,228636
Placer,1/28/2021,73,18733,140,18246
Plumas,1/28/2021,0,609,3,547
Riverside,1/28/2021,1176,266701,1546,262342
Sacramento,1/28/2021,358,86922,270,85698
San Benito,1/28/2021,15,5453,60,5344
San Bernardino,1/28/2021,846,272167,1303,266456
San Diego,1/28/2021,1319,245351,1489,232967
San Francisco,1/28/2021,138,31714,111,31193
San Joaquin,1/28/2021,273,61410,496,60627
San Luis Obispo,1/28/2021,105,17840,160,17279
San Mateo,1/28/2021,154,36419,312,34931
Santa Barbara,1/28/2021,175,29064,239,27674
Santa Clara,1/28/2021,416,102623,738,100470
Santa Cruz,1/28/2021,65,13707,77,13188
Shasta,1/28/2021,35,10292,70,10176
Sierra,1/28/2021,0,46,-1,43
Siskiyou,1/28/2021,6,1268,4,1218
Solano,1/28/2021,175,28025,181,27163
Sonoma,1/28/2021,105,26179,203,25564
Stanislaus,1/28/2021,192,46611,288,45162
Sutter,1/28/2021,44,8295,43,8136
Tehama,1/28/2021,25,4298,30,4163
Trinity,1/28/2021,0,279,0,260
Tulare,1/28/2021,185,44699,280,43742
Tuolumne,1/28/2021,10,3540,8,3472
Ventura,1/28/2021,473,70694,605,68896
Yolo,1/28/2021,46,12134,73,11500
Yuba,1/28/2021,18,5108,26,4994
Alameda,1/27/2021,378,74158,337,72188
Alpine,1/27/2021,0,72,0,72
Amador,1/27/2021,11,3227,3,3116
Butte,1/27/2021,41,10295,45,9988
Calaveras,1/27/2021,10,1747,14,1737
California,1/27/2021,15682,3286499,16696,3186610
Colusa,1/27/2021,7,1754,5,1724
Contra Costa,1/27/2021,282,57447,241,55578
Del Norte,1/27/2021,1,869,3,859
El Dorado,1/27/2021,27,8520,26,8141
Fresno,1/27/2021,373,90160,213,86886
Glenn,1/27/2021,9,2090,8,2042
Humboldt,1/27/2021,22,2816,18,2630
Imperial,1/27/2021,77,26260,49,25861
Inyo,1/27/2021,7,1084,5,1023
Kern,1/27/2021,427,86554,376,84244
Kings,1/27/2021,47,20696,55,20211
Lake,1/27/2021,9,2848,2,2750
Lassen,1/27/2021,5,4922,7,4851
Los Angeles,1/27/2021,5230,1105756,6077,1066569
Madera,1/27/2021,57,14621,64,14194
Marin,1/27/2021,47,12301,35,12028
Mariposa,1/27/2021,2,353,1,333
Mendocino,1/27/2021,26,3202,19,3095
Merced,1/27/2021,140,26186,80,25439
Modoc,1/27/2021,7,306,6,297
Mono,1/27/2021,1,1144,11,1131
Monterey,1/27/2021,197,39126,176,38139
Napa,1/27/2021,58,8416,42,8187
Nevada,1/27/2021,8,3615,21,3431
Orange,1/27/2021,1149,232186,1123,227110
Placer,1/27/2021,55,18660,90,18106
Plumas,1/27/2021,2,609,8,544
Riverside,1/27/2021,1339,265525,1397,260796
Sacramento,1/27/2021,340,86564,366,85428
San Benito,1/27/2021,14,5438,33,5284
San Bernardino,1/27/2021,970,271321,1417,265153
San Diego,1/27/2021,1471,244032,1415,231478
San Francisco,1/27/2021,145,31576,208,31082
San Joaquin,1/27/2021,250,61137,242,60131
San Luis Obispo,1/27/2021,81,17735,103,17119
San Mateo,1/27/2021,195,36265,178,34619
Santa Barbara,1/27/2021,172,28889,114,27435
Santa Clara,1/27/2021,500,102207,517,99732
Santa Cruz,1/27/2021,61,13642,66,13111
Shasta,1/27/2021,33,10257,70,10106
Sierra,1/27/2021,0,46,1,44
Siskiyou,1/27/2021,15,1262,6,1214
Solano,1/27/2021,155,27850,124,26982
Sonoma,1/27/2021,126,26074,88,25361
Stanislaus,1/27/2021,188,46419,171,44874
Sutter,1/27/2021,42,8251,26,8093
Tehama,1/27/2021,32,4273,18,4133
Trinity,1/27/2021,0,279,0,260
Tulare,1/27/2021,205,44514,68,43462
Tuolumne,1/27/2021,11,3530,13,3464
Ventura,1/27/2021,556,70221,765,68291
Yolo,1/27/2021,44,12088,66,11427
Yuba,1/27/2021,25,5090,24,4968
Alameda,1/26/2021,445,73780,596,71851
Alpine,1/26/2021,0,72,0,72
Amador,1/26/2021,40,3216,39,3113
Butte,1/26/2021,63,10254,78,9943
Calaveras,1/26/2021,14,1737,10,1723
California,1/26/2021,17897,3270817,16728,3169914
Colusa,1/26/2021,11,1747,10,1719
Contra Costa,1/26/2021,370,57165,348,55337
Del Norte,1/26/2021,1,868,1,856
El Dorado,1/26/2021,24,8493,55,8115
Fresno,1/26/2021,376,89787,337,86673
Glenn,1/26/2021,17,2081,6,2034
Humboldt,1/26/2021,34,2794,25,2612
Imperial,1/26/2021,48,26183,67,25812
Inyo,1/26/2021,6,1077,3,1018
Kern,1/26/2021,388,86127,467,83868
Kings,1/26/2021,120,20649,89,20156
Lake,1/26/2021,18,2839,19,2748
Lassen,1/26/2021,29,4917,9,4844
Los Angeles,1/26/2021,5935,1100526,5311,1060492
Madera,1/26/2021,54,14564,62,14130
Marin,1/26/2021,54,12254,70,11993
Mariposa,1/26/2021,4,351,1,332
Mendocino,1/26/2021,11,3176,22,3076
Merced,1/26/2021,147,26046,178,25359
Modoc,1/26/2021,2,299,3,291
Mono,1/26/2021,3,1143,6,1120
Monterey,1/26/2021,255,38929,237,37963
Napa,1/26/2021,35,8358,88,8145
Nevada,1/26/2021,14,3607,45,3410
Orange,1/26/2021,1186,231037,882,225987
Placer,1/26/2021,87,18605,80,18016
Plumas,1/26/2021,3,607,3,536
Riverside,1/26/2021,1686,264186,1317,259399
Sacramento,1/26/2021,445,86224,409,85062
San Benito,1/26/2021,37,5424,13,5251
San Bernardino,1/26/2021,944,270351,562,263736
San Diego,1/26/2021,1592,242561,1433,230063
San Francisco,1/26/2021,172,31431,140,30874
San Joaquin,1/26/2021,286,60887,598,59889
San Luis Obispo,1/26/2021,133,17654,148,17016
San Mateo,1/26/2021,243,36070,254,34441
Santa Barbara,1/26/2021,232,28717,256,27321
Santa Clara,1/26/2021,582,101707,568,99215
Santa Cruz,1/26/2021,82,13581,72,13045
Shasta,1/26/2021,41,10224,45,10036
Sierra,1/26/2021,0,46,1,43
Siskiyou,1/26/2021,9,1247,3,1208
Solano,1/26/2021,167,27695,210,26858
Sonoma,1/26/2021,119,25948,113,25273
Stanislaus,1/26/2021,241,46231,410,44703
Sutter,1/26/2021,44,8209,44,8067
Tehama,1/26/2021,29,4241,33,4115
Trinity,1/26/2021,0,279,-2,260
Tulare,1/26/2021,225,44309,270,43394
Tuolumne,1/26/2021,10,3519,29,3451
Ventura,1/26/2021,670,69665,616,67526
Yolo,1/26/2021,89,12044,85,11361
Yuba,1/26/2021,25,5065,44,4944
Alameda,1/25/2021,518,73335,432,71255
Alpine,1/25/2021,0,72,0,72
Amador,1/25/2021,34,3176,20,3074
Butte,1/25/2021,83,10191,45,9865
Calaveras,1/25/2021,13,1723,9,1713
California,1/25/2021,19522,3252920,17028,3153186
Colusa,1/25/2021,13,1736,20,1709
Contra Costa,1/25/2021,386,56795,295,54989
Del Norte,1/25/2021,5,867,0,855
El Dorado,1/25/2021,34,8469,57,8060
Fresno,1/25/2021,453,89411,528,86336
Glenn,1/25/2021,7,2064,2,2028
Humboldt,1/25/2021,39,2760,25,2587
Imperial,1/25/2021,94,26135,38,25745
Inyo,1/25/2021,16,1071,8,1015
Kern,1/25/2021,437,85739,276,83401
Kings,1/25/2021,120,20529,79,20067
Lake,1/25/2021,18,2821,5,2729
Lassen,1/25/2021,15,4888,7,4835
