county,date,total_doses
Sierra,3/12/2021,20
Siskiyou,3/12/2021,410
Solano,3/12/2021,2616
Sonoma,3/12/2021,4321
Stanislaus,3/12/2021,5297
Sutter,3/12/2021,334
Tehama,3/12/2021,228
Trinity,3/12/2021,319
Tulare,3/12/2021,3052
Tuolumne,3/12/2021,177
Ventura,3/12/2021,2245
Yolo,3/12/2021,1255
Yuba,3/12/2021,203
Alameda,3/11/2021,16860
Alpine,3/11/2021,35
Amador,3/11/2021,152
Butte,3/11/2021,1550
Calaveras,3/11/2021,590
Colusa,3/11/2021,255
Contra Costa,3/11/2021,10467
Del Norte,3/11/2021,119
El Dorado,3/11/2021,1095
Fresno,3/11/2021,8721
Glenn,3/11/2021,482
Humboldt,3/11/2021,623
Imperial,3/11/2021,519
Inyo,3/11/2021,178
Kern,3/11/2021,4945
Kings,3/11/2021,564
Lake,3/11/2021,105
Lassen,3/11/2021,143
Los Angeles,3/11/2021,63798
Madera,3/11/2021,803
Marin,3/11/2021,2948
Mariposa,3/11/2021,24
Mendocino,3/11/2021,660
Merced,3/11/2021,1504
Modoc,3/11/2021,164
Mono,3/11/2021,12
Monterey,3/11/2021,2140
Napa,3/11/2021,991
Nevada,3/11/2021,827
Orange,3/11/2021,24830
Placer,3/11/2021,2176
Plumas,3/11/2021,150
Riverside,3/11/2021,11709
Sacramento,3/11/2021,9262
San Benito,3/11/2021,345
San Bernardino,3/11/2021,7811
San Diego,3/11/2021,27041
San Francisco,3/11/2021,8417
San Joaquin,3/11/2021,3573
San Luis Obispo,3/11/2021,2554
San Mateo,3/11/2021,6748
Santa Barbara,3/11/2021,4046
Santa Clara,3/11/2021,13538
Santa Cruz,3/11/2021,2389
Shasta,3/11/2021,755
Sierra,3/11/2021,148
Siskiyou,3/11/2021,332
Solano,3/11/2021,2771
Sonoma,3/11/2021,4626
Stanislaus,3/11/2021,5370
Sutter,3/11/2021,355
Tehama,3/11/2021,420
Trinity,3/11/2021,10
Tulare,3/11/2021,2785
Tuolumne,3/11/2021,1195
Ventura,3/11/2021,2494
Yolo,3/11/2021,1271
Yuba,3/11/2021,175
Alameda,3/10/2021,15101
Alpine,3/10/2021,72
Amador,3/10/2021,135
Butte,3/10/2021,1370
Calaveras,3/10/2021,389
Colusa,3/10/2021,192
Contra Costa,3/10/2021,9820
Del Norte,3/10/2021,92
El Dorado,3/10/2021,682
