county,date,labor_force,employment,unemployment,unemployment_rate
Colusa ,4/1/2020,10890,8100,2800,0.257
Contra Costa ,4/1/2020,533300,452800,80500,0.151
Del Norte ,4/1/2020,9250,7920,1340,0.145
El Dorado ,4/1/2020,90800,76700,14100,0.155
Fresno ,4/1/2020,445100,368900,76200,0.171
Glenn ,4/1/2020,12630,10810,1820,0.144
Humboldt ,4/1/2020,58900,50000,9000,0.152
Imperial ,4/1/2020,72900,52000,20900,0.286
Inyo ,4/1/2020,7940,6760,1180,0.149
Kern ,4/1/2020,374500,304800,69700,0.186
Kings ,4/1/2020,57200,47500,9700,0.169
Lake ,4/1/2020,27960,23480,4480,0.16
Lassen ,4/1/2020,9330,8260,1080,0.115
Los Angeles ,4/1/2020,4759300,3892300,866900,0.182
Madera ,4/1/2020,59900,49500,10400,0.174
Marin ,4/1/2020,123500,108600,14900,0.121
Mariposa ,4/1/2020,7150,5690,1460,0.204
Mendocino ,4/1/2020,36600,30900,5700,0.156
Merced ,4/1/2020,116900,95300,21600,0.185
Modoc ,4/1/2020,3170,2750,420,0.132
Mono ,4/1/2020,6670,4790,1890,0.282
Monterey ,4/1/2020,215600,174400,41200,0.191
Napa ,4/1/2020,66300,54600,11800,0.178
Nevada ,4/1/2020,44240,37410,6830,0.154
Orange ,4/1/2020,1525400,1305800,219600,0.144
Placer ,4/1/2020,182100,158000,24100,0.132
Plumas ,4/1/2020,7380,6000,1380,0.187
Riverside ,4/1/2020,1088600,914300,174300,0.16
Sacramento ,4/1/2020,695800,592000,103800,0.149
San Benito ,4/1/2020,32600,26500,6100,0.188
San Bernardino ,4/1/2020,935000,802200,132800,0.142
San Diego ,4/1/2020,1512700,1272300,240400,0.159
San Francisco ,4/1/2020,550500,478700,71700,0.13
San Joaquin ,4/1/2020,329500,270700,58800,0.179
San Luis Obispo ,4/1/2020,129500,110300,19200,0.148
San Mateo ,4/1/2020,427500,377200,50200,0.118
Santa Barbara ,4/1/2020,214300,184300,29900,0.14
Santa Clara ,4/1/2020,1007200,884600,122500,0.122
Santa Cruz ,4/1/2020,132200,108900,23200,0.176
Shasta ,4/1/2020,72500,61100,11400,0.157
Sierra ,4/1/2020,1210,1040,170,0.143
Siskiyou ,4/1/2020,16710,14110,2610,0.156
Solano ,4/1/2020,200400,168900,31500,0.157
Sonoma ,4/1/2020,241000,203800,37100,0.154
Stanislaus ,4/1/2020,240000,198600,41400,0.172
Sutter ,4/1/2020,46200,38000,8200,0.178
Tehama ,4/1/2020,25420,21680,3740,0.147
Trinity ,4/1/2020,4370,3800,580,0.132
Tulare ,4/1/2020,201500,163900,37600,0.186
Tuolumne ,4/1/2020,19680,15760,3920,0.199
Ventura ,4/1/2020,404700,346100,58700,0.145
Yolo ,4/1/2020,101800,89800,12000,0.118
Yuba ,4/1/2020,30100,25200,4900,0.164
Alameda ,3/1/2020,836800,807500,29300,0.035
Alpine ,3/1/2020,640,600,40,0.055
Amador ,3/1/2020,14830,14100,730,0.049
Butte ,3/1/2020,97600,91700,5900,0.061
Calaveras ,3/1/2020,21520,20460,1060,0.049
Colusa ,3/1/2020,11260,8850,2410,0.214
Contra Costa ,3/1/2020,556500,536200,20300,0.036
Del Norte ,3/1/2020,9660,9000,660,0.069
El Dorado ,3/1/2020,92300,88400,3900,0.042
Fresno ,3/1/2020,456100,411200,44900,0.098
Glenn ,3/1/2020,13190,12130,1060,0.08
Humboldt ,3/1/2020,62000,59200,2700,0.044
Imperial ,3/1/2020,72700,58200,14600,0.201
Inyo ,3/1/2020,8580,8200,380,0.044
Kern ,3/1/2020,386200,343700,42500,0.11
Kings ,3/1/2020,58200,51600,6600,0.113
Lake ,3/1/2020,28730,26840,1890,0.066
Lassen ,3/1/2020,9490,8860,630,0.066
Los Angeles ,3/1/2020,4941300,4664900,276400,0.056
Madera ,3/1/2020,62900,56900,6000,0.096
Marin ,3/1/2020,136500,132700,3800,0.028
Mariposa ,3/1/2020,7520,7020,510,0.067
Mendocino ,3/1/2020,38580,36530,2050,0.053
Merced ,3/1/2020,118800,105000,13800,0.116
Modoc ,3/1/2020,3220,2890,330,0.102
Mono ,3/1/2020,8740,8350,390,0.044
Monterey ,3/1/2020,214900,190900,24000,0.112
Napa ,3/1/2020,71700,69100,2700,0.037
Nevada ,3/1/2020,48240,46220,2020,0.042
Orange ,3/1/2020,1598500,1545800,52700,0.033
Placer ,3/1/2020,188900,182000,6900,0.036
Plumas ,3/1/2020,7660,6750,910,0.119
Riverside ,3/1/2020,1115800,1062900,52900,0.047
Sacramento ,3/1/2020,712300,681600,30700,0.043
San Benito ,3/1/2020,32500,30200,2300,0.07
San Bernardino ,3/1/2020,975700,932500,43100,0.044
San Diego ,3/1/2020,1573600,1514400,59200,0.038
San Francisco ,3/1/2020,579200,563000,16100,0.028
San Joaquin ,3/1/2020,330500,305700,24700,0.075
San Luis Obispo ,3/1/2020,138900,134000,4900,0.035
San Mateo ,3/1/2020,455100,443700,11500,0.025
Santa Barbara ,3/1/2020,222700,211700,11000,0.049
Santa Clara ,3/1/2020,1046300,1014900,31400,0.03
Santa Cruz ,3/1/2020,139100,128800,10300,0.074
Shasta ,3/1/2020,73300,68800,4500,0.062
Sierra ,3/1/2020,1300,1200,100,0.078
Siskiyou ,3/1/2020,17090,15520,1570,0.092
Solano ,3/1/2020,207000,197500,9500,0.046
Sonoma ,3/1/2020,254500,246000,8500,0.033
Stanislaus ,3/1/2020,244300,225800,18500,0.076
Sutter ,3/1/2020,46700,41900,4800,0.103
Tehama ,3/1/2020,26100,24310,1790,0.069
Trinity ,3/1/2020,4500,4140,370,0.082
Tulare ,3/1/2020,206200,179000,27200,0.132
Tuolumne ,3/1/2020,20490,19280,1210,0.059
Ventura ,3/1/2020,421400,403500,17900,0.042
Yolo ,3/1/2020,108600,102700,5800,0.054
Yuba ,3/1/2020,30600,28200,2400,0.079
Alameda ,2/1/2020,842100,817400,24800,0.029
Alpine ,2/1/2020,630,600,30,0.051
Amador ,2/1/2020,14790,14140,650,0.044
Butte ,2/1/2020,97000,91800,5200,0.054
Calaveras ,2/1/2020,21610,20710,890,0.041
Colusa ,2/1/2020,10830,8640,2190,0.202
Contra Costa ,2/1/2020,560000,542700,17300,0.031
Del Norte ,2/1/2020,9540,8950,590,0.062
El Dorado ,2/1/2020,92500,89200,3400,0.036
Fresno ,2/1/2020,453600,415500,38100,0.084
Glenn ,2/1/2020,13130,12200,930,0.071
Humboldt ,2/1/2020,61800,59400,2400,0.038
Imperial ,2/1/2020,72000,58900,13000,0.181
Inyo ,2/1/2020,8610,8270,340,0.039
Kern ,2/1/2020,389700,354200,35600,0.091
Kings ,2/1/2020,58100,52400,5700,0.098
Lake ,2/1/2020,28920,27250,1670,0.058
Lassen ,2/1/2020,9410,8850,560,0.059
Los Angeles ,2/1/2020,5218500,4972500,246000,0.047
Madera ,2/1/2020,64200,59200,5100,0.079
Marin ,2/1/2020,137900,134700,3300,0.024
Mariposa ,2/1/2020,7500,7050,450,0.059
Mendocino ,2/1/2020,38220,36440,1780,0.046
Merced ,2/1/2020,116800,104900,11900,0.102
Modoc ,2/1/2020,3100,2810,300,0.096
Mono ,2/1/2020,9010,8680,330,0.037
Monterey ,2/1/2020,212700,191100,21500,0.101
Napa ,2/1/2020,72500,70200,2300,0.032
Nevada ,2/1/2020,48780,47030,1750,0.036
Orange ,2/1/2020,1617000,1572100,44900,0.028
Placer ,2/1/2020,189500,183500,6000,0.031
Plumas ,2/1/2020,7480,6680,810,0.108
Riverside ,2/1/2020,1121100,1075900,45200,0.04
Sacramento ,2/1/2020,713800,687200,26600,0.037
San Benito ,2/1/2020,32500,30600,1900,0.059
San Bernardino ,2/1/2020,980400,943800,36600,0.037
San Diego ,2/1/2020,1585600,1535000,50600,0.032
San Francisco ,2/1/2020,583900,570800,13100,0.022
San Joaquin ,2/1/2020,330900,309500,21400,0.065
San Luis Obispo ,2/1/2020,140000,135800,4200,0.03
San Mateo ,2/1/2020,459400,449800,9600,0.021
Santa Barbara ,2/1/2020,222000,212200,9800,0.044
Santa Clara ,2/1/2020,1055200,1028300,26800,0.025
Santa Cruz ,2/1/2020,139700,130700,8900,0.064
Shasta ,2/1/2020,72900,68900,4000,0.054
Sierra ,2/1/2020,1310,1220,90,0.069
Siskiyou ,2/1/2020,16970,15540,1430,0.084
Solano ,2/1/2020,207500,199400,8100,0.039
Sonoma ,2/1/2020,256000,248800,7200,0.028
Stanislaus ,2/1/2020,242300,226500,15800,0.065
Sutter ,2/1/2020,45800,41700,4100,0.09
Tehama ,2/1/2020,25970,24380,1590,0.061
Trinity ,2/1/2020,4430,4120,320,0.072
Tulare ,2/1/2020,206000,182700,23300,0.113
Tuolumne ,2/1/2020,20600,19540,1050,0.051
Ventura ,2/1/2020,423500,407900,15500,0.037
Yolo ,2/1/2020,108500,103300,5200,0.048
Yuba ,2/1/2020,30400,28300,2100,0.07
Alameda ,1/1/2020,838000,811700,26200,0.031
Alpine ,1/1/2020,650,620,30,0.046
Amador ,1/1/2020,14710,13990,710,0.048
Butte ,1/1/2020,96300,90800,5400,0.056
Calaveras ,1/1/2020,21500,20550,950,0.044
Colusa ,1/1/2020,10610,8490,2120,0.2
Contra Costa ,1/1/2020,557500,539200,18400,0.033
Del Norte ,1/1/2020,9610,8970,640,0.067
El Dorado ,1/1/2020,92200,88700,3500,0.038
Fresno ,1/1/2020,451100,413800,37300,0.083
Glenn ,1/1/2020,12860,11870,990,0.077
Humboldt ,1/1/2020,61100,58600,2500,0.042
Imperial ,1/1/2020,72700,58300,14500,0.199
Inyo ,1/1/2020,8620,8270,350,0.04
Kern ,1/1/2020,393100,358500,34500,0.088
Kings ,1/1/2020,57700,52100,5600,0.096
Lake ,1/1/2020,28620,26830,1790,0.063
Lassen ,1/1/2020,9400,8840,560,0.06
Los Angeles ,1/1/2020,5210600,4957000,253500,0.049
Madera ,1/1/2020,63300,58100,5200,0.082
Marin ,1/1/2020,137800,134400,3400,0.025
Mariposa ,1/1/2020,7450,7000,450,0.06
Mendocino ,1/1/2020,38160,36300,1860,0.049
Merced ,1/1/2020,115800,104300,11500,0.099
Modoc ,1/1/2020,3050,2740,310,0.101
Mono ,1/1/2020,9120,8790,330,0.036
Monterey ,1/1/2020,209700,188500,21200,0.101
Napa ,1/1/2020,70500,67900,2600,0.037
Nevada ,1/1/2020,48770,46940,1820,0.037
Orange ,1/1/2020,1609100,1561800,47300,0.029
Placer ,1/1/2020,188700,182400,6300,0.034
Plumas ,1/1/2020,7410,6610,800,0.108
Riverside ,1/1/2020,1119600,1071900,47700,0.043
Sacramento ,1/1/2020,711000,682800,28200,0.04
San Benito ,1/1/2020,32300,30300,2000,0.062
San Bernardino ,1/1/2020,978100,939400,38600,0.039
San Diego ,1/1/2020,1577100,1523200,54000,0.034
San Francisco ,1/1/2020,580700,567000,13700,0.024
San Joaquin ,1/1/2020,329400,307100,22300,0.068
San Luis Obispo ,1/1/2020,138400,134000,4500,0.032
San Mateo ,1/1/2020,457000,446900,10000,0.022
Santa Barbara ,1/1/2020,219200,209100,10200,0.046
Santa Clara ,1/1/2020,1050100,1022000,28100,0.027
Santa Cruz ,1/1/2020,138400,129600,8800,0.063
Shasta ,1/1/2020,73600,69500,4100,0.055
Sierra ,1/1/2020,1310,1220,80,0.064
Siskiyou ,1/1/2020,16950,15520,1440,0.085
Solano ,1/1/2020,206400,197800,8600,0.042
Sonoma ,1/1/2020,254100,246400,7700,0.03
Stanislaus ,1/1/2020,240700,224400,16300,0.068
Sutter ,1/1/2020,45200,41100,4100,0.091
Tehama ,1/1/2020,25910,24240,1670,0.064
Trinity ,1/1/2020,4390,4090,310,0.07
Tulare ,1/1/2020,204500,181700,22800,0.112
Tuolumne ,1/1/2020,20440,19370,1070,0.052
Ventura ,1/1/2020,419800,403100,16700,0.04
Yolo ,1/1/2020,107900,102400,5500,0.051
Yuba ,1/1/2020,30200,28000,2200,0.073
