county,date,labor_force,employment,unemployment,unemployment_rate
Calaveras ,11/1/2020,20940,19770,1180,0.056
Colusa ,11/1/2020,10200,9170,1030,0.101
Contra Costa ,11/1/2020,532900,496100,36800,0.069
Del Norte ,11/1/2020,9120,8430,690,0.076
El Dorado ,11/1/2020,89900,84800,5100,0.057
Fresno ,11/1/2020,439400,402200,37300,0.085
Glenn ,11/1/2020,12170,11420,750,0.062
Humboldt ,11/1/2020,58700,55100,3600,0.062
Imperial ,11/1/2020,64800,54200,10600,0.164
Inyo ,11/1/2020,8180,7710,470,0.058
Kern ,11/1/2020,379600,345200,34400,0.09
Kings ,11/1/2020,54300,49500,4800,0.088
Lake ,11/1/2020,27810,25760,2050,0.074
Lassen ,11/1/2020,9870,9380,490,0.05
Los Angeles ,11/1/2020,4931400,4342400,589000,0.119
Madera ,11/1/2020,60400,55600,4800,0.079
Marin ,11/1/2020,128800,122500,6300,0.049
Mariposa ,11/1/2020,6610,6060,550,0.084
Mendocino ,11/1/2020,35950,33530,2420,0.067
Merced ,11/1/2020,113000,103000,10000,0.089
Modoc ,11/1/2020,3160,2970,190,0.059
Mono ,11/1/2020,7220,6630,590,0.081
Monterey ,11/1/2020,205800,191500,14300,0.07
Napa ,11/1/2020,66100,61800,4300,0.064
Nevada ,11/1/2020,45650,43040,2610,0.057
Orange ,11/1/2020,1535600,1434800,100800,0.066
Placer ,11/1/2020,184100,174500,9600,0.052
Plumas ,11/1/2020,7160,6630,530,0.074
Riverside ,11/1/2020,1106600,1021500,85100,0.077
Sacramento ,11/1/2020,705200,653600,51600,0.073
San Benito ,11/1/2020,30700,28600,2100,0.069
San Bernardino ,11/1/2020,972600,896200,76400,0.079
San Diego ,11/1/2020,1524000,1419700,104300,0.068
San Francisco ,11/1/2020,541000,509000,32000,0.059
San Joaquin ,11/1/2020,330700,302000,28700,0.087
San Luis Obispo ,11/1/2020,131200,124100,7100,0.054
San Mateo ,11/1/2020,424000,401600,22400,0.053
Santa Barbara ,11/1/2020,215800,203500,12300,0.057
Santa Clara ,11/1/2020,1009900,957200,52700,0.052
Santa Cruz ,11/1/2020,129300,120800,8600,0.066
Shasta ,11/1/2020,72400,67700,4700,0.065
Sierra ,11/1/2020,1290,1220,70,0.051
Siskiyou ,11/1/2020,16810,15670,1150,0.068
Solano ,11/1/2020,201200,186000,15200,0.075
Sonoma ,11/1/2020,239000,225300,13700,0.057
Stanislaus ,11/1/2020,237900,218700,19200,0.081
Sutter ,11/1/2020,43700,40200,3500,0.08
Tehama ,11/1/2020,25360,23700,1660,0.066
Trinity ,11/1/2020,4470,4210,250,0.057
Tulare ,11/1/2020,192100,173600,18500,0.096
Tuolumne ,11/1/2020,19620,18180,1440,0.074
Ventura ,11/1/2020,403600,377900,25700,0.064
Yolo ,11/1/2020,104500,98400,6000,0.058
Yuba ,11/1/2020,29400,27000,2400,0.083
Alameda ,10/1/2020,812800,744300,68500,0.084
Alpine ,10/1/2020,460,410,50,0.103
Amador ,10/1/2020,14540,13380,1160,0.08
Butte ,10/1/2020,92200,84800,7300,0.08
Calaveras ,10/1/2020,21370,19950,1420,0.066
Colusa ,10/1/2020,10610,9630,970,0.092
Contra Costa ,10/1/2020,540500,494900,45600,0.084
Del Norte ,10/1/2020,9400,8620,780,0.083
El Dorado ,10/1/2020,91100,85000,6100,0.067
Fresno ,10/1/2020,444000,401000,43100,0.097
Glenn ,10/1/2020,12640,11780,860,0.068
Humboldt ,10/1/2020,59600,55200,4300,0.073
Imperial ,10/1/2020,67100,53700,13400,0.2
Inyo ,10/1/2020,8290,7720,570,0.068
Kern ,10/1/2020,388700,347500,41200,0.106
Kings ,10/1/2020,55500,50100,5400,0.098
Lake ,10/1/2020,28590,26220,2370,0.083
Lassen ,10/1/2020,10040,9500,550,0.054
Los Angeles ,10/1/2020,4945600,4354200,591400,0.12
Madera ,10/1/2020,61000,55600,5400,0.089
Marin ,10/1/2020,131000,123200,7800,0.06
Mariposa ,10/1/2020,6990,6370,610,0.088
Mendocino ,10/1/2020,37000,34110,2880,0.078
Merced ,10/1/2020,115800,104600,11200,0.097
Modoc ,10/1/2020,3320,3120,200,0.059
Mono ,10/1/2020,7420,6670,750,0.102
Monterey ,10/1/2020,213600,197700,15900,0.074
Napa ,10/1/2020,68900,63800,5100,0.074
Nevada ,10/1/2020,46610,43450,3160,0.068
Orange ,10/1/2020,1554900,1427400,127500,0.082
Placer ,10/1/2020,186300,174600,11700,0.063
Plumas ,10/1/2020,7630,7050,570,0.075
Riverside ,10/1/2020,1121000,1016400,104600,0.093
Sacramento ,10/1/2020,716900,653800,63100,0.088
San Benito ,10/1/2020,31200,28700,2500,0.079
San Bernardino ,10/1/2020,984400,891500,92900,0.094
San Diego ,10/1/2020,1541800,1412100,129600,0.084
San Francisco ,10/1/2020,550300,508700,41600,0.076
San Joaquin ,10/1/2020,335500,301500,34100,0.102
San Luis Obispo ,10/1/2020,133300,124700,8600,0.064
San Mateo ,10/1/2020,429600,401400,28200,0.066
Santa Barbara ,10/1/2020,219300,204800,14500,0.066
Santa Clara ,10/1/2020,1019000,953500,65500,0.064
Santa Cruz ,10/1/2020,133100,123200,9900,0.074
Shasta ,10/1/2020,74200,68700,5400,0.073
Sierra ,10/1/2020,1330,1260,80,0.056
Siskiyou ,10/1/2020,17320,16060,1260,0.073
Solano ,10/1/2020,204600,186200,18400,0.09
Sonoma ,10/1/2020,244300,227500,16800,0.069
Stanislaus ,10/1/2020,242100,219400,22700,0.094
Sutter ,10/1/2020,45400,41500,3900,0.086
Tehama ,10/1/2020,26140,24230,1910,0.073
Trinity ,10/1/2020,4590,4310,290,0.062
Tulare ,10/1/2020,195100,173300,21700,0.111
Tuolumne ,10/1/2020,19960,18220,1730,0.087
Ventura ,10/1/2020,407700,376500,31200,0.076
Yolo ,10/1/2020,106000,99100,6900,0.065
Yuba ,10/1/2020,30100,27300,2800,0.093
Alameda ,9/1/2020,799200,721800,77400,0.097
Alpine ,9/1/2020,460,410,50,0.11
Amador ,9/1/2020,14280,13010,1270,0.089
Butte ,9/1/2020,90500,82300,8200,0.09
Calaveras ,9/1/2020,21160,19610,1550,0.073
Colusa ,9/1/2020,10320,9290,1030,0.1
Contra Costa ,9/1/2020,531200,480000,51300,0.096
Del Norte ,9/1/2020,9320,8500,830,0.089
El Dorado ,9/1/2020,89000,82200,6800,0.077
Fresno ,9/1/2020,438800,392500,46300,0.105
Glenn ,9/1/2020,12370,11440,930,0.076
Humboldt ,9/1/2020,58700,53900,4700,0.081
Imperial ,9/1/2020,67300,52400,14900,0.222
Inyo ,9/1/2020,8160,7550,620,0.075
Kern ,9/1/2020,382800,337300,45500,0.119
Kings ,9/1/2020,54800,49100,5700,0.104
Lake ,9/1/2020,28410,25890,2520,0.089
Lassen ,9/1/2020,9370,8780,590,0.063
Los Angeles ,9/1/2020,4804900,4173100,631900,0.132
Madera ,9/1/2020,60800,54900,5900,0.096
Marin ,9/1/2020,127500,118500,9000,0.07
Mariposa ,9/1/2020,7070,6400,670,0.095
Mendocino ,9/1/2020,36800,33620,3180,0.086
Merced ,9/1/2020,114300,102200,12100,0.106
Modoc ,9/1/2020,3210,3010,200,0.061
Mono ,9/1/2020,7730,6960,770,0.1
Monterey ,9/1/2020,213300,196000,17300,0.081
Napa ,9/1/2020,67900,62300,5600,0.083
Nevada ,9/1/2020,45830,42290,3540,0.077
Orange ,9/1/2020,1521600,1375500,146100,0.096
Placer ,9/1/2020,182100,168900,13200,0.072
Plumas ,9/1/2020,7710,7110,600,0.078
Riverside ,9/1/2020,1096200,979500,116600,0.106
Sacramento ,9/1/2020,702800,632400,70400,0.1
San Benito ,9/1/2020,30500,27800,2700,0.089
San Bernardino ,9/1/2020,959900,859400,100500,0.105
San Diego ,9/1/2020,1512100,1366900,145200,0.096
San Francisco ,9/1/2020,541700,493200,48500,0.09
San Joaquin ,9/1/2020,331000,293600,37400,0.113
San Luis Obispo ,9/1/2020,130700,120800,9800,0.075
San Mateo ,9/1/2020,421200,389100,32100,0.076
Santa Barbara ,9/1/2020,215700,199500,16100,0.075
Santa Clara ,9/1/2020,1000200,926100,74100,0.074
Santa Cruz ,9/1/2020,131100,120300,10900,0.083
Shasta ,9/1/2020,72800,67000,5800,0.08
Sierra ,9/1/2020,1310,1220,90,0.065
Siskiyou ,9/1/2020,16960,15600,1360,0.08
Solano ,9/1/2020,199300,179100,20200,0.101
Sonoma ,9/1/2020,241900,223000,18900,0.078
Stanislaus ,9/1/2020,239800,215100,24700,0.103
Sutter ,9/1/2020,44900,40700,4200,0.094
Tehama ,9/1/2020,25560,23490,2070,0.081
Trinity ,9/1/2020,4640,4340,300,0.065
Tulare ,9/1/2020,194100,170700,23400,0.121
Tuolumne ,9/1/2020,19850,17940,1910,0.096
Ventura ,9/1/2020,399900,364700,35100,0.088
Yolo ,9/1/2020,103500,96000,7500,0.073
Yuba ,9/1/2020,29800,26700,3000,0.101
Alameda ,8/1/2020,803800,718900,84900,0.106
Alpine ,8/1/2020,460,400,50,0.116
Amador ,8/1/2020,14380,12960,1410,0.098
Butte ,8/1/2020,91300,82400,8900,0.098
Calaveras ,8/1/2020,21340,19670,1670,0.078
Colusa ,8/1/2020,10460,9340,1120,0.107
Contra Costa ,8/1/2020,534100,477900,56200,0.105
Del Norte ,8/1/2020,9420,8490,930,0.098
El Dorado ,8/1/2020,89000,81500,7500,0.085
Fresno ,8/1/2020,439500,389000,50500,0.115
Glenn ,8/1/2020,12280,11220,1060,0.086
Humboldt ,8/1/2020,58000,52500,5400,0.094
Imperial ,8/1/2020,68200,51300,16900,0.248
Inyo ,8/1/2020,8220,7570,660,0.08
Kern ,8/1/2020,385600,335500,50200,0.13
Kings ,8/1/2020,55500,49400,6100,0.11
Lake ,8/1/2020,28320,25630,2690,0.095
Lassen ,8/1/2020,9330,8690,640,0.068
Los Angeles ,8/1/2020,4938500,4076400,862100,0.175
Madera ,8/1/2020,61700,55300,6500,0.105
Marin ,8/1/2020,128100,118100,10000,0.078
Mariposa ,8/1/2020,7230,6510,720,0.1
Mendocino ,8/1/2020,36870,33370,3500,0.095
Merced ,8/1/2020,112500,99200,13300,0.119
Modoc ,8/1/2020,3190,2980,210,0.067
Mono ,8/1/2020,7920,7040,870,0.11
Monterey ,8/1/2020,217000,197900,19100,0.088
Napa ,8/1/2020,68400,62000,6400,0.093
Nevada ,8/1/2020,46230,42260,3970,0.086
Orange ,8/1/2020,1526200,1362200,164000,0.107
Placer ,8/1/2020,182500,167600,14900,0.082
Plumas ,8/1/2020,7950,7270,680,0.085
Riverside ,8/1/2020,1098700,970800,127900,0.116
Sacramento ,8/1/2020,704300,627600,76700,0.109
San Benito ,8/1/2020,30900,27900,3000,0.096
San Bernardino ,8/1/2020,960700,851900,108800,0.113
San Diego ,8/1/2020,1518700,1353900,164700,0.108
San Francisco ,8/1/2020,546600,493700,52900,0.097
San Joaquin ,8/1/2020,331300,290900,40400,0.122
San Luis Obispo ,8/1/2020,129400,118300,11100,0.086
San Mateo ,8/1/2020,424600,389400,35200,0.083
Santa Barbara ,8/1/2020,216300,198400,17900,0.083
Santa Clara ,8/1/2020,1009000,927000,82000,0.081
Santa Cruz ,8/1/2020,132200,120000,12100,0.092
Shasta ,8/1/2020,72500,66200,6300,0.087
Sierra ,8/1/2020,1280,1180,100,0.077
Siskiyou ,8/1/2020,16940,15410,1540,0.091
Solano ,8/1/2020,200400,178500,22000,0.11
Sonoma ,8/1/2020,243400,222300,21100,0.087
Stanislaus ,8/1/2020,241700,214700,27000,0.112
Sutter ,8/1/2020,45600,41000,4600,0.101
Tehama ,8/1/2020,25660,23390,2280,0.089
Trinity ,8/1/2020,4710,4390,330,0.069
Tulare ,8/1/2020,196800,171000,25800,0.131
Tuolumne ,8/1/2020,20080,17930,2150,0.107
Ventura ,8/1/2020,401500,362100,39300,0.098
Yolo ,8/1/2020,103900,95700,8300,0.079
Yuba ,8/1/2020,29900,26700,3200,0.108
Alameda ,7/1/2020,811500,714400,97100,0.12
Alpine ,7/1/2020,460,390,70,0.145
Amador ,7/1/2020,14410,12740,1670,0.116
Butte ,7/1/2020,90400,80300,10100,0.111
Calaveras ,7/1/2020,21410,19460,1950,0.091
Colusa ,7/1/2020,10340,8950,1390,0.135
Contra Costa ,7/1/2020,539200,474900,64400,0.119
Del Norte ,7/1/2020,9200,8180,1020,0.111
El Dorado ,7/1/2020,90200,81200,8900,0.099
Fresno ,7/1/2020,441000,383700,57300,0.13
Glenn ,7/1/2020,12210,10970,1240,0.101
Humboldt ,7/1/2020,58200,52000,6200,0.106
Imperial ,7/1/2020,68600,49800,18900,0.275
Inyo ,7/1/2020,8350,7580,780,0.093
Kern ,7/1/2020,379700,322000,57700,0.152
Kings ,7/1/2020,56400,49400,7000,0.124
Lake ,7/1/2020,27780,24730,3050,0.11
Lassen ,7/1/2020,9300,8560,740,0.08
Los Angeles ,7/1/2020,4934900,4035000,899900,0.182
Madera ,7/1/2020,60700,53100,7500,0.124
Marin ,7/1/2020,129200,117400,11700,0.091
Mariposa ,7/1/2020,7360,6520,830,0.113
Mendocino ,7/1/2020,36750,32750,4000,0.109
Merced ,7/1/2020,110800,95400,15400,0.139
Modoc ,7/1/2020,3210,2960,250,0.078
Mono ,7/1/2020,8080,6970,1110,0.137
Monterey ,7/1/2020,219300,196500,22800,0.104
Napa ,7/1/2020,69600,62200,7400,0.107
Nevada ,7/1/2020,46270,41620,4640,0.1
Orange ,7/1/2020,1544300,1354100,190300,0.123
Placer ,7/1/2020,184400,167100,17300,0.094
Plumas ,7/1/2020,7870,7090,790,0.1
Riverside ,7/1/2020,1106800,961100,145800,0.132
Sacramento ,7/1/2020,711800,625800,85900,0.121
San Benito ,7/1/2020,31400,27800,3500,0.113
San Bernardino ,7/1/2020,964000,841800,122300,0.127
San Diego ,7/1/2020,1535400,1345800,189600,0.123
San Francisco ,7/1/2020,553200,492300,60900,0.11
San Joaquin ,7/1/2020,331600,285700,45900,0.138
San Luis Obispo ,7/1/2020,131800,118800,13000,0.099
San Mateo ,7/1/2020,428600,388300,40200,0.094
Santa Barbara ,7/1/2020,219400,198400,21000,0.096
Santa Clara ,7/1/2020,1017500,922700,94800,0.093
Santa Cruz ,7/1/2020,134700,120400,14300,0.106
Shasta ,7/1/2020,72100,64800,7200,0.101
Sierra ,7/1/2020,1260,1150,110,0.086
Siskiyou ,7/1/2020,17080,15320,1760,0.103
Solano ,7/1/2020,202700,178200,24500,0.121
Sonoma ,7/1/2020,245200,220600,24600,0.1
Stanislaus ,7/1/2020,240600,209600,31000,0.129
Sutter ,7/1/2020,46200,40800,5400,0.117
Tehama ,7/1/2020,25110,22520,2590,0.103
Trinity ,7/1/2020,4610,4240,370,0.08
Tulare ,7/1/2020,196000,166600,29300,0.15
Tuolumne ,7/1/2020,20220,17750,2470,0.122
Ventura ,7/1/2020,405600,360000,45600,0.112
Yolo ,7/1/2020,105100,95500,9600,0.091
Yuba ,7/1/2020,30200,26500,3700,0.122
Alameda ,6/1/2020,813700,708200,105400,0.13
Alpine ,6/1/2020,460,370,90,0.196
Amador ,6/1/2020,14510,12750,1760,0.121
Butte ,6/1/2020,92500,81700,10800,0.116
Calaveras ,6/1/2020,21370,19240,2140,0.1
Colusa ,6/1/2020,10070,8430,1640,0.162
Contra Costa ,6/1/2020,540200,470500,69700,0.129
Del Norte ,6/1/2020,9400,8310,1090,0.116
El Dorado ,6/1/2020,90900,80100,10900,0.12
Fresno ,6/1/2020,448100,387800,60300,0.135
Glenn ,6/1/2020,12550,11230,1320,0.105
Humboldt ,6/1/2020,59000,52300,6800,0.115
Imperial ,6/1/2020,71300,52400,18900,0.265
Inyo ,6/1/2020,8500,7610,880,0.104
Kern ,6/1/2020,383100,323100,60000,0.157
Kings ,6/1/2020,56400,48900,7500,0.133
Lake ,6/1/2020,28180,24720,3460,0.123
Lassen ,6/1/2020,9390,8610,780,0.083
Los Angeles ,6/1/2020,4839200,3974200,865000,0.179
Madera ,6/1/2020,62100,54100,8000,0.129
Marin ,6/1/2020,128400,115500,12900,0.1
Mariposa ,6/1/2020,7410,6350,1050,0.142
Mendocino ,6/1/2020,37100,32660,4440,0.12
Merced ,6/1/2020,113800,97300,16400,0.144
Modoc ,6/1/2020,3220,2940,280,0.087
Mono ,6/1/2020,7480,5910,1570,0.21
Monterey ,6/1/2020,221300,194400,26900,0.121
Napa ,6/1/2020,70000,61300,8700,0.124
Nevada ,6/1/2020,46210,41060,5160,0.112
Orange ,6/1/2020,1547100,1341900,205200,0.133
Placer ,6/1/2020,184100,164800,19300,0.105
Plumas ,6/1/2020,7820,6970,850,0.108
Riverside ,6/1/2020,1111800,959700,152100,0.137
Sacramento ,6/1/2020,708600,617400,91200,0.129
San Benito ,6/1/2020,31400,27400,4000,0.127
San Bernardino ,6/1/2020,965300,840300,125100,0.13
San Diego ,6/1/2020,1537000,1330000,207000,0.135
