,county,date,confirmed_patients,suspected_patients,total_covid_patients
155,Santa Cruz,2020-03-31,1,10,11
156,Humboldt,2020-03-31,1,11,12
157,Yolo,2020-03-31,3,2,5
158,Orange,2020-03-31,105,233,338
159,Monterey,2020-03-31,11,15,26
160,Tehama,2020-03-31,0,2,2
161,Madera,2020-03-31,1,3,4
162,Modoc,2020-03-31,0,19,19
163,Yuba,2020-03-31,2,21,23
164,Lake,2020-03-31,0,4,4
165,Tehama,2020-04-01,0,1,1
166,Placer,2020-04-01,25,28,53
167,Imperial,2020-04-01,4,15,19
168,Madera,2020-04-01,1,3,4
169,Lassen,2020-04-01,0,7,7
170,Napa,2020-04-01,2,2,4
171,Siskiyou,2020-04-01,0,5,5
172,San Benito,2020-04-01,2,0,2
173,Colusa,2020-04-01,0,1,1
174,San Bernardino,2020-04-01,95,196,291
175,Stanislaus,2020-04-01,25,39,64
176,Amador,2020-04-01,0,3,3
177,Kings,2020-04-01,2,6,8
178,Inyo,2020-04-01,7,89,96
179,Glenn,2020-04-01,0,0,0
180,Calaveras,2020-04-01,0,1,1
181,Mariposa,2020-04-01,0,0,0
182,Lake,2020-04-01,0,2,2
183,Shasta,2020-04-01,1,4,5
184,Del Norte,2020-04-01,0,5,5
185,Humboldt,2020-04-01,1,9,10
186,Tulare,2020-04-01,4,12,16
187,Los Angeles,2020-04-01,739,1332,2071
188,Plumas,2020-04-01,0,0,0
189,San Diego,2020-04-01,168,340,508
190,Orange,2020-04-01,117,221,338
191,Contra Costa,2020-04-01,31,42,73
192,Modoc,2020-04-01,0,1,1
193,Riverside,2020-04-01,85,182,267
194,El Dorado,2020-04-01,14,8,22
195,San Mateo,2020-04-01,57,35,92
196,Kern,2020-04-01,15,45,60
197,San Francisco,2020-04-01,67,66,133
198,Mono,2020-04-01,0,0,0
199,Trinity,2020-04-01,0,0,0
200,Marin,2020-04-01,9,19,28
201,Merced,2020-04-01,3,15,18
202,Butte,2020-04-01,5,33,38
203,San Luis Obispo,2020-04-01,8,10,18
204,Yolo,2020-04-01,3,3,6
205,Santa Barbara,2020-04-01,23,23,46
206,Ventura,2020-04-01,22,96,118
207,Sonoma,2020-04-01,5,18,23
208,Sutter,2020-04-01,0,0,0
209,Alameda,2020-04-01,52,76,128
