,county,date,confirmed_patients,suspected_patients,total_covid_patients
2285,Merced,2020-05-08,7,1,8
2286,Colusa,2020-05-08,1,1,2
2287,San Bernardino,2020-05-08,142,78,220
2288,Sonoma,2020-05-08,2,15,17
2289,Santa Clara,2020-05-08,69,26,95
2290,Fresno,2020-05-08,50,31,81
2291,Orange,2020-05-08,222,77,299
2292,Placer,2020-05-08,9,17,26
2293,San Luis Obispo,2020-05-09,3,3,6
2294,Calaveras,2020-05-09,0,2,2
2295,Santa Cruz,2020-05-09,3,0,3
2296,Imperial,2020-05-09,66,4,70
2297,Stanislaus,2020-05-09,18,11,29
2298,Del Norte,2020-05-09,0,0,0
2299,Marin,2020-05-09,4,9,13
2300,Madera,2020-05-09,1,0,1
2301,Riverside,2020-05-09,190,120,310
2302,Glenn,2020-05-09,0,0,0
2303,San Mateo,2020-05-09,32,26,58
2304,Tuolumne,2020-05-09,0,0,0
2305,Nevada,2020-05-09,0,0,0
2306,Plumas,2020-05-09,0,1,1
2307,El Dorado,2020-05-09,0,4,4
2308,San Francisco,2020-05-09,68,29,97
2309,Mendocino,2020-05-09,0,0,0
2310,Kern,2020-05-09,36,15,51
2311,Monterey,2020-05-09,9,1,10
2312,San Benito,2020-05-09,0,0,0
2313,Lassen,2020-05-09,0,1,1
2314,Los Angeles,2020-05-09,1690,531,2221
2315,Sutter,2020-05-09,0,0,0
2316,Placer,2020-05-09,8,29,37
2317,Alameda,2020-05-09,81,58,139
2318,Ventura,2020-05-09,33,24,57
2319,Yolo,2020-05-09,0,0,0
2320,Yuba,2020-05-09,0,0,0
2321,Humboldt,2020-05-09,1,5,6
2322,Shasta,2020-05-09,0,0,0
2323,Butte,2020-05-09,1,2,3
2324,Solano,2020-05-09,11,24,35
2325,Mariposa,2020-05-09,0,1,1
2326,Santa Clara,2020-05-09,66,36,102
2327,Trinity,2020-05-09,0,0,0
2328,Tulare,2020-05-09,28,2,30
2329,Fresno,2020-05-09,55,43,98
2330,San Bernardino,2020-05-09,145,86,231
2331,Contra Costa,2020-05-09,20,48,68
2332,Colusa,2020-05-09,0,0,0
2333,Inyo,2020-05-09,0,0,0
2334,Siskiyou,2020-05-09,0,0,0
2335,Sacramento,2020-05-09,18,35,53
2336,San Joaquin,2020-05-09,16,28,44
2337,Amador,2020-05-09,0,0,0
2338,Santa Barbara,2020-05-09,28,4,32
2339,Tehama,2020-05-09,0,0,0
2340,Modoc,2020-05-09,0,0,0
2341,Kings,2020-05-09,12,6,18
2342,Sonoma,2020-05-09,3,12,15
2343,Napa,2020-05-09,1,1,2
2344,Merced,2020-05-09,5,6,11
2345,San Diego,2020-05-09,338,58,396
2346,Mono,2020-05-09,0,0,0
2347,Lake,2020-05-09,0,0,0
2348,Orange,2020-05-09,228,72,300
2349,Glenn,2020-05-10,0,0,0
2350,Yolo,2020-05-10,0,0,0
2351,Los Angeles,2020-05-10,1731,539,2270
2352,Humboldt,2020-05-10,2,4,6
2353,Kings,2020-05-10,12,5,17
2354,Mono,2020-05-10,0,0,0
2355,Placer,2020-05-10,8,19,27
2356,Lassen,2020-05-10,0,1,1
2357,Colusa,2020-05-10,0,0,0
2358,Imperial,2020-05-10,63,1,64
2359,Mariposa,2020-05-10,0,0,0
2360,Ventura,2020-05-10,28,24,52
2361,Calaveras,2020-05-10,0,0,0
2362,Siskiyou,2020-05-10,0,0,0
2363,San Diego,2020-05-10,334,56,390
2364,Napa,2020-05-10,2,0,2
2365,Del Norte,2020-05-10,0,0,0
2366,San Bernardino,2020-05-10,144,83,227
2367,Amador,2020-05-10,0,0,0
2368,Mendocino,2020-05-10,0,0,0
2369,Sacramento,2020-05-10,18,37,55
2370,Butte,2020-05-10,1,2,3
2371,Modoc,2020-05-10,0,0,0
2372,Marin,2020-05-10,4,13,17
2373,Plumas,2020-05-10,0,1,1
2374,El Dorado,2020-05-10,0,2,2
2375,Santa Cruz,2020-05-10,3,0,3
2376,Riverside,2020-05-10,199,117,316
2377,Lake,2020-05-10,0,1,1
2378,San Francisco,2020-05-10,66,25,91
2379,Trinity,2020-05-10,0,0,0
2380,Tulare,2020-05-10,27,2,29
2381,Tuolumne,2020-05-10,0,0,0
2382,Contra Costa,2020-05-10,18,43,61
2383,Tehama,2020-05-10,0,0,0
2384,Stanislaus,2020-05-10,17,10,27
2385,Monterey,2020-05-10,9,0,9
2386,Sutter,2020-05-10,0,0,0
2387,Madera,2020-05-10,1,1,2
2388,Solano,2020-05-10,14,22,36
2389,Merced,2020-05-10,6,0,6
2390,San Benito,2020-05-10,0,0,0
2391,San Joaquin,2020-05-10,15,28,43
2392,Shasta,2020-05-10,0,0,0
2393,Santa Clara,2020-05-10,66,45,111
2394,San Luis Obispo,2020-05-10,3,2,5
2395,Nevada,2020-05-10,0,1,1
2396,Yuba,2020-05-10,0,0,0
2397,Santa Barbara,2020-05-10,26,4,30
2398,Fresno,2020-05-10,53,45,98
2399,Orange,2020-05-10,230,78,308
2400,Inyo,2020-05-10,0,0,0
2401,San Mateo,2020-05-10,29,23,52
2402,Sonoma,2020-05-10,5,7,12
2403,Kern,2020-05-10,37,14,51
2404,Alameda,2020-05-10,77,46,123
2405,San Luis Obispo,2020-05-11,3,2,5
2406,Stanislaus,2020-05-11,21,14,35
2407,Calaveras,2020-05-11,0,1,1
2408,Monterey,2020-05-11,9,0,9
2409,Kings,2020-05-11,13,4,17
2410,Colusa,2020-05-11,0,0,0
2411,Trinity,2020-05-11,0,0,0
2412,Del Norte,2020-05-11,0,0,0
2413,Amador,2020-05-11,0,0,0
2414,Yuba,2020-05-11,0,1,1
2415,Alameda,2020-05-11,78,53,131
2416,Tuolumne,2020-05-11,0,1,1
2417,Marin,2020-05-11,3,12,15
2418,Tulare,2020-05-11,35,0,35
2419,Sutter,2020-05-11,0,0,0
2420,El Dorado,2020-05-11,0,3,3
2421,Santa Cruz,2020-05-11,1,0,1
2422,Placer,2020-05-11,8,16,24
2423,Mendocino,2020-05-11,0,0,0
2424,Lake,2020-05-11,0,0,0
2425,Orange,2020-05-11,232,88,320
2426,Contra Costa,2020-05-11,16,38,54
2427,Tehama,2020-05-11,0,0,0
2428,Napa,2020-05-11,1,0,1
2429,Nevada,2020-05-11,0,1,1
2430,Inyo,2020-05-11,1,0,1
2431,Mariposa,2020-05-11,0,0,0
2432,San Benito,2020-05-11,1,0,1
2433,Sonoma,2020-05-11,5,9,14
2434,Los Angeles,2020-05-11,1763,547,2310
2435,Butte,2020-05-11,2,1,3
2436,Solano,2020-05-11,13,15,28
2437,Siskiyou,2020-05-11,0,0,0
2438,Modoc,2020-05-11,0,0,0
2439,Humboldt,2020-05-11,2,6,8
2440,Kern,2020-05-11,39,4,43
2441,Lassen,2020-05-11,0,1,1
2442,Santa Barbara,2020-05-11,22,10,32
2443,San Francisco,2020-05-11,63,28,91
2444,San Bernardino,2020-05-11,152,66,218
2445,San Joaquin,2020-05-11,15,15,30
2446,Glenn,2020-05-11,0,0,0
2447,San Diego,2020-05-11,339,61,400
2448,Fresno,2020-05-11,56,37,93
2449,Sacramento,2020-05-11,16,35,51
2450,Mono,2020-05-11,0,0,0
2451,San Mateo,2020-05-11,31,18,49
2452,Yolo,2020-05-11,0,0,0
2453,Santa Clara,2020-05-11,59,41,100
2454,Plumas,2020-05-11,0,1,1
2455,Ventura,2020-05-11,31,23,54
2456,Riverside,2020-05-11,186,104,290
2457,Shasta,2020-05-11,0,0,0
2458,Merced,2020-05-11,7,2,9
2459,Imperial,2020-05-11,60,2,62
2460,Madera,2020-05-11,1,0,1
2461,Yolo,2020-05-12,0,0,0
2462,Mendocino,2020-05-12,0,0,0
2463,Tulare,2020-05-12,34,0,34
2464,San Diego,2020-05-12,334,51,385
2465,Riverside,2020-05-12,206,100,306
2466,Tuolumne,2020-05-12,0,0,0
2467,Placer,2020-05-12,9,18,27
2468,Sutter,2020-05-12,0,0,0
2469,San Luis Obispo,2020-05-12,4,4,8
2470,Inyo,2020-05-12,0,0,0
2471,Mariposa,2020-05-12,0,1,1
2472,Orange,2020-05-12,263,85,348
2473,San Bernardino,2020-05-12,148,49,197
2474,Yuba,2020-05-12,0,1,1
2475,Shasta,2020-05-12,0,0,0
2476,Napa,2020-05-12,1,0,1
2477,Kern,2020-05-12,38,14,52
2478,Madera,2020-05-12,0,0,0
2479,Humboldt,2020-05-12,3,5,8
2480,Calaveras,2020-05-12,0,0,0
2481,San Benito,2020-05-12,1,0,1
2482,Merced,2020-05-12,6,5,11
2483,Amador,2020-05-12,0,0,0
2484,Lassen,2020-05-12,0,0,0
2485,Ventura,2020-05-12,26,25,51
2486,El Dorado,2020-05-12,0,2,2
2487,Los Angeles,2020-05-12,1742,506,2248
2488,Plumas,2020-05-12,0,0,0
2489,Trinity,2020-05-12,0,0,0
2490,Santa Cruz,2020-05-12,1,0,1
2491,San Mateo,2020-05-12,30,33,63
2492,Modoc,2020-05-12,0,0,0
2493,San Joaquin,2020-05-12,14,20,34
2494,Tehama,2020-05-12,0,0,0
2495,Nevada,2020-05-12,0,0,0
2496,Butte,2020-05-12,2,3,5
2497,Contra Costa,2020-05-12,17,49,66
2498,Mono,2020-05-12,0,0,0
2499,Monterey,2020-05-12,6,1,7
2500,Imperial,2020-05-12,60,3,63
2501,Santa Barbara,2020-05-12,24,5,29
2502,Solano,2020-05-12,15,14,29
2503,Lake,2020-05-12,0,1,1
2504,Alameda,2020-05-12,79,51,130
2505,Kings,2020-05-12,16,4,20
2506,Siskiyou,2020-05-12,0,0,0
2507,San Francisco,2020-05-12,63,27,90
2508,Marin,2020-05-12,3,18,21
2509,Stanislaus,2020-05-12,19,15,34
2510,Fresno,2020-05-12,62,48,110
2511,Sacramento,2020-05-12,14,34,48
2512,Del Norte,2020-05-12,0,0,0
2513,Colusa,2020-05-12,0,1,1
2514,Sonoma,2020-05-12,6,22,28
2515,Glenn,2020-05-12,0,0,0
2516,Santa Clara,2020-05-12,55,29,84
2517,Los Angeles,2020-05-13,1733,618,2351
2518,Del Norte,2020-05-13,0,0,0
2519,Tuolumne,2020-05-13,0,0,0
2520,Alameda,2020-05-13,81,59,140
2521,Contra Costa,2020-05-13,20,40,60
2522,Placer,2020-05-13,3,27,30
2523,San Francisco,2020-05-13,57,32,89
2524,Sacramento,2020-05-13,15,35,50
2525,Napa,2020-05-13,1,0,1
2526,Yolo,2020-05-13,0,1,1
2527,Stanislaus,2020-05-13,20,11,31
2528,Humboldt,2020-05-13,4,4,8
2529,Solano,2020-05-13,16,18,34
2530,Santa Clara,2020-05-13,58,33,91
2531,Monterey,2020-05-13,7,2,9
2532,Amador,2020-05-13,0,0,0
2533,Lake,2020-05-13,0,0,0
2534,Yuba,2020-05-13,0,0,0
2535,San Luis Obispo,2020-05-13,3,7,10
2536,Sutter,2020-05-13,0,0,0
2537,Fresno,2020-05-13,69,60,129
2538,Merced,2020-05-13,8,3,11
2539,Kings,2020-05-13,16,4,20
2540,Nevada,2020-05-13,0,0,0
2541,Tulare,2020-05-13,40,0,40
2542,Trinity,2020-05-13,0,0,0
2543,Imperial,2020-05-13,61,4,65
2544,El Dorado,2020-05-13,0,2,2
2545,Calaveras,2020-05-13,0,0,0
2546,San Benito,2020-05-13,1,0,1
2547,Glenn,2020-05-13,0,0,0
2548,San Joaquin,2020-05-13,11,16,27
2549,Marin,2020-05-13,3,16,19
2550,Plumas,2020-05-13,0,0,0
2551,Santa Cruz,2020-05-13,1,0,1
2552,Modoc,2020-05-13,0,0,0
2553,San Diego,2020-05-13,329,51,380
2554,Mendocino,2020-05-13,0,0,0
2555,Lassen,2020-05-13,0,0,0
2556,Siskiyou,2020-05-13,0,1,1
2557,Butte,2020-05-13,2,3,5
2558,San Mateo,2020-05-13,34,35,69
2559,Sonoma,2020-05-13,5,20,25
2560,Riverside,2020-05-13,188,77,265
2561,Shasta,2020-05-13,0,0,0
2562,Orange,2020-05-13,257,85,342
2563,Mariposa,2020-05-13,0,1,1
2564,Madera,2020-05-13,0,0,0
2565,Tehama,2020-05-13,0,0,0
2566,Inyo,2020-05-13,0,0,0
2567,Mono,2020-05-13,0,0,0
2568,Santa Barbara,2020-05-13,26,3,29
2569,Ventura,2020-05-13,25,29,54
2570,Kern,2020-05-13,34,6,40
2571,San Bernardino,2020-05-13,133,90,223
2572,Colusa,2020-05-13,0,1,1
2573,Orange,2020-05-14,259,68,327
2574,Sonoma,2020-05-14,5,23,28
2575,Riverside,2020-05-14,184,91,275
2576,Mono,2020-05-14,0,0,0
2577,Los Angeles,2020-05-14,1648,559,2207
2578,San Diego,2020-05-14,329,70,399
2579,Madera,2020-05-14,0,0,0
2580,Amador,2020-05-14,0,0,0
2581,San Mateo,2020-05-14,32,12,44
2582,Plumas,2020-05-14,0,0,0
2583,San Bernardino,2020-05-14,132,97,229
2584,Butte,2020-05-14,2,1,3
2585,Shasta,2020-05-14,0,0,0
2586,Modoc,2020-05-14,0,0,0
2587,Santa Cruz,2020-05-14,1,0,1
2588,Trinity,2020-05-14,0,0,0
2589,Ventura,2020-05-14,28,30,58
2590,Fresno,2020-05-14,64,52,116
2591,San Francisco,2020-05-14,56,38,94
2592,Mendocino,2020-05-14,0,0,0
2593,San Luis Obispo,2020-05-14,2,3,5
2594,Stanislaus,2020-05-14,19,19,38
2595,Marin,2020-05-14,3,9,12
2596,Sacramento,2020-05-14,12,40,52
2597,Colusa,2020-05-14,0,0,0
2598,Tulare,2020-05-14,37,0,37
2599,Sutter,2020-05-14,0,0,0
2600,Nevada,2020-05-14,0,0,0
2601,Lassen,2020-05-14,0,0,0
2602,Tuolumne,2020-05-14,0,0,0
2603,Santa Clara,2020-05-14,51,40,91
2604,Mariposa,2020-05-14,0,1,1
2605,Kern,2020-05-14,39,5,44
2606,Monterey,2020-05-14,6,1,7
2607,Merced,2020-05-14,8,1,9
2608,Humboldt,2020-05-14,5,7,12
2609,Calaveras,2020-05-14,0,0,0
2610,Solano,2020-05-14,15,25,40
2611,Del Norte,2020-05-14,0,0,0
2612,Lake,2020-05-14,0,0,0
2613,Glenn,2020-05-14,0,0,0
2614,Alameda,2020-05-14,82,56,138
2615,Placer,2020-05-14,2,21,23
2616,Inyo,2020-05-14,0,0,0
2617,Napa,2020-05-14,1,0,1
2618,Santa Barbara,2020-05-14,26,4,30
2619,Imperial,2020-05-14,62,9,71
2620,San Benito,2020-05-14,1,0,1
2621,Tehama,2020-05-14,0,1,1
2622,El Dorado,2020-05-14,0,3,3
2623,Kings,2020-05-14,16,2,18
2624,San Joaquin,2020-05-14,10,26,36
2625,Contra Costa,2020-05-14,20,47,67
2626,Siskiyou,2020-05-14,0,1,1
2627,Yuba,2020-05-14,0,0,0
2628,Yolo,2020-05-14,0,0,0
2629,Sonoma,2020-05-15,5,34,39
2630,Butte,2020-05-15,2,2,4
2631,Mono,2020-05-15,0,0,0
2632,Calaveras,2020-05-15,0,1,1
2633,Tuolumne,2020-05-15,0,0,0
2634,Lassen,2020-05-15,0,0,0
2635,Riverside,2020-05-15,184,72,256
2636,Sutter,2020-05-15,0,0,0
2637,Los Angeles,2020-05-15,1648,553,2201
2638,San Luis Obispo,2020-05-15,1,4,5
2639,Santa Clara,2020-05-15,48,27,75
2640,Monterey,2020-05-15,6,1,7
2641,San Benito,2020-05-15,1,0,1
2642,Tulare,2020-05-15,38,1,39
2643,Placer,2020-05-15,3,26,29
2644,Contra Costa,2020-05-15,19,37,56
2645,Lake,2020-05-15,0,0,0
2646,Merced,2020-05-15,6,2,8
2647,San Francisco,2020-05-15,56,33,89
2648,Glenn,2020-05-15,0,0,0
2649,Napa,2020-05-15,1,0,1
2650,Modoc,2020-05-15,0,0,0
2651,Alameda,2020-05-15,76,72,148
2652,Solano,2020-05-15,14,26,40
2653,Kings,2020-05-15,20,2,22
2654,Yuba,2020-05-15,0,0,0
2655,Tehama,2020-05-15,0,1,1
2656,Stanislaus,2020-05-15,19,19,38
2657,Marin,2020-05-15,2,8,10
2658,Kern,2020-05-15,40,12,52
2659,Del Norte,2020-05-15,0,0,0
2660,San Diego,2020-05-15,326,66,392
2661,Shasta,2020-05-15,0,0,0
2662,Colusa,2020-05-15,0,0,0
2663,San Bernardino,2020-05-15,125,69,194
2664,Inyo,2020-05-15,0,0,0
2665,Plumas,2020-05-15,0,0,0
2666,Humboldt,2020-05-15,3,6,9
2667,Orange,2020-05-15,250,60,310
2668,El Dorado,2020-05-15,0,0,0
2669,Fresno,2020-05-15,59,32,91
2670,Nevada,2020-05-15,0,0,0
2671,Trinity,2020-05-15,0,0,0
2672,Amador,2020-05-15,0,0,0
2673,Madera,2020-05-15,1,0,1
2674,San Joaquin,2020-05-15,11,34,45
2675,Yolo,2020-05-15,0,0,0
2676,Ventura,2020-05-15,27,20,47
2677,Siskiyou,2020-05-15,0,0,0
2678,San Mateo,2020-05-15,30,24,54
2679,Santa Cruz,2020-05-15,1,0,1
2680,Sacramento,2020-05-15,11,44,55
2681,Imperial,2020-05-15,67,4,71
2682,Santa Barbara,2020-05-15,26,6,32
2683,Mariposa,2020-05-15,0,0,0
2684,Mendocino,2020-05-15,0,0,0
2685,Solano,2020-05-16,14,26,40
2686,Plumas,2020-05-16,0,0,0
2687,Stanislaus,2020-05-16,19,20,39
2688,Butte,2020-05-16,2,1,3
2689,Placer,2020-05-16,3,25,28
2690,Kern,2020-05-16,36,15,51
2691,Tehama,2020-05-16,0,0,0
2692,Alameda,2020-05-16,81,64,145
2693,Marin,2020-05-16,1,10,11
2694,El Dorado,2020-05-16,1,3,4
2695,Riverside,2020-05-16,183,83,266
2696,Yuba,2020-05-16,0,0,0
2697,Kings,2020-05-16,20,2,22
2698,Lake,2020-05-16,0,0,0
2699,Mendocino,2020-05-16,0,0,0
2700,Los Angeles,2020-05-16,1570,516,2086
2701,Ventura,2020-05-16,27,23,50
2702,Monterey,2020-05-16,8,1,9
2703,Santa Clara,2020-05-16,51,39,90
2704,San Joaquin,2020-05-16,11,19,30
2705,Sacramento,2020-05-16,12,34,46
2706,Siskiyou,2020-05-16,0,1,1
2707,Santa Barbara,2020-05-16,27,7,34
2708,Inyo,2020-05-16,0,0,0
2709,San Mateo,2020-05-16,31,23,54
2710,San Luis Obispo,2020-05-16,1,5,6
2711,Lassen,2020-05-16,0,0,0
2712,Amador,2020-05-16,0,0,0
2713,San Benito,2020-05-16,1,0,1
2714,Mariposa,2020-05-16,0,0,0
2715,Tuolumne,2020-05-16,0,0,0
2716,Imperial,2020-05-16,60,1,61
2717,Colusa,2020-05-16,0,0,0
2718,Humboldt,2020-05-16,3,4,7
2719,Modoc,2020-05-16,0,0,0
2720,Napa,2020-05-16,1,3,4
2721,Santa Cruz,2020-05-16,1,0,1
2722,Tulare,2020-05-16,40,1,41
2723,Nevada,2020-05-16,0,0,0
2724,Merced,2020-05-16,6,1,7
2725,Madera,2020-05-16,0,0,0
2726,Yolo,2020-05-16,0,1,1
2727,San Diego,2020-05-16,319,51,370
2728,Calaveras,2020-05-16,0,0,0
2729,Del Norte,2020-05-16,0,0,0
2730,Orange,2020-05-16,251,74,325
2731,Glenn,2020-05-16,0,0,0
2732,Mono,2020-05-16,0,0,0
2733,Contra Costa,2020-05-16,16,34,50
2734,Shasta,2020-05-16,0,0,0
2735,Fresno,2020-05-16,58,39,97
2736,San Bernardino,2020-05-16,122,79,201
2737,San Francisco,2020-05-16,44,30,74
2738,Trinity,2020-05-16,0,0,0
2739,Sutter,2020-05-16,0,0,0
2740,Sonoma,2020-05-16,5,31,36
2741,Siskiyou,2020-05-17,0,1,1
2742,San Benito,2020-05-17,1,0,1
2743,Merced,2020-05-17,6,3,9
2744,Trinity,2020-05-17,0,0,0
2745,Stanislaus,2020-05-17,20,21,41
2746,Tuolumne,2020-05-17,0,0,0
2747,Tehama,2020-05-17,0,0,0
2748,Mono,2020-05-17,0,0,0
2749,Tulare,2020-05-17,40,1,41
2750,Ventura,2020-05-17,31,13,44
2751,Colusa,2020-05-17,0,0,0
2752,San Francisco,2020-05-17,40,31,71
2753,Imperial,2020-05-17,68,3,71
2754,Calaveras,2020-05-17,0,0,0
2755,Mariposa,2020-05-17,0,1,1
2756,Lake,2020-05-17,0,0,0
2757,Alameda,2020-05-17,74,72,146
2758,Orange,2020-05-17,267,88,355
2759,Yolo,2020-05-17,0,0,0
2760,Yuba,2020-05-17,1,0,1
2761,Santa Clara,2020-05-17,44,38,82
2762,Kings,2020-05-17,21,4,25
2763,Plumas,2020-05-17,0,0,0
2764,Santa Cruz,2020-05-17,1,0,1
2765,Glenn,2020-05-17,0,0,0
2766,Inyo,2020-05-17,0,0,0
2767,Solano,2020-05-17,17,30,47
2768,Madera,2020-05-17,0,0,0
2769,Lassen,2020-05-17,0,0,0
2770,Placer,2020-05-17,2,25,27
2771,San Luis Obispo,2020-05-17,1,4,5
2772,Contra Costa,2020-05-17,16,39,55
2773,Del Norte,2020-05-17,0,0,0
2774,Fresno,2020-05-17,60,46,106
2775,Napa,2020-05-17,1,2,3
2776,Sonoma,2020-05-17,5,26,31
2777,Santa Barbara,2020-05-17,25,6,31
2778,Monterey,2020-05-17,8,2,10
2779,Sutter,2020-05-17,0,0,0
2780,Sacramento,2020-05-17,15,41,56
2781,San Diego,2020-05-17,321,59,380
2782,Los Angeles,2020-05-17,1549,558,2107
2783,Humboldt,2020-05-17,4,1,5
2784,Kern,2020-05-17,36,12,48
2785,Marin,2020-05-17,1,11,12
2786,San Mateo,2020-05-17,32,23,55
2787,Mendocino,2020-05-17,1,0,1
2788,Shasta,2020-05-17,0,0,0
2789,San Bernardino,2020-05-17,129,81,210
2790,Amador,2020-05-17,0,0,0
2791,El Dorado,2020-05-17,1,3,4
2792,Nevada,2020-05-17,0,0,0
2793,San Joaquin,2020-05-17,10,18,28
2794,Modoc,2020-05-17,1,0,1
2795,Butte,2020-05-17,2,0,2
2796,Riverside,2020-05-17,186,91,277
2797,Marin,2020-05-18,4,8,12
2798,Monterey,2020-05-18,8,1,9
2799,Calaveras,2020-05-18,0,0,0
2800,Sacramento,2020-05-18,13,58,71
2801,Glenn,2020-05-18,0,0,0
2802,Humboldt,2020-05-18,4,1,5
2803,Mono,2020-05-18,0,0,0
2804,Lake,2020-05-18,0,2,2
2805,Napa,2020-05-18,1,0,1
2806,San Joaquin,2020-05-18,9,23,32
2807,Sutter,2020-05-18,0,0,0
2808,San Mateo,2020-05-18,41,19,60
2809,San Benito,2020-05-18,1,0,1
2810,Imperial,2020-05-18,73,1,74
2811,El Dorado,2020-05-18,1,3,4
2812,Stanislaus,2020-05-18,18,20,38
2813,Kern,2020-05-18,36,12,48
2814,Santa Cruz,2020-05-18,2,0,2
2815,Modoc,2020-05-18,0,1,1
2816,Solano,2020-05-18,16,27,43
2817,Amador,2020-05-18,0,1,1
2818,San Luis Obispo,2020-05-18,1,2,3
2819,Ventura,2020-05-18,33,16,49
2820,Inyo,2020-05-18,0,0,0
2821,Contra Costa,2020-05-18,19,51,70
2822,Lassen,2020-05-18,0,1,1
2823,Santa Barbara,2020-05-18,25,2,27
2824,San Bernardino,2020-05-18,140,81,221
2825,Riverside,2020-05-18,195,86,281
2826,Plumas,2020-05-18,0,0,0
2827,Colusa,2020-05-18,0,1,1
2828,Tulare,2020-05-18,35,1,36
2829,San Francisco,2020-05-18,46,33,79
2830,Alameda,2020-05-18,87,51,138
2831,Sonoma,2020-05-18,3,20,23
2832,Fresno,2020-05-18,61,44,105
2833,Tuolumne,2020-05-18,0,0,0
2834,Nevada,2020-05-18,0,0,0
2835,Del Norte,2020-05-18,0,0,0
2836,Tehama,2020-05-18,0,1,1
2837,Orange,2020-05-18,263,78,341
2838,Trinity,2020-05-18,0,0,0
2839,Kings,2020-05-18,21,4,25
2840,San Diego,2020-05-18,329,49,378
2841,Los Angeles,2020-05-18,1531,520,2051
2842,Santa Clara,2020-05-18,46,33,79
2843,Mendocino,2020-05-18,1,0,1
2844,Merced,2020-05-18,6,0,6
2845,Yuba,2020-05-18,1,0,1
2846,Siskiyou,2020-05-18,0,0,0
2847,Mariposa,2020-05-18,0,2,2
2848,Shasta,2020-05-18,0,0,0
2849,Butte,2020-05-18,2,1,3
2850,Placer,2020-05-18,1,34,35
2851,Yolo,2020-05-18,0,0,0
2852,Madera,2020-05-18,0,2,2
2853,Solano,2020-05-19,18,29,47
2854,Humboldt,2020-05-19,4,3,7
2855,Colusa,2020-05-19,0,1,1
2856,San Francisco,2020-05-19,48,26,74
2857,Tulare,2020-05-19,37,5,42
2858,Kern,2020-05-19,42,11,53
2859,Ventura,2020-05-19,33,27,60
2860,San Joaquin,2020-05-19,7,26,33
2861,Shasta,2020-05-19,0,0,0
2862,Riverside,2020-05-19,189,103,292
2863,Sonoma,2020-05-19,4,24,28
2864,Lake,2020-05-19,0,1,1
2865,El Dorado,2020-05-19,0,2,2
2866,Calaveras,2020-05-19,0,0,0
2867,Imperial,2020-05-19,74,4,78
2868,Mariposa,2020-05-19,0,3,3
2869,Mono,2020-05-19,0,0,0
2870,Yuba,2020-05-19,1,0,1
2871,Los Angeles,2020-05-19,1517,619,2136
2872,Orange,2020-05-19,269,97,366
2873,Marin,2020-05-19,4,20,24
2874,Madera,2020-05-19,0,1,1
2875,Fresno,2020-05-19,64,43,107
2876,Contra Costa,2020-05-19,14,74,88
2877,Santa Cruz,2020-05-19,1,0,1
2878,Trinity,2020-05-19,0,0,0
2879,Tuolumne,2020-05-19,0,0,0
2880,Lassen,2020-05-19,0,1,1
2881,Siskiyou,2020-05-19,0,0,0
2882,Placer,2020-05-19,3,45,48
2883,Tehama,2020-05-19,0,0,0
2884,Stanislaus,2020-05-19,17,31,48
2885,Napa,2020-05-19,1,0,1
2886,Mendocino,2020-05-19,1,0,1
2887,Nevada,2020-05-19,0,0,0
2888,San Bernardino,2020-05-19,134,76,210
2889,Alameda,2020-05-19,83,108,191
2890,San Mateo,2020-05-19,41,30,71
2891,Plumas,2020-05-19,0,0,0
2892,Amador,2020-05-19,0,0,0
2893,Santa Barbara,2020-05-19,23,5,28
2894,Del Norte,2020-05-19,0,0,0
2895,San Benito,2020-05-19,1,0,1
2896,San Diego,2020-05-19,319,68,387
2897,Merced,2020-05-19,7,1,8
2898,Inyo,2020-05-19,0,0,0
2899,Sutter,2020-05-19,0,0,0
2900,Monterey,2020-05-19,11,0,11
2901,Kings,2020-05-19,23,1,24
2902,Santa Clara,2020-05-19,43,57,100
2903,Yolo,2020-05-19,0,0,0
2904,Butte,2020-05-19,1,0,1
2905,Sacramento,2020-05-19,11,90,101
2906,San Luis Obispo,2020-05-19,2,1,3
2907,Glenn,2020-05-19,0,0,0
2908,Modoc,2020-05-19,0,1,1
2909,Santa Clara,2020-05-20,40,56,96
2910,Solano,2020-05-20,18,37,55
2911,San Benito,2020-05-20,1,0,1
2912,Merced,2020-05-20,8,1,9
2913,San Francisco,2020-05-20,47,32,79
2914,Fresno,2020-05-20,56,41,97
2915,Mariposa,2020-05-20,0,2,2
2916,Stanislaus,2020-05-20,18,30,48
2917,Yolo,2020-05-20,0,0,0
2918,Alameda,2020-05-20,81,134,215
2919,Plumas,2020-05-20,0,0,0
2920,Tehama,2020-05-20,0,0,0
2921,Tuolumne,2020-05-20,0,0,0
2922,Kings,2020-05-20,22,4,26
2923,Siskiyou,2020-05-20,0,0,0
2924,Santa Barbara,2020-05-20,23,4,27
2925,Del Norte,2020-05-20,0,0,0
2926,Trinity,2020-05-20,0,0,0
2927,Tulare,2020-05-20,42,3,45
2928,Napa,2020-05-20,1,0,1
2929,Glenn,2020-05-20,0,0,0
2930,Kern,2020-05-20,48,8,56
2931,Marin,2020-05-20,4,25,29
2932,Modoc,2020-05-20,0,1,1
2933,Mono,2020-05-20,0,0,0
2934,San Diego,2020-05-20,335,69,404
2935,Sonoma,2020-05-20,2,34,36
