,date,county,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
63,2021-03-15,Amador,38531,0,3510,0,44,9,96792,1,4015,2,3506,0,44,64,32095
64,2021-03-15,Butte,217769,2,11154,0,184,39,188353,1,11740,1,11141,0,185,350,152975
65,2021-03-15,Calaveras,44289,0,1945,0,49,2,35204,0,2188,2,1941,0,49,65,24379
67,2021-03-15,Colusa,22593,0,1882,0,12,4,15214,0,1735,0,1883,0,12,32,13660
68,2021-03-15,Contra Costa,1160099,13,63951,0,736,205,1274591,5,70615,39,63847,1,732,2567,988551
69,2021-03-15,Del Norte,27558,0,1048,0,6,8,67883,0,1141,0,1048,0,6,95,24194
70,2021-03-15,El Dorado,193098,2,9249,0,105,44,147385,2,9073,4,9235,0,103,397,127728
71,2021-03-15,Fresno,1032227,8,97638,0,1498,168,1031564,11,114256,59,97520,0,1496,2256,817944
72,2021-03-15,Glenn,29348,0,2267,0,17,2,21397,0,2324,1,2261,0,15,35,16367
73,2021-03-15,Humboldt,134098,5,3351,0,33,45,114807,0,3521,2,3337,0,32,298,86606
74,2021-03-15,Imperial,191649,7,27143,0,689,63,254674,10,31000,0,27122,-1,684,167,162646
75,2021-03-15,Inyo,18453,0,1346,0,35,12,16387,0,1135,0,1346,0,35,41,13994
76,2021-03-15,Kern,927251,8,93340,0,1144,193,879917,9,106164,14,93266,0,1141,1329,673915
77,2021-03-15,Kings,156444,4,22320,0,233,32,310396,2,25840,2,22294,1,233,220,146770
78,2021-03-15,Lake,64871,0,3246,0,43,12,58720,0,3775,0,3237,0,43,91,48365
79,2021-03-15,Lassen,30065,0,5126,0,1,0,112896,0,5872,0,5125,0,1,35,43642
80,2021-03-15,Los Angeles,10257557,12,1172676,0,22527,128,16764205,2,1499919,345,1172445,1,22477,105930,23283875
81,2021-03-15,Madera,160089,2,15822,0,214,47,208375,2,17801,2,15806,0,214,227,117418
82,2021-03-15,Marin,260800,1,13419,0,218,36,430764,1,14828,3,13408,0,218,702,274279
83,2021-03-15,Mariposa,17795,0,379,0,5,0,18837,0,421,0,376,0,5,14,7907
84,2021-03-15,Mendocino,88439,0,3623,0,44,23,88218,0,3990,2,3615,0,44,90,57198
85,2021-03-15,Merced,287420,9,29198,0,407,19,304471,2,30823,20,29169,0,407,596,216856
86,2021-03-15,Modoc,9475,0,341,0,3,0,5345,0,158,0,340,0,3,4,3599
87,2021-03-15,Mono,13961,1,1207,0,3,19,14478,1,1307,0,1206,0,3,3,12732
88,2021-03-15,Monterey,448732,1,42023,0,334,85,512582,1,47194,4,42011,0,333,698,347689
89,2021-03-15,Napa,139652,1,9209,0,75,18,227562,1,9962,2,9196,0,75,272,144132
90,2021-03-15,Nevada,98710,1,4132,0,67,13,86320,0,4033,1,4123,0,66,148,58950
91,2021-03-15,Orange,3228519,13,247843,0,4479,740,3207464,17,301967,41,247697,21,4481,5937,2753152
93,2021-03-15,Placer,400434,0,20339,0,240,54,326532,0,21587,20,20308,0,238,861,267050
94,2021-03-15,Plumas,18997,0,643,0,4,14,17081,0,613,0,642,0,4,33,12651
95,2021-03-15,Riverside,2468145,5,281540,0,3893,377,2529195,7,336292,35,281367,11,3856,4089,1989482
96,2021-03-15,Sacramento,1567975,2,95522,0,1466,131,1520560,4,107336,71,95414,1,1463,3050,1177612
97,2021-03-15,San Benito,64022,0,5831,0,61,29,70007,1,6602,2,5831,0,61,91,47500
98,2021-03-15,San Bernardino,2217398,11,283980,0,4032,325,2547485,11,336334,24,283815,8,4004,3327,2118556
99,2021-03-15,San Diego,3370418,15,265903,0,3462,179,3568557,1,282397,178,265646,0,3452,4523,3244933
100,2021-03-15,San Francisco,892280,3,34833,0,456,226,1709227,2,44204,10,34820,1,456,2060,1127527
101,2021-03-15,San Joaquin,782545,3,66856,0,1163,129,789452,10,77470,59,66622,0,1140,1660,616408
102,2021-03-15,San Luis Obispo,278862,2,19832,0,248,71,436383,1,21233,7,19813,0,247,439,238523
103,2021-03-15,San Mateo,778001,4,39806,0,344,136,1240835,5,50176,21,39765,2,344,2429,762618
104,2021-03-15,Santa Barbara,456373,7,32556,0,433,104,519642,4,37418,15,32529,0,431,626,343747
