,date,county,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
5453,2020-12-17,Merced,287420,282,17054,3,273,3013,172892,304,17409,205,15648,2,192,1130,130893
5454,2020-12-17,Modoc,9475,3,209,0,0,28,3383,0,98,1,179,0,0,8,2654
5455,2020-12-17,Mono,13961,33,792,0,3,152,10388,36,871,16,718,0,3,178,9263
5456,2020-12-17,Monterey,448732,544,23982,6,221,3855,323020,629,26697,844,21951,0,163,1881,229715
5457,2020-12-17,Napa,139652,100,5086,2,39,1794,141310,142,5303,68,4612,0,23,813,101822
5458,2020-12-17,Nevada,98710,36,2435,1,54,553,57499,36,2205,24,2173,0,13,184,42031
5459,2020-12-17,Orange,3228519,3491,133711,59,2774,28459,1862989,4619,155689,3107,118367,13,1725,16619,1517500
5461,2020-12-17,Placer,400434,220,12106,3,177,2227,206245,236,12606,202,10756,3,99,1576,165512
5462,2020-12-17,Plumas,18997,9,404,0,3,151,9893,12,371,5,324,0,0,41,8345
5463,2020-12-17,Riverside,2468145,4043,152807,47,2508,22316,1461452,4878,171332,3574,139325,32,1696,13732,1154316
5464,2020-12-17,Sacramento,1567975,971,58201,9,1077,10271,915715,1107,62506,1023,53189,6,721,7028,736707
5465,2020-12-17,San Benito,64022,90,3026,1,33,537,40600,84,3299,63,2645,0,20,212,31788
5466,2020-12-17,San Bernardino,2217398,4733,166976,65,2733,25044,1485831,5756,193395,6273,149838,22,1425,13611,1206237
5467,2020-12-17,San Diego,3370418,3107,133764,23,1892,26182,1924967,3519,123405,2604,116852,22,1239,14463,1714288
5468,2020-12-17,San Francisco,892280,260,21339,5,264,11756,1101003,357,27650,315,19939,0,170,4793,823078
5469,2020-12-17,San Joaquin,782545,798,39896,7,813,6592,478398,987,46212,884,35894,7,554,3168,350723
5470,2020-12-17,San Luis Obispo,278862,195,9322,9,120,2370,246551,256,9819,113,8365,1,59,685,155943
5471,2020-12-17,San Mateo,778001,376,21395,1,227,8860,664885,467,27566,355,19647,2,181,4496,454596
5472,2020-12-17,Santa Barbara,456373,239,15589,3,208,2928,307400,293,17055,241,14207,3,147,1181,223620
5473,2020-12-17,Santa Clara,1967585,1273,60287,23,1094,23119,1854258,1743,66807,1057,52559,4,527,11545,1313882
5474,2020-12-17,Santa Cruz,273999,182,7641,0,110,2747,187725,214,7596,151,6687,1,64,1076,133627
5475,2020-12-17,Shasta,177925,74,7512,1,77,783,106452,57,5646,86,7000,0,62,312,70393
5476,2020-12-17,Sierra,3115,0,23,0,0,10,1542,0,22,0,23,0,0,3,879
5477,2020-12-17,Siskiyou,43956,9,893,0,4,116,20579,6,969,9,827,0,2,107,17384
5478,2020-12-17,Solano,444255,461,16493,2,111,4765,327030,521,16711,204,14361,0,96,1908,239645
5479,2020-12-17,Sonoma,496668,273,17237,0,196,3795,371889,322,18641,225,15993,1,171,1979,285703
5480,2020-12-17,Stanislaus,562303,505,31335,7,502,4509,316018,619,35051,303,28582,0,489,2364,267000
5481,2020-12-17,Sutter,105747,80,5779,2,65,535,54935,88,6299,86,5309,0,39,391,43101
5482,2020-12-17,Tehama,65885,32,2646,1,17,287,34543,30,2509,39,2480,0,9,126,28301
5483,2020-12-17,Trinity,13354,4,251,0,3,54,5776,6,243,1,213,0,2,55,7723
5484,2020-12-17,Tulare,484423,411,29896,11,533,2976,300474,456,34518,352,27852,6,358,1628,228358
5485,2020-12-17,Tuolumne,52351,47,2236,1,34,408,54131,49,2615,51,1992,0,11,172,28915
5487,2020-12-17,Ventura,852747,776,33339,19,400,8123,619559,909,39474,838,29404,5,208,3233,559364
5488,2020-12-17,Yolo,223612,133,7581,2,140,1295,123326,122,7777,151,6800,2,105,776,104183
5489,2020-12-17,Yuba,79290,84,3364,0,24,438,37461,91,3740,55,3035,1,12,278,31972
5490,2020-12-16,Alameda,1685886,871,44959,13,719,14473,1224619,1059,51623,725,40751,5,497,8165,942022
5491,2020-12-16,Alpine,1117,0,64,0,0,5,1324,0,24,0,64,0,0,4,562
5492,2020-12-16,Amador,38531,113,2033,0,30,1272,51578,127,2305,24,1693,0,19,397,20492
5493,2020-12-16,Butte,217769,128,6235,4,136,1267,122999,133,6127,94,5659,1,76,1037,99663
5494,2020-12-16,Calaveras,44289,32,928,0,34,223,22503,35,1012,22,821,0,21,139,15612
5496,2020-12-16,Colusa,22593,13,1141,0,8,96,9893,21,1086,12,1038,0,7,103,8087
5497,2020-12-16,Contra Costa,1160099,645,35241,12,451,8649,760088,712,37912,1006,32429,12,293,5033,628776
5498,2020-12-16,Del Norte,27558,11,661,0,3,849,34050,9,708,11,575,0,1,113,17940
5499,2020-12-16,El Dorado,193098,108,5103,0,38,1150,93071,131,4648,124,4237,0,9,672,78671
5500,2020-12-16,Fresno,1032227,1397,59361,21,941,9018,621307,1705,67271,1857,49173,10,584,4681,509776
5501,2020-12-16,Glenn,29348,13,1320,0,11,166,14235,16,1300,29,1236,0,9,71,11596
5502,2020-12-16,Humboldt,134098,22,1460,0,22,785,69535,28,1425,32,1308,0,12,394,60281
5503,2020-12-16,Imperial,191649,221,21127,5,547,2282,170212,227,24043,224,19980,8,388,1149,130672
5504,2020-12-16,Inyo,18453,13,528,0,25,104,9503,9,416,50,444,0,16,78,8092
5505,2020-12-16,Kern,927251,1007,57314,21,742,6893,553697,1280,64392,894,52896,11,522,6819,415264
5506,2020-12-16,Kings,156444,167,14768,3,139,2115,193029,228,16474,82,13734,2,99,813,110141
5507,2020-12-16,Lake,64871,24,1564,0,23,448,35904,55,1768,22,1363,-1,20,349,30611
5508,2020-12-16,Lassen,30065,180,3797,0,1,1071,71958,196,4383,18,3396,0,1,466,33981
5509,2020-12-16,Los Angeles,10257557,16280,622057,281,12658,128621,10181762,20627,765554,21649,557907,132,8561,142441,11268223
5510,2020-12-16,Madera,160089,149,9260,1,164,1436,121813,172,10152,160,8278,2,62,654,81098
5511,2020-12-16,Marin,260800,107,9084,2,166,3083,265344,118,9811,113,8641,1,142,1123,188882
5512,2020-12-16,Mariposa,17795,4,196,0,3,148,12447,5,195,4,175,0,3,27,6331
5513,2020-12-16,Mendocino,88439,27,2066,0,30,452,57608,37,2233,46,1929,-1,23,262,44948
5514,2020-12-16,Merced,287420,308,16772,6,270,2062,169879,302,17105,323,15443,0,190,1693,129763
5515,2020-12-16,Modoc,9475,2,206,0,0,33,3355,0,98,-1,178,0,0,13,2646
5516,2020-12-16,Mono,13961,22,759,0,3,162,10236,26,835,0,702,0,3,154,9085
5517,2020-12-16,Monterey,448732,595,23438,4,215,4547,319165,689,26068,1202,21107,2,163,3168,227834
5518,2020-12-16,Napa,139652,105,4986,0,37,1761,139516,118,5161,104,4544,0,23,1084,101009
5519,2020-12-16,Nevada,98710,33,2399,0,53,548,56946,42,2169,32,2149,2,13,238,41847
5520,2020-12-16,Orange,3228519,3716,130220,63,2715,27108,1834530,4548,151070,2367,115260,23,1712,19616,1500881
5522,2020-12-16,Placer,400434,226,11886,0,174,2337,204018,268,12370,253,10554,1,96,1474,163936
5523,2020-12-16,Plumas,18997,7,395,0,3,167,9742,9,359,6,319,0,0,65,8304
5524,2020-12-16,Riverside,2468145,3898,148764,49,2461,21821,1439136,4667,166454,3929,135751,40,1664,15500,1140584
5525,2020-12-16,Sacramento,1567975,1005,57230,10,1068,9474,905444,1114,61399,1090,52166,12,715,7222,729679
5526,2020-12-16,San Benito,64022,82,2936,0,32,585,40063,114,3215,62,2582,1,20,197,31576
5527,2020-12-16,San Bernardino,2217398,4540,162243,48,2668,24897,1460787,5473,187639,6017,143565,52,1403,15789,1192626
5528,2020-12-16,San Diego,3370418,3573,130657,34,1869,27316,1898785,3709,119886,2807,114248,23,1217,18543,1699825
5529,2020-12-16,San Francisco,892280,314,21079,3,259,11443,1089247,423,27293,341,19624,-1,170,5157,818285
5530,2020-12-16,San Joaquin,782545,911,39098,18,806,5952,471806,1053,45225,1161,35010,10,547,3853,347555
5531,2020-12-16,San Luis Obispo,278862,105,9127,0,111,2761,244181,163,9563,178,8252,3,58,1010,155258
5532,2020-12-16,San Mateo,778001,469,21019,1,226,10132,656025,556,27099,385,19292,1,179,4237,450100
5533,2020-12-16,Santa Barbara,456373,217,15350,6,205,2732,304472,252,16762,184,13966,0,144,1691,222439
5534,2020-12-16,Santa Clara,1967585,1479,59014,22,1071,23849,1831139,1885,65064,1191,51502,18,523,10954,1302337
5535,2020-12-16,Santa Cruz,273999,170,7459,2,110,2515,184978,185,7382,175,6536,4,63,1324,132551
5536,2020-12-16,Shasta,177925,60,7438,3,76,1478,105669,61,5589,120,6914,8,62,471,70081
5537,2020-12-16,Sierra,3115,0,23,0,0,13,1532,1,22,0,23,0,0,5,876
5538,2020-12-16,Siskiyou,43956,8,884,0,4,114,20463,16,963,6,818,0,2,137,17277
5539,2020-12-16,Solano,444255,341,16032,2,109,5255,322265,420,16190,361,14157,1,96,1874,237737
5540,2020-12-16,Sonoma,496668,219,16964,1,196,4133,368094,279,18319,362,15768,3,170,1815,283724
5541,2020-12-16,Stanislaus,562303,510,30830,7,495,3683,311509,626,34432,456,28279,4,489,3192,264636
5542,2020-12-16,Sutter,105747,98,5699,3,63,517,54400,122,6211,143,5223,3,39,447,42710
5543,2020-12-16,Tehama,65885,40,2614,0,16,261,34256,41,2479,49,2441,0,9,184,28175
5544,2020-12-16,Trinity,13354,3,247,0,3,61,5722,4,237,-1,212,1,2,104,7668
5545,2020-12-16,Tulare,484423,496,29485,14,522,3446,297498,633,34062,474,27500,10,352,2400,226730
5546,2020-12-16,Tuolumne,52351,30,2189,0,33,427,53723,52,2566,67,1941,3,11,316,28743
5548,2020-12-16,Ventura,852747,605,32563,8,381,6759,611436,693,38565,630,28566,2,203,3677,556131
5549,2020-12-16,Yolo,223612,116,7448,1,138,953,122031,135,7655,118,6649,-1,103,918,103407
5550,2020-12-16,Yuba,79290,95,3280,1,24,417,37023,117,3649,89,2980,0,11,305,31694
5551,2020-12-15,Alameda,1685886,919,44088,12,706,15384,1210146,1106,50564,774,40026,5,492,9508,933857
5552,2020-12-15,Alpine,1117,0,64,0,0,4,1319,0,24,1,64,0,0,3,558
5553,2020-12-15,Amador,38531,72,1920,1,30,1420,50306,77,2178,60,1669,0,19,388,20095
5554,2020-12-15,Butte,217769,148,6107,3,132,1585,121732,173,5994,363,5565,0,75,891,98626
5555,2020-12-15,Calaveras,44289,38,896,0,34,284,22280,42,977,81,799,0,21,133,15473
5557,2020-12-15,Colusa,22593,24,1128,0,8,234,9797,30,1065,77,1026,0,7,93,7984
5558,2020-12-15,Contra Costa,1160099,682,34596,13,439,9423,751439,794,37200,829,31423,0,281,5342,623743
5559,2020-12-15,Del Norte,27558,7,650,0,3,298,33201,7,699,4,564,0,1,142,17827
5560,2020-12-15,El Dorado,193098,156,4995,2,38,1220,91921,145,4517,95,4113,0,9,783,77999
5561,2020-12-15,Fresno,1032227,1029,57964,11,920,8103,612289,1227,65566,2590,47316,14,574,4216,505095
5562,2020-12-15,Glenn,29348,24,1307,0,11,129,14069,26,1284,21,1207,0,9,90,11525
5563,2020-12-15,Humboldt,134098,13,1438,0,22,691,68750,21,1397,20,1276,3,12,445,59887
5564,2020-12-15,Imperial,191649,236,20906,12,542,2250,167930,273,23816,148,19756,1,380,1456,129523
5565,2020-12-15,Inyo,18453,15,515,0,25,179,9399,4,407,12,394,0,16,99,8014
5566,2020-12-15,Kern,927251,1008,56307,16,721,6547,546804,1182,63112,1464,52002,1,511,5581,408445
5567,2020-12-15,Kings,156444,177,14601,2,136,3747,190914,199,16246,161,13652,0,97,728,109328
5568,2020-12-15,Lake,64871,48,1540,0,23,582,35456,65,1713,40,1341,0,21,310,30262
5569,2020-12-15,Lassen,30065,98,3617,0,1,852,70887,110,4187,473,3378,0,1,335,33515
5570,2020-12-15,Los Angeles,10257557,17563,605777,325,12377,128501,10053141,21849,744927,11590,536258,89,8429,140716,11125782
5571,2020-12-15,Madera,160089,273,9111,5,163,2017,120377,282,9980,107,8118,0,60,603,80444
5572,2020-12-15,Marin,260800,83,8977,0,164,2917,262261,96,9693,53,8528,0,141,1188,187759
5573,2020-12-15,Mariposa,17795,1,192,0,3,200,12299,7,190,0,171,0,3,27,6304
5574,2020-12-15,Mendocino,88439,21,2039,0,30,659,57156,31,2196,38,1883,0,24,161,44686
5575,2020-12-15,Merced,287420,395,16464,7,264,2761,167817,390,16803,548,15120,1,190,1419,128070
5576,2020-12-15,Modoc,9475,6,204,0,0,50,3322,1,98,-1,179,0,0,20,2633
5577,2020-12-15,Mono,13961,7,737,0,3,50,10074,14,809,17,702,0,3,79,8931
5578,2020-12-15,Monterey,448732,529,22843,4,211,3955,314618,631,25379,751,19905,6,161,1559,224666
5579,2020-12-15,Napa,139652,100,4881,2,37,2064,137755,107,5043,151,4440,1,23,894,99925
5580,2020-12-15,Nevada,98710,39,2366,1,53,603,56398,45,2127,47,2117,0,11,279,41609
5581,2020-12-15,Orange,3228519,3912,126504,80,2652,28438,1807422,4818,146522,4291,112893,1,1689,20812,1481265
5583,2020-12-15,Placer,400434,284,11660,7,174,2370,201681,315,12102,750,10301,0,95,1542,162462
5584,2020-12-15,Plumas,18997,10,388,0,3,82,9575,7,350,4,313,0,0,85,8239
5585,2020-12-15,Riverside,2468145,3984,144866,49,2412,21668,1417315,4933,161787,8107,131822,36,1624,12588,1125084
5586,2020-12-15,Sacramento,1567975,1101,56225,21,1058,12079,895970,1213,60285,772,51076,12,703,7731,722457
5587,2020-12-15,San Benito,64022,66,2854,2,32,618,39478,91,3101,53,2520,0,19,193,31379
5588,2020-12-15,San Bernardino,2217398,4630,157703,59,2620,24473,1435890,5287,182166,8397,137548,4,1351,14549,1176837
5589,2020-12-15,San Diego,3370418,3781,127084,58,1835,28000,1871469,3653,116177,1863,111441,32,1194,20602,1681282
5590,2020-12-15,San Francisco,892280,386,20765,11,256,11045,1077804,419,26870,379,19283,0,171,4213,813128
5591,2020-12-15,San Joaquin,782545,829,38187,13,788,6521,465854,980,44172,1327,33849,3,537,3693,343702
5592,2020-12-15,San Luis Obispo,278862,243,9022,5,111,2870,241420,286,9400,283,8074,3,55,1011,154248
5593,2020-12-15,San Mateo,778001,530,20550,3,225,9929,645893,592,26543,546,18907,0,178,3983,445863
5594,2020-12-15,Santa Barbara,456373,268,15133,4,199,3967,301740,297,16510,195,13782,0,144,1695,220748
5595,2020-12-15,Santa Clara,1967585,1750,57535,24,1049,25111,1807290,2071,63179,1131,50311,3,505,12278,1291383
5596,2020-12-15,Santa Cruz,273999,178,7289,2,108,2633,182463,199,7197,312,6361,5,59,1206,131227
5597,2020-12-15,Shasta,177925,87,7378,0,73,969,104191,86,5528,129,6794,0,54,414,69610
5598,2020-12-15,Sierra,3115,0,23,0,0,15,1519,0,21,2,23,0,0,4,871
5599,2020-12-15,Siskiyou,43956,22,876,0,4,179,20349,29,947,48,812,0,2,174,17140
5600,2020-12-15,Solano,444255,357,15691,0,107,3823,317010,415,15770,444,13796,2,95,1938,235863
5601,2020-12-15,Sonoma,496668,317,16745,1,195,4979,363961,357,18040,599,15406,0,167,1766,281909
5602,2020-12-15,Stanislaus,562303,534,30320,7,488,4182,307826,606,33806,512,27823,0,485,3062,261444
5603,2020-12-15,Sutter,105747,108,5601,0,60,664,53883,134,6089,79,5080,1,36,477,42263
5604,2020-12-15,Tehama,65885,45,2574,0,16,340,33995,39,2438,48,2392,0,9,183,27991
5605,2020-12-15,Trinity,13354,3,244,0,3,22,5661,4,233,8,213,0,1,65,7564
5606,2020-12-15,Tulare,484423,463,28989,9,508,3307,294052,509,33429,1291,27026,1,342,1919,224330
5607,2020-12-15,Tuolumne,52351,58,2159,2,33,1037,53296,74,2514,227,1874,0,8,229,28427
5609,2020-12-15,Ventura,852747,919,31958,20,373,8219,604677,1108,37872,500,27936,-1,201,4978,552454
5610,2020-12-15,Yolo,223612,167,7332,1,137,1225,121078,169,7520,142,6531,9,104,873,102489
5611,2020-12-15,Yuba,79290,63,3185,2,23,381,36606,82,3532,40,2891,0,11,355,31389
5612,2020-12-14,Alameda,1685886,1183,43169,15,694,16120,1194762,1277,49458,1188,39252,1,487,8969,924349
5613,2020-12-14,Alpine,1117,0,64,0,0,4,1315,0,24,0,63,0,0,3,555
5614,2020-12-14,Amador,38531,57,1848,0,29,765,48886,63,2101,152,1609,0,19,316,19707
5615,2020-12-14,Butte,217769,149,5959,2,129,1532,120147,185,5821,99,5202,0,75,774,97735
5616,2020-12-14,Calaveras,44289,36,858,1,34,282,21996,39,935,8,718,0,21,127,15340
5618,2020-12-14,Colusa,22593,17,1104,0,8,85,9563,23,1035,4,949,0,7,89,7891
5619,2020-12-14,Contra Costa,1160099,723,33914,12,426,9079,742016,798,36406,927,30594,0,281,5097,618401
5620,2020-12-14,Del Norte,27558,53,643,0,3,763,32903,55,692,18,560,0,1,129,17685
5621,2020-12-14,El Dorado,193098,101,4839,1,36,1058,90701,117,4372,248,4018,0,9,731,77216
5622,2020-12-14,Fresno,1032227,1120,56935,25,909,7817,604186,1210,64339,612,44726,1,560,3741,500879
5623,2020-12-14,Glenn,29348,9,1283,1,11,115,13940,15,1258,15,1186,0,9,77,11435
5624,2020-12-14,Humboldt,134098,20,1425,0,22,702,68059,18,1376,18,1256,0,9,432,59442
5625,2020-12-14,Imperial,191649,283,20670,12,530,1418,165680,279,23543,136,19608,0,379,1309,128067
5626,2020-12-14,Inyo,18453,21,500,1,25,170,9220,14,403,2,382,0,16,86,7915
5627,2020-12-14,Kern,927251,999,55299,17,705,7113,540257,1133,61930,1487,50538,0,510,4594,402864
5628,2020-12-14,Kings,156444,279,14424,1,134,2284,187167,318,16047,134,13491,0,97,773,108600
5629,2020-12-14,Lake,64871,40,1492,0,23,425,34874,51,1648,30,1301,0,21,268,29952
5630,2020-12-14,Lassen,30065,114,3519,0,1,709,70035,109,4077,38,2905,0,1,381,33180
5631,2020-12-14,Los Angeles,10257557,17426,588214,361,12052,135862,9924640,20005,723078,7196,524668,46,8340,142022,10985066
5632,2020-12-14,Madera,160089,179,8838,1,158,2098,118360,182,9698,102,8011,0,60,571,79841
5633,2020-12-14,Marin,260800,121,8894,2,164,3199,259344,121,9597,66,8475,0,141,1281,186571
5634,2020-12-14,Mariposa,17795,4,191,0,3,54,12099,1,183,4,171,0,3,26,6277
5635,2020-12-14,Mendocino,88439,34,2018,0,30,540,56497,33,2165,52,1845,0,24,152,44525
5636,2020-12-14,Merced,287420,355,16069,4,257,3191,165056,381,16413,188,14572,0,189,1253,126651
5637,2020-12-14,Modoc,9475,8,198,0,0,31,3272,2,97,1,180,0,0,16,2613
5638,2020-12-14,Mono,13961,15,730,0,3,162,10024,19,795,10,685,0,3,65,8852
5639,2020-12-14,Monterey,448732,439,22314,2,207,3619,310663,479,24748,241,19154,2,155,1409,223107
5640,2020-12-14,Napa,139652,103,4781,1,35,1845,135691,106,4936,95,4289,0,22,873,99031
5641,2020-12-14,Nevada,98710,51,2327,2,52,598,55795,61,2082,40,2070,0,11,270,41330
5642,2020-12-14,Orange,3228519,3865,122592,86,2572,27353,1778984,4411,141704,3834,108602,0,1688,17926,1460453
5644,2020-12-14,Placer,400434,314,11376,5,167,2611,199311,299,11787,146,9551,0,95,1562,160920
5645,2020-12-14,Plumas,18997,6,378,0,3,77,9493,14,343,18,309,0,0,65,8154
5646,2020-12-14,Riverside,2468145,3971,140882,55,2363,18956,1395647,4328,156854,4024,123715,7,1588,12563,1112496
5647,2020-12-14,Sacramento,1567975,1264,55124,36,1037,12041,883891,1398,59072,824,50304,9,691,7662,714726
5648,2020-12-14,San Benito,64022,65,2788,1,30,395,38860,55,3010,59,2467,0,19,173,31186
5649,2020-12-14,San Bernardino,2217398,5034,153073,82,2561,24327,1411417,5607,176879,2433,129151,14,1347,14057,1162288
5650,2020-12-14,San Diego,3370418,3613,123303,72,1777,30793,1843469,3808,112524,2206,109578,0,1162,16386,1660680
5651,2020-12-14,San Francisco,892280,349,20379,5,245,10756,1066759,398,26451,218,18904,4,171,4196,808915
5652,2020-12-14,San Joaquin,782545,787,37358,17,775,7088,459333,875,43192,352,32522,0,534,3426,340009
5653,2020-12-14,San Luis Obispo,278862,185,8779,1,106,3430,238550,239,9114,166,7791,0,52,852,153237
5654,2020-12-14,San Mateo,778001,483,20020,4,222,9313,635964,524,25951,271,18361,1,178,4577,441880
5655,2020-12-14,Santa Barbara,456373,264,14865,5,195,3735,297773,329,16213,338,13587,0,144,1500,219053
5656,2020-12-14,Santa Clara,1967585,1428,55785,31,1025,22652,1782179,1428,61108,1260,49180,3,502,11182,1279105
5657,2020-12-14,Santa Cruz,273999,242,7111,5,106,3052,179830,234,6998,63,6049,0,54,1121,130021
5658,2020-12-14,Shasta,177925,71,7291,1,73,1264,103222,45,5442,18,6665,0,54,358,69196
5659,2020-12-14,Sierra,3115,0,23,0,0,14,1504,0,21,0,21,0,0,5,867
5660,2020-12-14,Siskiyou,43956,13,854,0,4,139,20170,17,918,2,764,0,2,148,16966
5661,2020-12-14,Solano,444255,435,15334,0,107,5009,313187,448,15355,76,13352,0,93,2020,233925
5662,2020-12-14,Sonoma,496668,320,16428,3,194,4730,358982,331,17683,312,14807,0,167,1743,280143
5663,2020-12-14,Stanislaus,562303,550,29786,6,481,4724,303644,630,33200,742,27311,0,485,2818,258382
5664,2020-12-14,Sutter,105747,130,5493,1,60,676,53219,127,5955,203,5001,1,35,417,41786
5665,2020-12-14,Tehama,65885,45,2529,0,16,349,33655,44,2399,19,2344,0,9,166,27808
5666,2020-12-14,Trinity,13354,4,241,0,3,29,5639,1,229,1,205,0,1,110,7499
5667,2020-12-14,Tulare,484423,491,28526,9,499,3528,290745,481,32920,239,25735,1,341,1684,222411
5668,2020-12-14,Tuolumne,52351,63,2101,1,31,621,52259,66,2440,36,1647,0,8,213,28198
5670,2020-12-14,Ventura,852747,975,31039,12,353,8628,596458,1192,36764,848,27436,0,202,5077,547476
5671,2020-12-14,Yolo,223612,179,7165,1,136,1456,119853,162,7351,124,6389,0,95,847,101616
5672,2020-12-14,Yuba,79290,65,3122,0,21,408,36225,62,3450,97,2851,0,11,320,31034
5673,2020-12-13,Alameda,1685886,427,41986,4,679,4429,1178642,381,48181,1037,38064,0,486,10594,915380
5674,2020-12-13,Alpine,1117,0,64,0,0,0,1311,0,24,0,63,0,0,3,552
5675,2020-12-13,Amador,38531,28,1791,0,29,465,48121,27,2038,221,1457,0,19,282,19391
5676,2020-12-13,Butte,217769,61,5810,1,127,460,118615,53,5636,131,5103,2,75,1062,96961
5677,2020-12-13,Calaveras,44289,10,822,1,33,146,21714,14,896,2,710,0,21,154,15213
5679,2020-12-13,Colusa,22593,20,1087,0,8,25,9478,12,1012,0,945,0,7,115,7802
5680,2020-12-13,Contra Costa,1160099,345,33191,8,414,3236,732937,292,35608,161,29667,0,281,6443,613304
5681,2020-12-13,Del Norte,27558,8,590,0,3,319,32140,11,637,13,542,0,1,138,17556
5682,2020-12-13,El Dorado,193098,75,4738,0,35,520,89643,47,4255,64,3770,0,9,906,76485
5683,2020-12-13,Fresno,1032227,334,55815,10,884,2160,596369,322,63129,358,44114,0,559,4703,497138
5684,2020-12-13,Glenn,29348,5,1274,0,10,63,13825,1,1243,28,1171,1,9,93,11358
5685,2020-12-13,Humboldt,134098,19,1405,0,22,290,67357,12,1358,30,1238,0,9,529,59010
5686,2020-12-13,Imperial,191649,86,20387,2,518,524,164262,54,23264,525,19472,0,379,1836,126758
5687,2020-12-13,Inyo,18453,3,479,0,24,57,9050,4,389,0,380,0,16,127,7829
5688,2020-12-13,Kern,927251,505,54300,8,688,3150,533144,577,60797,857,49051,3,510,5051,398270
5689,2020-12-13,Kings,156444,82,14145,1,133,1004,184883,87,15729,152,13357,1,97,904,107827
5690,2020-12-13,Lake,64871,17,1452,0,23,182,34449,11,1597,39,1271,0,21,251,29684
5691,2020-12-13,Lassen,30065,11,3405,0,1,834,69326,43,3968,1,2867,0,1,419,32799
5692,2020-12-13,Los Angeles,10257557,6605,570788,175,11691,36317,9788778,6319,703073,13155,517472,25,8294,171055,10843044
5693,2020-12-13,Madera,160089,123,8659,2,157,992,116262,107,9516,144,7909,1,60,722,79270
5694,2020-12-13,Marin,260800,54,8773,0,162,859,256145,38,9476,46,8409,0,141,1551,185290
5695,2020-12-13,Mariposa,17795,1,187,0,3,15,12045,1,182,3,167,0,3,29,6251
5696,2020-12-13,Mendocino,88439,36,1984,0,30,275,55957,40,2132,22,1793,0,24,211,44373
5697,2020-12-13,Merced,287420,90,15714,3,253,536,161865,60,16032,203,14384,1,189,1500,125398
5698,2020-12-13,Modoc,9475,1,190,0,0,9,3241,0,95,10,179,0,0,27,2597
5699,2020-12-13,Mono,13961,7,715,0,3,20,9862,4,776,35,675,0,3,131,8787
5700,2020-12-13,Monterey,448732,107,21875,2,205,1710,307044,144,24269,317,18913,2,153,1887,221698
5701,2020-12-13,Napa,139652,45,4678,0,34,692,133846,48,4830,81,4194,0,22,997,98158
5702,2020-12-13,Nevada,98710,18,2276,0,50,102,55197,9,2021,49,2030,1,11,323,41060
5703,2020-12-13,Orange,3228519,1794,118727,45,2486,8183,1751631,1677,137293,4300,104768,14,1688,20691,1442527
5705,2020-12-13,Placer,400434,164,11062,1,162,1188,196700,157,11488,15,9405,0,95,1796,159358
5706,2020-12-13,Plumas,18997,6,372,0,3,21,9416,1,329,0,291,0,0,78,8089
5707,2020-12-13,Riverside,2468145,1937,136911,22,2308,8692,1376691,1961,152526,1356,119691,2,1581,17480,1099933
5708,2020-12-13,Sacramento,1567975,587,53860,6,1001,4867,871850,618,57674,1161,49480,9,682,8627,707064
5709,2020-12-13,San Benito,64022,49,2723,0,29,251,38465,48,2955,53,2408,0,19,203,31013
5710,2020-12-13,San Bernardino,2217398,1388,148039,33,2479,4930,1387090,1204,171272,977,126718,12,1333,17279,1148231
5711,2020-12-13,San Diego,3370418,1623,119690,28,1705,11218,1812676,1458,108716,2414,107372,11,1162,21071,1644294
5712,2020-12-13,San Francisco,892280,185,20030,2,240,4002,1056003,151,26053,273,18686,0,167,5481,804719
5713,2020-12-13,San Joaquin,782545,319,36571,12,758,2300,452245,318,42317,-30,32170,0,534,4326,336583
5714,2020-12-13,San Luis Obispo,278862,91,8594,3,105,928,235120,44,8875,163,7625,2,52,1063,152385
5715,2020-12-13,San Mateo,778001,178,19537,4,218,3022,626651,210,25427,516,18090,0,177,5953,437303
5716,2020-12-13,Santa Barbara,456373,151,14601,0,190,1163,294038,133,15884,75,13249,0,144,1954,217553
5717,2020-12-13,Santa Clara,1967585,922,54357,16,994,8638,1759527,832,59680,2028,47920,1,499,13876,1267923
5718,2020-12-13,Santa Cruz,273999,95,6869,0,101,618,176778,66,6764,81,5986,0,54,1396,128900
5719,2020-12-13,Shasta,177925,38,7220,0,72,146,101958,22,5397,96,6647,0,54,462,68838
5720,2020-12-13,Sierra,3115,0,23,0,0,1,1490,0,21,0,21,0,0,6,862
5721,2020-12-13,Siskiyou,43956,2,841,0,4,17,20031,2,901,0,762,0,2,208,16818
5722,2020-12-13,Solano,444255,200,14899,1,107,1515,308178,166,14907,528,13276,0,93,2141,231905
5723,2020-12-13,Sonoma,496668,110,16108,0,191,936,354252,80,17352,29,14495,1,167,1994,278400
5724,2020-12-13,Stanislaus,562303,300,29236,5,475,1388,298920,270,32570,323,26569,2,485,3137,255564
5725,2020-12-13,Sutter,105747,61,5363,0,59,177,52543,48,5828,81,4798,2,34,572,41369
5726,2020-12-13,Tehama,65885,12,2484,0,16,37,33306,8,2355,73,2325,0,9,205,27642
