date,county,population,cases,deaths,total_tests,positive_tests,reported_cases,reported_deaths,reported_tests
2021-03-15,Solano,444255,0,0,57,0,28,0,760
2021-03-15,Sonoma,496668,4,0,82,5,16,1,894
2021-03-15,Stanislaus,562303,4,0,90,5,51,-7,1190
2021-03-15,Sutter,105747,4,0,49,2,4,0,170
2021-03-15,Tehama,65885,0,0,5,0,0,0,87
2021-03-15,Trinity,13354,0,0,1,0,0,0,22
2021-03-15,Tulare,484423,4,0,130,3,12,0,754
2021-03-15,Tuolumne,52351,0,0,4,0,0,0,68
2021-03-15,Ventura,852747,0,0,201,3,15,0,1508
2021-03-15,Yolo,223612,1,0,33,1,3,1,2433
2021-03-15,Yuba,79290,3,0,25,1,2,0,148
2021-03-14,Alameda,1685886,6,0,934,11,106,0,4637
2021-03-14,Alpine,1117,0,0,1,0,0,0,2
2021-03-14,Amador,38531,0,0,21,0,0,0,62
2021-03-14,Butte,217769,3,0,80,3,9,0,451
2021-03-14,Calaveras,44289,3,0,28,3,0,0,62
2021-03-14,Colusa,22593,0,0,10,0,1,0,33
2021-03-14,Contra Costa,1160099,16,0,671,20,119,0,3109
2021-03-14,Del Norte,27558,0,0,10,0,7,0,106
2021-03-14,El Dorado,193098,2,0,66,0,10,0,486
2021-03-14,Fresno,1032227,19,0,444,22,137,1,2922
2021-03-14,Glenn,29348,0,0,5,0,0,0,44
2021-03-14,Humboldt,134098,2,0,57,2,10,0,401
2021-03-14,Imperial,191649,0,0,54,0,23,8,258
2021-03-14,Inyo,18453,0,0,4,0,2,0,55
2021-03-14,Kern,927251,6,0,144,7,55,1,1647
2021-03-14,Kings,156444,4,0,58,4,27,0,245
2021-03-14,Lake,64871,1,0,23,1,3,0,117
2021-03-14,Lassen,30065,0,0,1,0,0,0,40
2021-03-14,Los Angeles,10257557,53,0,776,20,595,25,130143
2021-03-14,Madera,160089,3,0,44,3,24,0,299
2021-03-14,Marin,260800,2,0,122,3,14,0,922
2021-03-14,Mariposa,17795,0,0,4,0,0,0,17
2021-03-14,Mendocino,88439,3,0,39,3,2,0,125
2021-03-14,Merced,287420,7,0,50,1,43,1,740
2021-03-14,Modoc,9475,0,0,1,0,0,0,5
2021-03-14,Mono,13961,0,0,3,0,-1,0,6
2021-03-14,Monterey,448732,1,0,118,2,18,1,851
2021-03-14,Napa,139652,2,0,84,1,4,0,335
2021-03-14,Nevada,98710,0,0,33,0,11,0,180
2021-03-14,Orange,3228519,25,0,1681,36,142,37,7977
2021-03-14,Placer,400434,4,0,160,5,50,-1,918
2021-03-14,Plumas,18997,0,0,6,0,0,0,44
2021-03-14,Riverside,2468145,42,0,1282,59,141,-3,5466
2021-03-14,Sacramento,1567975,6,0,523,9,151,1,3514
2021-03-14,San Benito,64022,0,0,18,0,6,0,109
2021-03-14,San Bernardino,2217398,16,0,639,27,64,24,4432
2021-03-14,San Diego,3370418,51,0,3523,102,198,8,11372
2021-03-14,San Francisco,892280,5,0,755,9,26,0,2703
2021-03-14,San Joaquin,782545,8,0,209,10,83,-1,2081
2021-03-14,San Luis Obispo,278862,2,0,63,2,17,0,516
