,county,date,total_doses
190,Kings,2021-03-12,826
191,Lake,2021-03-12,236
192,Lassen,2021-03-12,29
193,Los Angeles,2021-03-12,57052
194,Madera,2021-03-12,848
195,Marin,2021-03-12,2451
196,Mariposa,2021-03-12,62
197,Mendocino,2021-03-12,799
198,Merced,2021-03-12,1891
199,Modoc,2021-03-12,7
200,Mono,2021-03-12,7
201,Monterey,2021-03-12,2604
202,Napa,2021-03-12,858
203,Nevada,2021-03-12,848
204,Orange,2021-03-12,22445
205,Outside California,2021-03-12,5211
206,Oxford,2021-03-12,2
207,Placer,2021-03-12,2298
208,Plumas,2021-03-12,521
209,Riverside,2021-03-12,14230
210,Sacramento,2021-03-12,9977
211,San Benito,2021-03-12,393
212,San Bernardino,2021-03-12,8943
213,San Diego,2021-03-12,23693
214,San Francisco,2021-03-12,8772
215,San Joaquin,2021-03-12,5010
216,San Luis Obispo,2021-03-12,2551
217,San Mateo,2021-03-12,6995
218,Santa Barbara,2021-03-12,2729
219,Santa Clara,2021-03-12,12886
220,Santa Cruz,2021-03-12,2332
221,Shasta,2021-03-12,477
222,Sierra,2021-03-12,20
223,Siskiyou,2021-03-12,410
224,Skagit,2021-03-12,1
225,Solano,2021-03-12,2616
226,Sonoma,2021-03-12,4321
227,Stanislaus,2021-03-12,5297
228,Sutter,2021-03-12,334
229,Tehama,2021-03-12,228
230,Trinity,2021-03-12,319
231,Tulare,2021-03-12,3052
232,Tuolumne,2021-03-12,177
233,Unknown,2021-03-12,120
234,Ventura,2021-03-12,2245
235,Yolo,2021-03-12,1255
236,Yuba,2021-03-12,203
237,Alameda,2021-03-11,16860
238,Alpine,2021-03-11,35
239,Amador,2021-03-11,152
240,Butte,2021-03-11,1550
241,Calaveras,2021-03-11,590
242,Colusa,2021-03-11,255
243,Contra Costa,2021-03-11,10467
244,Del Norte,2021-03-11,119
245,El Dorado,2021-03-11,1095
246,Fresno,2021-03-11,8721
247,Glenn,2021-03-11,482
248,Humboldt,2021-03-11,623
249,Imperial,2021-03-11,519
250,Inyo,2021-03-11,178
251,Kern,2021-03-11,4945
252,Kings,2021-03-11,564
253,Lake,2021-03-11,105
254,Lassen,2021-03-11,143
255,Los Angeles,2021-03-11,63798
256,Madera,2021-03-11,803
257,Marin,2021-03-11,2948
258,Mariposa,2021-03-11,24
259,Mendocino,2021-03-11,660
260,Merced,2021-03-11,1504
261,Modoc,2021-03-11,164
262,Mono,2021-03-11,12
