,county,date,total_doses
827,San Luis Obispo,2021-03-02,2721
828,San Mateo,2021-03-02,5141
829,Santa Barbara,2021-03-02,2363
830,Santa Clara,2021-03-02,12075
831,Santa Cruz,2021-03-02,1427
832,Shasta,2021-03-02,473
833,Sierra,2021-03-02,50
834,Siskiyou,2021-03-02,175
835,Solano,2021-03-02,1563
836,Sonoma,2021-03-02,3979
837,Stanislaus,2021-03-02,2236
838,Sutter,2021-03-02,312
839,Tehama,2021-03-02,70
840,Trinity,2021-03-02,6
841,Tulare,2021-03-02,2260
842,Tuolumne,2021-03-02,700
843,Unknown,2021-03-02,20
844,Ventura,2021-03-02,7166
845,Yolo,2021-03-02,1338
846,Yuba,2021-03-02,145
847,Alameda,2021-03-01,12510
848,Alpine,2021-03-01,33
849,Amador,2021-03-01,183
850,Butte,2021-03-01,1131
851,Calaveras,2021-03-01,184
852,Colusa,2021-03-01,43
853,Contra Costa,2021-03-01,7389
854,Del Norte,2021-03-01,26
855,El Dorado,2021-03-01,1006
856,Fresno,2021-03-01,4459
857,Glenn,2021-03-01,27
858,Humboldt,2021-03-01,233
859,Imperial,2021-03-01,510
860,Inyo,2021-03-01,23
861,Kern,2021-03-01,3576
862,Kings,2021-03-01,241
863,Lake,2021-03-01,570
864,Lassen,2021-03-01,36
865,Linn,2021-03-01,1
866,Los Angeles,2021-03-01,51894
867,Madera,2021-03-01,355
868,Marin,2021-03-01,2246
869,Mariposa,2021-03-01,56
870,Mendocino,2021-03-01,562
871,Merced,2021-03-01,1112
872,Modoc,2021-03-01,4
873,Monterey,2021-03-01,1225
874,Napa,2021-03-01,1029
875,Nevada,2021-03-01,768
876,Orange,2021-03-01,17406
877,Outside California,2021-03-01,5535
878,Placer,2021-03-01,2805
879,Plumas,2021-03-01,10
880,Riverside,2021-03-01,13108
881,Sacramento,2021-03-01,7098
882,San Benito,2021-03-01,214
883,San Bernardino,2021-03-01,7190
884,San Diego,2021-03-01,22956
885,San Francisco,2021-03-01,9555
886,San Joaquin,2021-03-01,3924
887,San Luis Obispo,2021-03-01,2868
888,San Mateo,2021-03-01,5264
889,Santa Barbara,2021-03-01,1486
890,Santa Clara,2021-03-01,12982
891,Santa Cruz,2021-03-01,1773
892,Shasta,2021-03-01,549
893,Sierra,2021-03-01,2
894,Siskiyou,2021-03-01,270
895,Solano,2021-03-01,1423
896,Sonoma,2021-03-01,3390
897,Stanislaus,2021-03-01,2917
898,Sutter,2021-03-01,232
899,Tehama,2021-03-01,61
900,Trinity,2021-03-01,7
901,Tulare,2021-03-01,1527
902,Tuolumne,2021-03-01,101
903,Unknown,2021-03-01,48
904,Ventura,2021-03-01,6718
905,Yolo,2021-03-01,983
906,Yuba,2021-03-01,148
907,Alameda,2021-02-28,8905
908,Amador,2021-02-28,94
909,Butte,2021-02-28,114
910,Calaveras,2021-02-28,87
911,Colusa,2021-02-28,24
912,Contra Costa,2021-02-28,3640
913,Del Norte,2021-02-28,6
914,El Dorado,2021-02-28,506
915,Fresno,2021-02-28,1490
916,Glenn,2021-02-28,5
917,Humboldt,2021-02-28,106
918,Imperial,2021-02-28,83
919,Inyo,2021-02-28,2
920,Kern,2021-02-28,843
921,Kings,2021-02-28,993
922,Lake,2021-02-28,17
923,Lassen,2021-02-28,5
924,Los Angeles,2021-02-28,25383
925,Madera,2021-02-28,179
926,Marin,2021-02-28,1316
927,Mariposa,2021-02-28,2
928,Mendocino,2021-02-28,35
929,Merced,2021-02-28,278
930,Mono,2021-02-28,1
931,Monterey,2021-02-28,1464
932,Napa,2021-02-28,541
933,Nevada,2021-02-28,233
934,Orange,2021-02-28,18309
935,Outside California,2021-02-28,3548
936,Placer,2021-02-28,1348
937,Riverside,2021-02-28,4407
938,Sacramento,2021-02-28,5035
939,San Benito,2021-02-28,191
940,San Bernardino,2021-02-28,1611
941,San Diego,2021-02-28,13524
942,San Francisco,2021-02-28,7441
943,San Joaquin,2021-02-28,2908
944,San Luis Obispo,2021-02-28,175
945,San Mateo,2021-02-28,3976
946,Santa Barbara,2021-02-28,998
947,Santa Clara,2021-02-28,4556
948,Santa Cruz,2021-02-28,1273
949,Shasta,2021-02-28,167
950,Siskiyou,2021-02-28,3
951,Solano,2021-02-28,1274
952,Sonoma,2021-02-28,2144
953,Stanislaus,2021-02-28,731
954,Sutter,2021-02-28,75
955,Tehama,2021-02-28,22
956,Trinity,2021-02-28,1
957,Tulare,2021-02-28,1221
958,Tuolumne,2021-02-28,44
959,Unknown,2021-02-28,24
960,Ventura,2021-02-28,2474
961,Yolo,2021-02-28,1634
962,Yuba,2021-02-28,61
963,Alameda,2021-02-27,14406
964,Amador,2021-02-27,284
965,Butte,2021-02-27,227
966,Calaveras,2021-02-27,203
967,Colusa,2021-02-27,54
968,Contra Costa,2021-02-27,6375
969,Del Norte,2021-02-27,152
970,El Dorado,2021-02-27,1562
971,Fresno,2021-02-27,6052
972,Glenn,2021-02-27,14
973,Humboldt,2021-02-27,877
974,Imperial,2021-02-27,931
975,Inyo,2021-02-27,13
976,Kern,2021-02-27,3528
977,Kings,2021-02-27,1232
978,Lake,2021-02-27,57
979,Lassen,2021-02-27,8
980,Los Angeles,2021-02-27,57366
981,Madera,2021-02-27,844
982,Marin,2021-02-27,2543
983,Mariposa,2021-02-27,153
984,Mendocino,2021-02-27,187
985,Merced,2021-02-27,1907
986,Modoc,2021-02-27,5
987,Mono,2021-02-27,136
988,Monterey,2021-02-27,964
989,Napa,2021-02-27,1018
990,Nevada,2021-02-27,330
991,Orange,2021-02-27,24414
992,Outside California,2021-02-27,5666
993,Placer,2021-02-27,2675
994,Plumas,2021-02-27,42
995,Riverside,2021-02-27,10934
996,Sacramento,2021-02-27,9353
997,San Benito,2021-02-27,96
998,San Bernardino,2021-02-27,6412
999,San Diego,2021-02-27,20445
1000,San Francisco,2021-02-27,8649
1001,San Joaquin,2021-02-27,5256
1002,San Luis Obispo,2021-02-27,565
1003,San Mateo,2021-02-27,6460
1004,Santa Barbara,2021-02-27,1464
1005,Santa Clara,2021-02-27,7897
1006,Santa Cruz,2021-02-27,2613
1007,Shasta,2021-02-27,806
1008,Sierra,2021-02-27,2
1009,Siskiyou,2021-02-27,30
1010,Solano,2021-02-27,3420
1011,Sonoma,2021-02-27,3887
1012,Stanislaus,2021-02-27,1963
1013,Sutter,2021-02-27,802
1014,Tehama,2021-02-27,296
1015,Trinity,2021-02-27,4
1016,Tulare,2021-02-27,2670
1017,Tuolumne,2021-02-27,943
1018,Unknown,2021-02-27,30
1019,Ventura,2021-02-27,9805
1020,Yolo,2021-02-27,1583
1021,Yuba,2021-02-27,449
1022,Alameda,2021-02-26,16828
1023,Alpine,2021-02-26,29
1024,Amador,2021-02-26,591
1025,Butte,2021-02-26,854
1026,Calaveras,2021-02-26,637
1027,Colusa,2021-02-26,95
1028,Contra Costa,2021-02-26,9423
1029,Del Norte,2021-02-26,99
1030,El Dorado,2021-02-26,2009
1031,Fresno,2021-02-26,7249
1032,Glenn,2021-02-26,303
1033,Humboldt,2021-02-26,2071
1034,Imperial,2021-02-26,1637
1035,Inyo,2021-02-26,103
1036,Kern,2021-02-26,6090
1037,Kings,2021-02-26,600
1038,Lake,2021-02-26,974
1039,Lassen,2021-02-26,64
1040,Los Angeles,2021-02-26,78742
1041,Madera,2021-02-26,1017
1042,Marin,2021-02-26,3307
1043,Mariposa,2021-02-26,411
1044,Mendocino,2021-02-26,1337
1045,Merced,2021-02-26,2049
1046,Modoc,2021-02-26,3
1047,Mono,2021-02-26,576
1048,Monterey,2021-02-26,4953
1049,Napa,2021-02-26,1396
1050,Nevada,2021-02-26,1180
1051,Orange,2021-02-26,26051
1052,Outside California,2021-02-26,7107
1053,Placer,2021-02-26,3825
1054,Plumas,2021-02-26,255
1055,Riverside,2021-02-26,17000
1056,Sacramento,2021-02-26,12224
1057,San Benito,2021-02-26,604
1058,San Bernardino,2021-02-26,12297
1059,San Diego,2021-02-26,32428
1060,San Francisco,2021-02-26,11177
1061,San Joaquin,2021-02-26,5185
1062,San Luis Obispo,2021-02-26,2577
1063,San Mateo,2021-02-26,8878
1064,Santa Barbara,2021-02-26,3272
1065,Santa Clara,2021-02-26,11942
1066,Santa Cruz,2021-02-26,2621
1067,Shasta,2021-02-26,748
1068,Sierra,2021-02-26,9
1069,Siskiyou,2021-02-26,660
1070,Solano,2021-02-26,2245
1071,Sonoma,2021-02-26,5731
1072,Stanislaus,2021-02-26,3945
1073,Sutter,2021-02-26,347
1074,Tehama,2021-02-26,448
1075,Trinity,2021-02-26,10
1076,Tulare,2021-02-26,3319
1077,Tuolumne,2021-02-26,135
1078,Unknown,2021-02-26,35
1079,Ventura,2021-02-26,8935
1080,Yolo,2021-02-26,2072
1081,Yuba,2021-02-26,234
1082,Alameda,2021-02-25,14842
1083,Alpine,2021-02-25,7
1084,Amador,2021-02-25,501
1085,Butte,2021-02-25,1998
1086,Calaveras,2021-02-25,469
1087,Colusa,2021-02-25,95
1088,Contra Costa,2021-02-25,10521
1089,Del Norte,2021-02-25,300
1090,El Dorado,2021-02-25,1416
1091,Fresno,2021-02-25,6942
1092,Glenn,2021-02-25,255
1093,Humboldt,2021-02-25,808
1094,Imperial,2021-02-25,807
1095,Inyo,2021-02-25,125
1096,Kern,2021-02-25,4969
1097,Kings,2021-02-25,639
1098,Lake,2021-02-25,671
1099,Lassen,2021-02-25,146
1100,Lewis,2021-02-25,1
1101,Los Angeles,2021-02-25,69508
1102,Madera,2021-02-25,991
1103,Marin,2021-02-25,3705
1104,Mariposa,2021-02-25,4
1105,Meeker,2021-02-25,1
1106,Mendocino,2021-02-25,1172
1107,Merced,2021-02-25,1630
1108,Modoc,2021-02-25,169
1109,Mono,2021-02-25,5
1110,Monterey,2021-02-25,4171
1111,Napa,2021-02-25,2340
1112,Nevada,2021-02-25,826
1113,Orange,2021-02-25,21721
1114,Outside California,2021-02-25,7909
1115,Placer,2021-02-25,3138
1116,Plumas,2021-02-25,221
1117,Riverside,2021-02-25,16028
1118,Sacramento,2021-02-25,9063
1119,San Benito,2021-02-25,383
1120,San Bernardino,2021-02-25,11858
1121,San Diego,2021-02-25,31550
1122,San Francisco,2021-02-25,9447
1123,San Joaquin,2021-02-25,6027
1124,San Luis Obispo,2021-02-25,2025
1125,San Mateo,2021-02-25,8615
1126,Santa Barbara,2021-02-25,3374
1127,Santa Clara,2021-02-25,13124
1128,Santa Cruz,2021-02-25,3098
1129,Shasta,2021-02-25,458
1130,Sierra,2021-02-25,127
1131,Siskiyou,2021-02-25,294
1132,Solano,2021-02-25,2099
1133,Sonoma,2021-02-25,5351
1134,Stanislaus,2021-02-25,3727
1135,Sutter,2021-02-25,764
1136,Tehama,2021-02-25,373
1137,Trinity,2021-02-25,36
1138,Tulare,2021-02-25,3190
1139,Tuolumne,2021-02-25,1034
1140,Unknown,2021-02-25,85
1141,Ventura,2021-02-25,7262
1142,Yolo,2021-02-25,1287
1143,Yuba,2021-02-25,316
1144,Alameda,2021-02-24,13847
1145,Amador,2021-02-24,387
1146,Butte,2021-02-24,2057
1147,Calaveras,2021-02-24,90
1148,Colusa,2021-02-24,298
1149,Contra Costa,2021-02-24,9390
1150,Del Norte,2021-02-24,149
1151,El Dorado,2021-02-24,865
1152,Fresno,2021-02-24,3800
1153,Glenn,2021-02-24,219
1154,Humboldt,2021-02-24,1140
1155,Imperial,2021-02-24,668
1156,Inyo,2021-02-24,117
1157,Kern,2021-02-24,4968
1158,Kings,2021-02-24,570
1159,Lake,2021-02-24,713
1160,Lassen,2021-02-24,163
1161,Los Angeles,2021-02-24,60458
1162,Madera,2021-02-24,886
1163,Marin,2021-02-24,3304
1164,Mariposa,2021-02-24,12
1165,Mendocino,2021-02-24,1781
1166,Merced,2021-02-24,788
1167,Modoc,2021-02-24,89
1168,Mono,2021-02-24,6
1169,Monterey,2021-02-24,2339
1170,Napa,2021-02-24,1059
1171,Nevada,2021-02-24,460
1172,Orange,2021-02-24,20074
1173,Outside California,2021-02-24,7487
1174,Placer,2021-02-24,3093
1175,Plumas,2021-02-24,449
1176,Riverside,2021-02-24,13988
1177,Sacramento,2021-02-24,8712
1178,San Benito,2021-02-24,355
1179,San Bernardino,2021-02-24,11081
1180,San Diego,2021-02-24,27172
1181,San Francisco,2021-02-24,8684
1182,San Joaquin,2021-02-24,5474
1183,San Luis Obispo,2021-02-24,2625
1184,San Mateo,2021-02-24,7012
1185,Santa Barbara,2021-02-24,3050
1186,Santa Clara,2021-02-24,12511
1187,Santa Cruz,2021-02-24,3099
1188,Shasta,2021-02-24,503
1189,Sierra,2021-02-24,2
1190,Siskiyou,2021-02-24,145
1191,Solano,2021-02-24,2073
1192,Sonoma,2021-02-24,5029
1193,Stanislaus,2021-02-24,3861
1194,Sutter,2021-02-24,951
1195,Tehama,2021-02-24,294
1196,Trinity,2021-02-24,16
1197,Tulare,2021-02-24,2293
1198,Tuolumne,2021-02-24,81
1199,Unknown,2021-02-24,52
1200,Ventura,2021-02-24,4734
1201,Yolo,2021-02-24,1878
1202,Yuba,2021-02-24,467
1203,Alameda,2021-02-23,12284
1204,Amador,2021-02-23,309
1205,Butte,2021-02-23,1553
1206,Calaveras,2021-02-23,145
1207,Colusa,2021-02-23,18
1208,Contra Costa,2021-02-23,10917
1209,Del Norte,2021-02-23,101
1210,El Dorado,2021-02-23,718
1211,Fresno,2021-02-23,3577
1212,Glenn,2021-02-23,38
1213,Humboldt,2021-02-23,134
1214,Imperial,2021-02-23,883
1215,Inyo,2021-02-23,193
1216,Kern,2021-02-23,3011
1217,Kings,2021-02-23,274
1218,Lake,2021-02-23,162
1219,Lassen,2021-02-23,151
1220,Los Angeles,2021-02-23,51509
1221,Madera,2021-02-23,716
1222,Marin,2021-02-23,2731
1223,Mariposa,2021-02-23,4
1224,Mendocino,2021-02-23,645
1225,Merced,2021-02-23,1057
1226,Modoc,2021-02-23,23
1227,Mono,2021-02-23,133
1228,Monterey,2021-02-23,933
1229,Napa,2021-02-23,1008
1230,Nevada,2021-02-23,432
1231,Orange,2021-02-23,12753
1232,Outside California,2021-02-23,7009
1233,Placer,2021-02-23,2356
1234,Plumas,2021-02-23,21
1235,Riverside,2021-02-23,10727
1236,Sacramento,2021-02-23,6645
1237,San Benito,2021-02-23,345
1238,San Bernardino,2021-02-23,8373
1239,San Diego,2021-02-23,23841
1240,San Francisco,2021-02-23,5279
1241,San Joaquin,2021-02-23,3976
1242,San Luis Obispo,2021-02-23,1846
1243,San Mateo,2021-02-23,4047
1244,Santa Barbara,2021-02-23,3136
1245,Santa Clara,2021-02-23,10933
1246,Santa Cruz,2021-02-23,2085
1247,Shasta,2021-02-23,398
1248,Sierra,2021-02-23,4
1249,Siskiyou,2021-02-23,191
1250,Solano,2021-02-23,1788
1251,Sonoma,2021-02-23,2871
1252,Stanislaus,2021-02-23,3574
1253,Sutter,2021-02-23,217
1254,Tehama,2021-02-23,43
1255,Trinity,2021-02-23,5
1256,Tulare,2021-02-23,1620
1257,Tuolumne,2021-02-23,38
1258,Unknown,2021-02-23,86
1259,Ventura,2021-02-23,5813
1260,Yolo,2021-02-23,1101
1261,Yuba,2021-02-23,110
1262,Alameda,2021-02-22,10240
1263,Alpine,2021-02-22,27
1264,Amador,2021-02-22,63
1265,Butte,2021-02-22,1431
1266,Calaveras,2021-02-22,64
1267,Colusa,2021-02-22,41
1268,Contra Costa,2021-02-22,7061
1269,Del Norte,2021-02-22,2
1270,El Dorado,2021-02-22,822
1271,Fresno,2021-02-22,2138
1272,Glenn,2021-02-22,31
1273,Humboldt,2021-02-22,95
1274,Imperial,2021-02-22,765
1275,Inyo,2021-02-22,60
1276,Kern,2021-02-22,2586
1277,Kings,2021-02-22,100
1278,Lake,2021-02-22,92
1279,Lassen,2021-02-22,23
1280,Los Angeles,2021-02-22,32816
1281,Madera,2021-02-22,903
1282,Marin,2021-02-22,1671
1283,Mariposa,2021-02-22,15
1284,Mendocino,2021-02-22,159
1285,Merced,2021-02-22,817
1286,Modoc,2021-02-22,16
1287,Mono,2021-02-22,284
1288,Monterey,2021-02-22,902
1289,Napa,2021-02-22,413
1290,Nevada,2021-02-22,483
1291,Orange,2021-02-22,9113
1292,Outside California,2021-02-22,4388
1293,Placer,2021-02-22,2400
1294,Plumas,2021-02-22,5
1295,Riverside,2021-02-22,12010
1296,Sacramento,2021-02-22,5882
1297,San Benito,2021-02-22,104
1298,San Bernardino,2021-02-22,8273
1299,San Diego,2021-02-22,11075
1300,San Francisco,2021-02-22,4887
1301,San Joaquin,2021-02-22,3351
1302,San Luis Obispo,2021-02-22,2398
1303,San Mateo,2021-02-22,4172
1304,Santa Barbara,2021-02-22,887
1305,Santa Clara,2021-02-22,9409
1306,Santa Cruz,2021-02-22,1220
1307,Shasta,2021-02-22,335
1308,Sierra,2021-02-22,2
1309,Siskiyou,2021-02-22,124
1310,Solano,2021-02-22,1457
1311,Sonoma,2021-02-22,2560
1312,Stanislaus,2021-02-22,2180
1313,Sutter,2021-02-22,197
1314,Tehama,2021-02-22,39
1315,Trinity,2021-02-22,3
1316,Tulare,2021-02-22,1035
1317,Tuolumne,2021-02-22,72
1318,Unknown,2021-02-22,16
1319,Ventura,2021-02-22,5282
1320,Yolo,2021-02-22,1335
1321,Yuba,2021-02-22,112
1322,Alameda,2021-02-21,5860
1323,Amador,2021-02-21,40
1324,Butte,2021-02-21,14
1325,Calaveras,2021-02-21,20
1326,Colusa,2021-02-21,1
1327,Contra Costa,2021-02-21,1649
1328,El Dorado,2021-02-21,230
1329,Fresno,2021-02-21,167
1330,Humboldt,2021-02-21,474
1331,Imperial,2021-02-21,539
1332,Inyo,2021-02-21,267
1333,Kern,2021-02-21,201
1334,Kings,2021-02-21,1
1335,Lake,2021-02-21,5
1336,Lassen,2021-02-21,18
1337,Los Angeles,2021-02-21,13880
1338,Madera,2021-02-21,941
1339,Marin,2021-02-21,940
1340,Mariposa,2021-02-21,232
1341,Mendocino,2021-02-21,18
1342,Merced,2021-02-21,68
1343,Mono,2021-02-21,3
1344,Monterey,2021-02-21,1190
1345,Napa,2021-02-21,722
1346,Nevada,2021-02-21,72
1347,Orange,2021-02-21,3785
1348,Outside California,2021-02-21,2324
1349,Placer,2021-02-21,851
1350,Plumas,2021-02-21,6
1351,Riverside,2021-02-21,3189
1352,Sacramento,2021-02-21,2257
1353,San Benito,2021-02-21,23
1354,San Bernardino,2021-02-21,778
1355,San Diego,2021-02-21,9454
1356,San Francisco,2021-02-21,2175
1357,San Joaquin,2021-02-21,555
1358,San Luis Obispo,2021-02-21,32
1359,San Mateo,2021-02-21,2081
1360,Santa Barbara,2021-02-21,76
1361,Santa Clara,2021-02-21,3050
1362,Santa Cruz,2021-02-21,753
1363,Shasta,2021-02-21,32
1364,Siskiyou,2021-02-21,2
1365,Solano,2021-02-21,1906
1366,Sonoma,2021-02-21,335
1367,Stanislaus,2021-02-21,711
1368,Sutter,2021-02-21,26
1369,Trinity,2021-02-21,1
1370,Tulare,2021-02-21,40
1371,Tuolumne,2021-02-21,974
1372,Unknown,2021-02-21,13
1373,Ventura,2021-02-21,926
1374,Yolo,2021-02-21,196
1375,Yuba,2021-02-21,14
1376,Alameda,2021-02-20,11453
1377,Amador,2021-02-20,83
1378,Butte,2021-02-20,458
1379,Calaveras,2021-02-20,55
1380,Colusa,2021-02-20,25
1381,Contra Costa,2021-02-20,6154
1382,Del Norte,2021-02-20,7
1383,El Dorado,2021-02-20,882
1384,Fresno,2021-02-20,4110
1385,Glenn,2021-02-20,8
1386,Humboldt,2021-02-20,1021
1387,Imperial,2021-02-20,1037
1388,Inyo,2021-02-20,501
1389,Kern,2021-02-20,2310
1390,Kings,2021-02-20,153
1391,Lake,2021-02-20,57
1392,Lassen,2021-02-20,7
1393,Los Angeles,2021-02-20,28433
1394,Madera,2021-02-20,1001
1395,Marin,2021-02-20,2385
1396,Mariposa,2021-02-20,248
1397,Mendocino,2021-02-20,563
1398,Merced,2021-02-20,253
1399,Modoc,2021-02-20,1
1400,Mono,2021-02-20,4
1401,Monterey,2021-02-20,954
1402,Napa,2021-02-20,785
1403,Nevada,2021-02-20,270
1404,Orange,2021-02-20,6678
1405,Outside California,2021-02-20,3585
1406,Placer,2021-02-20,1878
1407,Plumas,2021-02-20,101
1408,Riverside,2021-02-20,7278
1409,Sacramento,2021-02-20,6967
1410,San Benito,2021-02-20,41
1411,San Bernardino,2021-02-20,3970
1412,San Diego,2021-02-20,9676
1413,San Francisco,2021-02-20,4220
1414,San Joaquin,2021-02-20,1447
1415,San Luis Obispo,2021-02-20,224
1416,San Mateo,2021-02-20,3572
1417,Santa Barbara,2021-02-20,2151
1418,Santa Clara,2021-02-20,6583
1419,Santa Cruz,2021-02-20,2247
1420,Shasta,2021-02-20,742
1421,Sierra,2021-02-20,2
1422,Siskiyou,2021-02-20,21
1423,Solano,2021-02-20,2352
1424,Sonoma,2021-02-20,2968
1425,Stanislaus,2021-02-20,720
1426,Sutter,2021-02-20,576
1427,Tehama,2021-02-20,273
1428,Trinity,2021-02-20,138
1429,Tulare,2021-02-20,2817
1430,Tuolumne,2021-02-20,899
1431,Unknown,2021-02-20,11
1432,Ventura,2021-02-20,4632
1433,Yolo,2021-02-20,2440
1434,Yuba,2021-02-20,357
1435,Alameda,2021-02-19,16299
1436,Alpine,2021-02-19,34
1437,Amador,2021-02-19,181
1438,Butte,2021-02-19,1163
1439,Calaveras,2021-02-19,438
1440,Colusa,2021-02-19,152
1441,Contra Costa,2021-02-19,10769
1442,Del Norte,2021-02-19,44
1443,El Dorado,2021-02-19,1055
1444,Fresno,2021-02-19,3705
1445,Glenn,2021-02-19,301
1446,Humboldt,2021-02-19,471
1447,Imperial,2021-02-19,770
1448,Inyo,2021-02-19,48
1449,Kenai Peninsula Borough,2021-02-19,1
1450,Kern,2021-02-19,4037
1451,Kings,2021-02-19,151
1452,Lake,2021-02-19,360
1453,Lassen,2021-02-19,82
1454,Los Angeles,2021-02-19,54079
1455,Madera,2021-02-19,831
1456,Marin,2021-02-19,2508
1457,Mariposa,2021-02-19,74
1458,Mendocino,2021-02-19,698
1459,Merced,2021-02-19,1194
1460,Mono,2021-02-19,51
1461,Monterey,2021-02-19,2853
1462,Napa,2021-02-19,1206
1463,Nevada,2021-02-19,918
1464,Orange,2021-02-19,17257
1465,Outside California,2021-02-19,5973
1466,Placer,2021-02-19,3306
1467,Plumas,2021-02-19,38
1468,Riverside,2021-02-19,14612
1469,Sacramento,2021-02-19,9247
1470,San Benito,2021-02-19,313
1471,San Bernardino,2021-02-19,10921
1472,San Diego,2021-02-19,15171
1473,San Francisco,2021-02-19,4944
1474,San Joaquin,2021-02-19,4026
1475,San Luis Obispo,2021-02-19,1436
1476,San Mateo,2021-02-19,7437
1477,Santa Barbara,2021-02-19,3600
1478,Santa Clara,2021-02-19,13963
1479,Santa Cruz,2021-02-19,3218
1480,Shasta,2021-02-19,624
1481,Sierra,2021-02-19,1
1482,Siskiyou,2021-02-19,58
1483,Solano,2021-02-19,1803
1484,Sonoma,2021-02-19,4890
1485,Stanislaus,2021-02-19,2595
1486,Sutter,2021-02-19,658
1487,Tehama,2021-02-19,214
1488,Trinity,2021-02-19,209
1489,Tulare,2021-02-19,2210
1490,Tuolumne,2021-02-19,132
1491,Unknown,2021-02-19,222
1492,Ventura,2021-02-19,6318
1493,Yolo,2021-02-19,1677
1494,Yuba,2021-02-19,208
1495,Alameda,2021-02-18,14721
1496,Alpine,2021-02-18,2
1497,Amador,2021-02-18,393
1498,Butte,2021-02-18,1536
1499,Calaveras,2021-02-18,491
1500,Colusa,2021-02-18,132
1501,Contra Costa,2021-02-18,9789
1502,Del Norte,2021-02-18,76
1503,El Dorado,2021-02-18,1923
1504,Fresno,2021-02-18,6552
1505,Glenn,2021-02-18,137
1506,Humboldt,2021-02-18,963
1507,Imperial,2021-02-18,645
1508,Inyo,2021-02-18,111
1509,Kern,2021-02-18,3490
1510,Kings,2021-02-18,143
1511,Kitsap,2021-02-18,1
1512,Lake,2021-02-18,395
1513,Lassen,2021-02-18,73
1514,Los Angeles,2021-02-18,62882
1515,Madera,2021-02-18,1259
1516,Marin,2021-02-18,2286
1517,Mariposa,2021-02-18,37
1518,Mendocino,2021-02-18,1049
1519,Merced,2021-02-18,1183
1520,Modoc,2021-02-18,189
1521,Mono,2021-02-18,1
1522,Monterey,2021-02-18,2093
1523,Napa,2021-02-18,1832
1524,Nevada,2021-02-18,990
1525,Orange,2021-02-18,13674
1526,Outside California,2021-02-18,6744
1527,Placer,2021-02-18,3400
1528,Plumas,2021-02-18,125
1529,Riverside,2021-02-18,14034
1530,Sacramento,2021-02-18,8153
1531,San Benito,2021-02-18,286
1532,San Bernardino,2021-02-18,11766
1533,San Diego,2021-02-18,22481
1534,San Francisco,2021-02-18,4895
1535,San Joaquin,2021-02-18,3202
1536,San Luis Obispo,2021-02-18,2800
1537,San Mateo,2021-02-18,6273
1538,Santa Barbara,2021-02-18,3227
1539,Santa Clara,2021-02-18,12556
1540,Santa Cruz,2021-02-18,2854
1541,Shasta,2021-02-18,603
1542,Sierra,2021-02-18,145
1543,Siskiyou,2021-02-18,220
1544,Solano,2021-02-18,1675
1545,Sonoma,2021-02-18,6412
1546,Stanislaus,2021-02-18,3171
1547,Sutter,2021-02-18,697
1548,Tehama,2021-02-18,298
1549,Trinity,2021-02-18,3
1550,Tulare,2021-02-18,2240
1551,Tuolumne,2021-02-18,660
1552,Unknown,2021-02-18,121
1553,Ventura,2021-02-18,5565
1554,Yolo,2021-02-18,2398
1555,Yuba,2021-02-18,300
1556,Alameda,2021-02-17,13494
1557,Alpine,2021-02-17,22
1558,Amador,2021-02-17,258
1559,Butte,2021-02-17,1500
1560,Calaveras,2021-02-17,476
1561,Colusa,2021-02-17,204
1562,Contra Costa,2021-02-17,10423
1563,Del Norte,2021-02-17,90
1564,El Dorado,2021-02-17,813
1565,Fresno,2021-02-17,4941
1566,Glenn,2021-02-17,380
1567,Humboldt,2021-02-17,437
1568,Imperial,2021-02-17,439
1569,Inyo,2021-02-17,36
1570,Kern,2021-02-17,3980
1571,Kings,2021-02-17,360
1572,Lake,2021-02-17,310
1573,Lassen,2021-02-17,184
1574,Los Angeles,2021-02-17,61075
1575,Madera,2021-02-17,592
1576,Maricopa,2021-02-17,1
1577,Marin,2021-02-17,2021
1578,Mariposa,2021-02-17,21
1579,Mendocino,2021-02-17,1319
1580,Merced,2021-02-17,1866
1581,Modoc,2021-02-17,22
1582,Mono,2021-02-17,5
1583,Monterey,2021-02-17,1819
1584,Napa,2021-02-17,969
1585,Nevada,2021-02-17,1168
1586,Orange,2021-02-17,17092
1587,Outside California,2021-02-17,6341
1588,Placer,2021-02-17,3360
1589,Plumas,2021-02-17,133
1590,Riverside,2021-02-17,14019
1591,Sacramento,2021-02-17,8338
1592,San Benito,2021-02-17,308
1593,San Bernardino,2021-02-17,10497
1594,San Diego,2021-02-17,22148
1595,San Francisco,2021-02-17,5182
1596,San Joaquin,2021-02-17,3135
1597,San Luis Obispo,2021-02-17,2748
1598,San Mateo,2021-02-17,6708
1599,Santa Barbara,2021-02-17,1419
1600,Santa Clara,2021-02-17,12969
1601,Santa Cruz,2021-02-17,2900
1602,Shasta,2021-02-17,950
1603,Sierra,2021-02-17,3
1604,Siskiyou,2021-02-17,182
1605,Solano,2021-02-17,2273
1606,Sonoma,2021-02-17,5059
1607,Stanislaus,2021-02-17,2660
1608,Sutter,2021-02-17,824
1609,Tehama,2021-02-17,291
1610,Trinity,2021-02-17,93
1611,Tulare,2021-02-17,2671
1612,Tuolumne,2021-02-17,103
1613,Unknown,2021-02-17,17
1614,Ventura,2021-02-17,5132
1615,Yavapai,2021-02-17,1
1616,Yolo,2021-02-17,1349
1617,Yuba,2021-02-17,367
