,date,county,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
40,3/16/2021,San Joaquin,County,782545.0,0.0,66856.0,0.0,1163.0,,789452.0,,77470.0,234.0,66856.0,23.0,1163.0,1004.0,617412.0
41,3/16/2021,San Luis Obispo,County,278862.0,0.0,19832.0,0.0,248.0,,436383.0,,21233.0,19.0,19832.0,1.0,248.0,139.0,238662.0
42,3/16/2021,San Mateo,County,778001.0,0.0,39806.0,0.0,344.0,,1240835.0,,50176.0,41.0,39806.0,0.0,344.0,1216.0,763834.0
43,3/16/2021,Santa Barbara,County,456373.0,0.0,32556.0,0.0,433.0,,519642.0,,37418.0,27.0,32556.0,2.0,433.0,262.0,344009.0
44,3/16/2021,Santa Clara,County,1967585.0,0.0,112845.0,0.0,1797.0,,3166398.0,,128343.0,116.0,112845.0,-1.0,1797.0,2844.0,2146580.0
45,3/16/2021,Santa Cruz,County,273999.0,0.0,14926.0,0.0,199.0,,330703.0,,15865.0,27.0,14926.0,-1.0,199.0,285.0,207878.0
46,3/16/2021,Shasta,County,177925.0,0.0,11035.0,0.0,100.0,,158938.0,,8275.0,16.0,11035.0,8.0,100.0,119.0,98339.0
47,3/16/2021,Sierra,County,3115.0,0.0,49.0,0.0,0.0,,2293.0,,52.0,0.0,49.0,0.0,0.0,0.0,1172.0
48,3/16/2021,Siskiyou,County,43956.0,0.0,1477.0,0.0,5.0,,27789.0,,1602.0,2.0,1477.0,0.0,5.0,39.0,25673.0
49,3/16/2021,Solano,County,444255.0,0.0,30298.0,0.0,171.0,,552841.0,,31644.0,40.0,30298.0,0.0,171.0,502.0,370499.0
50,3/16/2021,Sonoma,County,496668.0,0.0,28850.0,0.0,291.0,,586811.0,,31592.0,36.0,28850.0,6.0,291.0,627.0,412493.0
51,3/16/2021,Stanislaus,County,562303.0,0.0,51410.0,0.0,683.0,,527515.0,,57923.0,53.0,51410.0,0.0,683.0,659.0,441112.0
52,3/16/2021,Sutter,County,105747.0,0.0,8970.0,0.0,102.0,,84050.0,,9863.0,8.0,8970.0,0.0,102.0,87.0,66374.0
53,3/16/2021,Tehama,County,65885.0,0.0,4660.0,0.0,34.0,,50809.0,,4535.0,10.0,4660.0,0.0,34.0,41.0,39598.0
54,3/16/2021,Trinity,County,13354.0,0.0,308.0,0.0,3.0,,7221.0,,328.0,0.0,308.0,0.0,3.0,8.0,10981.0
55,3/16/2021,Tulare,County,484423.0,0.0,47895.0,0.0,803.0,,479035.0,,55501.0,38.0,47895.0,3.0,803.0,353.0,351189.0
56,3/16/2021,Tuolumne,County,52351.0,0.0,3938.0,0.0,57.0,,82552.0,,4569.0,1.0,3938.0,0.0,57.0,29.0,39736.0
57,3/16/2021,Unknown,County,,0.0,36.0,0.0,0.0,,,,,-49.0,36.0,0.0,0.0,374.0,648262.0
58,3/16/2021,Ventura,County,852747.0,0.0,78671.0,0.0,916.0,,1176622.0,,95095.0,45.0,78671.0,6.0,916.0,250.0,1056778.0
59,3/16/2021,Yolo,County,223612.0,0.0,13162.0,0.0,190.0,,287987.0,,12965.0,31.0,13162.0,0.0,190.0,813.0,234594.0
60,3/16/2021,Yuba,County,79290.0,0.0,5596.0,0.0,42.0,,58897.0,,6342.0,11.0,5596.0,0.0,42.0,78.0,50922.0
61,3/15/2021,Alameda,County,1685886.0,5.0,82259.0,0.0,1177.0,222.0,2108264.0,5.0,95660.0,43.0,82159.0,-1.0,1167.0,4023.0,1489919.0
62,3/15/2021,Alpine,County,1117.0,0.0,82.0,0.0,0.0,1.0,1842.0,0.0,30.0,0.0,82.0,0.0,0.0,1.0,735.0
63,3/15/2021,Amador,County,38531.0,0.0,3510.0,0.0,44.0,9.0,96792.0,1.0,4015.0,2.0,3506.0,0.0,44.0,64.0,32095.0
64,3/15/2021,Butte,County,217769.0,2.0,11154.0,0.0,184.0,39.0,188353.0,1.0,11740.0,1.0,11141.0,0.0,185.0,350.0,152975.0
65,3/15/2021,Calaveras,County,44289.0,0.0,1945.0,0.0,49.0,2.0,35204.0,0.0,2188.0,2.0,1941.0,0.0,49.0,65.0,24379.0
66,3/15/2021,California,State,40129160.0,176.0,3532496.0,0.0,55577.0,5243.0,51460324.0,148.0,4208643.0,1260.0,3530055.0,42.0,55372.0,167229.0,50599304.0
67,3/15/2021,Colusa,County,22593.0,0.0,1882.0,0.0,12.0,4.0,15214.0,0.0,1735.0,0.0,1883.0,0.0,12.0,32.0,13660.0
68,3/15/2021,Contra Costa,County,1160099.0,13.0,63951.0,0.0,736.0,205.0,1274591.0,5.0,70615.0,39.0,63847.0,1.0,732.0,2567.0,988551.0
69,3/15/2021,Del Norte,County,27558.0,0.0,1048.0,0.0,6.0,8.0,67883.0,0.0,1141.0,0.0,1048.0,0.0,6.0,95.0,24194.0
70,3/15/2021,El Dorado,County,193098.0,2.0,9249.0,0.0,105.0,44.0,147385.0,2.0,9073.0,4.0,9235.0,0.0,103.0,397.0,127728.0
71,3/15/2021,Fresno,County,1032227.0,8.0,97638.0,0.0,1498.0,168.0,1031564.0,11.0,114256.0,59.0,97520.0,0.0,1496.0,2256.0,817944.0
72,3/15/2021,Glenn,County,29348.0,0.0,2267.0,0.0,17.0,2.0,21397.0,0.0,2324.0,1.0,2261.0,0.0,15.0,35.0,16367.0
73,3/15/2021,Humboldt,County,134098.0,5.0,3351.0,0.0,33.0,45.0,114807.0,0.0,3521.0,2.0,3337.0,0.0,32.0,298.0,86606.0
74,3/15/2021,Imperial,County,191649.0,7.0,27143.0,0.0,689.0,63.0,254674.0,10.0,31000.0,0.0,27122.0,-1.0,684.0,167.0,162646.0
75,3/15/2021,Inyo,County,18453.0,0.0,1346.0,0.0,35.0,12.0,16387.0,0.0,1135.0,0.0,1346.0,0.0,35.0,41.0,13994.0
76,3/15/2021,Kern,County,927251.0,8.0,93340.0,0.0,1144.0,193.0,879917.0,9.0,106164.0,14.0,93266.0,0.0,1141.0,1329.0,673915.0
77,3/15/2021,Kings,County,156444.0,4.0,22320.0,0.0,233.0,32.0,310396.0,2.0,25840.0,2.0,22294.0,1.0,233.0,220.0,146770.0
78,3/15/2021,Lake,County,64871.0,0.0,3246.0,0.0,43.0,12.0,58720.0,0.0,3775.0,0.0,3237.0,0.0,43.0,91.0,48365.0
79,3/15/2021,Lassen,County,30065.0,0.0,5126.0,0.0,1.0,0.0,112896.0,0.0,5872.0,0.0,5125.0,0.0,1.0,35.0,43642.0
