county,date,total_doses
Sierra,2021-03-12,20
Siskiyou,2021-03-12,410
Solano,2021-03-12,2616
Sonoma,2021-03-12,4321
Stanislaus,2021-03-12,5297
Sutter,2021-03-12,334
Tehama,2021-03-12,228
Trinity,2021-03-12,319
Tulare,2021-03-12,3052
Tuolumne,2021-03-12,177
Ventura,2021-03-12,2245
Yolo,2021-03-12,1255
Yuba,2021-03-12,203
Alameda,2021-03-11,16860
Alpine,2021-03-11,35
Amador,2021-03-11,152
Butte,2021-03-11,1550
Calaveras,2021-03-11,590
Colusa,2021-03-11,255
Contra Costa,2021-03-11,10467
Del Norte,2021-03-11,119
El Dorado,2021-03-11,1095
Fresno,2021-03-11,8721
Glenn,2021-03-11,482
Humboldt,2021-03-11,623
Imperial,2021-03-11,519
Inyo,2021-03-11,178
Kern,2021-03-11,4945
Kings,2021-03-11,564
Lake,2021-03-11,105
Lassen,2021-03-11,143
Los Angeles,2021-03-11,63798
Madera,2021-03-11,803
Marin,2021-03-11,2948
Mariposa,2021-03-11,24
Mendocino,2021-03-11,660
Merced,2021-03-11,1504
Modoc,2021-03-11,164
Mono,2021-03-11,12
Monterey,2021-03-11,2140
Napa,2021-03-11,991
Nevada,2021-03-11,827
Orange,2021-03-11,24830
Placer,2021-03-11,2176
Plumas,2021-03-11,150
Riverside,2021-03-11,11709
Sacramento,2021-03-11,9262
San Benito,2021-03-11,345
San Bernardino,2021-03-11,7811
San Diego,2021-03-11,27041
San Francisco,2021-03-11,8417
San Joaquin,2021-03-11,3573
San Luis Obispo,2021-03-11,2554
San Mateo,2021-03-11,6748
Santa Barbara,2021-03-11,4046
Santa Clara,2021-03-11,13538
Santa Cruz,2021-03-11,2389
Shasta,2021-03-11,755
Sierra,2021-03-11,148
Siskiyou,2021-03-11,332
Solano,2021-03-11,2771
Sonoma,2021-03-11,4626
Stanislaus,2021-03-11,5370
Sutter,2021-03-11,355
Tehama,2021-03-11,420
Trinity,2021-03-11,10
Tulare,2021-03-11,2785
Tuolumne,2021-03-11,1195
Ventura,2021-03-11,2494
Yolo,2021-03-11,1271
Yuba,2021-03-11,175
Alameda,2021-03-10,15101
Alpine,2021-03-10,72
Amador,2021-03-10,135
Butte,2021-03-10,1370
Calaveras,2021-03-10,389
Colusa,2021-03-10,192
Contra Costa,2021-03-10,9820
Del Norte,2021-03-10,92
El Dorado,2021-03-10,682
Fresno,2021-03-10,4858
Glenn,2021-03-10,99
Humboldt,2021-03-10,573
Imperial,2021-03-10,301
Inyo,2021-03-10,48
Kern,2021-03-10,5128
Kings,2021-03-10,351
Lake,2021-03-10,157
Lassen,2021-03-10,150
Los Angeles,2021-03-10,55307
Madera,2021-03-10,797
Marin,2021-03-10,2919
Mariposa,2021-03-10,16
Mendocino,2021-03-10,816
Merced,2021-03-10,1783
Modoc,2021-03-10,5
Mono,2021-03-10,4
Monterey,2021-03-10,1871
Napa,2021-03-10,841
Nevada,2021-03-10,651
Orange,2021-03-10,17673
Placer,2021-03-10,1991
Plumas,2021-03-10,195
Riverside,2021-03-10,9540
Sacramento,2021-03-10,8342
San Benito,2021-03-10,338
San Bernardino,2021-03-10,8047
San Diego,2021-03-10,24019
San Francisco,2021-03-10,9003
San Joaquin,2021-03-10,4256
San Luis Obispo,2021-03-10,2509
San Mateo,2021-03-10,4826
Santa Barbara,2021-03-10,1195
Santa Clara,2021-03-10,11110
Santa Cruz,2021-03-10,2304
Shasta,2021-03-10,531
Sierra,2021-03-10,4
Siskiyou,2021-03-10,145
Solano,2021-03-10,1823
Sonoma,2021-03-10,3934
Stanislaus,2021-03-10,5115
Sutter,2021-03-10,174
Tehama,2021-03-10,301
Trinity,2021-03-10,107
Tulare,2021-03-10,2078
Tuolumne,2021-03-10,76
Ventura,2021-03-10,1971
Yolo,2021-03-10,952
Yuba,2021-03-10,145
Alameda,2021-03-09,10509
Alpine,2021-03-09,1
Amador,2021-03-09,92
Butte,2021-03-09,1651
Calaveras,2021-03-09,184
Colusa,2021-03-09,196
Contra Costa,2021-03-09,7923
Del Norte,2021-03-09,100
El Dorado,2021-03-09,735
Fresno,2021-03-09,5460
Glenn,2021-03-09,55
Humboldt,2021-03-09,399
Imperial,2021-03-09,402
Inyo,2021-03-09,176
Kern,2021-03-09,3026
Kings,2021-03-09,316
Lake,2021-03-09,169
Lassen,2021-03-09,110
Los Angeles,2021-03-09,46127
Madera,2021-03-09,366
Marin,2021-03-09,1395
Mariposa,2021-03-09,22
Mendocino,2021-03-09,321
Merced,2021-03-09,1166
Modoc,2021-03-09,113
Mono,2021-03-09,5
Monterey,2021-03-09,1478
Napa,2021-03-09,496
Nevada,2021-03-09,434
Orange,2021-03-09,17542
Placer,2021-03-09,1798
Plumas,2021-03-09,123
Riverside,2021-03-09,8874
Sacramento,2021-03-09,6748
San Benito,2021-03-09,223
San Bernardino,2021-03-09,7917
San Diego,2021-03-09,24711
San Francisco,2021-03-09,6374
San Joaquin,2021-03-09,3672
San Luis Obispo,2021-03-09,2671
San Mateo,2021-03-09,4222
Santa Barbara,2021-03-09,1249
Santa Clara,2021-03-09,10359
Santa Cruz,2021-03-09,1339
Shasta,2021-03-09,448
Sierra,2021-03-09,53
Siskiyou,2021-03-09,70
Solano,2021-03-09,1656
Sonoma,2021-03-09,3838
Stanislaus,2021-03-09,2365
Sutter,2021-03-09,214
Tehama,2021-03-09,266
Trinity,2021-03-09,92
Tulare,2021-03-09,1694
Tuolumne,2021-03-09,857
Ventura,2021-03-09,2338
Yolo,2021-03-09,749
Yuba,2021-03-09,127
Alameda,2021-03-08,10405
Alpine,2021-03-08,27
Amador,2021-03-08,128
Butte,2021-03-08,1105
Calaveras,2021-03-08,84
Colusa,2021-03-08,77
Contra Costa,2021-03-08,7056
Del Norte,2021-03-08,23
El Dorado,2021-03-08,1029
Fresno,2021-03-08,3912
Glenn,2021-03-08,19
Humboldt,2021-03-08,161
Imperial,2021-03-08,272
Inyo,2021-03-08,109
Kern,2021-03-08,2330
Kings,2021-03-08,262
Lake,2021-03-08,198
Lassen,2021-03-08,85
Los Angeles,2021-03-08,37363
Madera,2021-03-08,484
Marin,2021-03-08,1299
Mariposa,2021-03-08,34
Mendocino,2021-03-08,108
Merced,2021-03-08,973
Modoc,2021-03-08,5
Mono,2021-03-08,9
Monterey,2021-03-08,1216
Napa,2021-03-08,595
Nevada,2021-03-08,659
Orange,2021-03-08,11031
Placer,2021-03-08,2398
Plumas,2021-03-08,31
Riverside,2021-03-08,6060
Sacramento,2021-03-08,7283
San Benito,2021-03-08,246
San Bernardino,2021-03-08,5884
San Diego,2021-03-08,21985
San Francisco,2021-03-08,6479
San Joaquin,2021-03-08,2505
San Luis Obispo,2021-03-08,2314
San Mateo,2021-03-08,3733
Santa Barbara,2021-03-08,960
Santa Clara,2021-03-08,11611
Santa Cruz,2021-03-08,843
Shasta,2021-03-08,449
Sierra,2021-03-08,3
Siskiyou,2021-03-08,317
Solano,2021-03-08,1249
Sonoma,2021-03-08,3160
Stanislaus,2021-03-08,1671
Sutter,2021-03-08,137
Tehama,2021-03-08,45
Trinity,2021-03-08,3
Tulare,2021-03-08,1106
Tuolumne,2021-03-08,166
Ventura,2021-03-08,4844
Yolo,2021-03-08,825
Yuba,2021-03-08,106
Alameda,2021-03-07,9084
Amador,2021-03-07,62
Butte,2021-03-07,57
Calaveras,2021-03-07,62
Colusa,2021-03-07,7
Contra Costa,2021-03-07,3443
Del Norte,2021-03-07,3
El Dorado,2021-03-07,390
Fresno,2021-03-07,1061
Glenn,2021-03-07,1
Humboldt,2021-03-07,343
Imperial,2021-03-07,76
Inyo,2021-03-07,6
Kern,2021-03-07,1914
Kings,2021-03-07,211
Lake,2021-03-07,6
Lassen,2021-03-07,55
Los Angeles,2021-03-07,22741
Madera,2021-03-07,127
Marin,2021-03-07,1332
Mariposa,2021-03-07,1
Mendocino,2021-03-07,482
Merced,2021-03-07,197
Modoc,2021-03-07,6
Mono,2021-03-07,1
Monterey,2021-03-07,451
Napa,2021-03-07,426
Nevada,2021-03-07,187
Orange,2021-03-07,13588
Placer,2021-03-07,1203
Plumas,2021-03-07,10
Riverside,2021-03-07,3478
Sacramento,2021-03-07,7208
San Benito,2021-03-07,620
San Bernardino,2021-03-07,1386
San Diego,2021-03-07,17133
San Francisco,2021-03-07,4902
San Joaquin,2021-03-07,1117
San Luis Obispo,2021-03-07,194
San Mateo,2021-03-07,3351
Santa Barbara,2021-03-07,494
Santa Clara,2021-03-07,6124
Santa Cruz,2021-03-07,1321
Shasta,2021-03-07,76
Siskiyou,2021-03-07,10
Solano,2021-03-07,2640
Sonoma,2021-03-07,1574
Stanislaus,2021-03-07,804
Sutter,2021-03-07,56
Tehama,2021-03-07,5
Trinity,2021-03-07,3
Tulare,2021-03-07,1002
Tuolumne,2021-03-07,29
Ventura,2021-03-07,1483
Yolo,2021-03-07,445
Yuba,2021-03-07,45
Alameda,2021-03-06,11491
Amador,2021-03-06,72
