county,date,total_doses
Modoc,2021-02-27,5
Mono,2021-02-27,136
Monterey,2021-02-27,964
Napa,2021-02-27,1018
Nevada,2021-02-27,330
Orange,2021-02-27,24414
Placer,2021-02-27,2675
Plumas,2021-02-27,42
Riverside,2021-02-27,10934
Sacramento,2021-02-27,9353
San Benito,2021-02-27,96
San Bernardino,2021-02-27,6412
San Diego,2021-02-27,20445
San Francisco,2021-02-27,8649
San Joaquin,2021-02-27,5256
San Luis Obispo,2021-02-27,565
San Mateo,2021-02-27,6460
Santa Barbara,2021-02-27,1464
Santa Clara,2021-02-27,7897
Santa Cruz,2021-02-27,2613
Shasta,2021-02-27,806
Sierra,2021-02-27,2
Siskiyou,2021-02-27,30
Solano,2021-02-27,3420
Sonoma,2021-02-27,3887
Stanislaus,2021-02-27,1963
Sutter,2021-02-27,802
Tehama,2021-02-27,296
Trinity,2021-02-27,4
Tulare,2021-02-27,2670
Tuolumne,2021-02-27,943
Ventura,2021-02-27,9805
Yolo,2021-02-27,1583
Yuba,2021-02-27,449
Alameda,2021-02-26,16828
Alpine,2021-02-26,29
Amador,2021-02-26,591
Butte,2021-02-26,854
Calaveras,2021-02-26,637
Colusa,2021-02-26,95
Contra Costa,2021-02-26,9423
Del Norte,2021-02-26,99
El Dorado,2021-02-26,2009
Fresno,2021-02-26,7249
Glenn,2021-02-26,303
Humboldt,2021-02-26,2071
Imperial,2021-02-26,1637
Inyo,2021-02-26,103
Kern,2021-02-26,6090
Kings,2021-02-26,600
Lake,2021-02-26,974
Lassen,2021-02-26,64
Los Angeles,2021-02-26,78742
Madera,2021-02-26,1017
Marin,2021-02-26,3307
Mariposa,2021-02-26,411
Mendocino,2021-02-26,1337
Merced,2021-02-26,2049
Modoc,2021-02-26,3
Mono,2021-02-26,576
Monterey,2021-02-26,4953
Napa,2021-02-26,1396
Nevada,2021-02-26,1180
Orange,2021-02-26,26051
Placer,2021-02-26,3825
Plumas,2021-02-26,255
Riverside,2021-02-26,17000
Sacramento,2021-02-26,12224
San Benito,2021-02-26,604
San Bernardino,2021-02-26,12297
San Diego,2021-02-26,32428
San Francisco,2021-02-26,11177
San Joaquin,2021-02-26,5185
San Luis Obispo,2021-02-26,2577
San Mateo,2021-02-26,8878
Santa Barbara,2021-02-26,3272
Santa Clara,2021-02-26,11942
Santa Cruz,2021-02-26,2621
Shasta,2021-02-26,748
Sierra,2021-02-26,9
Siskiyou,2021-02-26,660
Solano,2021-02-26,2245
Sonoma,2021-02-26,5731
Stanislaus,2021-02-26,3945
Sutter,2021-02-26,347
Tehama,2021-02-26,448
Trinity,2021-02-26,10
Tulare,2021-02-26,3319
Tuolumne,2021-02-26,135
Ventura,2021-02-26,8935
Yolo,2021-02-26,2072
Yuba,2021-02-26,234
Alameda,2021-02-25,14842
Alpine,2021-02-25,7
Amador,2021-02-25,501
Butte,2021-02-25,1998
Calaveras,2021-02-25,469
Colusa,2021-02-25,95
Contra Costa,2021-02-25,10521
Del Norte,2021-02-25,300
El Dorado,2021-02-25,1416
Fresno,2021-02-25,6942
Glenn,2021-02-25,255
Humboldt,2021-02-25,808
Imperial,2021-02-25,807
Inyo,2021-02-25,125
Kern,2021-02-25,4969
Kings,2021-02-25,639
Lake,2021-02-25,671
Lassen,2021-02-25,146
Los Angeles,2021-02-25,69508
Madera,2021-02-25,991
Marin,2021-02-25,3705
Mariposa,2021-02-25,4
Mendocino,2021-02-25,1172
Merced,2021-02-25,1630
Modoc,2021-02-25,169
Mono,2021-02-25,5
Monterey,2021-02-25,4171
Napa,2021-02-25,2340
Nevada,2021-02-25,826
Orange,2021-02-25,21721
Placer,2021-02-25,3138
Plumas,2021-02-25,221
Riverside,2021-02-25,16028
Sacramento,2021-02-25,9063
San Benito,2021-02-25,383
San Bernardino,2021-02-25,11858
San Diego,2021-02-25,31550
San Francisco,2021-02-25,9447
San Joaquin,2021-02-25,6027
San Luis Obispo,2021-02-25,2025
San Mateo,2021-02-25,8615
Santa Barbara,2021-02-25,3374
Santa Clara,2021-02-25,13124
Santa Cruz,2021-02-25,3098
Shasta,2021-02-25,458
Sierra,2021-02-25,127
Siskiyou,2021-02-25,294
Solano,2021-02-25,2099
Sonoma,2021-02-25,5351
Stanislaus,2021-02-25,3727
Sutter,2021-02-25,764
Tehama,2021-02-25,373
Trinity,2021-02-25,36
Tulare,2021-02-25,3190
Tuolumne,2021-02-25,1034
Ventura,2021-02-25,7262
Yolo,2021-02-25,1287
Yuba,2021-02-25,316
Alameda,2021-02-24,13847
Amador,2021-02-24,387
Butte,2021-02-24,2057
Calaveras,2021-02-24,90
Colusa,2021-02-24,298
Contra Costa,2021-02-24,9390
Del Norte,2021-02-24,149
El Dorado,2021-02-24,865
Fresno,2021-02-24,3800
Glenn,2021-02-24,219
Humboldt,2021-02-24,1140
Imperial,2021-02-24,668
Inyo,2021-02-24,117
Kern,2021-02-24,4968
Kings,2021-02-24,570
Lake,2021-02-24,713
Lassen,2021-02-24,163
Los Angeles,2021-02-24,60458
Madera,2021-02-24,886
Marin,2021-02-24,3304
Mariposa,2021-02-24,12
Mendocino,2021-02-24,1781
Merced,2021-02-24,788
Modoc,2021-02-24,89
Mono,2021-02-24,6
Monterey,2021-02-24,2339
Napa,2021-02-24,1059
Nevada,2021-02-24,460
Orange,2021-02-24,20074
Placer,2021-02-24,3093
Plumas,2021-02-24,449
Riverside,2021-02-24,13988
Sacramento,2021-02-24,8712
San Benito,2021-02-24,355
San Bernardino,2021-02-24,11081
San Diego,2021-02-24,27172
San Francisco,2021-02-24,8684
San Joaquin,2021-02-24,5474
San Luis Obispo,2021-02-24,2625
San Mateo,2021-02-24,7012
Santa Barbara,2021-02-24,3050
Santa Clara,2021-02-24,12511
Santa Cruz,2021-02-24,3099
Shasta,2021-02-24,503
Sierra,2021-02-24,2
Siskiyou,2021-02-24,145
Solano,2021-02-24,2073
Sonoma,2021-02-24,5029
Stanislaus,2021-02-24,3861
Sutter,2021-02-24,951
Tehama,2021-02-24,294
Trinity,2021-02-24,16
Tulare,2021-02-24,2293
Tuolumne,2021-02-24,81
Ventura,2021-02-24,4734
Yolo,2021-02-24,1878
Yuba,2021-02-24,467
Alameda,2021-02-23,12284
Amador,2021-02-23,309
Butte,2021-02-23,1553
Calaveras,2021-02-23,145
Colusa,2021-02-23,18
Contra Costa,2021-02-23,10917
Del Norte,2021-02-23,101
El Dorado,2021-02-23,718
Fresno,2021-02-23,3577
Glenn,2021-02-23,38
Humboldt,2021-02-23,134
Imperial,2021-02-23,883
Inyo,2021-02-23,193
Kern,2021-02-23,3011
Kings,2021-02-23,274
Lake,2021-02-23,162
Lassen,2021-02-23,151
Los Angeles,2021-02-23,51509
Madera,2021-02-23,716
Marin,2021-02-23,2731
Mariposa,2021-02-23,4
Mendocino,2021-02-23,645
Merced,2021-02-23,1057
Modoc,2021-02-23,23
Mono,2021-02-23,133
Monterey,2021-02-23,933
Napa,2021-02-23,1008
Nevada,2021-02-23,432
Orange,2021-02-23,12753
Placer,2021-02-23,2356
Plumas,2021-02-23,21
Riverside,2021-02-23,10727
Sacramento,2021-02-23,6645
San Benito,2021-02-23,345
San Bernardino,2021-02-23,8373
San Diego,2021-02-23,23841
San Francisco,2021-02-23,5279
San Joaquin,2021-02-23,3976
San Luis Obispo,2021-02-23,1846
San Mateo,2021-02-23,4047
Santa Barbara,2021-02-23,3136
Santa Clara,2021-02-23,10933
Santa Cruz,2021-02-23,2085
Shasta,2021-02-23,398
Sierra,2021-02-23,4
Siskiyou,2021-02-23,191
Solano,2021-02-23,1788
Sonoma,2021-02-23,2871
Stanislaus,2021-02-23,3574
Sutter,2021-02-23,217
Tehama,2021-02-23,43
Trinity,2021-02-23,5
Tulare,2021-02-23,1620
Tuolumne,2021-02-23,38
Ventura,2021-02-23,5813
Yolo,2021-02-23,1101
Yuba,2021-02-23,110
Alameda,2021-02-22,10240
Alpine,2021-02-22,27
Amador,2021-02-22,63
Butte,2021-02-22,1431
Calaveras,2021-02-22,64
Colusa,2021-02-22,41
Contra Costa,2021-02-22,7061
Del Norte,2021-02-22,2
El Dorado,2021-02-22,822
Fresno,2021-02-22,2138
Glenn,2021-02-22,31
Humboldt,2021-02-22,95
Imperial,2021-02-22,765
Inyo,2021-02-22,60
Kern,2021-02-22,2586
Kings,2021-02-22,100
Lake,2021-02-22,92
Lassen,2021-02-22,23
Los Angeles,2021-02-22,32816
Madera,2021-02-22,903
Marin,2021-02-22,1671
Mariposa,2021-02-22,15
Mendocino,2021-02-22,159
Merced,2021-02-22,817
Modoc,2021-02-22,16
Mono,2021-02-22,284
Monterey,2021-02-22,902
Napa,2021-02-22,413
Nevada,2021-02-22,483
Orange,2021-02-22,9113
Placer,2021-02-22,2400
Plumas,2021-02-22,5
Riverside,2021-02-22,12010
Sacramento,2021-02-22,5882
San Benito,2021-02-22,104
San Bernardino,2021-02-22,8273
San Diego,2021-02-22,11075
San Francisco,2021-02-22,4887
San Joaquin,2021-02-22,3351
San Luis Obispo,2021-02-22,2398
San Mateo,2021-02-22,4172
Santa Barbara,2021-02-22,887
Santa Clara,2021-02-22,9409
Santa Cruz,2021-02-22,1220
Shasta,2021-02-22,335
Sierra,2021-02-22,2
Siskiyou,2021-02-22,124
Solano,2021-02-22,1457
Sonoma,2021-02-22,2560
Stanislaus,2021-02-22,2180
Sutter,2021-02-22,197
Tehama,2021-02-22,39
Trinity,2021-02-22,3
Tulare,2021-02-22,1035
Tuolumne,2021-02-22,72
Ventura,2021-02-22,5282
Yolo,2021-02-22,1335
Yuba,2021-02-22,112
Alameda,2021-02-21,5860
Amador,2021-02-21,40
Butte,2021-02-21,14
Calaveras,2021-02-21,20
Colusa,2021-02-21,1
Contra Costa,2021-02-21,1649
El Dorado,2021-02-21,230
Fresno,2021-02-21,167
Humboldt,2021-02-21,474
Imperial,2021-02-21,539
Inyo,2021-02-21,267
Kern,2021-02-21,201
Kings,2021-02-21,1
Lake,2021-02-21,5
Lassen,2021-02-21,18
Los Angeles,2021-02-21,13880
Madera,2021-02-21,941
Marin,2021-02-21,940
Mariposa,2021-02-21,232
Mendocino,2021-02-21,18
Merced,2021-02-21,68
Mono,2021-02-21,3
Monterey,2021-02-21,1190
Napa,2021-02-21,722
Nevada,2021-02-21,72
Orange,2021-02-21,3785
Placer,2021-02-21,851
Plumas,2021-02-21,6
Riverside,2021-02-21,3189
Sacramento,2021-02-21,2257
San Benito,2021-02-21,23
San Bernardino,2021-02-21,778
San Diego,2021-02-21,9454
San Francisco,2021-02-21,2175
San Joaquin,2021-02-21,555
San Luis Obispo,2021-02-21,32
San Mateo,2021-02-21,2081
Santa Barbara,2021-02-21,76
Santa Clara,2021-02-21,3050
Santa Cruz,2021-02-21,753
Shasta,2021-02-21,32
Siskiyou,2021-02-21,2
Solano,2021-02-21,1906
Sonoma,2021-02-21,335
Stanislaus,2021-02-21,711
Sutter,2021-02-21,26
Trinity,2021-02-21,1
Tulare,2021-02-21,40
Tuolumne,2021-02-21,974
Ventura,2021-02-21,926
Yolo,2021-02-21,196
Yuba,2021-02-21,14
Alameda,2021-02-20,11453
Amador,2021-02-20,83
Butte,2021-02-20,458
Calaveras,2021-02-20,55
Colusa,2021-02-20,25
Contra Costa,2021-02-20,6154
Del Norte,2021-02-20,7
El Dorado,2021-02-20,882
Fresno,2021-02-20,4110
Glenn,2021-02-20,8
Humboldt,2021-02-20,1021
Imperial,2021-02-20,1037
Inyo,2021-02-20,501
Kern,2021-02-20,2310
Kings,2021-02-20,153
Lake,2021-02-20,57
Lassen,2021-02-20,7
Los Angeles,2021-02-20,28433
Madera,2021-02-20,1001
Marin,2021-02-20,2385
Mariposa,2021-02-20,248
Mendocino,2021-02-20,563
Merced,2021-02-20,253
Modoc,2021-02-20,1
Mono,2021-02-20,4
Monterey,2021-02-20,954
Napa,2021-02-20,785
Nevada,2021-02-20,270
Orange,2021-02-20,6678
Placer,2021-02-20,1878
Plumas,2021-02-20,101
Riverside,2021-02-20,7278
Sacramento,2021-02-20,6967
San Benito,2021-02-20,41
San Bernardino,2021-02-20,3970
San Diego,2021-02-20,9676
San Francisco,2021-02-20,4220
San Joaquin,2021-02-20,1447
San Luis Obispo,2021-02-20,224
San Mateo,2021-02-20,3572
Santa Barbara,2021-02-20,2151
Santa Clara,2021-02-20,6583
Santa Cruz,2021-02-20,2247
Shasta,2021-02-20,742
Sierra,2021-02-20,2
Siskiyou,2021-02-20,21
Solano,2021-02-20,2352
Sonoma,2021-02-20,2968
Stanislaus,2021-02-20,720
Sutter,2021-02-20,576
Tehama,2021-02-20,273
Trinity,2021-02-20,138
Tulare,2021-02-20,2817
Tuolumne,2021-02-20,899
Ventura,2021-02-20,4632
Yolo,2021-02-20,2440
Yuba,2021-02-20,357
Alameda,2021-02-19,16299
Alpine,2021-02-19,34
Amador,2021-02-19,181
Butte,2021-02-19,1163
Calaveras,2021-02-19,438
Colusa,2021-02-19,152
Contra Costa,2021-02-19,10769
Del Norte,2021-02-19,44
El Dorado,2021-02-19,1055
Fresno,2021-02-19,3705
Glenn,2021-02-19,301
Humboldt,2021-02-19,471
Imperial,2021-02-19,770
Inyo,2021-02-19,48
Kern,2021-02-19,4037
Kings,2021-02-19,151
Lake,2021-02-19,360
Lassen,2021-02-19,82
Los Angeles,2021-02-19,54079
Madera,2021-02-19,831
Marin,2021-02-19,2508
Mariposa,2021-02-19,74
Mendocino,2021-02-19,698
Merced,2021-02-19,1194
Mono,2021-02-19,51
Monterey,2021-02-19,2853
Napa,2021-02-19,1206
Nevada,2021-02-19,918
Orange,2021-02-19,17257
Placer,2021-02-19,3306
Plumas,2021-02-19,38
Riverside,2021-02-19,14612
Sacramento,2021-02-19,9247
San Benito,2021-02-19,313
San Bernardino,2021-02-19,10921
San Diego,2021-02-19,15171
San Francisco,2021-02-19,4944
San Joaquin,2021-02-19,4026
San Luis Obispo,2021-02-19,1436
San Mateo,2021-02-19,7437
Santa Barbara,2021-02-19,3600
Santa Clara,2021-02-19,13963
Santa Cruz,2021-02-19,3218
Shasta,2021-02-19,624
Sierra,2021-02-19,1
Siskiyou,2021-02-19,58
Solano,2021-02-19,1803
Sonoma,2021-02-19,4890
Stanislaus,2021-02-19,2595
Sutter,2021-02-19,658
Tehama,2021-02-19,214
Trinity,2021-02-19,209
Tulare,2021-02-19,2210
Tuolumne,2021-02-19,132
Ventura,2021-02-19,6318
Yolo,2021-02-19,1677
Yuba,2021-02-19,208
Alameda,2021-02-18,14721
Alpine,2021-02-18,2
Amador,2021-02-18,393
Butte,2021-02-18,1536
Calaveras,2021-02-18,491
Colusa,2021-02-18,132
Contra Costa,2021-02-18,9789
Del Norte,2021-02-18,76
El Dorado,2021-02-18,1923
Fresno,2021-02-18,6552
Glenn,2021-02-18,137
Humboldt,2021-02-18,963
Imperial,2021-02-18,645
Inyo,2021-02-18,111
Kern,2021-02-18,3490
Kings,2021-02-18,143
Lake,2021-02-18,395
Lassen,2021-02-18,73
Los Angeles,2021-02-18,62882
Madera,2021-02-18,1259
Marin,2021-02-18,2286
Mariposa,2021-02-18,37
Mendocino,2021-02-18,1049
Merced,2021-02-18,1183
Modoc,2021-02-18,189
Mono,2021-02-18,1
Monterey,2021-02-18,2093
Napa,2021-02-18,1832
Nevada,2021-02-18,990
Orange,2021-02-18,13674
Placer,2021-02-18,3400
Plumas,2021-02-18,125
Riverside,2021-02-18,14034
Sacramento,2021-02-18,8153
San Benito,2021-02-18,286
San Bernardino,2021-02-18,11766
San Diego,2021-02-18,22481
San Francisco,2021-02-18,4895
San Joaquin,2021-02-18,3202
San Luis Obispo,2021-02-18,2800
San Mateo,2021-02-18,6273
Santa Barbara,2021-02-18,3227
Santa Clara,2021-02-18,12556
Santa Cruz,2021-02-18,2854
Shasta,2021-02-18,603
Sierra,2021-02-18,145
Siskiyou,2021-02-18,220
Solano,2021-02-18,1675
Sonoma,2021-02-18,6412
Stanislaus,2021-02-18,3171
Sutter,2021-02-18,697
Tehama,2021-02-18,298
Trinity,2021-02-18,3
Tulare,2021-02-18,2240
Tuolumne,2021-02-18,660
Ventura,2021-02-18,5565
Yolo,2021-02-18,2398
Yuba,2021-02-18,300
Alameda,2021-02-17,13494
Alpine,2021-02-17,22
Amador,2021-02-17,258
Butte,2021-02-17,1500
Calaveras,2021-02-17,476
Colusa,2021-02-17,204
Contra Costa,2021-02-17,10423
Del Norte,2021-02-17,90
El Dorado,2021-02-17,813
Fresno,2021-02-17,4941
Glenn,2021-02-17,380
Humboldt,2021-02-17,437
Imperial,2021-02-17,439
Inyo,2021-02-17,36
Kern,2021-02-17,3980
Kings,2021-02-17,360
Lake,2021-02-17,310
Lassen,2021-02-17,184
Los Angeles,2021-02-17,61075
Madera,2021-02-17,592
Marin,2021-02-17,2021
Mariposa,2021-02-17,21
Mendocino,2021-02-17,1319
Merced,2021-02-17,1866
Modoc,2021-02-17,22
Mono,2021-02-17,5
Monterey,2021-02-17,1819
Napa,2021-02-17,969
Nevada,2021-02-17,1168
Orange,2021-02-17,17092
Placer,2021-02-17,3360
Plumas,2021-02-17,133
Riverside,2021-02-17,14019
Sacramento,2021-02-17,8338
San Benito,2021-02-17,308
San Bernardino,2021-02-17,10497
San Diego,2021-02-17,22148
San Francisco,2021-02-17,5182
San Joaquin,2021-02-17,3135
San Luis Obispo,2021-02-17,2748
San Mateo,2021-02-17,6708
Santa Barbara,2021-02-17,1419
Santa Clara,2021-02-17,12969
Santa Cruz,2021-02-17,2900
Shasta,2021-02-17,950
Sierra,2021-02-17,3
Siskiyou,2021-02-17,182
Solano,2021-02-17,2273
Sonoma,2021-02-17,5059
Stanislaus,2021-02-17,2660
Sutter,2021-02-17,824
Tehama,2021-02-17,291
Trinity,2021-02-17,93
Tulare,2021-02-17,2671
Tuolumne,2021-02-17,103
Ventura,2021-02-17,5132
Yolo,2021-02-17,1349
Yuba,2021-02-17,367
Alameda,2021-02-16,12110
Amador,2021-02-16,400
Butte,2021-02-16,725
Calaveras,2021-02-16,289
Colusa,2021-02-16,67
Contra Costa,2021-02-16,10072
Del Norte,2021-02-16,131
El Dorado,2021-02-16,1138
Fresno,2021-02-16,6238
Glenn,2021-02-16,36
Humboldt,2021-02-16,507
Imperial,2021-02-16,513
Inyo,2021-02-16,180
Kern,2021-02-16,2839
Kings,2021-02-16,473
Lake,2021-02-16,378
Lassen,2021-02-16,193
Los Angeles,2021-02-16,61356
Madera,2021-02-16,754
Marin,2021-02-16,2410
Mariposa,2021-02-16,19
Mendocino,2021-02-16,185
Merced,2021-02-16,1190
Modoc,2021-02-16,140
Mono,2021-02-16,530
Monterey,2021-02-16,1047
Napa,2021-02-16,1204
Nevada,2021-02-16,608
Orange,2021-02-16,19482
Placer,2021-02-16,3472
Plumas,2021-02-16,73
Riverside,2021-02-16,15827
Sacramento,2021-02-16,8546
San Benito,2021-02-16,200
San Bernardino,2021-02-16,12250
San Diego,2021-02-16,18038
San Francisco,2021-02-16,4857
San Joaquin,2021-02-16,2858
San Luis Obispo,2021-02-16,2934
San Mateo,2021-02-16,6980
Santa Barbara,2021-02-16,2082
Santa Clara,2021-02-16,13185
Santa Cruz,2021-02-16,1669
Shasta,2021-02-16,692
Sierra,2021-02-16,44
Siskiyou,2021-02-16,107
Solano,2021-02-16,2179
Sonoma,2021-02-16,4461
Stanislaus,2021-02-16,1290
Sutter,2021-02-16,274
Tehama,2021-02-16,239
Trinity,2021-02-16,6
Tulare,2021-02-16,2779
Tuolumne,2021-02-16,517
Ventura,2021-02-16,5397
Yolo,2021-02-16,1098
Yuba,2021-02-16,186
Alameda,2021-02-15,5639
Amador,2021-02-15,181
Butte,2021-02-15,256
Calaveras,2021-02-15,369
Colusa,2021-02-15,46
Contra Costa,2021-02-15,4381
Del Norte,2021-02-15,4
El Dorado,2021-02-15,1122
Fresno,2021-02-15,2829
Glenn,2021-02-15,8
Humboldt,2021-02-15,285
Imperial,2021-02-15,36
Inyo,2021-02-15,29
Kern,2021-02-15,2712
Kings,2021-02-15,224
Lake,2021-02-15,164
Lassen,2021-02-15,21
Los Angeles,2021-02-15,31572
Madera,2021-02-15,225
Marin,2021-02-15,1200
Mariposa,2021-02-15,8
Mendocino,2021-02-15,202
Merced,2021-02-15,270
Mono,2021-02-15,171
Monterey,2021-02-15,1330
Napa,2021-02-15,838
Nevada,2021-02-15,706
Orange,2021-02-15,16964
Placer,2021-02-15,2108
Plumas,2021-02-15,26
Riverside,2021-02-15,9777
Sacramento,2021-02-15,5577
San Benito,2021-02-15,105
San Bernardino,2021-02-15,5437
San Diego,2021-02-15,14447
San Francisco,2021-02-15,2721
San Joaquin,2021-02-15,1898
San Luis Obispo,2021-02-15,704
San Mateo,2021-02-15,3124
Santa Barbara,2021-02-15,944
Santa Clara,2021-02-15,6177
Santa Cruz,2021-02-15,1571
Shasta,2021-02-15,382
Sierra,2021-02-15,1
Siskiyou,2021-02-15,103
Solano,2021-02-15,1186
Sonoma,2021-02-15,2044
Stanislaus,2021-02-15,1762
Sutter,2021-02-15,190
Tehama,2021-02-15,51
Trinity,2021-02-15,47
Tulare,2021-02-15,899
Tuolumne,2021-02-15,182
Ventura,2021-02-15,3946
Yolo,2021-02-15,521
Yuba,2021-02-15,90
Alameda,2021-02-14,4007
Amador,2021-02-14,123
Butte,2021-02-14,158
Calaveras,2021-02-14,214
Colusa,2021-02-14,19
Contra Costa,2021-02-14,2052
Del Norte,2021-02-14,3
El Dorado,2021-02-14,467
Fresno,2021-02-14,1544
Glenn,2021-02-14,1
Humboldt,2021-02-14,112
Imperial,2021-02-14,26
Inyo,2021-02-14,1
Kern,2021-02-14,352
Kings,2021-02-14,99
Lake,2021-02-14,17
Lassen,2021-02-14,13
Los Angeles,2021-02-14,21725
Madera,2021-02-14,385
Marin,2021-02-14,805
Mariposa,2021-02-14,6
Mendocino,2021-02-14,694
Merced,2021-02-14,113
Monterey,2021-02-14,584
Napa,2021-02-14,321
Nevada,2021-02-14,223
Orange,2021-02-14,16079
Placer,2021-02-14,1061
Plumas,2021-02-14,7
Riverside,2021-02-14,4939
Sacramento,2021-02-14,2877
San Benito,2021-02-14,40
San Bernardino,2021-02-14,1532
San Diego,2021-02-14,10276
San Francisco,2021-02-14,3406
San Joaquin,2021-02-14,1853
San Luis Obispo,2021-02-14,305
San Mateo,2021-02-14,4608
Santa Barbara,2021-02-14,327
Santa Clara,2021-02-14,4613
Santa Cruz,2021-02-14,1381
Shasta,2021-02-14,147
Sierra,2021-02-14,1
Siskiyou,2021-02-14,5
Solano,2021-02-14,672
Sonoma,2021-02-14,2267
Stanislaus,2021-02-14,423
Sutter,2021-02-14,81
Tehama,2021-02-14,33
Trinity,2021-02-14,2
Tulare,2021-02-14,328
Tuolumne,2021-02-14,141
Ventura,2021-02-14,1210
Yolo,2021-02-14,439
Yuba,2021-02-14,53
Alameda,2021-02-13,7670
Amador,2021-02-13,160
Butte,2021-02-13,246
Calaveras,2021-02-13,192
Colusa,2021-02-13,60
Contra Costa,2021-02-13,4757
Del Norte,2021-02-13,2
El Dorado,2021-02-13,949
Fresno,2021-02-13,3677
Glenn,2021-02-13,32
Humboldt,2021-02-13,1293
Imperial,2021-02-13,46
Inyo,2021-02-13,60
Kern,2021-02-13,1964
Kings,2021-02-13,99
Lake,2021-02-13,249
Lassen,2021-02-13,13
Los Angeles,2021-02-13,33423
Madera,2021-02-13,478
Marin,2021-02-13,2306
Mariposa,2021-02-13,5
Mendocino,2021-02-13,489
Merced,2021-02-13,357
Modoc,2021-02-13,1
Mono,2021-02-13,592
Monterey,2021-02-13,1047
Napa,2021-02-13,484
Nevada,2021-02-13,573
Orange,2021-02-13,21535
Placer,2021-02-13,2474
Plumas,2021-02-13,72
Riverside,2021-02-13,6292
Sacramento,2021-02-13,6871
San Benito,2021-02-13,60
San Bernardino,2021-02-13,5968
San Diego,2021-02-13,19186
San Francisco,2021-02-13,3911
San Joaquin,2021-02-13,2078
San Luis Obispo,2021-02-13,372
San Mateo,2021-02-13,5937
Santa Barbara,2021-02-13,1220
Santa Clara,2021-02-13,6018
Santa Cruz,2021-02-13,1695
Shasta,2021-02-13,1379
Siskiyou,2021-02-13,36
Solano,2021-02-13,2740
Sonoma,2021-02-13,1948
Stanislaus,2021-02-13,1335
Sutter,2021-02-13,898
Tehama,2021-02-13,390
Trinity,2021-02-13,11
Tulare,2021-02-13,2432
Tuolumne,2021-02-13,144
Ventura,2021-02-13,3251
Yolo,2021-02-13,2013
Yuba,2021-02-13,438
Alameda,2021-02-12,12212
Alpine,2021-02-12,2
Amador,2021-02-12,322
Butte,2021-02-12,858
Calaveras,2021-02-12,558
Colusa,2021-02-12,118
Contra Costa,2021-02-12,9511
Del Norte,2021-02-12,115
El Dorado,2021-02-12,1454
Fresno,2021-02-12,4913
Glenn,2021-02-12,421
Humboldt,2021-02-12,1120
Imperial,2021-02-12,2116
Inyo,2021-02-12,301
Kern,2021-02-12,4904
Kings,2021-02-12,589
Lake,2021-02-12,340
Lassen,2021-02-12,45
Los Angeles,2021-02-12,58804
Madera,2021-02-12,822
Marin,2021-02-12,2975
Mariposa,2021-02-12,171
Mendocino,2021-02-12,978
Merced,2021-02-12,1715
Modoc,2021-02-12,5
Mono,2021-02-12,82
Monterey,2021-02-12,2542
Napa,2021-02-12,2144
Nevada,2021-02-12,916
Orange,2021-02-12,24473
Placer,2021-02-12,2706
Plumas,2021-02-12,121
Riverside,2021-02-12,17231
Sacramento,2021-02-12,10150
San Benito,2021-02-12,401
San Bernardino,2021-02-12,10214
San Diego,2021-02-12,23007
San Francisco,2021-02-12,5003
San Joaquin,2021-02-12,2594
San Luis Obispo,2021-02-12,764
San Mateo,2021-02-12,6454
Santa Barbara,2021-02-12,3262
Santa Clara,2021-02-12,13971
Santa Cruz,2021-02-12,3163
Shasta,2021-02-12,1633
Sierra,2021-02-12,20
Siskiyou,2021-02-12,1681
Solano,2021-02-12,3897
Sonoma,2021-02-12,5493
Stanislaus,2021-02-12,3236
Sutter,2021-02-12,615
Tehama,2021-02-12,350
Trinity,2021-02-12,9
Tulare,2021-02-12,2756
Tuolumne,2021-02-12,638
Ventura,2021-02-12,6225
Yolo,2021-02-12,1877
Yuba,2021-02-12,260
Alameda,2021-02-11,12688
Alpine,2021-02-11,8
Amador,2021-02-11,302
Butte,2021-02-11,2189
Calaveras,2021-02-11,573
Colusa,2021-02-11,98
Contra Costa,2021-02-11,8313
Del Norte,2021-02-11,174
El Dorado,2021-02-11,2001
Fresno,2021-02-11,6207
Glenn,2021-02-11,233
Humboldt,2021-02-11,1268
Imperial,2021-02-11,463
Inyo,2021-02-11,214
Kern,2021-02-11,4240
Kings,2021-02-11,412
Lake,2021-02-11,136
Lassen,2021-02-11,174
Los Angeles,2021-02-11,56424
Madera,2021-02-11,916
Marin,2021-02-11,2604
Mariposa,2021-02-11,364
Mendocino,2021-02-11,1059
Merced,2021-02-11,2478
Modoc,2021-02-11,201
Mono,2021-02-11,7
Monterey,2021-02-11,2437
Napa,2021-02-11,1477
Nevada,2021-02-11,854
Orange,2021-02-11,21641
Placer,2021-02-11,3494
Plumas,2021-02-11,320
Riverside,2021-02-11,16260
Sacramento,2021-02-11,7846
San Benito,2021-02-11,281
San Bernardino,2021-02-11,11722
San Diego,2021-02-11,22505
San Francisco,2021-02-11,6205
San Joaquin,2021-02-11,2713
San Luis Obispo,2021-02-11,1323
San Mateo,2021-02-11,6732
Santa Barbara,2021-02-11,4164
Santa Clara,2021-02-11,12168
Santa Cruz,2021-02-11,1807
Shasta,2021-02-11,776
Sierra,2021-02-11,198
Siskiyou,2021-02-11,184
Solano,2021-02-11,2255
Sonoma,2021-02-11,5242
Stanislaus,2021-02-11,5269
Sutter,2021-02-11,592
Tehama,2021-02-11,219
Trinity,2021-02-11,260
